BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.990111, 0.0250671, -0.110386, -0.0828551), Translationsvektor: ( 0, 0, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:08:11.379	19	3.11615	(318, 226)	(32, 23)	0
16:08:11.403	18	3.16193	(325, 225)	(33, 23)	0
16:08:11.423	23	3.1603	(335, 225)	(34, 23)	0
16:08:11.451	19	3.232	(345, 225)	(35, 23)	0
16:08:11.478	23	3.29526	(357, 225)	(36, 23)	0
16:08:11.507	29	3.28548	(372, 225)	(37, 23)	0
16:08:11.542	22	3.29245	(375, 225)	(38, 23)	0
16:08:11.569	20	3.47807	(385, 225)	(39, 23)	0
16:08:11.596	20	3.392	(395, 225)	(40, 23)	0
16:08:11.617	20	3.42726	(405, 225)	(41, 23)	0
16:08:11.639	21	3.39733	(415, 225)	(42, 23)	0
16:08:11.668	19	3.46474	(425, 225)	(43, 23)	0
16:08:11.696	20	3.55141	(435, 226)	(44, 23)	0
16:08:11.724	20	3.6683	(445, 226)	(45, 23)	0
16:08:11.751	20	3.52074	(455, 226)	(46, 23)	0
16:08:11.778	19	3.64	(465, 227)	(47, 23)	0
16:08:11.806	19	3.67141	(475, 227)	(48, 23)	0
16:08:11.834	21	3.6523	(485, 228)	(49, 23)	0
16:08:11.864	18	3.70978	(495, 228)	(50, 23)	0
16:08:11.890	20	3.79037	(505, 229)	(51, 23)	0
16:08:11.921	20	3.86993	(515, 229)	(52, 23)	0
16:08:11.944	18	4.01274	(525, 229)	(53, 23)	0
16:08:11.966	18	4.03126	(535, 229)	(54, 23)	0
16:08:11.987	18	4.08252	(545, 229)	(55, 23)	0
16:08:12.007	17	4.14578	(555, 229)	(56, 23)	0
16:08:12.028	18	4.22207	(565, 229)	(57, 23)	0
16:08:12.048	18	4.31259	(575, 229)	(58, 23)	0
16:08:12.069	19	4.30652	(585, 229)	(59, 23)	0
16:08:12.090	18	4.36133	(596, 229)	(60, 23)	0
16:08:12.110	20	4.42444	(605, 230)	(61, 23)	0
16:08:12.132	18	4.4637	(615, 230)	(62, 23)	0
16:08:12.154	18	4.45126	(626, 230)	(63, 23)	0
16:08:12.174	18	4.50622	(635, 230)	(64, 23)	0
16:08:12.194	19	4.5	(645, 230)	(65, 23)	0
16:08:12.215	19	4.54904	(655, 230)	(66, 23)	0
