BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.990111, 0.0250671, -0.110386, -0.0828551), Translationsvektor: ( 0, 0, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:08:41.842	16	6.4803	(318, 226)	(32, 23)	0
16:08:41.871	16	6.48682	(325, 225)	(33, 23)	0
16:08:41.892	16	6.50104	(335, 225)	(34, 23)	0
16:08:41.913	15	6.5243	(345, 225)	(35, 23)	0
16:08:41.934	18	6.54015	(357, 225)	(36, 23)	0
16:08:41.955	20	6.57467	(372, 225)	(37, 23)	0
16:08:41.984	19	6.58859	(375, 225)	(38, 23)	0
16:08:42.011	21	6.59748	(385, 225)	(39, 23)	0
16:08:42.039	15	6.58919	(395, 225)	(40, 23)	0
16:08:42.059	16	6.60222	(405, 225)	(41, 23)	0
16:08:42.080	16	6.63985	(415, 225)	(42, 23)	0
16:08:42.101	15	6.68089	(425, 225)	(43, 23)	0
16:08:42.121	16	6.704	(435, 226)	(44, 23)	0
16:08:42.142	16	6.744	(445, 226)	(45, 23)	0
16:08:42.163	16	6.71126	(455, 226)	(46, 23)	0
16:08:42.184	16	6.73941	(465, 227)	(47, 23)	0
16:08:42.206	16	6.73496	(475, 227)	(48, 23)	0
16:08:42.226	16	6.75081	(485, 228)	(49, 23)	0
16:08:42.247	16	6.80741	(495, 228)	(50, 23)	0
16:08:42.268	15	6.87556	(505, 229)	(51, 23)	0
16:08:42.288	16	6.88341	(515, 229)	(52, 23)	0
16:08:42.309	16	6.91733	(525, 229)	(53, 23)	0
16:08:42.330	17	6.86385	(535, 229)	(54, 23)	0
16:08:42.352	15	6.91348	(545, 229)	(55, 23)	0
16:08:42.372	17	6.95556	(555, 229)	(56, 23)	0
16:08:42.394	17	6.97141	(565, 229)	(57, 23)	0
16:08:42.414	17	6.94993	(575, 229)	(58, 23)	0
16:08:42.435	16	7.03022	(585, 229)	(59, 23)	0
16:08:42.456	16	7.05452	(596, 229)	(60, 23)	0
16:08:42.477	16	7.04578	(605, 230)	(61, 23)	0
16:08:42.497	18	7.0523	(615, 230)	(62, 23)	0
16:08:42.521	16	7.0237	(626, 230)	(63, 23)	0
16:08:42.539	16	7.08385	(635, 230)	(64, 23)	0
16:08:42.559	17	7.07037	(645, 230)	(65, 23)	0
16:08:42.581	16	7.10667	(655, 230)	(66, 23)	0
16:08:42.602	16	7.10118	(665, 230)	(67, 23)	0
16:08:42.623	16	7.12637	(680, 230)	(68, 23)	0
16:08:42.643	16	7.24859	(685, 230)	(69, 23)	0
16:08:42.664	16	7.27985	(695, 230)	(70, 23)	0
16:08:42.684	17	7.36755	(705, 230)	(71, 23)	0
16:08:42.706	17	7.3437	(715, 230)	(72, 23)	0
16:08:42.726	17	7.35763	(725, 230)	(73, 23)	0
16:08:42.748	17	7.39882	(735, 230)	(74, 23)	0
16:08:42.769	16	7.44578	(749, 230)	(75, 23)	0
