BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.990111, 0.0250671, -0.110386, -0.0828551), Translationsvektor: ( 0, 0, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:07:28.536	27	19.2692	(-1, -1)	(-1, -1)	0
16:07:28.567	28	19.2751	(-1, -1)	(-1, -1)	0
16:07:28.602	27	19.284	(-1, -1)	(-1, -1)	0
16:07:28.635	27	19.3588	(-1, -1)	(-1, -1)	0
16:07:28.663	27	19.2944	(-1, -1)	(-1, -1)	0
16:07:28.698	28	19.2862	(-1, -1)	(-1, -1)	0
16:07:28.732	30	19.2855	(-1, -1)	(-1, -1)	0
16:07:28.768	27	19.2713	(-1, -1)	(-1, -1)	0
16:07:28.804	29	19.2818	(-1, -1)	(-1, -1)	0
16:07:28.839	27	19.2812	(-1, -1)	(-1, -1)	0
16:07:28.873	25	19.34	(-1, -1)	(-1, -1)	0
16:07:28.907	26	19.2756	(-1, -1)	(-1, -1)	0
16:07:28.943	26	19.2713	(-1, -1)	(-1, -1)	0
16:07:28.976	26	19.3711	(-1, -1)	(-1, -1)	0
16:07:29.007	26	19.2692	(-1, -1)	(-1, -1)	0
16:07:29.040	26	19.2633	(-1, -1)	(-1, -1)	0
16:07:29.073	27	19.369	(-1, -1)	(-1, -1)	0
16:07:29.102	28	19.264	(-1, -1)	(-1, -1)	0
16:07:29.136	26	19.3759	(-1, -1)	(-1, -1)	0
16:07:29.171	25	19.3624	(-1, -1)	(-1, -1)	0
16:07:29.199	26	19.2877	(-1, -1)	(-1, -1)	0
16:07:29.233	27	19.3474	(-1, -1)	(-1, -1)	0
16:07:29.270	27	19.2664	(-1, -1)	(-1, -1)	0
16:07:29.303	25	19.3661	(-1, -1)	(-1, -1)	0
16:07:29.330	27	19.3924	(-1, -1)	(-1, -1)	0
16:07:29.366	30	19.2831	(-1, -1)	(-1, -1)	0
16:07:29.403	31	19.2711	(-1, -1)	(-1, -1)	0
16:07:29.444	31	19.2821	(-1, -1)	(-1, -1)	0
16:07:29.483	28	19.2807	(-1, -1)	(-1, -1)	0
16:07:29.518	29	19.2815	(-1, -1)	(-1, -1)	0
16:07:29.553	28	19.292	(-1, -1)	(-1, -1)	0
16:07:29.587	26	19.3618	(-1, -1)	(-1, -1)	0
16:07:29.615	25	19.3729	(-1, -1)	(-1, -1)	0
16:07:29.643	25	19.3561	(-1, -1)	(-1, -1)	0
16:07:29.670	26	19.3862	(-1, -1)	(-1, -1)	0
16:07:29.698	25	19.3781	(-1, -1)	(-1, -1)	0
16:07:29.726	26	19.3904	(-1, -1)	(-1, -1)	0
16:07:29.762	29	19.2923	(-1, -1)	(-1, -1)	0
16:07:29.798	31	19.2833	(-1, -1)	(-1, -1)	0
16:07:29.833	32	19.2809	(-1, -1)	(-1, -1)	0
16:07:29.873	26	19.3726	(-1, -1)	(-1, -1)	0
16:07:29.907	26	19.3557	(-1, -1)	(-1, -1)	0
16:07:29.935	25	19.3625	(-1, -1)	(-1, -1)	0
16:07:29.963	29	19.2739	(-1, -1)	(-1, -1)	0
16:07:29.999	29	19.2876	(-1, -1)	(-1, -1)	0
16:07:30.033	30	19.2764	(-1, -1)	(-1, -1)	0
16:07:30.068	30	19.2769	(-1, -1)	(-1, -1)	0
16:07:30.102	26	19.3567	(-1, -1)	(-1, -1)	0
16:07:30.137	26	19.339	(-1, -1)	(-1, -1)	0
16:07:30.171	27	19.3864	(-1, -1)	(-1, -1)	0
16:07:30.212	28	19.2775	(-1, -1)	(-1, -1)	0
16:07:30.249	31	19.2801	(-1, -1)	(-1, -1)	0
16:07:30.284	32	19.283	(-1, -1)	(-1, -1)	0
16:07:30.318	26	19.3742	(-1, -1)	(-1, -1)	0
16:07:30.352	27	19.3773	(-1, -1)	(-1, -1)	0
16:07:30.388	31	19.2754	(-1, -1)	(-1, -1)	0
16:07:30.424	30	19.275	(-1, -1)	(-1, -1)	0
16:07:30.464	34	19.2993	(-1, -1)	(-1, -1)	0
16:07:30.509	28	19.2711	(-1, -1)	(-1, -1)	0
16:07:30.540	28	19.293	(-1, -1)	(-1, -1)	0
16:07:30.576	31	19.26	(-1, -1)	(-1, -1)	0
16:07:30.618	32	19.2759	(-1, -1)	(-1, -1)	0
16:07:30.661	31	19.2803	(-1, -1)	(-1, -1)	0
16:07:30.701	32	19.2698	(-1, -1)	(-1, -1)	0
16:07:30.741	27	19.3698	(-1, -1)	(-1, -1)	0
16:07:30.778	31	19.276	(-1, -1)	(-1, -1)	0
16:07:30.812	31	19.2784	(-1, -1)	(-1, -1)	0
16:07:30.855	30	19.279	(-1, -1)	(-1, -1)	0
16:07:30.897	32	19.288	(-1, -1)	(-1, -1)	0
16:07:30.936	26	19.3815	(-1, -1)	(-1, -1)	0
16:07:30.970	29	19.3379	(-1, -1)	(-1, -1)	0
16:07:31.007	32	19.2732	(-1, -1)	(-1, -1)	0
16:07:31.049	31	19.2721	(-1, -1)	(-1, -1)	0
16:07:31.091	30	19.2892	(-1, -1)	(-1, -1)	0
16:07:31.125	27	19.2727	(-1, -1)	(-1, -1)	0
16:07:31.159	26	19.3861	(-1, -1)	(-1, -1)	0
16:07:31.186	27	19.3674	(-1, -1)	(-1, -1)	0
16:07:31.215	30	19.2788	(-1, -1)	(-1, -1)	0
16:07:31.250	30	19.2781	(-1, -1)	(-1, -1)	0
16:07:31.285	30	19.2756	(-1, -1)	(-1, -1)	0
16:07:31.319	31	19.2874	(-1, -1)	(-1, -1)	0
16:07:31.353	26	19.3753	(-1, -1)	(-1, -1)	0
16:07:31.387	26	19.3898	(-1, -1)	(-1, -1)	0
16:07:31.415	26	19.3779	(-1, -1)	(-1, -1)	0
16:07:31.445	30	19.2665	(-1, -1)	(-1, -1)	0
16:07:31.479	31	19.2729	(-1, -1)	(-1, -1)	0
16:07:31.515	29	19.295	(-1, -1)	(-1, -1)	0
16:07:31.549	29	19.2895	(-1, -1)	(-1, -1)	0
16:07:31.582	27	19.2773	(-1, -1)	(-1, -1)	0
16:07:31.617	28	19.377	(-1, -1)	(-1, -1)	0
16:07:31.653	30	19.273	(-1, -1)	(-1, -1)	0
16:07:31.688	31	19.2761	(-1, -1)	(-1, -1)	0
16:07:31.723	29	19.2861	(-1, -1)	(-1, -1)	0
16:07:31.758	30	19.2865	(-1, -1)	(-1, -1)	0
16:07:31.791	26	19.3836	(-1, -1)	(-1, -1)	0
16:07:31.819	27	19.3705	(-1, -1)	(-1, -1)	0
16:07:31.855	32	19.3052	(-1, -1)	(-1, -1)	0
16:07:31.897	31	19.2773	(-1, -1)	(-1, -1)	0
16:07:31.940	30	19.2839	(-1, -1)	(-1, -1)	0
16:07:31.974	27	19.284	(-1, -1)	(-1, -1)	0
16:07:32.007	25	19.3821	(-1, -1)	(-1, -1)	0
16:07:32.035	27	19.357	(-1, -1)	(-1, -1)	0
16:07:32.071	31	19.2776	(-1, -1)	(-1, -1)	0
16:07:32.106	31	19.2735	(-1, -1)	(-1, -1)	0
16:07:32.147	30	19.2833	(-1, -1)	(-1, -1)	0
16:07:32.181	27	19.292	(-1, -1)	(-1, -1)	0
16:07:32.215	28	19.3801	(-1, -1)	(-1, -1)	0
16:07:32.251	31	19.2791	(-1, -1)	(-1, -1)	0
16:07:32.286	32	19.3028	(-1, -1)	(-1, -1)	0
16:07:32.328	33	19.2953	(-1, -1)	(-1, -1)	0
16:07:32.370	32	19.2567	(-1, -1)	(-1, -1)	0
16:07:32.411	28	19.2806	(-1, -1)	(-1, -1)	0
16:07:32.445	30	19.2981	(-1, -1)	(-1, -1)	0
16:07:32.480	29	19.2751	(-1, -1)	(-1, -1)	0
16:07:32.516	31	19.273	(-1, -1)	(-1, -1)	0
16:07:32.557	32	19.2804	(-1, -1)	(-1, -1)	0
16:07:32.599	32	19.2615	(-1, -1)	(-1, -1)	0
16:07:32.639	27	19.261	(-1, -1)	(-1, -1)	0
16:07:32.673	26	19.3643	(-1, -1)	(-1, -1)	0
16:07:32.702	26	19.3696	(-1, -1)	(-1, -1)	0
16:07:32.741	29	19.3028	(-1, -1)	(-1, -1)	0
16:07:32.780	30	19.2825	(-1, -1)	(-1, -1)	0
16:07:32.813	27	19.2723	(-1, -1)	(-1, -1)	0
16:07:32.848	25	19.3723	(-1, -1)	(-1, -1)	0
16:07:32.875	27	19.3674	(-1, -1)	(-1, -1)	0
16:07:32.911	31	19.2665	(-1, -1)	(-1, -1)	0
16:07:32.947	29	19.2837	(-1, -1)	(-1, -1)	0
16:07:32.981	29	19.2908	(-1, -1)	(-1, -1)	0
16:07:33.015	27	19.2782	(-1, -1)	(-1, -1)	0
16:07:33.049	25	19.3646	(-1, -1)	(-1, -1)	0
16:07:33.078	28	19.2867	(-1, -1)	(-1, -1)	0
16:07:33.114	29	19.2686	(-1, -1)	(-1, -1)	0
16:07:33.148	28	19.2724	(-1, -1)	(-1, -1)	0
16:07:33.182	29	19.2742	(-1, -1)	(-1, -1)	0
16:07:33.216	27	19.3609	(-1, -1)	(-1, -1)	0
16:07:33.245	25	19.3711	(-1, -1)	(-1, -1)	0
16:07:33.272	26	19.3859	(-1, -1)	(-1, -1)	0
16:07:33.301	31	19.2705	(-1, -1)	(-1, -1)	0
16:07:33.336	30	19.2905	(-1, -1)	(-1, -1)	0
16:07:33.370	30	19.2822	(-1, -1)	(-1, -1)	0
16:07:33.407	31	19.2759	(-1, -1)	(-1, -1)	0
16:07:33.446	27	19.2818	(-1, -1)	(-1, -1)	0
16:07:33.480	32	19.2839	(-1, -1)	(-1, -1)	0
16:07:33.516	32	19.2859	(-1, -1)	(-1, -1)	0
16:07:33.558	32	19.2716	(-1, -1)	(-1, -1)	0
16:07:33.600	31	19.2647	(-1, -1)	(-1, -1)	0
16:07:33.634	27	19.2821	(-1, -1)	(-1, -1)	0
16:07:33.668	27	19.3719	(-1, -1)	(-1, -1)	0
16:07:33.704	29	19.2956	(-1, -1)	(-1, -1)	0
16:07:33.738	28	19.2938	(-1, -1)	(-1, -1)	0
16:07:33.773	31	19.2862	(-1, -1)	(-1, -1)	0
16:07:33.808	30	19.265	(-1, -1)	(-1, -1)	0
16:07:33.843	30	19.2899	(-1, -1)	(-1, -1)	0
16:07:33.877	26	19.337	(-1, -1)	(-1, -1)	0
16:07:33.911	28	19.3727	(-1, -1)	(-1, -1)	0
16:07:33.948	30	19.2867	(-1, -1)	(-1, -1)	0
16:07:33.982	32	19.2664	(-1, -1)	(-1, -1)	0
16:07:34.024	32	19.2809	(-1, -1)	(-1, -1)	0
16:07:34.064	27	19.3415	(-1, -1)	(-1, -1)	0
16:07:34.099	25	19.3484	(-1, -1)	(-1, -1)	0
16:07:34.126	27	19.3707	(-1, -1)	(-1, -1)	0
16:07:34.163	31	19.2724	(-1, -1)	(-1, -1)	0
16:07:34.198	31	19.2643	(-1, -1)	(-1, -1)	0
16:07:34.233	30	19.2738	(-1, -1)	(-1, -1)	0
16:07:34.266	26	19.3801	(-1, -1)	(-1, -1)	0
16:07:34.294	25	19.3604	(-1, -1)	(-1, -1)	0
16:07:34.321	26	19.3819	(-1, -1)	(-1, -1)	0
16:07:34.349	25	19.3708	(-1, -1)	(-1, -1)	0
16:07:34.377	29	19.2799	(-1, -1)	(-1, -1)	0
16:07:34.413	30	19.284	(-1, -1)	(-1, -1)	0
16:07:34.449	29	19.2739	(-1, -1)	(-1, -1)	0
16:07:34.482	27	19.271	(-1, -1)	(-1, -1)	0
16:07:34.517	27	19.2809	(-1, -1)	(-1, -1)	0
16:07:34.551	27	19.4062	(-1, -1)	(-1, -1)	0
16:07:34.586	27	19.2861	(-1, -1)	(-1, -1)	0
16:07:34.621	32	19.283	(-1, -1)	(-1, -1)	0
16:07:34.665	30	19.2717	(-1, -1)	(-1, -1)	0
16:07:34.698	27	19.2615	(-1, -1)	(-1, -1)	0
16:07:34.732	27	19.2766	(-1, -1)	(-1, -1)	0
16:07:34.766	29	19.2879	(-1, -1)	(-1, -1)	0
16:07:34.803	32	19.2982	(-1, -1)	(-1, -1)	0
16:07:34.845	31	19.2696	(-1, -1)	(-1, -1)	0
16:07:34.887	29	19.2801	(-1, -1)	(-1, -1)	0
16:07:34.920	29	19.2711	(-1, -1)	(-1, -1)	0
16:07:34.957	30	19.2804	(-1, -1)	(-1, -1)	0
16:07:34.993	31	19.2921	(-1, -1)	(-1, -1)	0
16:07:35.032	32	19.2717	(-1, -1)	(-1, -1)	0
16:07:35.077	36	19.2619	(-1, -1)	(-1, -1)	0
16:07:35.121	26	19.3681	(-1, -1)	(-1, -1)	0
16:07:35.156	28	19.3581	(-1, -1)	(-1, -1)	0
16:07:35.192	32	19.2914	(-1, -1)	(-1, -1)	0
16:07:35.226	33	19.2867	(-1, -1)	(-1, -1)	0
16:07:35.272	32	19.2797	(-1, -1)	(-1, -1)	0
16:07:35.311	27	19.297	(-1, -1)	(-1, -1)	0
16:07:35.344	26	19.3837	(-1, -1)	(-1, -1)	0
16:07:35.379	28	19.2757	(-1, -1)	(-1, -1)	0
16:07:35.413	28	19.2751	(-1, -1)	(-1, -1)	0
16:07:35.448	27	19.2707	(-1, -1)	(-1, -1)	0
16:07:35.483	28	19.2788	(-1, -1)	(-1, -1)	0
16:07:35.518	27	19.2868	(-1, -1)	(-1, -1)	0
16:07:35.552	25	19.3578	(-1, -1)	(-1, -1)	0
16:07:35.579	26	19.368	(-1, -1)	(-1, -1)	0
16:07:35.607	26	19.3942	(-1, -1)	(-1, -1)	0
16:07:35.636	31	19.2916	(-1, -1)	(-1, -1)	0
16:07:35.671	30	19.2721	(-1, -1)	(-1, -1)	0
16:07:35.706	26	19.2963	(-1, -1)	(-1, -1)	0
16:07:35.740	26	19.3785	(-1, -1)	(-1, -1)	0
16:07:35.767	26	19.3764	(-1, -1)	(-1, -1)	0
16:07:35.795	25	19.3453	(-1, -1)	(-1, -1)	0
16:07:35.824	28	19.2736	(-1, -1)	(-1, -1)	0
16:07:35.859	28	19.2773	(-1, -1)	(-1, -1)	0
16:07:35.893	30	19.2647	(-1, -1)	(-1, -1)	0
16:07:35.929	28	19.2806	(-1, -1)	(-1, -1)	0
16:07:35.962	26	19.3656	(-1, -1)	(-1, -1)	0
16:07:35.990	27	19.3456	(-1, -1)	(-1, -1)	0
16:07:36.026	29	19.2729	(-1, -1)	(-1, -1)	0
16:07:36.061	32	19.2723	(-1, -1)	(-1, -1)	0
16:07:36.103	31	19.2701	(-1, -1)	(-1, -1)	0
16:07:36.137	28	19.3028	(-1, -1)	(-1, -1)	0
16:07:36.171	26	19.3684	(-1, -1)	(-1, -1)	0
16:07:36.199	31	19.2711	(-1, -1)	(-1, -1)	0
16:07:36.234	27	19.285	(-1, -1)	(-1, -1)	0
16:07:36.268	31	19.2852	(-1, -1)	(-1, -1)	0
16:07:36.313	30	19.2766	(-1, -1)	(-1, -1)	0
16:07:36.353	28	19.2649	(-1, -1)	(-1, -1)	0
16:07:36.387	27	19.2876	(-1, -1)	(-1, -1)	0
16:07:36.422	29	19.3025	(-1, -1)	(-1, -1)	0
16:07:36.457	29	19.2658	(-1, -1)	(-1, -1)	0
16:07:36.492	32	19.2747	(-1, -1)	(-1, -1)	0
16:07:36.550	27	19.2843	(-1, -1)	(-1, -1)	0
16:07:36.581	26	19.3732	(-1, -1)	(-1, -1)	0
16:07:36.616	26	19.3258	(-1, -1)	(-1, -1)	0
16:07:36.653	27	19.2936	(-1, -1)	(-1, -1)	0
16:07:36.687	26	19.4415	(-1, -1)	(-1, -1)	0
16:07:36.736	26	19.428	(-1, -1)	(-1, -1)	0
16:07:36.770	26	19.3911	(-1, -1)	(-1, -1)	0
16:07:36.818	25	19.4539	(-1, -1)	(-1, -1)	0
16:07:36.852	26	19.3953	(-1, -1)	(-1, -1)	0
16:07:36.880	26	19.3553	(-1, -1)	(-1, -1)	0
16:07:36.915	26	19.3579	(-1, -1)	(-1, -1)	0
16:07:36.950	25	19.3729	(-1, -1)	(-1, -1)	0
16:07:36.977	26	19.3849	(-1, -1)	(-1, -1)	0
16:07:37.006	29	19.2821	(-1, -1)	(-1, -1)	0
16:07:37.041	27	19.2634	(-1, -1)	(-1, -1)	0
16:07:37.075	30	19.2761	(-1, -1)	(-1, -1)	0
16:07:37.116	31	19.2847	(-1, -1)	(-1, -1)	0
