BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.235703, -0.0131471, 0.941774, 0.239427), Translationsvektor: ( 0, 0, 1.25).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:17:51.712	24	4.80637	(318, 226)	(32, 23)	0
16:17:51.740	21	4.82059	(325, 225)	(33, 23)	0
16:17:51.768	21	4.86	(335, 225)	(34, 23)	0
16:17:51.796	21	4.8957	(345, 225)	(35, 23)	0
16:17:51.823	22	4.98059	(357, 225)	(36, 23)	0
16:17:51.852	21	5.15585	(372, 225)	(37, 23)	0
16:17:51.879	22	5.04148	(375, 225)	(38, 23)	0
16:17:51.908	22	5.11378	(385, 225)	(39, 23)	0
16:17:51.935	20	5.21096	(395, 225)	(40, 23)	0
16:17:51.963	19	5.29407	(405, 225)	(41, 23)	0
16:17:51.984	19	5.36133	(415, 225)	(42, 23)	0
16:17:52.005	19	5.42993	(425, 225)	(43, 23)	0
16:17:52.025	20	5.52489	(435, 226)	(44, 23)	0
16:17:52.046	19	5.62044	(445, 226)	(45, 23)	0
16:17:52.067	20	5.68904	(455, 226)	(46, 23)	0
16:17:52.094	20	5.804	(465, 227)	(47, 23)	0
16:17:52.115	21	5.87793	(475, 227)	(48, 23)	0
16:17:52.144	20	5.97111	(485, 228)	(49, 23)	0
16:17:52.171	21	6.04622	(495, 228)	(50, 23)	0
16:17:52.199	20	6.12889	(505, 229)	(51, 23)	0
16:17:52.228	20	6.22044	(515, 229)	(52, 23)	0
16:17:52.255	20	6.29156	(525, 229)	(53, 23)	0
16:17:52.282	20	6.3717	(535, 229)	(54, 23)	0
16:17:52.310	20	6.44296	(545, 229)	(55, 23)	0
16:17:52.340	20	6.48667	(555, 229)	(56, 23)	0
16:17:52.365	21	6.61422	(565, 229)	(57, 23)	0
16:17:52.393	22	6.71096	(575, 229)	(58, 23)	0
16:17:52.421	20	6.82519	(585, 229)	(59, 23)	0
16:17:52.449	22	6.95985	(596, 229)	(60, 23)	0
16:17:52.477	21	7.04237	(605, 230)	(61, 23)	0
16:17:52.506	20	7.12963	(615, 230)	(62, 23)	0
16:17:52.534	21	7.24356	(626, 230)	(63, 23)	0
16:17:52.561	21	7.38044	(635, 230)	(64, 23)	0
16:17:52.589	21	7.49748	(645, 230)	(65, 23)	0
16:17:52.616	22	7.63467	(655, 230)	(66, 23)	0
16:17:52.644	21	7.78163	(665, 230)	(67, 23)	0
16:17:52.672	22	7.95719	(680, 230)	(68, 23)	0
16:17:52.700	22	8.03541	(685, 230)	(69, 23)	0
16:17:52.728	22	8.20548	(695, 230)	(70, 23)	0
16:17:52.756	22	8.37096	(705, 230)	(71, 23)	0
16:17:52.785	22	8.54341	(715, 230)	(72, 23)	0
16:17:52.811	23	8.73141	(725, 230)	(73, 23)	0
16:17:52.838	23	8.82489	(735, 230)	(74, 23)	0
16:17:52.866	23	9.07467	(749, 230)	(75, 23)	0
16:17:52.895	23	9.1723	(756, 230)	(76, 23)	0
16:17:52.923	23	9.30326	(766, 230)	(77, 23)	0
16:17:52.950	23	9.43496	(775, 230)	(78, 23)	0
16:17:52.978	23	9.57319	(785, 230)	(79, 23)	0
16:17:53.006	24	9.69304	(796, 229)	(80, 23)	0
16:17:53.034	23	9.78593	(805, 229)	(81, 23)	0
16:17:53.062	24	9.91644	(815, 229)	(82, 23)	0
