BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.235703, -0.0131471, 0.941774, 0.239427), Translationsvektor: ( 0, 0, 1.25).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:18:26.656	29	15.5145	(318, 226)	(32, 23)	0
16:18:26.695	27	15.5495	(325, 225)	(33, 23)	0
16:18:26.729	26	15.5561	(335, 225)	(34, 23)	0
16:18:26.756	27	15.5988	(345, 225)	(35, 23)	0
16:18:26.791	26	15.607	(357, 225)	(36, 23)	0
16:18:26.818	26	15.5834	(372, 225)	(37, 23)	0
16:18:26.846	27	15.5606	(375, 225)	(38, 23)	0
16:18:26.881	26	15.631	(385, 225)	(39, 23)	0
16:18:26.909	26	15.6196	(395, 225)	(40, 23)	0
16:18:26.936	26	15.6313	(405, 225)	(41, 23)	0
16:18:26.964	29	15.5615	(415, 225)	(42, 23)	0
16:18:27.000	32	15.5799	(425, 225)	(43, 23)	0
16:18:27.035	30	15.6258	(435, 226)	(44, 23)	0
16:18:27.069	26	15.644	(445, 226)	(45, 23)	0
16:18:27.096	26	15.6372	(455, 226)	(46, 23)	0
16:18:27.124	25	15.6658	(465, 227)	(47, 23)	0
16:18:27.152	26	15.6212	(475, 227)	(48, 23)	0
16:18:27.180	28	15.6846	(485, 228)	(49, 23)	0
16:18:27.216	27	15.6239	(495, 228)	(50, 23)	0
16:18:27.250	32	15.6553	(505, 229)	(51, 23)	0
16:18:27.286	32	15.5483	(515, 229)	(52, 23)	0
16:18:27.327	29	15.6655	(525, 229)	(53, 23)	0
16:18:27.363	30	15.6105	(535, 229)	(54, 23)	0
16:18:27.397	28	15.6793	(545, 229)	(55, 23)	0
16:18:27.431	30	15.7139	(555, 229)	(56, 23)	0
16:18:27.466	30	15.7227	(565, 229)	(57, 23)	0
16:18:27.501	31	15.7351	(575, 229)	(58, 23)	0
16:18:27.535	30	15.872	(585, 229)	(59, 23)	0
16:18:27.570	30	15.9161	(596, 229)	(60, 23)	0
16:18:27.605	29	15.9468	(605, 230)	(61, 23)	0
16:18:27.639	31	16.0154	(615, 230)	(62, 23)	0
16:18:27.674	31	16.0815	(626, 230)	(63, 23)	0
16:18:27.710	29	16.1259	(635, 230)	(64, 23)	0
16:18:27.743	27	16.1639	(645, 230)	(65, 23)	0
16:18:27.778	33	16.213	(655, 230)	(66, 23)	0
16:18:27.821	33	16.2683	(665, 230)	(67, 23)	0
16:18:27.864	34	16.1978	(680, 230)	(68, 23)	0
16:18:27.905	34	16.2234	(685, 230)	(69, 23)	0
16:18:27.947	31	16.3564	(695, 230)	(70, 23)	0
16:18:27.980	28	16.3575	(705, 230)	(71, 23)	0
16:18:28.015	30	16.4095	(715, 230)	(72, 23)	0
16:18:28.051	29	16.4625	(725, 230)	(73, 23)	0
16:18:28.085	30	16.4209	(735, 230)	(74, 23)	0
16:18:28.120	29	16.4557	(749, 230)	(75, 23)	0
16:18:28.154	30	16.4987	(756, 230)	(76, 23)	0
16:18:28.188	31	16.5268	(766, 230)	(77, 23)	0
16:18:28.224	31	16.5613	(775, 230)	(78, 23)	0
16:18:28.258	30	16.7169	(785, 230)	(79, 23)	0
16:18:28.293	31	16.7667	(796, 229)	(80, 23)	0
16:18:28.330	28	16.783	(805, 229)	(81, 23)	0
16:18:28.363	26	16.7643	(815, 229)	(82, 23)	0
16:18:28.397	26	16.8351	(825, 228)	(83, 23)	0
16:18:28.425	26	16.9043	(835, 228)	(84, 23)	0
16:18:28.460	29	16.9376	(845, 228)	(85, 23)	0
16:18:28.496	31	17.0084	(855, 228)	(86, 23)	0
16:18:28.537	31	17.0917	(865, 228)	(87, 23)	0
16:18:28.571	30	17.0584	(875, 228)	(88, 23)	0
16:18:28.605	28	17.0807	(885, 228)	(89, 23)	0
16:18:28.640	32	17.0446	(895, 228)	(90, 23)	0
16:18:28.676	31	17.1729	(905, 228)	(91, 23)	0
16:18:28.710	31	17.315	(915, 228)	(92, 23)	0
16:18:28.745	28	17.2604	(925, 228)	(93, 23)	0
16:18:28.779	30	17.2901	(935, 228)	(94, 23)	0
16:18:28.814	34	17.4067	(945, 227)	(95, 23)	0
16:18:28.857	39	17.3559	(957, 227)	(96, 23)	0
16:18:28.905	38	17.4108	(966, 227)	(97, 23)	0
16:18:28.950	33	17.4526	(975, 227)	(98, 23)	0
16:18:28.988	31	17.6228	(985, 227)	(99, 23)	0
16:18:29.023	32	17.6519	(995, 227)	(100, 23)	0
16:18:29.058	30	17.7043	(1005, 227)	(101, 23)	0
16:18:29.092	33	17.6342	(1015, 226)	(102, 23)	0
16:18:29.128	32	17.7721	(1025, 226)	(103, 23)	0
16:18:29.169	31	17.7853	(1035, 226)	(104, 23)	0
16:18:29.203	32	17.8385	(1045, 225)	(105, 23)	0
16:18:29.246	37	17.7953	(1055, 225)	(106, 23)	0
16:18:29.288	35	17.8981	(1065, 225)	(107, 23)	0
16:18:29.330	36	17.8831	(1071, 224)	(107, 22)	0
16:18:29.371	29	17.9268	(1075, 224)	(108, 22)	0
16:18:29.405	32	17.9367	(1085, 224)	(109, 22)	0
16:18:29.442	30	17.9745	(1095, 224)	(110, 22)	0
16:18:29.475	32	18.0324	(1105, 224)	(111, 22)	0
16:18:29.510	29	18.0351	(1115, 224)	(112, 22)	0
16:18:29.544	31	18.0194	(1125, 224)	(113, 22)	0
