BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.235703, -0.0131471, 0.941774, 0.239427), Translationsvektor: ( 0, 0, 1.25).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:16:58.016	56	47.0782	(-1, -1)	(-1, -1)	0
16:16:58.084	59	47.0822	(-1, -1)	(-1, -1)	0
16:16:58.151	58	47.0516	(-1, -1)	(-1, -1)	0
16:16:58.212	58	47.0431	(-1, -1)	(-1, -1)	0
16:16:58.276	60	47.0471	(-1, -1)	(-1, -1)	0
16:16:58.346	59	47.0658	(-1, -1)	(-1, -1)	0
16:16:58.416	60	47.0721	(-1, -1)	(-1, -1)	0
16:16:58.483	55	47.1764	(-1, -1)	(-1, -1)	0
16:16:58.547	58	47.0927	(-1, -1)	(-1, -1)	0
16:16:58.609	58	47.0839	(-1, -1)	(-1, -1)	0
16:16:58.670	54	47.1641	(-1, -1)	(-1, -1)	0
16:16:58.733	57	47.0932	(-1, -1)	(-1, -1)	0
16:16:58.797	59	47.0625	(-1, -1)	(-1, -1)	0
16:16:58.866	55	47.0699	(-1, -1)	(-1, -1)	0
16:16:58.929	59	47.1267	(-1, -1)	(-1, -1)	0
16:16:58.999	58	47.117	(-1, -1)	(-1, -1)	0
16:16:59.068	57	47.0496	(-1, -1)	(-1, -1)	0
16:16:59.130	58	47.0742	(-1, -1)	(-1, -1)	0
16:16:59.193	60	47.0649	(-1, -1)	(-1, -1)	0
16:16:59.263	59	47.0953	(-1, -1)	(-1, -1)	0
16:16:59.324	56	47.0764	(-1, -1)	(-1, -1)	0
16:16:59.388	59	47.1203	(-1, -1)	(-1, -1)	0
16:16:59.467	57	47.0904	(-1, -1)	(-1, -1)	0
16:16:59.532	57	47.0443	(-1, -1)	(-1, -1)	0
16:16:59.600	59	47.0594	(-1, -1)	(-1, -1)	0
