BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.128692, 0.174975, 0.834231, -0.506828), Translationsvektor: ( 0.00265135, 0.0781012, 0.575).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:22:53.181	25	8.97437	(318, 226)	(32, 23)	0
16:22:53.209	23	8.90622	(325, 225)	(33, 23)	0
16:22:53.237	23	8.87748	(335, 225)	(34, 23)	0
16:22:53.264	25	8.83081	(345, 225)	(35, 23)	0
16:22:53.293	23	8.77615	(357, 225)	(36, 23)	0
16:22:53.320	24	8.7077	(372, 225)	(37, 23)	0
16:22:53.348	24	8.71318	(375, 225)	(38, 23)	0
16:22:53.376	24	8.67245	(385, 225)	(39, 23)	0
16:22:53.404	23	8.67156	(395, 225)	(40, 23)	0
16:22:53.432	22	8.65348	(405, 225)	(41, 23)	0
16:22:53.459	27	8.60711	(415, 225)	(42, 23)	0
16:22:53.495	31	8.53215	(425, 225)	(43, 23)	0
16:22:53.529	28	8.49585	(435, 226)	(44, 23)	0
16:22:53.564	28	8.48193	(445, 226)	(45, 23)	0
16:22:53.599	25	8.44874	(455, 226)	(46, 23)	0
16:22:53.626	23	8.42933	(465, 227)	(47, 23)	0
16:22:53.654	22	8.36963	(475, 227)	(48, 23)	0
16:22:53.682	23	8.33037	(485, 228)	(49, 23)	0
16:22:53.709	25	8.26089	(495, 228)	(50, 23)	0
16:22:53.739	31	8.15555	(505, 229)	(51, 23)	0
16:22:53.773	29	8.10148	(515, 229)	(52, 23)	0
16:22:53.808	26	8.04859	(525, 229)	(53, 23)	0
16:22:53.843	26	8.04237	(535, 229)	(54, 23)	0
16:22:53.877	27	7.95881	(545, 229)	(55, 23)	0
16:22:53.912	26	7.93407	(555, 229)	(56, 23)	0
16:22:53.940	26	7.83852	(565, 229)	(57, 23)	0
16:22:53.974	26	7.85763	(575, 229)	(58, 23)	0
16:22:54.002	34	7.78519	(585, 229)	(59, 23)	0
16:22:54.043	25	7.80607	(596, 229)	(60, 23)	0
16:22:54.072	29	7.75052	(605, 230)	(61, 23)	0
16:22:54.107	29	7.7437	(615, 230)	(62, 23)	0
16:22:54.142	28	7.74993	(626, 230)	(63, 23)	0
16:22:54.176	30	7.74489	(635, 230)	(64, 23)	0
16:22:54.212	25	7.74326	(645, 230)	(65, 23)	0
16:22:54.245	22	7.76696	(655, 230)	(66, 23)	0
16:22:54.273	22	7.76222	(665, 230)	(67, 23)	0
16:22:54.300	23	7.74844	(680, 230)	(68, 23)	0
16:22:54.328	23	7.74904	(685, 230)	(69, 23)	0
16:22:54.356	27	7.74533	(695, 230)	(70, 23)	0
16:22:54.392	28	7.72252	(705, 230)	(71, 23)	0
16:22:54.427	23	7.77956	(715, 230)	(72, 23)	0
16:22:54.454	22	7.78919	(725, 230)	(73, 23)	0
16:22:54.481	24	7.83467	(735, 230)	(74, 23)	0
16:22:54.509	24	7.86237	(749, 230)	(75, 23)	0
16:22:54.537	24	7.91378	(756, 230)	(76, 23)	0
16:22:54.566	23	7.93348	(766, 230)	(77, 23)	0
16:22:54.592	24	7.98593	(775, 230)	(78, 23)	0
16:22:54.621	23	8.03452	(785, 230)	(79, 23)	0
16:22:54.648	22	8.09052	(796, 229)	(80, 23)	0
16:22:54.675	24	8.132	(805, 229)	(81, 23)	0
16:22:54.705	23	8.18593	(815, 229)	(82, 23)	0
16:22:54.732	24	8.22607	(825, 228)	(83, 23)	0
16:22:54.759	25	8.29541	(835, 228)	(84, 23)	0
16:22:54.788	23	8.31037	(845, 228)	(85, 23)	0
16:22:54.817	23	8.32341	(855, 228)	(86, 23)	0
16:22:54.842	24	8.42045	(865, 228)	(87, 23)	0
16:22:54.870	24	8.4757	(875, 228)	(88, 23)	0
16:22:54.898	22	8.50874	(885, 228)	(89, 23)	0
16:22:54.926	23	8.55378	(895, 228)	(90, 23)	0
16:22:54.954	24	8.58326	(905, 228)	(91, 23)	0
16:22:54.982	24	8.62415	(915, 228)	(92, 23)	0
16:22:55.010	24	8.69037	(925, 228)	(93, 23)	0
16:22:55.037	25	8.73882	(935, 228)	(94, 23)	0
16:22:55.065	26	8.81422	(945, 227)	(95, 23)	0
16:22:55.094	24	8.87867	(957, 227)	(96, 23)	0
16:22:55.121	26	8.96593	(966, 227)	(97, 23)	0
16:22:55.148	25	9.04015	(975, 227)	(98, 23)	0
16:22:55.177	24	9.11615	(985, 227)	(99, 23)	0
16:22:55.204	25	9.24044	(995, 227)	(100, 23)	0
16:22:55.232	26	9.28667	(1005, 227)	(101, 23)	0
16:22:55.260	24	9.38459	(1015, 226)	(102, 23)	0
16:22:55.288	25	9.46356	(1025, 226)	(103, 23)	0
16:22:55.316	24	9.52237	(1035, 226)	(104, 23)	0
16:22:55.344	24	9.61585	(1045, 225)	(105, 23)	0
16:22:55.371	26	9.70415	(1055, 225)	(106, 23)	0
16:22:55.399	25	9.76459	(1065, 225)	(107, 23)	0
16:22:55.428	26	9.77393	(1071, 224)	(107, 22)	0
16:22:55.462	25	9.81689	(1075, 224)	(108, 22)	0
16:22:55.490	25	9.90222	(1085, 224)	(109, 22)	0
16:22:55.517	25	10.0305	(1095, 224)	(110, 22)	0
16:22:55.545	26	10.075	(1105, 224)	(111, 22)	0
16:22:55.573	26	10.1321	(1115, 224)	(112, 22)	0
16:22:55.601	26	10.2169	(1125, 224)	(113, 22)	0
16:22:55.636	25	10.2593	(1135, 224)	(114, 22)	0
16:22:55.663	26	10.3164	(1146, 223)	(115, 22)	0
16:22:55.692	26	10.316	(1155, 223)	(116, 22)	0
16:22:55.726	32	10.4224	(1165, 223)	(117, 22)	0
16:22:55.762	34	10.4259	(1175, 223)	(118, 22)	0
16:22:55.804	33	10.4627	(1185, 223)	(119, 22)	0
16:22:55.845	36	10.5302	(1195, 223)	(120, 22)	0
16:22:55.887	28	10.5372	(1205, 223)	(121, 22)	0
16:22:55.921	26	10.5656	(1215, 223)	(122, 22)	0
16:22:55.957	27	10.5797	(1225, 223)	(123, 22)	0
16:22:55.991	27	10.6062	(1235, 223)	(124, 22)	0
16:22:56.025	27	10.6643	(1245, 223)	(125, 22)	0
16:22:56.060	28	10.6296	(1255, 223)	(126, 22)	0
16:22:56.095	28	11.0191	(1265, 224)	(127, 22)	0
16:22:56.130	28	10.6421	(1275, 224)	(128, 22)	0
16:22:56.164	29	10.9679	(1282, 225)	(128, 23)	0
16:22:56.198	29	10.6133	(1285, 225)	(129, 23)	0
16:22:56.234	34	10.663	(1295, 226)	(130, 23)	0
16:22:56.277	31	10.625	(1305, 226)	(131, 23)	0
16:22:56.310	25	10.6757	(1316, 228)	(132, 23)	0
16:22:56.337	25	10.6938	(1326, 228)	(133, 23)	0
16:22:56.365	28	10.6723	(1335, 228)	(134, 23)	0
16:22:56.401	30	10.9607	(1345, 229)	(135, 23)	0
16:22:56.436	30	10.6327	(1355, 230)	(136, 23)	0
16:22:56.470	29	10.6071	(1366, 230)	(137, 23)	0
16:22:56.504	26	10.6652	(1375, 230)	(138, 23)	0
16:22:56.532	25	10.6745	(1386, 231)	(139, 23)	0
16:22:56.560	25	10.685	(1395, 231)	(140, 23)	0
16:22:56.589	30	10.6726	(1405, 232)	(141, 23)	0
16:22:56.623	30	10.9813	(1415, 232)	(142, 23)	0
16:22:56.660	26	10.64	(1425, 232)	(143, 23)	0
16:22:56.693	24	10.6556	(1435, 233)	(144, 23)	0
16:22:56.720	27	10.7018	(1445, 234)	(145, 23)	0
16:22:56.756	26	10.6526	(1455, 234)	(146, 23)	0
16:22:56.790	26	10.704	(1465, 234)	(147, 23)	0
16:22:56.824	26	10.7542	(1478, 234)	(148, 23)	0
16:22:56.852	25	10.7425	(1485, 234)	(149, 23)	0
16:22:56.880	26	10.7403	(1488, 235)	(149, 24)	0
16:22:56.915	26	10.7834	(1495, 235)	(150, 24)	0
16:22:56.949	29	10.8039	(1506, 235)	(151, 24)	0
16:22:56.986	35	10.7741	(1516, 235)	(152, 24)	0
16:22:57.027	35	10.772	(1526, 236)	(153, 24)	0
16:22:57.069	35	10.7721	(1535, 236)	(154, 24)	0
16:22:57.111	29	10.7714	(1546, 236)	(155, 24)	0
16:22:57.144	27	10.8157	(1556, 237)	(156, 24)	0
16:22:57.179	27	10.8317	(1565, 237)	(157, 24)	0
16:22:57.214	27	10.8403	(1575, 238)	(158, 24)	0
16:22:57.248	27	10.8972	(1585, 238)	(159, 24)	0
16:22:57.284	26	10.8422	(1595, 239)	(160, 24)	0
16:22:57.319	27	11.1456	(1605, 239)	(161, 24)	0
16:22:57.352	28	10.8844	(1615, 240)	(162, 24)	0
16:22:57.388	27	10.8055	(1625, 240)	(163, 24)	0
16:22:57.422	27	10.791	(1636, 241)	(164, 24)	0
16:22:57.457	29	10.7796	(1645, 242)	(165, 24)	0
16:22:57.493	35	10.6978	(1655, 242)	(166, 24)	0
16:22:57.535	29	10.6676	(1666, 243)	(167, 24)	0
16:22:57.568	27	10.6905	(1676, 244)	(168, 24)	0
16:22:57.603	35	10.6458	(1677, 245)	(168, 25)	0
16:22:57.646	34	10.6074	(1686, 245)	(169, 25)	0
16:22:57.688	34	10.5881	(1696, 246)	(170, 25)	0
16:22:57.728	26	10.6016	(1705, 246)	(171, 25)	0
16:22:57.756	26	10.5277	(1715, 248)	(172, 25)	0
16:22:57.783	25	10.4521	(1726, 249)	(173, 25)	0
16:22:57.811	24	10.428	(1735, 250)	(174, 25)	0
16:22:57.839	28	10.3799	(1745, 251)	(175, 25)	0
