BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.128692, 0.174975, 0.834231, -0.506828), Translationsvektor: ( 0.00265135, 0.0781012, 0.575).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:23:28.250	23	13.2424	(318, 226)	(32, 23)	0
16:23:28.280	22	13.24	(325, 225)	(33, 23)	0
16:23:28.308	23	13.2058	(335, 225)	(34, 23)	0
16:23:28.336	23	13.208	(345, 225)	(35, 23)	0
16:23:28.364	24	13.1896	(357, 225)	(36, 23)	0
16:23:28.393	25	13.1954	(372, 225)	(37, 23)	0
16:23:28.420	24	13.1676	(375, 225)	(38, 23)	0
16:23:28.448	24	13.1936	(385, 225)	(39, 23)	0
16:23:28.475	24	13.18	(395, 225)	(40, 23)	0
16:23:28.504	25	13.1581	(405, 225)	(41, 23)	0
16:23:28.532	25	13.1108	(415, 225)	(42, 23)	0
16:23:28.560	27	13.1455	(425, 225)	(43, 23)	0
16:23:28.595	25	13.1284	(435, 226)	(44, 23)	0
16:23:28.623	25	13.0951	(445, 226)	(45, 23)	0
16:23:28.651	24	13.0729	(455, 226)	(46, 23)	0
16:23:28.684	23	13.0847	(465, 227)	(47, 23)	0
16:23:28.712	23	13.0859	(475, 227)	(48, 23)	0
16:23:28.740	26	13.0596	(485, 228)	(49, 23)	0
16:23:28.775	26	13.039	(495, 228)	(50, 23)	0
16:23:28.810	28	13.048	(505, 229)	(51, 23)	0
16:23:28.845	27	13.004	(515, 229)	(52, 23)	0
16:23:28.880	24	13.0317	(525, 229)	(53, 23)	0
16:23:28.906	26	12.9668	(535, 229)	(54, 23)	0
16:23:28.935	25	12.9996	(545, 229)	(55, 23)	0
16:23:28.969	29	13.0018	(555, 229)	(56, 23)	0
16:23:29.005	27	12.9924	(565, 229)	(57, 23)	0
16:23:29.039	27	12.9719	(575, 229)	(58, 23)	0
16:23:29.074	23	12.9908	(585, 229)	(59, 23)	0
16:23:29.101	23	12.985	(596, 229)	(60, 23)	0
16:23:29.129	24	12.9674	(605, 230)	(61, 23)	0
16:23:29.157	23	12.9348	(615, 230)	(62, 23)	0
16:23:29.184	24	12.9886	(626, 230)	(63, 23)	0
16:23:29.212	24	12.953	(635, 230)	(64, 23)	0
16:23:29.241	24	12.9849	(645, 230)	(65, 23)	0
16:23:29.268	24	12.9455	(655, 230)	(66, 23)	0
16:23:29.296	24	12.984	(665, 230)	(67, 23)	0
16:23:29.324	23	13.0086	(680, 230)	(68, 23)	0
16:23:29.351	24	13.0281	(685, 230)	(69, 23)	0
16:23:29.379	25	12.9945	(695, 230)	(70, 23)	0
16:23:29.407	24	13.0434	(705, 230)	(71, 23)	0
16:23:29.435	23	13.0379	(715, 230)	(72, 23)	0
16:23:29.463	21	13.0335	(725, 230)	(73, 23)	0
16:23:29.490	23	13.0409	(735, 230)	(74, 23)	0
16:23:29.518	22	13.0519	(749, 230)	(75, 23)	0
16:23:29.546	24	13.0551	(756, 230)	(76, 23)	0
16:23:29.574	25	13.0508	(766, 230)	(77, 23)	0
16:23:29.602	26	13.0428	(775, 230)	(78, 23)	0
16:23:29.637	25	13.1084	(785, 230)	(79, 23)	0
16:23:29.664	27	13.1396	(796, 229)	(80, 23)	0
16:23:29.699	24	13.1433	(805, 229)	(81, 23)	0
16:23:29.726	22	13.105	(815, 229)	(82, 23)	0
16:23:29.754	25	13.1479	(825, 228)	(83, 23)	0
16:23:29.785	28	13.103	(835, 228)	(84, 23)	0
16:23:29.818	27	13.1893	(845, 228)	(85, 23)	0
16:23:29.853	27	13.1784	(855, 228)	(86, 23)	0
16:23:29.888	27	13.2047	(865, 228)	(87, 23)	0
16:23:29.922	27	13.2194	(875, 228)	(88, 23)	0
16:23:29.957	23	13.2268	(885, 228)	(89, 23)	0
16:23:29.984	21	13.1873	(895, 228)	(90, 23)	0
16:23:30.012	24	13.237	(905, 228)	(91, 23)	0
16:23:30.040	28	13.2561	(915, 228)	(92, 23)	0
16:23:30.075	29	13.2941	(925, 228)	(93, 23)	0
16:23:30.110	28	13.212	(935, 228)	(94, 23)	0
16:23:30.144	24	13.2964	(945, 227)	(95, 23)	0
16:23:30.172	24	13.2957	(957, 227)	(96, 23)	0
16:23:30.199	24	13.2926	(966, 227)	(97, 23)	0
16:23:30.227	25	13.2828	(975, 227)	(98, 23)	0
16:23:30.256	23	13.3335	(985, 227)	(99, 23)	0
16:23:30.284	24	13.3493	(995, 227)	(100, 23)	0
16:23:30.311	25	13.349	(1005, 227)	(101, 23)	0
16:23:30.339	24	13.3701	(1015, 226)	(102, 23)	0
16:23:30.366	24	13.4003	(1025, 226)	(103, 23)	0
16:23:30.395	24	13.4046	(1035, 226)	(104, 23)	0
16:23:30.423	24	13.409	(1045, 225)	(105, 23)	0
16:23:30.450	24	13.4021	(1055, 225)	(106, 23)	0
16:23:30.478	25	13.5246	(1065, 225)	(107, 23)	0
16:23:30.506	24	13.4296	(1071, 224)	(107, 22)	0
16:23:30.534	23	13.4926	(1075, 224)	(108, 22)	0
16:23:30.561	25	13.4979	(1085, 224)	(109, 22)	0
16:23:30.590	24	13.4551	(1095, 224)	(110, 22)	0
16:23:30.617	24	13.4939	(1105, 224)	(111, 22)	0
16:23:30.645	24	13.541	(1115, 224)	(112, 22)	0
16:23:30.673	24	13.5239	(1125, 224)	(113, 22)	0
16:23:30.701	25	13.5378	(1135, 224)	(114, 22)	0
16:23:30.728	23	13.5681	(1146, 223)	(115, 22)	0
16:23:30.756	24	13.6084	(1155, 223)	(116, 22)	0
16:23:30.784	22	13.5867	(1165, 223)	(117, 22)	0
16:23:30.812	28	13.568	(1175, 223)	(118, 22)	0
16:23:30.846	29	13.559	(1185, 223)	(119, 22)	0
16:23:30.883	28	13.553	(1195, 223)	(120, 22)	0
16:23:30.916	25	13.5961	(1205, 223)	(121, 22)	0
16:23:30.943	24	13.5819	(1215, 223)	(122, 22)	0
16:23:30.971	24	13.6055	(1225, 223)	(123, 22)	0
16:23:30.999	24	13.6132	(1235, 223)	(124, 22)	0
