BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.128692, 0.174975, 0.834231, -0.506828), Translationsvektor: ( 0.00265135, 0.0781012, 0.575).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:22:05.707	44	38.0788	(-1, -1)	(-1, -1)	0
16:22:05.756	46	38.071	(-1, -1)	(-1, -1)	0
16:22:05.814	49	38.0207	(-1, -1)	(-1, -1)	0
16:22:05.868	47	38.0545	(-1, -1)	(-1, -1)	0
16:22:05.925	51	38.0074	(-1, -1)	(-1, -1)	0
16:22:05.981	50	38.0286	(-1, -1)	(-1, -1)	0
16:22:06.035	45	38.0816	(-1, -1)	(-1, -1)	0
16:22:06.084	46	38.064	(-1, -1)	(-1, -1)	0
16:22:06.134	52	38.0296	(-1, -1)	(-1, -1)	0
16:22:06.190	50	38.0319	(-1, -1)	(-1, -1)	0
16:22:06.246	51	38.0341	(-1, -1)	(-1, -1)	0
16:22:06.299	48	38.0305	(-1, -1)	(-1, -1)	0
16:22:06.357	50	38.0321	(-1, -1)	(-1, -1)	0
16:22:06.412	50	38.0299	(-1, -1)	(-1, -1)	0
16:22:06.467	53	38.0203	(-1, -1)	(-1, -1)	0
16:22:06.523	46	38.0215	(-1, -1)	(-1, -1)	0
16:22:06.578	52	38.017	(-1, -1)	(-1, -1)	0
16:22:06.634	50	38.0215	(-1, -1)	(-1, -1)	0
16:22:06.689	47	38.0258	(-1, -1)	(-1, -1)	0
16:22:06.744	45	38.0813	(-1, -1)	(-1, -1)	0
16:22:06.794	52	38.048	(-1, -1)	(-1, -1)	0
16:22:06.850	51	38.037	(-1, -1)	(-1, -1)	0
16:22:06.904	49	38.0262	(-1, -1)	(-1, -1)	0
16:22:06.960	51	38.0185	(-1, -1)	(-1, -1)	0
16:22:07.017	51	38.0256	(-1, -1)	(-1, -1)	0
16:22:07.071	47	38.0422	(-1, -1)	(-1, -1)	0
16:22:07.126	45	38.0969	(-1, -1)	(-1, -1)	0
16:22:07.178	47	38.0396	(-1, -1)	(-1, -1)	0
16:22:07.230	47	38.0396	(-1, -1)	(-1, -1)	0
16:22:07.289	49	38.028	(-1, -1)	(-1, -1)	0
16:22:07.343	47	38.0204	(-1, -1)	(-1, -1)	0
16:22:07.401	52	38.0172	(-1, -1)	(-1, -1)	0
16:22:07.464	52	38.0231	(-1, -1)	(-1, -1)	0
16:22:07.525	50	38.0178	(-1, -1)	(-1, -1)	0
16:22:07.579	47	38.0456	(-1, -1)	(-1, -1)	0
16:22:07.635	52	38.0221	(-1, -1)	(-1, -1)	0
16:22:07.699	51	38.0397	(-1, -1)	(-1, -1)	0
16:22:07.761	50	38.0375	(-1, -1)	(-1, -1)	0
16:22:07.816	52	38.0287	(-1, -1)	(-1, -1)	0
16:22:07.872	49	38.0369	(-1, -1)	(-1, -1)	0
16:22:07.928	51	38.0406	(-1, -1)	(-1, -1)	0
16:22:07.982	46	38.0231	(-1, -1)	(-1, -1)	0
16:22:08.038	47	38.0284	(-1, -1)	(-1, -1)	0
16:22:08.094	50	38.0244	(-1, -1)	(-1, -1)	0
16:22:08.150	46	38.0327	(-1, -1)	(-1, -1)	0
16:22:08.204	48	38.0203	(-1, -1)	(-1, -1)	0
16:22:08.261	52	38.0284	(-1, -1)	(-1, -1)	0
16:22:08.325	50	38.0119	(-1, -1)	(-1, -1)	0
16:22:08.381	47	38.0319	(-1, -1)	(-1, -1)	0
16:22:08.435	51	38.0339	(-1, -1)	(-1, -1)	0
16:22:08.497	52	38.0471	(-1, -1)	(-1, -1)	0
16:22:08.560	50	38.02	(-1, -1)	(-1, -1)	0
16:22:08.614	44	38.0742	(-1, -1)	(-1, -1)	0
16:22:08.662	46	38.0747	(-1, -1)	(-1, -1)	0
16:22:08.713	52	38.0256	(-1, -1)	(-1, -1)	0
16:22:08.770	50	38.0261	(-1, -1)	(-1, -1)	0
16:22:08.823	45	38.0776	(-1, -1)	(-1, -1)	0
16:22:08.871	45	38.1044	(-1, -1)	(-1, -1)	0
16:22:08.922	51	38.0319	(-1, -1)	(-1, -1)	0
16:22:08.985	49	38.0025	(-1, -1)	(-1, -1)	0
16:22:09.039	47	38.0227	(-1, -1)	(-1, -1)	0
16:22:09.095	51	38.0324	(-1, -1)	(-1, -1)	0
16:22:09.151	46	38.0523	(-1, -1)	(-1, -1)	0
16:22:09.208	50	38.0394	(-1, -1)	(-1, -1)	0
16:22:09.261	47	38.0104	(-1, -1)	(-1, -1)	0
16:22:09.319	50	38.0121	(-1, -1)	(-1, -1)	0
16:22:09.373	50	38.0191	(-1, -1)	(-1, -1)	0
16:22:09.430	47	38.0222	(-1, -1)	(-1, -1)	0
