BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.78287, -0.0775602, 0.576814, 0.219924), Translationsvektor: ( -0.0821918, 0.0689128, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:49:54.532	18	3.66637	(318, 226)	(32, 23)	49
17:49:54.558	19	3.76652	(325, 225)	(33, 23)	49
17:49:54.579	19	3.86311	(335, 225)	(34, 23)	49
17:49:54.600	19	3.91807	(345, 225)	(35, 23)	49
17:49:54.621	19	4.07363	(357, 225)	(36, 23)	49
17:49:54.642	19	4.13393	(372, 225)	(37, 23)	49
17:49:54.663	19	4.18785	(375, 225)	(38, 23)	49
17:49:54.691	18	4.26474	(385, 225)	(39, 23)	49
17:49:54.711	18	4.41407	(395, 225)	(40, 23)	49
17:49:54.732	18	4.45037	(405, 225)	(41, 23)	49
17:49:54.753	18	4.54726	(415, 225)	(42, 23)	49
17:49:54.774	18	4.57541	(425, 225)	(43, 23)	49
17:49:54.795	19	4.67911	(435, 226)	(44, 23)	49
17:49:54.816	19	4.75304	(445, 226)	(45, 23)	49
17:49:54.836	20	4.88459	(455, 226)	(46, 23)	49
17:49:54.857	19	5.04904	(465, 227)	(47, 23)	49
17:49:54.878	19	5.14341	(475, 227)	(48, 23)	49
17:49:54.899	19	5.26193	(485, 228)	(49, 23)	49
17:49:54.919	20	5.28059	(495, 228)	(50, 23)	49
17:49:54.940	20	5.36252	(505, 229)	(51, 23)	49
17:49:54.969	19	5.61259	(515, 229)	(52, 23)	49
17:49:54.996	20	5.85882	(525, 229)	(53, 23)	49
17:49:55.025	26	6.13378	(535, 229)	(54, 23)	49
17:49:55.060	27	6.29881	(545, 229)	(55, 23)	49
17:49:55.094	24	6.43482	(555, 229)	(56, 23)	49
17:49:55.121	23	6.70356	(565, 229)	(57, 23)	49
17:49:55.150	22	6.99526	(575, 229)	(58, 23)	49
17:49:55.177	23	7.17378	(585, 229)	(59, 23)	49
17:49:55.205	22	7.40207	(596, 229)	(60, 23)	49
17:49:55.232	23	7.51096	(605, 230)	(61, 23)	49
17:49:55.260	24	7.67719	(615, 230)	(62, 23)	49
17:49:55.289	24	7.89067	(626, 230)	(63, 23)	49
17:49:55.316	24	8.06859	(635, 230)	(64, 23)	49
17:49:55.344	30	8.22785	(645, 230)	(65, 23)	49
17:49:55.380	31	8.39378	(655, 230)	(66, 23)	49
17:49:55.414	34	8.51956	(665, 230)	(67, 23)	49
17:49:55.457	33	8.76978	(680, 230)	(68, 23)	49
17:49:55.499	27	8.82652	(685, 230)	(69, 23)	49
17:49:55.532	23	9.10148	(695, 230)	(70, 23)	49
17:49:55.560	23	9.17008	(705, 230)	(71, 23)	49
17:49:55.587	23	9.32667	(715, 230)	(72, 23)	49
17:49:55.615	27	9.40089	(725, 230)	(73, 23)	49
17:49:55.650	29	9.49304	(735, 230)	(74, 23)	49
17:49:55.685	29	9.652	(749, 230)	(75, 23)	49
17:49:55.720	30	9.80267	(756, 230)	(76, 23)	49
17:49:55.755	30	9.91852	(766, 230)	(77, 23)	49
17:49:55.789	29	10.0113	(775, 230)	(78, 23)	49
17:49:55.824	29	10.1062	(785, 230)	(79, 23)	49
17:49:55.859	30	10.2147	(796, 229)	(80, 23)	49
17:49:55.894	29	10.2521	(805, 229)	(81, 23)	49
17:49:55.928	26	10.4818	(815, 229)	(82, 23)	49
17:49:55.962	28	10.4834	(825, 228)	(83, 23)	49
17:49:55.998	31	10.5714	(835, 228)	(84, 23)	49
17:49:56.033	31	10.62	(845, 228)	(85, 23)	49
17:49:56.067	31	10.7818	(855, 228)	(86, 23)	49
17:49:56.102	30	10.7889	(865, 228)	(87, 23)	49
17:49:56.136	25	10.9471	(875, 228)	(88, 23)	49
17:49:56.164	25	10.9895	(885, 228)	(89, 23)	49
17:49:56.192	25	11.0425	(895, 228)	(90, 23)	49
17:49:56.219	27	11.0705	(905, 228)	(91, 23)	49
17:49:56.248	25	11.0043	(915, 228)	(92, 23)	49
17:49:56.275	31	11.004	(925, 228)	(93, 23)	49
17:49:56.311	31	11.0394	(935, 228)	(94, 23)	49
17:49:56.345	25	10.9557	(945, 227)	(95, 23)	49
17:49:56.373	25	11.0283	(957, 227)	(96, 23)	49
17:49:56.400	25	11.0156	(966, 227)	(97, 23)	49
17:49:56.428	25	10.9831	(975, 227)	(98, 23)	49
17:49:56.456	29	10.9502	(985, 227)	(99, 23)	49
17:49:56.492	30	10.7707	(995, 227)	(100, 23)	49
17:49:56.527	29	10.6973	(1005, 227)	(101, 23)	49
