BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.78287, -0.0775602, 0.576814, 0.219924), Translationsvektor: ( -0.0821918, 0.0689128, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:50:15.418	18	7.46726	(318, 226)	(32, 23)	49
17:50:15.449	17	7.46504	(325, 225)	(33, 23)	49
17:50:15.469	17	7.28178	(335, 225)	(34, 23)	49
17:50:15.490	16	7.37304	(345, 225)	(35, 23)	49
17:50:15.510	17	7.37719	(357, 225)	(36, 23)	49
17:50:15.531	19	7.35541	(372, 225)	(37, 23)	49
17:50:15.553	20	7.37333	(375, 225)	(38, 23)	49
17:50:15.581	21	7.32015	(385, 225)	(39, 23)	49
17:50:15.609	20	7.49763	(395, 225)	(40, 23)	49
17:50:15.636	21	7.47082	(405, 225)	(41, 23)	49
17:50:15.664	20	7.34919	(415, 225)	(42, 23)	49
17:50:15.691	17	7.46267	(425, 225)	(43, 23)	49
17:50:15.712	17	7.46978	(435, 226)	(44, 23)	49
17:50:15.733	16	7.35082	(445, 226)	(45, 23)	49
17:50:15.754	21	7.36593	(455, 226)	(46, 23)	49
17:50:15.782	21	7.44104	(465, 227)	(47, 23)	49
17:50:15.810	20	7.88548	(475, 227)	(48, 23)	49
17:50:15.838	21	8.00741	(485, 228)	(49, 23)	49
17:50:15.866	22	8.2477	(495, 228)	(50, 23)	49
17:50:15.895	21	8.08252	(505, 229)	(51, 23)	49
17:50:15.921	22	8.08889	(515, 229)	(52, 23)	49
17:50:15.949	21	8.1877	(525, 229)	(53, 23)	49
17:50:15.977	22	8.27467	(535, 229)	(54, 23)	49
17:50:16.005	21	8.1597	(545, 229)	(55, 23)	49
17:50:16.033	21	8.20385	(555, 229)	(56, 23)	49
17:50:16.060	22	8.16118	(565, 229)	(57, 23)	49
17:50:16.088	21	8.16222	(575, 229)	(58, 23)	49
17:50:16.116	23	8.31126	(585, 229)	(59, 23)	49
17:50:16.144	20	8.19748	(596, 229)	(60, 23)	49
17:50:16.172	21	8.34193	(605, 230)	(61, 23)	49
17:50:16.199	23	8.39541	(615, 230)	(62, 23)	49
17:50:16.227	23	8.59496	(626, 230)	(63, 23)	49
17:50:16.255	22	8.44015	(635, 230)	(64, 23)	49
17:50:16.283	22	8.44163	(645, 230)	(65, 23)	49
17:50:16.311	21	8.58118	(655, 230)	(66, 23)	49
17:50:16.338	24	8.74459	(665, 230)	(67, 23)	49
17:50:16.367	21	8.59807	(680, 230)	(68, 23)	49
17:50:16.396	22	8.60785	(685, 230)	(69, 23)	49
17:50:16.428	23	8.65363	(695, 230)	(70, 23)	49
17:50:16.465	23	8.63437	(705, 230)	(71, 23)	49
17:50:16.503	21	8.78608	(715, 230)	(72, 23)	49
17:50:16.538	21	8.77541	(725, 230)	(73, 23)	49
17:50:16.568	18	8.83111	(735, 230)	(74, 23)	49
17:50:16.588	19	9.03896	(749, 230)	(75, 23)	49
17:50:16.611	19	8.88578	(756, 230)	(76, 23)	49
17:50:16.638	18	8.91126	(766, 230)	(77, 23)	49
17:50:16.658	19	8.94296	(775, 230)	(78, 23)	49
17:50:16.679	19	9.05882	(785, 230)	(79, 23)	49
17:50:16.699	19	9.15215	(796, 229)	(80, 23)	49
17:50:16.721	19	9.14178	(805, 229)	(81, 23)	49
17:50:16.748	19	9.29259	(815, 229)	(82, 23)	49
17:50:16.769	19	9.38163	(825, 228)	(83, 23)	49
17:50:16.790	18	9.18326	(835, 228)	(84, 23)	49
17:50:16.810	19	9.34282	(845, 228)	(85, 23)	49
17:50:16.831	19	9.12696	(855, 228)	(86, 23)	49
17:50:16.852	19	8.97156	(865, 228)	(87, 23)	49
17:50:16.873	19	9.09333	(875, 228)	(88, 23)	49
17:50:16.894	18	9.02504	(885, 228)	(89, 23)	49
17:50:16.915	21	9.06667	(895, 228)	(90, 23)	49
17:50:16.944	19	9.07008	(905, 228)	(91, 23)	49
17:50:16.970	20	9.00563	(915, 228)	(92, 23)	49
17:50:16.992	20	9.22578	(925, 228)	(93, 23)	49
17:50:17.020	18	8.916	(935, 228)	(94, 23)	49
17:50:17.040	19	9.12978	(945, 227)	(95, 23)	49
17:50:17.061	20	9.11052	(957, 227)	(96, 23)	49
17:50:17.089	18	9.01141	(966, 227)	(97, 23)	49
17:50:17.110	20	9.02593	(975, 227)	(98, 23)	49
17:50:17.139	20	9.04726	(985, 227)	(99, 23)	49
17:50:17.166	19	9.13037	(995, 227)	(100, 23)	49
17:50:17.187	18	8.99882	(1005, 227)	(101, 23)	49
17:50:17.208	19	8.91985	(1015, 226)	(102, 23)	49
17:50:17.228	18	8.9317	(1025, 226)	(103, 23)	49
17:50:17.249	19	8.93674	(1035, 226)	(104, 23)	49
17:50:17.270	19	9.08104	(1045, 225)	(105, 23)	49
17:50:17.291	18	8.94341	(1055, 225)	(106, 23)	49
17:50:17.312	18	9.05644	(1065, 225)	(107, 23)	49
17:50:17.332	20	8.95437	(1071, 224)	(107, 22)	49
17:50:17.360	19	9.09867	(1075, 224)	(108, 22)	49
17:50:17.381	19	8.92148	(1085, 224)	(109, 22)	49
17:50:17.402	18	8.92148	(1095, 224)	(110, 22)	49
17:50:17.422	19	9.08904	(1105, 224)	(111, 22)	49
17:50:17.444	19	9.00267	(1115, 224)	(112, 22)	49
17:50:17.465	18	9.00667	(1125, 224)	(113, 22)	49
17:50:17.485	20	8.968	(1135, 224)	(114, 22)	49
17:50:17.513	19	9.05422	(1146, 223)	(115, 22)	49
17:50:17.534	18	9.07333	(1155, 223)	(116, 22)	49
17:50:17.554	19	9.01407	(1165, 223)	(117, 22)	49
17:50:17.575	20	8.94281	(1175, 223)	(118, 22)	49
17:50:17.597	18	9.06815	(1185, 223)	(119, 22)	49
17:50:17.617	20	8.96978	(1195, 223)	(120, 22)	49
17:50:17.645	19	9.09674	(1205, 223)	(121, 22)	49
17:50:17.665	20	9.07289	(1215, 223)	(122, 22)	49
17:50:17.686	19	8.9283	(1225, 223)	(123, 22)	49
17:50:17.708	19	8.98193	(1235, 223)	(124, 22)	49
17:50:17.735	20	8.94089	(1245, 223)	(125, 22)	49
17:50:17.758	19	8.88607	(1255, 223)	(126, 22)	49
17:50:17.784	19	8.99556	(1265, 224)	(127, 22)	49
17:50:17.805	19	9.05659	(1275, 224)	(128, 22)	49
17:50:17.826	19	9.05185	(1282, 225)	(128, 23)	49
17:50:17.847	18	9.06593	(1285, 225)	(129, 23)	49
17:50:17.867	19	8.88667	(1295, 226)	(130, 23)	49
17:50:17.888	19	8.98133	(1305, 226)	(131, 23)	49
17:50:17.909	19	8.97393	(1316, 228)	(132, 23)	49
17:50:17.930	19	8.88504	(1326, 228)	(133, 23)	49
17:50:17.952	19	9.04282	(1335, 228)	(134, 23)	49
17:50:17.979	18	8.97704	(1345, 229)	(135, 23)	49
17:50:17.999	20	8.86148	(1355, 230)	(136, 23)	49
17:50:18.027	20	8.8563	(1366, 230)	(137, 23)	49
17:50:18.049	18	8.7723	(1375, 230)	(138, 23)	49
17:50:18.069	20	8.83348	(1386, 231)	(139, 23)	49
17:50:18.090	19	8.79452	(1395, 231)	(140, 23)	49
17:50:18.110	19	8.888	(1405, 232)	(141, 23)	49
17:50:18.131	20	8.73244	(1415, 232)	(142, 23)	49
17:50:18.153	19	8.84563	(1425, 232)	(143, 23)	49
17:50:18.174	18	8.75156	(1435, 233)	(144, 23)	49
17:50:18.194	19	8.79674	(1445, 234)	(145, 23)	49
17:50:18.215	20	8.84	(1455, 234)	(146, 23)	49
17:50:18.243	19	8.72252	(1465, 234)	(147, 23)	49
17:50:18.264	18	8.61304	(1478, 234)	(148, 23)	49
17:50:18.285	17	8.60993	(1485, 234)	(149, 23)	49
17:50:18.305	18	8.57437	(1488, 235)	(149, 24)	49
17:50:18.326	18	8.50993	(1495, 235)	(150, 24)	49
17:50:18.347	18	8.52074	(1506, 235)	(151, 24)	49
17:50:18.368	19	8.448	(1516, 235)	(152, 24)	49
17:50:18.395	19	8.37037	(1526, 236)	(153, 24)	49
17:50:18.416	20	8.32741	(1535, 236)	(154, 24)	49
17:50:18.438	17	8.31674	(1546, 236)	(155, 24)	49
17:50:18.458	18	8.25778	(1556, 237)	(156, 24)	49
17:50:18.479	19	8.32252	(1565, 237)	(157, 24)	49
17:50:18.500	18	8.212	(1575, 238)	(158, 24)	49
17:50:18.521	17	8.2797	(1585, 238)	(159, 24)	49
17:50:18.541	19	8.17585	(1595, 239)	(160, 24)	49
17:50:18.564	18	8.22163	(1605, 239)	(161, 24)	49
17:50:18.591	19	8.11615	(1615, 240)	(162, 24)	49
17:50:18.611	18	8.06859	(1625, 240)	(163, 24)	49
17:50:18.632	17	8.06311	(1636, 241)	(164, 24)	49
17:50:18.653	19	7.94252	(1645, 242)	(165, 24)	49
17:50:18.681	21	7.88104	(1655, 242)	(166, 24)	49
17:50:18.709	20	7.90607	(1666, 243)	(167, 24)	49
17:50:18.737	20	8.01896	(1676, 244)	(168, 24)	49
17:50:18.764	21	7.83896	(1677, 245)	(168, 25)	49
17:50:18.793	22	7.85437	(1686, 245)	(169, 25)	49
17:50:18.821	19	7.82933	(1696, 246)	(170, 25)	49
17:50:18.848	18	7.76059	(1705, 246)	(171, 25)	49
17:50:18.869	16	7.78548	(1715, 248)	(172, 25)	49
17:50:18.889	17	7.84089	(1726, 249)	(173, 25)	49
17:50:18.910	18	7.87704	(1735, 250)	(174, 25)	49
17:50:18.931	18	7.76593	(1745, 251)	(175, 25)	49
17:50:18.952	18	7.70193	(1755, 253)	(176, 25)	49
17:50:18.973	18	7.71452	(1765, 254)	(177, 25)	49
17:50:18.994	18	7.69215	(1768, 255)	(177, 26)	49
17:50:19.015	16	7.6077	(1775, 256)	(178, 26)	49
17:50:19.036	16	7.58104	(1785, 258)	(179, 26)	49
17:50:19.056	17	7.47007	(1795, 260)	(180, 26)	49
17:50:19.077	18	7.38119	(1805, 262)	(181, 26)	49
17:50:19.098	17	7.36652	(1815, 264)	(182, 26)	49
17:50:19.119	17	7.44548	(1817, 265)	(182, 27)	49
17:50:19.140	17	7.35896	(1825, 267)	(183, 27)	49
17:50:19.160	17	7.33289	(1838, 271)	(184, 27)	49
17:50:19.181	17	7.43096	(1845, 273)	(185, 27)	49
17:50:19.202	18	7.39644	(1849, 275)	(185, 28)	49
17:50:19.223	17	7.50059	(1858, 278)	(186, 28)	49
17:50:19.244	18	7.51719	(1865, 280)	(187, 28)	49
17:50:19.264	18	7.38963	(1874, 285)	(187, 29)	49
17:50:19.285	18	7.39674	(1875, 285)	(188, 29)	49
17:50:19.307	16	7.29733	(1885, 289)	(189, 29)	49
17:50:19.327	18	7.36074	(1895, 294)	(190, 29)	49
