BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.78287, -0.0775602, 0.576814, 0.219924), Translationsvektor: ( -0.0821918, 0.0689128, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:49:30.637	26	19.7141	(-1, -1)	(-1, -1)	49
17:49:30.679	25	19.7631	(-1, -1)	(-1, -1)	49
17:49:30.706	26	19.7207	(-1, -1)	(-1, -1)	49
17:49:30.734	25	19.7046	(-1, -1)	(-1, -1)	49
17:49:30.762	26	19.8037	(-1, -1)	(-1, -1)	49
17:49:30.790	26	19.7634	(-1, -1)	(-1, -1)	49
17:49:30.817	26	19.6947	(-1, -1)	(-1, -1)	49
17:49:30.845	26	19.7874	(-1, -1)	(-1, -1)	49
17:49:30.882	31	19.6298	(-1, -1)	(-1, -1)	49
17:49:30.924	32	19.6633	(-1, -1)	(-1, -1)	49
17:49:30.966	32	19.733	(-1, -1)	(-1, -1)	49
17:49:31.007	28	19.6496	(-1, -1)	(-1, -1)	49
17:49:31.040	26	19.7053	(-1, -1)	(-1, -1)	49
17:49:31.068	26	19.7179	(-1, -1)	(-1, -1)	49
17:49:31.096	25	19.7815	(-1, -1)	(-1, -1)	49
17:49:31.123	27	19.6895	(-1, -1)	(-1, -1)	49
17:49:31.160	31	19.6967	(-1, -1)	(-1, -1)	49
17:49:31.202	30	19.6982	(-1, -1)	(-1, -1)	49
17:49:31.235	27	19.7969	(-1, -1)	(-1, -1)	49
17:49:31.269	28	19.7572	(-1, -1)	(-1, -1)	49
17:49:31.306	31	19.636	(-1, -1)	(-1, -1)	49
17:49:31.341	30	19.6384	(-1, -1)	(-1, -1)	49
17:49:31.375	31	19.6593	(-1, -1)	(-1, -1)	49
17:49:31.412	30	19.6336	(-1, -1)	(-1, -1)	49
17:49:31.444	26	19.7166	(-1, -1)	(-1, -1)	49
17:49:31.479	27	19.7416	(-1, -1)	(-1, -1)	49
17:49:31.515	32	19.6659	(-1, -1)	(-1, -1)	49
17:49:31.557	33	19.6619	(-1, -1)	(-1, -1)	49
17:49:31.598	32	19.6502	(-1, -1)	(-1, -1)	49
17:49:31.639	29	19.7092	(-1, -1)	(-1, -1)	49
17:49:31.674	26	19.7572	(-1, -1)	(-1, -1)	49
17:49:31.709	29	19.7156	(-1, -1)	(-1, -1)	49
17:49:31.744	33	19.6639	(-1, -1)	(-1, -1)	49
17:49:31.786	31	19.6767	(-1, -1)	(-1, -1)	49
17:49:31.829	29	19.7441	(-1, -1)	(-1, -1)	49
17:49:31.860	26	19.7173	(-1, -1)	(-1, -1)	49
17:49:31.888	26	19.8661	(-1, -1)	(-1, -1)	49
17:49:31.916	28	19.7228	(-1, -1)	(-1, -1)	49
