BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.30178, 0.111835, 0.849411, -0.418215), Translationsvektor: ( -0.140521, 0.0872895, 1.55).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:58:30.983	27	9.88578	(318, 226)	(32, 23)	49
17:58:31.017	25	10.1079	(325, 225)	(33, 23)	49
17:58:31.045	25	10.3985	(335, 225)	(34, 23)	49
17:58:31.073	25	10.5633	(345, 225)	(35, 23)	49
17:58:31.100	30	10.8775	(357, 225)	(36, 23)	49
17:58:31.143	32	11.391	(372, 225)	(37, 23)	49
17:58:31.186	29	11.6102	(375, 225)	(38, 23)	49
17:58:31.219	26	11.98	(385, 225)	(39, 23)	49
17:58:31.253	26	12.3182	(395, 225)	(40, 23)	49
17:58:31.281	27	12.7255	(405, 225)	(41, 23)	49
17:58:31.315	29	13.2243	(415, 225)	(42, 23)	49
17:58:31.351	29	13.6742	(425, 225)	(43, 23)	49
17:58:31.385	30	14.2767	(435, 226)	(44, 23)	49
17:58:31.419	30	14.672	(445, 226)	(45, 23)	49
17:58:31.456	31	15.019	(455, 226)	(46, 23)	49
17:58:31.490	30	15.607	(465, 227)	(47, 23)	49
17:58:31.524	32	15.9456	(475, 227)	(48, 23)	49
17:58:31.559	33	16.4468	(485, 228)	(49, 23)	49
17:58:31.595	32	16.9496	(495, 228)	(50, 23)	49
17:58:31.636	40	17.3766	(505, 229)	(51, 23)	49
17:58:31.686	45	17.7446	(515, 229)	(52, 23)	49
17:58:31.742	43	18.0963	(525, 229)	(53, 23)	49
17:58:31.790	42	18.5499	(535, 229)	(54, 23)	49
17:58:31.839	37	18.9643	(545, 229)	(55, 23)	49
17:58:31.879	39	19.4548	(555, 229)	(56, 23)	49
17:58:31.922	47	19.7573	(565, 229)	(57, 23)	49
17:58:31.978	49	20.1641	(575, 229)	(58, 23)	49
17:58:32.036	40	20.5159	(585, 229)	(59, 23)	49
17:58:32.081	55	21.1833	(596, 229)	(60, 23)	49
17:58:32.143	42	21.496	(605, 230)	(61, 23)	49
17:58:32.192	42	21.7855	(615, 230)	(62, 23)	49
17:58:32.241	41	22.1261	(626, 230)	(63, 23)	49
17:58:32.290	46	22.4446	(635, 230)	(64, 23)	49
17:58:32.340	45	22.8683	(645, 230)	(65, 23)	49
17:58:32.395	44	23.1425	(655, 230)	(66, 23)	49
17:58:32.442	40	23.4677	(665, 230)	(67, 23)	49
17:58:32.484	42	23.8791	(680, 230)	(68, 23)	49
17:58:32.536	50	24.0037	(685, 230)	(69, 23)	49
17:58:32.597	52	24.3206	(695, 230)	(70, 23)	49
17:58:32.660	44	24.5231	(705, 230)	(71, 23)	49
17:58:32.706	38	24.8887	(715, 230)	(72, 23)	49
17:58:32.748	43	25.2188	(725, 230)	(73, 23)	49
17:58:32.797	46	25.317	(735, 230)	(74, 23)	49
17:58:32.846	41	25.6898	(749, 230)	(75, 23)	49
17:58:32.895	40	25.92	(756, 230)	(76, 23)	49
17:58:32.944	47	26.0093	(766, 230)	(77, 23)	49
17:58:32.999	52	26.236	(775, 230)	(78, 23)	49
17:58:33.062	47	26.6047	(785, 230)	(79, 23)	49
17:58:33.117	52	26.809	(796, 229)	(80, 23)	49
17:58:33.174	53	26.9847	(805, 229)	(81, 23)	49
17:58:33.236	55	27.2683	(815, 229)	(82, 23)	49
17:58:33.299	48	27.4714	(825, 228)	(83, 23)	49
17:58:33.354	49	27.6919	(835, 228)	(84, 23)	49
17:58:33.411	54	27.8732	(845, 228)	(85, 23)	49
17:58:33.475	47	28.2064	(855, 228)	(86, 23)	49
17:58:33.526	48	28.3804	(865, 228)	(87, 23)	49
17:58:33.584	56	28.6502	(875, 228)	(88, 23)	49
17:58:33.646	57	28.8807	(885, 228)	(89, 23)	49
17:58:33.712	49	29.1021	(895, 228)	(90, 23)	49
17:58:33.764	45	29.3766	(905, 228)	(91, 23)	49
17:58:33.813	50	29.6796	(915, 228)	(92, 23)	49
17:58:33.868	49	29.8761	(925, 228)	(93, 23)	49
17:58:33.923	53	30.0644	(935, 228)	(94, 23)	49
17:58:33.987	58	30.2759	(945, 227)	(95, 23)	49
17:58:34.050	58	30.3839	(957, 227)	(96, 23)	49
17:58:34.118	46	30.6708	(966, 227)	(97, 23)	49
17:58:34.166	53	30.8976	(975, 227)	(98, 23)	49
17:58:34.224	56	31.1043	(985, 227)	(99, 23)	49
17:58:34.286	53	31.2807	(995, 227)	(100, 23)	49
17:58:34.348	51	31.284	(1005, 227)	(101, 23)	49
17:58:34.403	58	31.6283	(1015, 226)	(102, 23)	49
17:58:34.467	58	31.9018	(1025, 226)	(103, 23)	49
17:58:34.530	48	31.9554	(1035, 226)	(104, 23)	49
