BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.30178, 0.111835, 0.849411, -0.418215), Translationsvektor: ( -0.140521, 0.0872895, 1.55).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:59:04.648	46	34.4594	(318, 226)	(32, 23)	49
17:59:04.698	48	34.4929	(325, 225)	(33, 23)	49
17:59:04.755	50	34.5456	(335, 225)	(34, 23)	49
17:59:04.811	47	34.492	(345, 225)	(35, 23)	49
17:59:04.865	46	34.6861	(357, 225)	(36, 23)	49
17:59:04.913	51	34.8951	(372, 225)	(37, 23)	49
17:59:04.972	54	34.849	(375, 225)	(38, 23)	49
17:59:05.033	51	34.8633	(385, 225)	(39, 23)	49
17:59:05.088	46	34.9649	(395, 225)	(40, 23)	49
17:59:05.135	49	35.1056	(405, 225)	(41, 23)	49
17:59:05.193	52	35.2119	(415, 225)	(42, 23)	49
17:59:05.249	50	35.2747	(425, 225)	(43, 23)	49
17:59:05.305	46	35.3421	(435, 226)	(44, 23)	49
17:59:05.358	49	35.4012	(445, 226)	(45, 23)	49
17:59:05.415	58	35.5367	(455, 226)	(46, 23)	49
17:59:05.479	50	35.6333	(465, 227)	(47, 23)	49
17:59:05.532	48	35.7601	(475, 227)	(48, 23)	49
17:59:05.588	53	36.0323	(485, 228)	(49, 23)	49
17:59:05.652	56	36.0136	(495, 228)	(50, 23)	49
17:59:05.716	51	36.2335	(505, 229)	(51, 23)	49
17:59:05.776	51	36.3276	(515, 229)	(52, 23)	49
17:59:05.833	50	36.517	(525, 229)	(53, 23)	49
17:59:05.889	52	36.7735	(535, 229)	(54, 23)	49
17:59:05.950	50	36.936	(545, 229)	(55, 23)	49
17:59:06.006	50	37.0219	(555, 229)	(56, 23)	49
17:59:06.062	56	37.4172	(565, 229)	(57, 23)	49
17:59:06.125	53	37.4997	(575, 229)	(58, 23)	49
17:59:06.186	57	37.8536	(585, 229)	(59, 23)	49
17:59:06.250	57	37.7427	(596, 229)	(60, 23)	49
17:59:06.313	55	38.0279	(605, 230)	(61, 23)	49
17:59:06.374	52	38.1865	(615, 230)	(62, 23)	49
17:59:06.431	58	38.4819	(626, 230)	(63, 23)	49
17:59:06.493	54	38.5464	(635, 230)	(64, 23)	49
17:59:06.554	48	38.7596	(645, 230)	(65, 23)	49
17:59:06.610	52	38.9956	(655, 230)	(66, 23)	49
17:59:06.667	55	39.2295	(665, 230)	(67, 23)	49
17:59:06.729	53	39.3273	(680, 230)	(68, 23)	49
17:59:06.791	49	39.6129	(685, 230)	(69, 23)	49
17:59:06.846	52	39.7677	(695, 230)	(70, 23)	49
17:59:06.904	59	39.9791	(705, 230)	(71, 23)	49
17:59:06.973	56	40.1529	(715, 230)	(72, 23)	49
17:59:07.035	59	40.607	(725, 230)	(73, 23)	49
17:59:07.105	59	40.7677	(735, 230)	(74, 23)	49
17:59:07.168	56	41.1351	(749, 230)	(75, 23)	49
17:59:07.229	58	41.2855	(756, 230)	(76, 23)	49
17:59:07.293	60	41.2618	(766, 230)	(77, 23)	49
17:59:07.363	59	41.5492	(775, 230)	(78, 23)	49
17:59:07.431	57	41.784	(785, 230)	(79, 23)	49
17:59:07.495	60	41.8354	(796, 229)	(80, 23)	49
17:59:07.562	57	42.1166	(805, 229)	(81, 23)	49
17:59:07.625	54	42.2159	(815, 229)	(82, 23)	49
17:59:07.687	59	42.491	(825, 228)	(83, 23)	49
17:59:07.752	61	42.6523	(835, 228)	(84, 23)	49
17:59:07.821	58	42.6433	(845, 228)	(85, 23)	49
17:59:07.882	61	42.7991	(855, 228)	(86, 23)	49
17:59:07.953	63	42.9911	(865, 228)	(87, 23)	49
17:59:08.023	59	42.9901	(875, 228)	(88, 23)	49
17:59:08.091	60	43.285	(885, 228)	(89, 23)	49
17:59:08.155	63	43.2387	(895, 228)	(90, 23)	49
17:59:08.225	57	43.5074	(905, 228)	(91, 23)	49
17:59:08.285	53	43.5899	(915, 228)	(92, 23)	49
17:59:08.342	64	43.615	(925, 228)	(93, 23)	49
17:59:08.412	59	43.5037	(935, 228)	(94, 23)	49
17:59:08.474	54	43.8736	(945, 227)	(95, 23)	49
17:59:08.535	61	43.8914	(957, 227)	(96, 23)	49
17:59:08.606	62	43.7923	(966, 227)	(97, 23)	49
17:59:08.675	55	43.8062	(975, 227)	(98, 23)	49
17:59:08.738	64	43.8775	(985, 227)	(99, 23)	49
17:59:08.808	64	43.9456	(995, 227)	(100, 23)	49
17:59:08.878	59	44.0099	(1005, 227)	(101, 23)	49
17:59:08.947	57	43.9289	(1015, 226)	(102, 23)	49
17:59:09.010	63	44.0114	(1025, 226)	(103, 23)	49
17:59:09.081	61	44.0123	(1035, 226)	(104, 23)	49
17:59:09.148	61	44.0564	(1045, 225)	(105, 23)	49
17:59:09.218	64	43.8913	(1055, 225)	(106, 23)	49
17:59:09.288	60	44.087	(1065, 225)	(107, 23)	49
17:59:09.356	60	43.8508	(1071, 224)	(107, 22)	49
17:59:09.427	63	44.0507	(1075, 224)	(108, 22)	49
17:59:09.496	59	43.9796	(1085, 224)	(109, 22)	49
17:59:09.558	59	43.9061	(1095, 224)	(110, 22)	49
17:59:09.621	59	44.2967	(1105, 224)	(111, 22)	49
17:59:09.683	57	44.0218	(1115, 224)	(112, 22)	49
17:59:09.746	55	44.0873	(1125, 224)	(113, 22)	49
17:59:09.807	55	43.8579	(1135, 224)	(114, 22)	49
17:59:09.870	64	43.9324	(1146, 223)	(115, 22)	49
17:59:09.942	58	43.8	(1155, 223)	(116, 22)	49
17:59:10.002	54	43.8	(1165, 223)	(117, 22)	49
17:59:10.067	63	43.5582	(1175, 223)	(118, 22)	49
17:59:10.138	58	43.6627	(1185, 223)	(119, 22)	49
17:59:10.204	58	43.7327	(1195, 223)	(120, 22)	49
17:59:10.267	58	43.7013	(1205, 223)	(121, 22)	49
17:59:10.331	59	43.4504	(1215, 223)	(122, 22)	49
17:59:10.399	61	43.7307	(1225, 223)	(123, 22)	49
17:59:10.470	64	43.5554	(1235, 223)	(124, 22)	49
17:59:10.539	60	43.6259	(1245, 223)	(125, 22)	49
17:59:10.607	57	43.2923	(1255, 223)	(126, 22)	49
17:59:10.672	58	43.3449	(1265, 224)	(127, 22)	49
17:59:10.733	56	43.3319	(1275, 224)	(128, 22)	49
17:59:10.795	56	43.4121	(1282, 225)	(128, 23)	49
17:59:10.858	60	43.4907	(1285, 225)	(129, 23)	49
17:59:10.928	61	43.1447	(1295, 226)	(130, 23)	49
17:59:10.997	59	43.2796	(1305, 226)	(131, 23)	49
17:59:11.060	64	43.2803	(1316, 228)	(132, 23)	49
17:59:11.130	62	43.1039	(1326, 228)	(133, 23)	49
17:59:11.200	57	42.9585	(1335, 228)	(134, 23)	49
17:59:11.261	62	43.0276	(1345, 229)	(135, 23)	49
17:59:11.332	64	42.8039	(1355, 230)	(136, 23)	49
17:59:11.401	58	42.609	(1366, 230)	(137, 23)	49
17:59:11.461	53	42.6941	(1375, 230)	(138, 23)	49
17:59:11.518	57	42.8584	(1386, 231)	(139, 23)	49
17:59:11.583	57	42.7659	(1395, 231)	(140, 23)	49
17:59:11.642	56	42.7969	(1405, 232)	(141, 23)	49
17:59:11.706	53	42.5911	(1415, 232)	(142, 23)	49
17:59:11.764	59	42.6889	(1425, 232)	(143, 23)	49
17:59:11.833	54	42.7307	(1435, 233)	(144, 23)	49
17:59:11.893	54	42.7157	(1445, 234)	(145, 23)	49
17:59:11.962	62	42.4274	(1455, 234)	(146, 23)	49
17:59:12.037	58	42.5256	(1465, 234)	(147, 23)	49
17:59:12.101	61	42.4421	(1478, 234)	(148, 23)	49
17:59:12.166	63	42.6293	(1485, 234)	(149, 23)	49
17:59:12.236	57	42.5359	(1488, 235)	(149, 24)	49
17:59:12.297	59	42.4917	(1495, 235)	(150, 24)	49
17:59:12.361	61	42.6111	(1506, 235)	(151, 24)	49
17:59:12.430	61	42.6576	(1516, 235)	(152, 24)	49
17:59:12.499	55	42.5394	(1526, 236)	(153, 24)	49
17:59:12.563	62	42.4924	(1535, 236)	(154, 24)	49
17:59:12.632	61	42.6695	(1546, 236)	(155, 24)	49
17:59:12.700	56	42.6661	(1556, 237)	(156, 24)	49
17:59:12.762	56	42.6747	(1565, 237)	(157, 24)	49
17:59:12.825	56	42.5041	(1575, 238)	(158, 24)	49
17:59:12.888	53	42.4773	(1585, 238)	(159, 24)	49
17:59:12.942	54	42.5921	(1595, 239)	(160, 24)	49
17:59:13.001	61	42.4273	(1605, 239)	(161, 24)	49
17:59:13.070	57	42.5704	(1615, 240)	(162, 24)	49
17:59:13.131	52	42.6225	(1625, 240)	(163, 24)	49
17:59:13.186	56	42.6061	(1636, 241)	(164, 24)	49
17:59:13.249	58	42.6545	(1645, 242)	(165, 24)	49
17:59:13.312	57	42.529	(1655, 242)	(166, 24)	49
17:59:13.374	70	42.5779	(1666, 243)	(167, 24)	49
17:59:13.451	58	42.6924	(1676, 244)	(168, 24)	49
17:59:13.514	55	42.679	(1677, 245)	(168, 25)	49
17:59:13.576	59	42.4444	(1686, 245)	(169, 25)	49
17:59:13.640	61	42.3264	(1696, 246)	(170, 25)	49
17:59:13.710	55	42.3033	(1705, 246)	(171, 25)	49
17:59:13.771	57	42.3627	(1715, 248)	(172, 25)	49
17:59:13.833	57	42.2679	(1726, 249)	(173, 25)	49
17:59:13.897	61	42.1693	(1735, 250)	(174, 25)	49
17:59:13.965	57	42.2461	(1745, 251)	(175, 25)	49
17:59:14.029	60	42.1902	(1755, 253)	(176, 25)	49
17:59:14.098	61	42.0627	(1765, 254)	(177, 25)	49
17:59:14.168	58	41.7881	(1768, 255)	(177, 26)	49
17:59:14.229	57	41.8364	(1775, 256)	(178, 26)	49
17:59:14.294	60	41.7966	(1785, 258)	(179, 26)	49
17:59:14.364	55	41.7016	(1795, 260)	(180, 26)	49
17:59:14.424	56	41.524	(1805, 262)	(181, 26)	49
17:59:14.489	54	41.3231	(1815, 264)	(182, 26)	49
17:59:14.549	52	41.2624	(1817, 265)	(182, 27)	49
17:59:14.604	59	41.3619	(1825, 267)	(183, 27)	49
17:59:14.669	60	41.1647	(1838, 271)	(184, 27)	49
17:59:14.740	59	41.1064	(1845, 273)	(185, 27)	49
17:59:14.806	51	40.937	(1849, 275)	(185, 28)	49
17:59:14.861	57	40.8773	(1858, 278)	(186, 28)	49
17:59:14.926	57	40.5108	(1865, 280)	(187, 28)	49
17:59:14.989	55	40.4723	(1874, 285)	(187, 29)	49
17:59:15.049	58	40.6056	(1875, 285)	(188, 29)	49
17:59:15.114	60	40.3465	(1885, 289)	(189, 29)	49
17:59:15.183	55	39.9159	(1895, 294)	(190, 29)	49
17:59:15.244	54	39.9816	(1895, 295)	(190, 30)	49
17:59:15.308	58	39.927	(1905, 299)	(191, 30)	49
17:59:15.371	62	39.8815	(1912, 305)	(191, 31)	49
17:59:15.439	53	39.9803	(1915, 307)	(192, 31)	49
17:59:15.503	58	39.7086	(1925, 314)	(193, 31)	49
17:59:15.572	60	39.6736	(1926, 315)	(193, 32)	49
17:59:15.641	54	39.4327	(1935, 322)	(194, 32)	49
17:59:15.703	55	39.572	(1937, 325)	(194, 33)	49
17:59:15.767	58	39.5465	(1945, 333)	(195, 33)	49
17:59:15.837	51	39.395	(1947, 335)	(195, 34)	49
17:59:15.890	50	39.3081	(1955, 344)	(196, 34)	49
17:59:15.947	57	39.2716	(1955, 345)	(196, 35)	49
17:59:16.010	53	39.1673	(1963, 355)	(196, 36)	49
17:59:16.071	50	39.2933	(1965, 358)	(197, 36)	49
17:59:16.126	52	39.1276	(1968, 365)	(197, 37)	49
17:59:16.183	56	39.075	(1973, 375)	(197, 38)	49
17:59:16.247	54	38.8656	(1975, 379)	(198, 38)	49
17:59:16.308	52	39.2628	(1976, 385)	(198, 39)	49
17:59:16.363	57	39.359	(1980, 395)	(198, 40)	49
17:59:16.427	60	39.2191	(1982, 405)	(198, 41)	49
17:59:16.497	53	39.168	(1984, 415)	(198, 42)	49
17:59:16.558	57	39.1695	(1985, 417)	(199, 42)	49
17:59:16.623	58	39.1215	(1985, 425)	(199, 43)	49
17:59:16.692	55	38.9833	(1987, 435)	(199, 44)	49
17:59:16.753	52	39.0964	(1988, 445)	(199, 45)	49
17:59:16.811	53	38.9999	(1989, 455)	(199, 46)	49
17:59:16.870	54	39.0609	(1989, 465)	(199, 47)	49
17:59:16.927	51	39.1465	(1989, 475)	(199, 48)	49
17:59:16.982	54	39.0674	(1988, 485)	(199, 49)	49
17:59:17.047	57	39.0187	(1985, 495)	(199, 50)	49
17:59:17.108	50	39.0606	(1984, 495)	(198, 50)	49
17:59:17.162	56	39.2936	(1980, 505)	(198, 51)	49
17:59:17.227	58	39.3696	(1972, 516)	(197, 52)	49
17:59:17.296	55	39.7643	(1965, 525)	(197, 53)	49
17:59:17.357	50	39.6957	(1964, 526)	(196, 53)	49
17:59:17.412	55	40.0847	(1954, 534)	(195, 53)	49
17:59:17.477	54	40.1021	(1953, 535)	(195, 54)	49
17:59:17.538	51	40.4516	(1944, 539)	(194, 54)	49
17:59:17.593	55	40.5985	(1937, 545)	(194, 55)	49
17:59:17.657	56	40.6535	(1934, 547)	(193, 55)	49
17:59:17.721	54	41.1993	(1924, 555)	(192, 56)	49
17:59:17.782	52	41.0077	(1914, 561)	(191, 56)	49
17:59:17.837	55	41.1646	(1907, 565)	(191, 57)	49
17:59:17.901	57	41.2116	(1904, 567)	(190, 57)	49
17:59:17.963	56	41.4404	(1894, 572)	(189, 57)	49
17:59:18.026	61	41.4966	(1890, 575)	(189, 58)	49
17:59:18.095	61	41.8159	(1884, 577)	(188, 58)	49
17:59:18.166	59	41.8009	(1874, 581)	(187, 58)	49
17:59:18.235	61	42.1201	(1866, 585)	(187, 59)	49
17:59:18.305	61	42.0409	(1864, 585)	(186, 59)	49
17:59:18.374	59	42.2719	(1854, 590)	(185, 59)	49
17:59:18.436	63	42.7409	(1844, 594)	(184, 59)	49
17:59:18.506	62	42.7077	(1843, 595)	(184, 60)	49
17:59:18.576	57	42.8006	(1834, 597)	(183, 60)	49
17:59:18.637	60	43.2304	(1823, 601)	(182, 60)	49
17:59:18.710	62	43.4847	(1810, 606)	(181, 61)	49
17:59:18.780	55	43.571	(1804, 609)	(180, 61)	49
17:59:18.838	61	43.7853	(1794, 612)	(179, 61)	49
17:59:18.911	62	43.8576	(1787, 615)	(179, 62)	49
17:59:18.978	57	43.7719	(1784, 616)	(178, 62)	49
17:59:19.040	54	44.0041	(1774, 619)	(177, 62)	49
17:59:19.103	61	44.0939	(1764, 622)	(176, 62)	49
17:59:19.173	62	44.205	(1758, 625)	(176, 63)	49
17:59:19.242	57	44.3087	(1754, 626)	(175, 63)	49
17:59:19.305	64	44.1163	(1744, 628)	(174, 63)	49
17:59:19.375	64	44.3801	(1734, 631)	(173, 63)	49
17:59:19.444	59	44.7098	(1724, 633)	(172, 63)	49
17:59:19.514	65	44.7916	(1715, 635)	(172, 64)	49
17:59:19.584	60	44.7591	(1714, 635)	(171, 64)	49
17:59:19.652	61	44.8636	(1704, 637)	(170, 64)	49
17:59:19.723	64	44.9154	(1694, 638)	(169, 64)	49
17:59:19.792	61	45.2311	(1684, 640)	(168, 64)	49
17:59:19.861	60	45.3593	(1674, 641)	(167, 64)	49
17:59:19.931	64	45.2422	(1664, 642)	(166, 64)	49
17:59:19.999	59	45.5387	(1654, 643)	(165, 64)	49
17:59:20.062	63	45.407	(1644, 644)	(164, 64)	49
17:59:20.132	58	45.5175	(1633, 644)	(163, 64)	49
17:59:20.194	58	45.3901	(1624, 644)	(162, 64)	49
17:59:20.257	56	45.4839	(1614, 644)	(161, 64)	49
17:59:20.318	56	45.6523	(1604, 644)	(160, 64)	49
17:59:20.383	65	45.5376	(1594, 644)	(159, 64)	49
17:59:20.453	61	45.3619	(1584, 644)	(158, 64)	49
17:59:20.521	54	45.42	(1574, 644)	(157, 64)	49
17:59:20.584	64	45.6579	(1564, 644)	(156, 64)	49
17:59:20.654	60	45.5542	(1554, 644)	(155, 64)	49
17:59:20.722	63	45.6391	(1548, 645)	(155, 65)	49
17:59:20.793	64	45.3895	(1544, 645)	(154, 65)	49
17:59:20.862	59	45.5747	(1534, 645)	(153, 65)	49
17:59:20.924	60	45.9311	(1524, 646)	(152, 65)	49
17:59:20.987	58	45.9108	(1514, 647)	(151, 65)	49
17:59:21.048	62	45.7197	(1504, 648)	(150, 65)	49
17:59:21.120	59	45.84	(1494, 649)	(149, 65)	49
17:59:21.188	61	46.0424	(1484, 651)	(148, 65)	49
17:59:21.259	67	45.8553	(1474, 652)	(147, 65)	49
17:59:21.336	61	45.7588	(1464, 652)	(146, 65)	49
17:59:21.404	63	45.7996	(1454, 653)	(145, 65)	49
17:59:21.474	66	46.0241	(1444, 654)	(144, 65)	49
17:59:21.544	58	46.0047	(1434, 654)	(143, 65)	49
17:59:21.606	63	46.2003	(1419, 654)	(142, 65)	49
