BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.30178, 0.111835, 0.849411, -0.418215), Translationsvektor: ( -0.140521, 0.0872895, 1.55).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:55:53.791	119	110.955	(-1, -1)	(-1, -1)	49
17:55:53.917	122	110.854	(-1, -1)	(-1, -1)	49
17:55:54.047	120	110.907	(-1, -1)	(-1, -1)	49
17:55:54.173	124	110.948	(-1, -1)	(-1, -1)	49
17:55:54.304	118	110.952	(-1, -1)	(-1, -1)	49
17:55:54.430	119	110.836	(-1, -1)	(-1, -1)	49
17:55:54.555	120	110.875	(-1, -1)	(-1, -1)	49
17:55:54.681	124	110.921	(-1, -1)	(-1, -1)	49
17:55:54.814	123	110.869	(-1, -1)	(-1, -1)	49
17:55:54.945	123	110.916	(-1, -1)	(-1, -1)	49
17:55:55.077	122	110.935	(-1, -1)	(-1, -1)	49
17:55:55.210	123	110.909	(-1, -1)	(-1, -1)	49
17:55:55.341	124	110.916	(-1, -1)	(-1, -1)	49
17:55:55.475	125	110.89	(-1, -1)	(-1, -1)	49
17:55:55.606	123	110.894	(-1, -1)	(-1, -1)	49
17:55:55.736	120	111.269	(-1, -1)	(-1, -1)	49
17:55:55.864	124	110.879	(-1, -1)	(-1, -1)	49
17:55:55.995	121	110.918	(-1, -1)	(-1, -1)	49
17:55:56.125	120	110.915	(-1, -1)	(-1, -1)	49
17:55:56.254	121	110.803	(-1, -1)	(-1, -1)	49
17:55:56.383	120	110.915	(-1, -1)	(-1, -1)	49
17:55:56.511	122	110.835	(-1, -1)	(-1, -1)	49
17:55:56.640	122	110.822	(-1, -1)	(-1, -1)	49
17:55:56.768	123	110.882	(-1, -1)	(-1, -1)	49
17:55:56.949	119	110.903	(-1, -1)	(-1, -1)	49
17:55:57.079	121	110.855	(-1, -1)	(-1, -1)	49
17:55:57.204	120	110.837	(-1, -1)	(-1, -1)	49
17:55:57.339	120	110.827	(-1, -1)	(-1, -1)	49
17:55:57.461	116	110.92	(-1, -1)	(-1, -1)	49
17:55:57.586	117	110.938	(-1, -1)	(-1, -1)	49
17:55:57.710	117	110.912	(-1, -1)	(-1, -1)	49
17:55:57.828	118	110.969	(-1, -1)	(-1, -1)	49
17:55:57.955	126	110.914	(-1, -1)	(-1, -1)	49
17:55:58.100	123	111.156	(-1, -1)	(-1, -1)	49
17:55:58.235	123	111.141	(-1, -1)	(-1, -1)	49
17:55:58.406	119	110.827	(-1, -1)	(-1, -1)	49
17:55:58.532	122	110.86	(-1, -1)	(-1, -1)	49
17:55:58.656	116	110.912	(-1, -1)	(-1, -1)	49
17:55:58.782	116	110.922	(-1, -1)	(-1, -1)	49
17:55:58.906	130	110.897	(-1, -1)	(-1, -1)	49
17:55:59.046	118	110.831	(-1, -1)	(-1, -1)	49
17:55:59.171	116	110.976	(-1, -1)	(-1, -1)	49
17:55:59.295	118	110.854	(-1, -1)	(-1, -1)	49
17:55:59.422	123	110.895	(-1, -1)	(-1, -1)	49
17:55:59.554	122	110.859	(-1, -1)	(-1, -1)	49
17:55:59.685	118	110.954	(-1, -1)	(-1, -1)	49
17:55:59.813	123	110.911	(-1, -1)	(-1, -1)	49
17:55:59.944	122	110.861	(-1, -1)	(-1, -1)	49
17:56:00.073	118	110.98	(-1, -1)	(-1, -1)	49
17:56:00.199	117	111.093	(-1, -1)	(-1, -1)	49
17:56:00.317	118	110.952	(-1, -1)	(-1, -1)	49
17:56:00.443	124	110.853	(-1, -1)	(-1, -1)	49
17:56:00.574	117	110.877	(-1, -1)	(-1, -1)	49
17:56:00.699	120	111.007	(-1, -1)	(-1, -1)	49
17:56:00.827	121	110.846	(-1, -1)	(-1, -1)	49
17:56:00.957	120	111.071	(-1, -1)	(-1, -1)	49
17:56:01.084	124	110.886	(-1, -1)	(-1, -1)	49
17:56:01.216	122	110.878	(-1, -1)	(-1, -1)	49
