BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.280275, -0.385944, 0.821547, -0.312304), Translationsvektor: ( -0.0927972, -0.124043, 0.65).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:06:10.070	46	29.5901	(318, 226)	(32, 23)	49
18:06:10.123	46	29.717	(325, 225)	(33, 23)	49
18:06:10.173	53	29.8456	(335, 225)	(34, 23)	49
18:06:10.236	57	29.9342	(345, 225)	(35, 23)	49
18:06:10.299	47	30.1185	(357, 225)	(36, 23)	49
18:06:10.353	43	30.4099	(372, 225)	(37, 23)	49
18:06:10.401	48	30.4659	(375, 225)	(38, 23)	49
18:06:10.460	53	30.5453	(385, 225)	(39, 23)	49
18:06:10.520	52	30.7373	(395, 225)	(40, 23)	49
18:06:10.577	57	30.8599	(405, 225)	(41, 23)	49
18:06:10.639	57	30.879	(415, 225)	(42, 23)	49
18:06:10.702	53	31.0544	(425, 225)	(43, 23)	49
18:06:10.763	55	31.2	(435, 226)	(44, 23)	49
18:06:10.828	52	31.3658	(445, 226)	(45, 23)	49
18:06:10.882	51	31.5036	(455, 226)	(46, 23)	49
18:06:10.938	49	31.5493	(465, 227)	(47, 23)	49
18:06:10.992	51	31.632	(475, 227)	(48, 23)	49
18:06:11.049	53	31.6794	(485, 228)	(49, 23)	49
18:06:11.112	56	31.8397	(495, 228)	(50, 23)	49
18:06:11.174	49	32.041	(505, 229)	(51, 23)	49
18:06:11.229	57	32.2575	(515, 229)	(52, 23)	49
18:06:11.293	58	32.4554	(525, 229)	(53, 23)	49
18:06:11.355	48	32.5222	(535, 229)	(54, 23)	49
18:06:11.410	52	32.6396	(545, 229)	(55, 23)	49
18:06:11.466	54	32.7173	(555, 229)	(56, 23)	49
18:06:11.530	53	32.7081	(565, 229)	(57, 23)	49
18:06:11.590	48	32.8033	(575, 229)	(58, 23)	49
18:06:11.646	56	32.8071	(585, 229)	(59, 23)	49
18:06:11.713	57	32.9415	(596, 229)	(60, 23)	49
18:06:11.785	48	33.1036	(605, 230)	(61, 23)	49
18:06:11.840	54	33.2612	(615, 230)	(62, 23)	49
18:06:11.905	53	33.3876	(626, 230)	(63, 23)	49
18:06:11.966	48	33.363	(635, 230)	(64, 23)	49
18:06:12.021	56	33.4631	(645, 230)	(65, 23)	49
18:06:12.085	59	33.4801	(655, 230)	(66, 23)	49
18:06:12.156	55	33.5932	(665, 230)	(67, 23)	49
18:06:12.216	53	33.7305	(680, 230)	(68, 23)	49
18:06:12.274	60	33.7413	(685, 230)	(69, 23)	49
18:06:12.344	54	33.7	(695, 230)	(70, 23)	49
18:06:12.404	48	33.8634	(705, 230)	(71, 23)	49
18:06:12.460	57	33.9868	(715, 230)	(72, 23)	49
18:06:12.524	61	34.171	(725, 230)	(73, 23)	49
18:06:12.594	53	34.1415	(735, 230)	(74, 23)	49
18:06:12.654	58	34.347	(749, 230)	(75, 23)	49
18:06:12.718	61	34.4236	(756, 230)	(76, 23)	49
18:06:12.788	55	34.7428	(766, 230)	(77, 23)	49
18:06:12.848	59	34.5804	(775, 230)	(78, 23)	49
18:06:12.913	63	34.6889	(785, 230)	(79, 23)	49
18:06:12.982	56	34.775	(796, 229)	(80, 23)	49
18:06:13.044	50	34.7729	(805, 229)	(81, 23)	49
18:06:13.099	56	34.8006	(815, 229)	(82, 23)	49
18:06:13.164	60	34.8431	(825, 228)	(83, 23)	49
18:06:13.232	51	34.8363	(835, 228)	(84, 23)	49
18:06:13.286	56	34.9076	(845, 228)	(85, 23)	49
18:06:13.350	62	34.9302	(855, 228)	(86, 23)	49
18:06:13.421	55	35.0413	(865, 228)	(87, 23)	49
18:06:13.481	59	35.0788	(875, 228)	(88, 23)	49
18:06:13.545	62	35.211	(885, 228)	(89, 23)	49
18:06:13.614	58	35.1419	(895, 228)	(90, 23)	49
18:06:13.676	60	35.2212	(905, 228)	(91, 23)	49
18:06:13.747	63	35.2373	(915, 228)	(92, 23)	49
18:06:13.821	56	35.2548	(925, 228)	(93, 23)	49
18:06:13.885	60	35.2484	(935, 228)	(94, 23)	49
18:06:13.956	61	35.2299	(945, 227)	(95, 23)	49
18:06:14.025	62	35.3671	(957, 227)	(96, 23)	49
18:06:14.095	55	35.404	(966, 227)	(97, 23)	49
18:06:14.156	60	35.4033	(975, 227)	(98, 23)	49
18:06:14.226	61	35.4354	(985, 227)	(99, 23)	49
18:06:14.296	58	35.3179	(995, 227)	(100, 23)	49
18:06:14.358	59	35.357	(1005, 227)	(101, 23)	49
18:06:14.428	63	35.2573	(1015, 226)	(102, 23)	49
18:06:14.496	51	35.2241	(1025, 226)	(103, 23)	49
18:06:14.551	60	35.1391	(1035, 226)	(104, 23)	49
18:06:14.616	62	35.1705	(1045, 225)	(105, 23)	49
18:06:14.685	57	35.1329	(1055, 225)	(106, 23)	49
18:06:14.746	50	35.052	(1065, 225)	(107, 23)	49
18:06:14.802	48	35.0061	(1071, 224)	(107, 22)	49
18:06:14.859	54	34.9867	(1075, 224)	(108, 22)	49
18:06:14.920	54	34.9218	(1085, 224)	(109, 22)	49
18:06:14.982	52	35.0127	(1095, 224)	(110, 22)	49
18:06:15.040	64	34.8489	(1105, 224)	(111, 22)	49
18:06:15.110	57	34.7966	(1115, 224)	(112, 22)	49
18:06:15.171	60	34.8016	(1125, 224)	(113, 22)	49
18:06:15.242	62	34.7444	(1135, 224)	(114, 22)	49
18:06:15.311	56	34.6781	(1146, 223)	(115, 22)	49
18:06:15.373	54	34.6978	(1155, 223)	(116, 22)	49
18:06:15.437	62	34.7327	(1165, 223)	(117, 22)	49
18:06:15.506	53	34.6227	(1175, 223)	(118, 22)	49
18:06:15.567	57	34.6086	(1185, 223)	(119, 22)	49
18:06:15.631	61	34.3816	(1195, 223)	(120, 22)	49
18:06:15.701	65	34.3246	(1205, 223)	(121, 22)	49
18:06:15.772	53	34.2634	(1215, 223)	(122, 22)	49
18:06:15.831	58	34.1899	(1225, 223)	(123, 22)	49
18:06:15.895	61	34.0991	(1235, 223)	(124, 22)	49
18:06:15.964	50	33.9639	(1245, 223)	(125, 22)	49
18:06:16.018	59	33.861	(1255, 223)	(126, 22)	49
18:06:16.085	62	33.8406	(1265, 224)	(127, 22)	49
18:06:16.153	56	33.6582	(1275, 224)	(128, 22)	49
18:06:16.214	50	33.5726	(1282, 225)	(128, 23)	49
18:06:16.269	55	33.4926	(1285, 225)	(129, 23)	49
