BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.280275, -0.385944, 0.821547, -0.312304), Translationsvektor: ( -0.0927972, -0.124043, 0.65).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:06:54.526	64	55.3455	(318, 226)	(32, 23)	49
18:06:54.594	72	55.4221	(325, 225)	(33, 23)	49
18:06:54.672	68	55.3307	(335, 225)	(34, 23)	49
18:06:54.747	70	55.6496	(345, 225)	(35, 23)	49
18:06:54.825	75	55.6504	(357, 225)	(36, 23)	49
18:06:54.908	70	55.8849	(372, 225)	(37, 23)	49
18:06:54.983	72	55.6653	(375, 225)	(38, 23)	49
18:06:55.061	75	55.9001	(385, 225)	(39, 23)	49
18:06:55.143	65	55.9427	(395, 225)	(40, 23)	49
18:06:55.212	68	55.9634	(405, 225)	(41, 23)	49
18:06:55.283	71	55.9813	(415, 225)	(42, 23)	49
18:06:55.359	79	55.9698	(425, 225)	(43, 23)	49
18:06:55.444	75	55.969	(435, 226)	(44, 23)	49
18:06:55.527	72	55.9677	(445, 226)	(45, 23)	49
18:06:55.603	73	55.9341	(455, 226)	(46, 23)	49
18:06:55.680	75	55.9215	(465, 227)	(47, 23)	49
18:06:55.764	71	55.9179	(475, 227)	(48, 23)	49
18:06:55.839	72	56.0243	(485, 228)	(49, 23)	49
18:06:55.916	76	55.7071	(495, 228)	(50, 23)	49
18:06:56.000	73	55.8673	(505, 229)	(51, 23)	49
18:06:56.083	75	55.7982	(515, 229)	(52, 23)	49
18:06:56.167	71	55.8527	(525, 229)	(53, 23)	49
18:06:56.242	72	55.6907	(535, 229)	(54, 23)	49
18:06:56.320	74	55.7065	(545, 229)	(55, 23)	49
18:06:56.402	70	55.7507	(555, 229)	(56, 23)	49
18:06:56.480	73	56.2618	(565, 229)	(57, 23)	49
18:06:56.562	71	55.7376	(575, 229)	(58, 23)	49
18:06:56.638	67	55.9538	(585, 229)	(59, 23)	49
18:06:56.716	74	55.9098	(596, 229)	(60, 23)	49
18:06:56.800	71	55.7418	(605, 230)	(61, 23)	49
18:06:56.874	71	55.6049	(615, 230)	(62, 23)	49
18:06:56.953	74	55.7009	(626, 230)	(63, 23)	49
18:06:57.035	69	55.8305	(635, 230)	(64, 23)	49
18:06:57.113	75	55.661	(645, 230)	(65, 23)	49
18:06:57.195	75	55.4677	(655, 230)	(66, 23)	49
18:06:57.278	71	55.631	(665, 230)	(67, 23)	49
18:06:57.355	74	55.488	(680, 230)	(68, 23)	49
18:06:57.441	73	55.6141	(685, 230)	(69, 23)	49
18:06:57.521	72	55.5133	(695, 230)	(70, 23)	49
18:06:57.599	75	55.7028	(705, 230)	(71, 23)	49
18:06:57.683	71	55.7449	(715, 230)	(72, 23)	49
18:06:57.759	76	55.7357	(725, 230)	(73, 23)	49
18:06:57.843	70	55.7133	(735, 230)	(74, 23)	49
18:06:57.918	73	55.8785	(749, 230)	(75, 23)	49
18:06:58.004	74	55.8193	(756, 230)	(76, 23)	49
18:06:58.086	71	55.5916	(766, 230)	(77, 23)	49
18:06:58.160	73	55.7046	(775, 230)	(78, 23)	49
18:06:58.239	73	55.8963	(785, 230)	(79, 23)	49
18:06:58.321	66	55.9273	(796, 229)	(80, 23)	49
18:06:58.389	73	55.9803	(805, 229)	(81, 23)	49
18:06:58.468	70	55.7926	(815, 229)	(82, 23)	49
18:06:58.542	72	56.0461	(825, 228)	(83, 23)	49
18:06:58.620	76	56.0867	(835, 228)	(84, 23)	49
18:06:58.704	70	56.0382	(845, 228)	(85, 23)	49
18:06:58.779	72	56.1428	(855, 228)	(86, 23)	49
18:06:58.857	77	56.299	(865, 228)	(87, 23)	49
18:06:58.943	71	56.4116	(875, 228)	(88, 23)	49
18:06:59.024	75	56.4139	(885, 228)	(89, 23)	49
18:06:59.107	76	56.3274	(895, 228)	(90, 23)	49
18:06:59.190	71	56.5293	(905, 228)	(91, 23)	49
18:06:59.267	75	56.6096	(915, 228)	(92, 23)	49
18:06:59.350	74	56.4637	(925, 228)	(93, 23)	49
18:06:59.433	73	56.4384	(935, 228)	(94, 23)	49
18:06:59.511	76	56.4824	(945, 227)	(95, 23)	49
18:06:59.594	70	56.5145	(957, 227)	(96, 23)	49
18:06:59.669	73	56.3111	(966, 227)	(97, 23)	49
18:06:59.746	74	56.3157	(975, 227)	(98, 23)	49
18:06:59.829	67	56.4707	(985, 227)	(99, 23)	49
18:06:59.905	73	56.5089	(995, 227)	(100, 23)	49
18:06:59.984	69	56.4788	(1005, 227)	(101, 23)	49
18:07:00.058	71	56.3847	(1015, 226)	(102, 23)	49
18:07:00.136	76	56.4637	(1025, 226)	(103, 23)	49
18:07:00.218	72	56.5347	(1035, 226)	(104, 23)	49
18:07:00.295	74	56.4704	(1045, 225)	(105, 23)	49
18:07:00.379	76	56.3061	(1055, 225)	(106, 23)	49
18:07:00.463	71	56.4003	(1065, 225)	(107, 23)	49
18:07:00.538	73	56.3636	(1071, 224)	(107, 22)	49
18:07:00.615	70	56.2699	(1075, 224)	(108, 22)	49
18:07:00.691	68	56.3538	(1085, 224)	(109, 22)	49
18:07:00.772	74	56.1265	(1095, 224)	(110, 22)	49
18:07:00.852	73	56.2809	(1105, 224)	(111, 22)	49
18:07:00.929	74	56.2453	(1115, 224)	(112, 22)	49
18:07:01.013	74	56.1913	(1125, 224)	(113, 22)	49
18:07:01.094	73	56.0761	(1135, 224)	(114, 22)	49
18:07:01.172	74	56.1436	(1146, 223)	(115, 22)	49
18:07:01.255	70	56.1599	(1155, 223)	(116, 22)	49
18:07:01.330	73	56.1618	(1165, 223)	(117, 22)	49
18:07:01.408	76	55.9627	(1175, 223)	(118, 22)	49
18:07:01.493	69	56.0664	(1185, 223)	(119, 22)	49
18:07:01.567	72	56.1449	(1195, 223)	(120, 22)	49
18:07:01.645	75	56.0261	(1205, 223)	(121, 22)	49
18:07:01.728	71	55.8314	(1215, 223)	(122, 22)	49
18:07:01.802	68	56.0073	(1225, 223)	(123, 22)	49
18:07:01.881	75	56.0415	(1235, 223)	(124, 22)	49
18:07:01.964	71	55.9424	(1245, 223)	(125, 22)	49
18:07:02.041	75	55.7877	(1255, 223)	(126, 22)	49
18:07:02.125	71	55.9329	(1265, 224)	(127, 22)	49
18:07:02.201	76	56.0036	(1275, 224)	(128, 22)	49
18:07:02.285	77	56.0339	(1282, 225)	(128, 23)	49
18:07:02.368	70	55.9714	(1285, 225)	(129, 23)	49
18:07:02.443	75	55.812	(1295, 226)	(130, 23)	49
18:07:02.527	77	55.948	(1305, 226)	(131, 23)	49
18:07:02.611	72	56.0603	(1316, 228)	(132, 23)	49
18:07:02.688	74	55.8049	(1326, 228)	(133, 23)	49
18:07:02.772	70	55.7879	(1335, 228)	(134, 23)	49
