BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.280275, -0.385944, 0.821547, -0.312304), Translationsvektor: ( -0.0927972, -0.124043, 0.65).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:04:24.420	163	155.92	(-1, -1)	(-1, -1)	49
18:04:24.592	168	155.857	(-1, -1)	(-1, -1)	49
18:04:24.765	170	155.851	(-1, -1)	(-1, -1)	49
18:04:24.945	169	155.923	(-1, -1)	(-1, -1)	49
18:04:25.120	167	155.881	(-1, -1)	(-1, -1)	49
18:04:25.293	166	155.807	(-1, -1)	(-1, -1)	49
18:04:25.466	165	155.892	(-1, -1)	(-1, -1)	49
18:04:25.641	169	155.876	(-1, -1)	(-1, -1)	49
18:04:25.816	168	155.92	(-1, -1)	(-1, -1)	49
18:04:25.990	167	155.845	(-1, -1)	(-1, -1)	49
18:04:26.160	165	155.878	(-1, -1)	(-1, -1)	49
18:04:26.334	165	155.945	(-1, -1)	(-1, -1)	49
18:04:26.510	168	155.862	(-1, -1)	(-1, -1)	49
18:04:26.683	170	155.905	(-1, -1)	(-1, -1)	49
18:04:26.856	166	155.897	(-1, -1)	(-1, -1)	49
18:04:27.031	169	155.808	(-1, -1)	(-1, -1)	49
18:04:27.205	168	155.948	(-1, -1)	(-1, -1)	49
18:04:27.378	163	156.341	(-1, -1)	(-1, -1)	49
18:04:27.544	164	155.971	(-1, -1)	(-1, -1)	49
18:04:27.719	170	155.902	(-1, -1)	(-1, -1)	49
18:04:27.897	167	155.873	(-1, -1)	(-1, -1)	49
18:04:28.074	168	155.908	(-1, -1)	(-1, -1)	49
18:04:28.247	164	155.919	(-1, -1)	(-1, -1)	49
18:04:28.413	165	156.35	(-1, -1)	(-1, -1)	49
18:04:28.591	168	155.838	(-1, -1)	(-1, -1)	49
18:04:28.769	168	155.905	(-1, -1)	(-1, -1)	49
18:04:28.943	167	155.891	(-1, -1)	(-1, -1)	49
18:04:29.117	167	155.943	(-1, -1)	(-1, -1)	49
18:04:29.289	162	155.941	(-1, -1)	(-1, -1)	49
18:04:29.456	165	155.888	(-1, -1)	(-1, -1)	49
18:04:29.631	168	155.923	(-1, -1)	(-1, -1)	49
18:04:29.804	168	155.766	(-1, -1)	(-1, -1)	49
18:04:29.978	168	155.889	(-1, -1)	(-1, -1)	49
18:04:30.153	167	155.858	(-1, -1)	(-1, -1)	49
18:04:30.325	162	155.896	(-1, -1)	(-1, -1)	49
18:04:30.491	165	155.953	(-1, -1)	(-1, -1)	49
18:04:30.667	169	155.902	(-1, -1)	(-1, -1)	49
18:04:30.841	163	155.814	(-1, -1)	(-1, -1)	49
18:04:31.015	168	155.9	(-1, -1)	(-1, -1)	49
18:04:31.187	165	155.911	(-1, -1)	(-1, -1)	49
18:04:31.361	165	155.866	(-1, -1)	(-1, -1)	49
18:04:31.535	165	155.932	(-1, -1)	(-1, -1)	49
18:04:31.713	167	155.973	(-1, -1)	(-1, -1)	49
18:04:31.890	167	155.866	(-1, -1)	(-1, -1)	49
18:04:32.062	164	155.907	(-1, -1)	(-1, -1)	49
18:04:32.232	167	155.918	(-1, -1)	(-1, -1)	49
18:04:32.404	165	155.86	(-1, -1)	(-1, -1)	49
18:04:32.579	168	155.937	(-1, -1)	(-1, -1)	49
18:04:32.753	167	155.96	(-1, -1)	(-1, -1)	49
18:04:32.926	167	155.829	(-1, -1)	(-1, -1)	49
18:04:33.099	165	155.881	(-1, -1)	(-1, -1)	49
18:04:33.266	164	156.369	(-1, -1)	(-1, -1)	49
18:04:33.442	167	155.861	(-1, -1)	(-1, -1)	49
18:04:33.613	167	155.905	(-1, -1)	(-1, -1)	49
18:04:33.789	168	155.916	(-1, -1)	(-1, -1)	49
18:04:33.969	167	155.898	(-1, -1)	(-1, -1)	49
18:04:34.141	169	155.955	(-1, -1)	(-1, -1)	49
18:04:34.318	166	155.949	(-1, -1)	(-1, -1)	49
18:04:34.491	168	155.886	(-1, -1)	(-1, -1)	49
18:04:34.664	169	155.917	(-1, -1)	(-1, -1)	49
18:04:34.838	168	155.897	(-1, -1)	(-1, -1)	49
18:04:35.010	165	155.857	(-1, -1)	(-1, -1)	49
18:04:35.176	164	155.979	(-1, -1)	(-1, -1)	49
18:04:35.346	167	155.886	(-1, -1)	(-1, -1)	49
18:04:35.520	167	155.922	(-1, -1)	(-1, -1)	49
18:04:35.693	167	155.889	(-1, -1)	(-1, -1)	49
18:04:35.867	169	155.886	(-1, -1)	(-1, -1)	49
18:04:36.040	164	155.915	(-1, -1)	(-1, -1)	49
18:04:36.207	164	155.862	(-1, -1)	(-1, -1)	49
18:04:36.381	167	155.863	(-1, -1)	(-1, -1)	49
18:04:36.557	167	155.927	(-1, -1)	(-1, -1)	49
18:04:36.727	161	155.916	(-1, -1)	(-1, -1)	49
18:04:36.894	164	155.927	(-1, -1)	(-1, -1)	49
18:04:37.062	164	155.845	(-1, -1)	(-1, -1)	49
18:04:37.235	166	155.834	(-1, -1)	(-1, -1)	49
18:04:37.411	169	155.947	(-1, -1)	(-1, -1)	49
18:04:37.584	167	155.89	(-1, -1)	(-1, -1)	49
18:04:37.757	163	155.943	(-1, -1)	(-1, -1)	49
18:04:37.923	168	155.929	(-1, -1)	(-1, -1)	49
18:04:38.099	168	155.888	(-1, -1)	(-1, -1)	49
18:04:38.271	166	155.923	(-1, -1)	(-1, -1)	49
18:04:38.446	166	155.848	(-1, -1)	(-1, -1)	49
18:04:38.618	165	156.393	(-1, -1)	(-1, -1)	49
18:04:38.793	166	155.874	(-1, -1)	(-1, -1)	49
18:04:38.967	167	155.957	(-1, -1)	(-1, -1)	49
18:04:39.142	167	155.896	(-1, -1)	(-1, -1)	49
18:04:39.313	165	155.857	(-1, -1)	(-1, -1)	49
18:04:39.489	167	155.849	(-1, -1)	(-1, -1)	49
18:04:39.661	161	155.918	(-1, -1)	(-1, -1)	49
18:04:39.828	165	155.909	(-1, -1)	(-1, -1)	49
18:04:40.003	168	155.933	(-1, -1)	(-1, -1)	49
18:04:40.177	168	155.888	(-1, -1)	(-1, -1)	49
18:04:40.351	165	155.944	(-1, -1)	(-1, -1)	49
18:04:40.525	166	155.932	(-1, -1)	(-1, -1)	49
18:04:40.696	165	155.834	(-1, -1)	(-1, -1)	49
18:04:40.864	166	155.853	(-1, -1)	(-1, -1)	49
18:04:41.039	168	155.88	(-1, -1)	(-1, -1)	49
18:04:41.212	167	155.874	(-1, -1)	(-1, -1)	49
18:04:41.384	163	155.95	(-1, -1)	(-1, -1)	49
18:04:41.552	164	155.91	(-1, -1)	(-1, -1)	49
18:04:41.720	168	155.866	(-1, -1)	(-1, -1)	49
18:04:41.896	169	155.847	(-1, -1)	(-1, -1)	49
18:04:42.075	169	155.908	(-1, -1)	(-1, -1)	49
18:04:42.249	166	155.933	(-1, -1)	(-1, -1)	49
18:04:42.420	167	155.956	(-1, -1)	(-1, -1)	49
18:04:42.594	166	155.839	(-1, -1)	(-1, -1)	49
18:04:42.769	165	155.886	(-1, -1)	(-1, -1)	49
18:04:42.944	170	155.927	(-1, -1)	(-1, -1)	49
18:04:43.125	168	155.846	(-1, -1)	(-1, -1)	49
18:04:43.298	167	155.913	(-1, -1)	(-1, -1)	49
18:04:43.471	169	155.969	(-1, -1)	(-1, -1)	49
18:04:43.644	167	155.904	(-1, -1)	(-1, -1)	49
18:04:43.820	168	155.882	(-1, -1)	(-1, -1)	49
18:04:43.993	169	155.916	(-1, -1)	(-1, -1)	49
18:04:44.168	167	155.882	(-1, -1)	(-1, -1)	49
18:04:44.341	169	155.823	(-1, -1)	(-1, -1)	49
18:04:44.513	162	155.895	(-1, -1)	(-1, -1)	49
18:04:44.682	163	155.957	(-1, -1)	(-1, -1)	49
18:04:44.854	165	155.844	(-1, -1)	(-1, -1)	49
18:04:45.029	169	155.885	(-1, -1)	(-1, -1)	49
18:04:45.203	168	155.869	(-1, -1)	(-1, -1)	49
18:04:45.377	167	155.927	(-1, -1)	(-1, -1)	49
18:04:45.549	164	155.866	(-1, -1)	(-1, -1)	49
18:04:45.723	166	155.88	(-1, -1)	(-1, -1)	49
18:04:45.900	168	155.919	(-1, -1)	(-1, -1)	49
18:04:46.072	166	155.841	(-1, -1)	(-1, -1)	49
18:04:46.243	163	155.915	(-1, -1)	(-1, -1)	49
18:04:46.411	165	155.867	(-1, -1)	(-1, -1)	49
18:04:46.586	165	155.917	(-1, -1)	(-1, -1)	49
18:04:46.760	168	155.885	(-1, -1)	(-1, -1)	49
18:04:46.934	169	155.86	(-1, -1)	(-1, -1)	49
18:04:47.108	168	155.855	(-1, -1)	(-1, -1)	49
18:04:47.280	169	155.896	(-1, -1)	(-1, -1)	49
18:04:47.455	165	155.842	(-1, -1)	(-1, -1)	49
18:04:47.627	162	155.939	(-1, -1)	(-1, -1)	49
18:04:47.796	168	155.888	(-1, -1)	(-1, -1)	49
18:04:47.970	168	155.856	(-1, -1)	(-1, -1)	49
18:04:48.143	166	155.855	(-1, -1)	(-1, -1)	49
18:04:48.316	165	155.887	(-1, -1)	(-1, -1)	49
18:04:48.490	164	155.819	(-1, -1)	(-1, -1)	49
18:04:48.664	165	155.928	(-1, -1)	(-1, -1)	49
18:04:48.839	166	155.939	(-1, -1)	(-1, -1)	49
18:04:49.012	166	155.886	(-1, -1)	(-1, -1)	49
18:04:49.184	162	155.875	(-1, -1)	(-1, -1)	49
18:04:49.351	163	155.97	(-1, -1)	(-1, -1)	49
18:04:49.520	168	155.89	(-1, -1)	(-1, -1)	49
18:04:49.693	169	155.876	(-1, -1)	(-1, -1)	49
18:04:49.868	167	155.901	(-1, -1)	(-1, -1)	49
18:04:50.040	166	155.921	(-1, -1)	(-1, -1)	49
18:04:50.213	166	155.88	(-1, -1)	(-1, -1)	49
18:04:50.388	165	155.906	(-1, -1)	(-1, -1)	49
18:04:50.562	169	155.921	(-1, -1)	(-1, -1)	49
18:04:50.735	164	155.929	(-1, -1)	(-1, -1)	49
18:04:50.902	161	155.97	(-1, -1)	(-1, -1)	49
18:04:51.068	164	155.938	(-1, -1)	(-1, -1)	49
18:04:51.240	165	155.852	(-1, -1)	(-1, -1)	49
18:04:51.411	168	155.879	(-1, -1)	(-1, -1)	49
18:04:51.587	167	155.898	(-1, -1)	(-1, -1)	49
18:04:51.765	169	155.869	(-1, -1)	(-1, -1)	49
18:04:51.939	168	155.897	(-1, -1)	(-1, -1)	49
18:04:52.112	166	155.847	(-1, -1)	(-1, -1)	49
18:04:52.288	166	155.868	(-1, -1)	(-1, -1)	49
18:04:52.460	169	155.862	(-1, -1)	(-1, -1)	49
18:04:52.634	169	155.89	(-1, -1)	(-1, -1)	49
18:04:52.807	163	155.93	(-1, -1)	(-1, -1)	49
18:04:52.974	166	155.938	(-1, -1)	(-1, -1)	49
18:04:53.150	168	155.878	(-1, -1)	(-1, -1)	49
18:04:53.331	175	155.915	(-1, -1)	(-1, -1)	49
18:04:53.510	168	155.863	(-1, -1)	(-1, -1)	49
18:04:53.684	168	155.909	(-1, -1)	(-1, -1)	49
18:04:53.857	165	155.943	(-1, -1)	(-1, -1)	49
18:04:54.031	162	155.92	(-1, -1)	(-1, -1)	49
18:04:54.197	165	155.907	(-1, -1)	(-1, -1)	49
18:04:54.373	167	155.882	(-1, -1)	(-1, -1)	49
18:04:54.546	167	155.946	(-1, -1)	(-1, -1)	49
18:04:54.720	168	155.949	(-1, -1)	(-1, -1)	49
18:04:54.892	164	155.995	(-1, -1)	(-1, -1)	49
18:04:55.068	168	155.861	(-1, -1)	(-1, -1)	49
18:04:55.243	169	155.883	(-1, -1)	(-1, -1)	49
18:04:55.422	165	155.964	(-1, -1)	(-1, -1)	49
18:04:55.594	163	155.986	(-1, -1)	(-1, -1)	49
18:04:55.762	169	155.885	(-1, -1)	(-1, -1)	49
18:04:55.936	168	155.917	(-1, -1)	(-1, -1)	49
18:04:56.109	166	155.901	(-1, -1)	(-1, -1)	49
18:04:56.283	165	155.897	(-1, -1)	(-1, -1)	49
18:04:56.461	166	155.92	(-1, -1)	(-1, -1)	49
18:04:56.639	168	155.878	(-1, -1)	(-1, -1)	49
18:04:56.812	169	155.854	(-1, -1)	(-1, -1)	49
18:04:56.987	166	155.869	(-1, -1)	(-1, -1)	49
18:04:57.158	163	155.952	(-1, -1)	(-1, -1)	49
18:04:57.328	166	155.818	(-1, -1)	(-1, -1)	49
18:04:57.501	168	155.906	(-1, -1)	(-1, -1)	49
18:04:57.675	168	155.884	(-1, -1)	(-1, -1)	49
18:04:57.847	165	155.834	(-1, -1)	(-1, -1)	49
18:04:58.014	166	155.948	(-1, -1)	(-1, -1)	49
18:04:58.189	168	155.873	(-1, -1)	(-1, -1)	49
18:04:58.363	167	155.805	(-1, -1)	(-1, -1)	49
18:04:58.536	167	155.906	(-1, -1)	(-1, -1)	49
18:04:58.708	164	155.818	(-1, -1)	(-1, -1)	49
18:04:58.875	161	155.893	(-1, -1)	(-1, -1)	49
18:04:59.042	164	155.951	(-1, -1)	(-1, -1)	49
18:04:59.218	170	155.817	(-1, -1)	(-1, -1)	49
18:04:59.399	169	155.957	(-1, -1)	(-1, -1)	49
18:04:59.573	167	155.899	(-1, -1)	(-1, -1)	49
18:04:59.746	168	155.888	(-1, -1)	(-1, -1)	49
18:04:59.920	166	155.922	(-1, -1)	(-1, -1)	49
18:05:00.093	170	155.914	(-1, -1)	(-1, -1)	49
18:05:00.267	167	155.864	(-1, -1)	(-1, -1)	49
18:05:00.442	169	155.876	(-1, -1)	(-1, -1)	49
18:05:00.621	169	155.916	(-1, -1)	(-1, -1)	49
18:05:00.795	169	155.912	(-1, -1)	(-1, -1)	49
18:05:00.969	168	155.876	(-1, -1)	(-1, -1)	49
18:05:01.142	164	155.888	(-1, -1)	(-1, -1)	49
18:05:01.317	168	155.864	(-1, -1)	(-1, -1)	49
18:05:01.491	169	155.939	(-1, -1)	(-1, -1)	49
18:05:01.665	167	155.921	(-1, -1)	(-1, -1)	49
18:05:01.836	163	155.885	(-1, -1)	(-1, -1)	49
18:05:02.004	165	155.926	(-1, -1)	(-1, -1)	49
18:05:02.178	166	155.956	(-1, -1)	(-1, -1)	49
18:05:02.356	168	155.904	(-1, -1)	(-1, -1)	49
18:05:02.535	169	155.898	(-1, -1)	(-1, -1)	49
18:05:02.715	167	155.925	(-1, -1)	(-1, -1)	49
18:05:02.888	168	155.886	(-1, -1)	(-1, -1)	49
18:05:03.061	169	155.9	(-1, -1)	(-1, -1)	49
18:05:03.234	165	155.831	(-1, -1)	(-1, -1)	49
18:05:03.412	168	155.86	(-1, -1)	(-1, -1)	49
18:05:03.591	168	155.97	(-1, -1)	(-1, -1)	49
18:05:03.764	168	155.863	(-1, -1)	(-1, -1)	49
18:05:03.937	168	155.836	(-1, -1)	(-1, -1)	49
18:05:04.110	168	155.898	(-1, -1)	(-1, -1)	49
18:05:04.287	166	155.892	(-1, -1)	(-1, -1)	49
18:05:04.466	167	155.855	(-1, -1)	(-1, -1)	49
18:05:04.640	168	155.842	(-1, -1)	(-1, -1)	49
18:05:04.813	169	155.913	(-1, -1)	(-1, -1)	49
18:05:04.986	163	155.973	(-1, -1)	(-1, -1)	49
18:05:05.155	165	155.95	(-1, -1)	(-1, -1)	49
18:05:05.335	165	155.861	(-1, -1)	(-1, -1)	49
18:05:05.531	165	155.843	(-1, -1)	(-1, -1)	49
18:05:05.709	166	155.896	(-1, -1)	(-1, -1)	49
18:05:05.884	164	155.932	(-1, -1)	(-1, -1)	49
18:05:06.058	167	155.873	(-1, -1)	(-1, -1)	49
18:05:06.230	163	155.917	(-1, -1)	(-1, -1)	49
18:05:06.398	166	155.862	(-1, -1)	(-1, -1)	49
18:05:06.577	168	155.916	(-1, -1)	(-1, -1)	49
18:05:06.753	169	155.932	(-1, -1)	(-1, -1)	49
18:05:06.928	168	155.893	(-1, -1)	(-1, -1)	49
18:05:07.108	169	155.853	(-1, -1)	(-1, -1)	49
18:05:07.281	163	155.92	(-1, -1)	(-1, -1)	49
18:05:07.456	165	155.884	(-1, -1)	(-1, -1)	49
18:05:07.629	167	155.851	(-1, -1)	(-1, -1)	49
18:05:07.803	169	155.898	(-1, -1)	(-1, -1)	49
18:05:07.977	167	155.866	(-1, -1)	(-1, -1)	49
18:05:08.151	167	155.857	(-1, -1)	(-1, -1)	49
18:05:08.323	163	155.981	(-1, -1)	(-1, -1)	49
18:05:08.491	165	155.862	(-1, -1)	(-1, -1)	49
18:05:08.665	169	155.838	(-1, -1)	(-1, -1)	49
18:05:08.839	168	155.948	(-1, -1)	(-1, -1)	49
18:05:09.012	169	155.947	(-1, -1)	(-1, -1)	49
18:05:09.185	165	155.842	(-1, -1)	(-1, -1)	49
18:05:09.359	164	156.305	(-1, -1)	(-1, -1)	49
18:05:09.534	169	155.89	(-1, -1)	(-1, -1)	49
18:05:09.709	168	155.95	(-1, -1)	(-1, -1)	49
