BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00927681, 0.775348, -0.00906515, -0.631399), Translationsvektor: ( 0.326116, -0.188361, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:52:48.382	29	12.0582	(318, 226)	(32, 23)	62
15:52:48.413	26	12.203	(325, 225)	(33, 23)	62
15:52:48.441	26	12.3939	(335, 225)	(34, 23)	62
15:52:48.468	31	12.5575	(345, 225)	(35, 23)	62
15:52:48.504	32	12.7209	(357, 225)	(36, 23)	62
15:52:48.538	33	12.9326	(372, 225)	(37, 23)	62
15:52:48.582	29	13.019	(375, 225)	(38, 23)	62
15:52:48.614	27	13.2572	(385, 225)	(39, 23)	62
15:52:48.649	30	13.3764	(395, 225)	(40, 23)	62
15:52:48.684	34	13.5101	(405, 225)	(41, 23)	62
15:52:48.726	33	13.6603	(415, 225)	(42, 23)	62
15:52:48.761	34	13.7852	(425, 225)	(43, 23)	62
15:52:48.803	33	13.9664	(435, 226)	(44, 23)	62
15:52:48.845	33	14.0163	(445, 226)	(45, 23)	62
15:52:48.886	34	14.2399	(455, 226)	(46, 23)	62
15:52:48.928	33	14.3489	(465, 227)	(47, 23)	62
15:52:48.969	35	14.5618	(475, 227)	(48, 23)	62
15:52:49.012	31	14.6194	(485, 228)	(49, 23)	62
15:52:49.045	34	14.7321	(495, 228)	(50, 23)	62
15:52:49.087	36	14.7544	(505, 229)	(51, 23)	62
15:52:49.130	36	14.8249	(515, 229)	(52, 23)	62
15:52:49.172	35	14.8554	(525, 229)	(53, 23)	62
15:52:49.213	30	15.0327	(535, 229)	(54, 23)	62
15:52:49.247	30	15.0668	(545, 229)	(55, 23)	62
15:52:49.282	31	15.0819	(555, 229)	(56, 23)	62
15:52:49.317	31	15.1098	(565, 229)	(57, 23)	62
15:52:49.353	29	15.131	(575, 229)	(58, 23)	62
15:52:49.388	30	15.2121	(585, 229)	(59, 23)	62
15:52:49.421	29	15.2579	(596, 229)	(60, 23)	62
15:52:49.457	30	15.3036	(605, 230)	(61, 23)	62
15:52:49.491	35	15.2794	(615, 230)	(62, 23)	62
15:52:49.532	30	15.3252	(626, 230)	(63, 23)	62
15:52:49.567	31	15.3716	(635, 230)	(64, 23)	62
15:52:49.611	29	15.4886	(645, 230)	(65, 23)	62
15:52:49.659	29	15.6074	(655, 230)	(66, 23)	62
15:52:49.692	30	15.5659	(665, 230)	(67, 23)	62
15:52:49.741	28	15.6473	(680, 230)	(68, 23)	62
15:52:49.776	30	15.7419	(685, 230)	(69, 23)	62
15:52:49.810	30	15.7436	(695, 230)	(70, 23)	62
15:52:49.844	29	15.7425	(705, 230)	(71, 23)	62
15:52:49.880	29	15.6807	(715, 230)	(72, 23)	62
15:52:49.914	30	15.6794	(725, 230)	(73, 23)	62
15:52:49.949	30	15.6544	(735, 230)	(74, 23)	62
15:52:49.983	31	15.6686	(749, 230)	(75, 23)	62
15:52:50.019	32	15.9924	(756, 230)	(76, 23)	62
15:52:50.053	30	15.7421	(766, 230)	(77, 23)	62
15:52:50.088	29	15.7553	(775, 230)	(78, 23)	62
15:52:50.123	29	15.7239	(785, 230)	(79, 23)	62
15:52:50.157	37	15.6707	(796, 229)	(80, 23)	62
15:52:50.201	34	15.6228	(805, 229)	(81, 23)	62
15:52:50.242	34	15.596	(815, 229)	(82, 23)	62
15:52:50.283	35	15.8713	(825, 228)	(83, 23)	62
15:52:50.325	35	15.6049	(835, 228)	(84, 23)	62
15:52:50.367	34	15.8849	(845, 228)	(85, 23)	62
15:52:50.409	29	15.5806	(855, 228)	(86, 23)	62
15:52:50.443	29	15.5677	(865, 228)	(87, 23)	62
15:52:50.477	29	15.4856	(875, 228)	(88, 23)	62
15:52:50.512	34	15.435	(885, 228)	(89, 23)	62
15:52:50.555	36	15.4197	(895, 228)	(90, 23)	62
15:52:50.597	36	15.4016	(905, 228)	(91, 23)	62
15:52:50.638	33	15.4239	(915, 228)	(92, 23)	62
15:52:50.679	31	15.471	(925, 228)	(93, 23)	62
15:52:50.713	32	15.4649	(935, 228)	(94, 23)	62
15:52:50.749	32	15.3693	(945, 227)	(95, 23)	62
15:52:50.784	31	15.3345	(957, 227)	(96, 23)	62
15:52:50.819	31	15.2923	(966, 227)	(97, 23)	62
15:52:50.853	31	15.329	(975, 227)	(98, 23)	62
15:52:50.888	32	15.2926	(985, 227)	(99, 23)	62
15:52:50.923	30	15.3517	(995, 227)	(100, 23)	62
15:52:50.957	32	15.2653	(1005, 227)	(101, 23)	62
15:52:50.992	32	15.2519	(1015, 226)	(102, 23)	62
15:52:51.028	31	15.1136	(1025, 226)	(103, 23)	62
15:52:51.061	31	15.2281	(1035, 226)	(104, 23)	62
15:52:51.096	32	15.115	(1045, 225)	(105, 23)	62
15:52:51.131	31	15.1074	(1055, 225)	(106, 23)	62
15:52:51.166	31	15.0661	(1065, 225)	(107, 23)	62
15:52:51.200	32	15.0385	(1071, 224)	(107, 22)	62
15:52:51.236	31	15.3433	(1075, 224)	(108, 22)	62
15:52:51.271	31	14.812	(1085, 224)	(109, 22)	62
15:52:51.305	31	14.7381	(1095, 224)	(110, 22)	62
15:52:51.339	32	14.7335	(1105, 224)	(111, 22)	62
15:52:51.375	31	14.6904	(1115, 224)	(112, 22)	62
15:52:51.409	31	14.6061	(1125, 224)	(113, 22)	62
15:52:51.444	29	14.431	(1135, 224)	(114, 22)	62
15:52:51.478	28	14.2646	(1146, 223)	(115, 22)	62
15:52:51.513	32	14.212	(1155, 223)	(116, 22)	62
15:52:51.549	32	14.0757	(1165, 223)	(117, 22)	62
15:52:51.584	31	13.9913	(1175, 223)	(118, 22)	62
15:52:51.618	28	14.0173	(1185, 223)	(119, 22)	62
15:52:51.652	29	13.8516	(1195, 223)	(120, 22)	62
15:52:51.687	28	13.6493	(1205, 223)	(121, 22)	62
15:52:51.722	28	13.4741	(1215, 223)	(122, 22)	62
15:52:51.756	30	13.4081	(1225, 223)	(123, 22)	62
15:52:51.791	32	13.1142	(1235, 223)	(124, 22)	62
15:52:51.827	34	12.9545	(1245, 223)	(125, 22)	62
15:52:51.869	30	12.7661	(1255, 223)	(126, 22)	62
15:52:51.903	29	12.6517	(1265, 224)	(127, 22)	62
15:52:51.938	27	12.4787	(1275, 224)	(128, 22)	62
15:52:51.972	29	12.4046	(1282, 225)	(128, 23)	62
15:52:52.007	28	12.3841	(1285, 225)	(129, 23)	62
15:52:52.042	29	12.2391	(1295, 226)	(130, 23)	62
15:52:52.076	28	12.0862	(1305, 226)	(131, 23)	62
15:52:52.111	28	12.0557	(1316, 228)	(132, 23)	62
15:52:52.146	28	11.7458	(1326, 228)	(133, 23)	62
15:52:52.181	26	11.5212	(1335, 228)	(134, 23)	62
15:52:52.215	27	11.3461	(1345, 229)	(135, 23)	62
15:52:52.250	28	11.236	(1355, 230)	(136, 23)	62
15:52:52.286	27	10.849	(1366, 230)	(137, 23)	62
15:52:52.320	26	10.7061	(1375, 230)	(138, 23)	62
15:52:52.355	25	10.5717	(1386, 231)	(139, 23)	62
15:52:52.382	26	10.3394	(1395, 231)	(140, 23)	62
15:52:52.417	26	10.1144	(1405, 232)	(141, 23)	62
