BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00927681, 0.775348, -0.00906515, -0.631399), Translationsvektor: ( 0.326116, -0.188361, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:53:22.135	23	11.5641	(318, 226)	(32, 23)	62
15:53:22.164	23	11.7216	(325, 225)	(33, 23)	62
15:53:22.192	22	11.7895	(335, 225)	(34, 23)	62
15:53:22.219	27	11.9096	(345, 225)	(35, 23)	62
15:53:22.256	28	11.8828	(357, 225)	(36, 23)	62
15:53:22.290	29	12.0861	(372, 225)	(37, 23)	62
15:53:22.323	23	12.0089	(375, 225)	(38, 23)	62
15:53:22.352	23	12.1363	(385, 225)	(39, 23)	62
15:53:22.379	23	12.215	(395, 225)	(40, 23)	62
15:53:22.407	24	12.2136	(405, 225)	(41, 23)	62
15:53:22.435	23	12.2471	(415, 225)	(42, 23)	62
15:53:22.463	24	12.3218	(425, 225)	(43, 23)	62
15:53:22.491	23	12.3396	(435, 226)	(44, 23)	62
15:53:22.522	24	12.3021	(445, 226)	(45, 23)	62
15:53:22.557	25	12.2236	(455, 226)	(46, 23)	62
15:53:22.590	23	12.3991	(465, 227)	(47, 23)	62
15:53:22.616	22	12.4135	(475, 227)	(48, 23)	62
15:53:22.645	21	12.4163	(485, 228)	(49, 23)	62
15:53:22.671	21	12.5446	(495, 228)	(50, 23)	62
15:53:22.699	21	12.6062	(505, 229)	(51, 23)	62
15:53:22.727	23	12.6268	(515, 229)	(52, 23)	62
15:53:22.756	23	12.6843	(525, 229)	(53, 23)	62
15:53:22.783	23	12.7256	(535, 229)	(54, 23)	62
15:53:22.810	23	12.8433	(545, 229)	(55, 23)	62
15:53:22.838	23	12.9132	(555, 229)	(56, 23)	62
15:53:22.867	22	12.8219	(565, 229)	(57, 23)	62
15:53:22.894	23	12.7849	(575, 229)	(58, 23)	62
15:53:22.921	23	12.7729	(585, 229)	(59, 23)	62
15:53:22.950	21	12.7833	(596, 229)	(60, 23)	62
15:53:22.978	21	12.7218	(605, 230)	(61, 23)	62
15:53:23.005	22	12.6767	(615, 230)	(62, 23)	62
15:53:23.032	22	12.7467	(626, 230)	(63, 23)	62
15:53:23.060	24	12.6856	(635, 230)	(64, 23)	62
15:53:23.088	26	12.7332	(645, 230)	(65, 23)	62
15:53:23.123	26	12.6399	(655, 230)	(66, 23)	62
15:53:23.158	26	12.7567	(665, 230)	(67, 23)	62
15:53:23.193	25	12.6212	(680, 230)	(68, 23)	62
15:53:23.228	22	12.7517	(685, 230)	(69, 23)	62
15:53:23.255	23	12.6139	(695, 230)	(70, 23)	62
15:53:23.284	22	12.6757	(705, 230)	(71, 23)	62
15:53:23.311	22	12.5821	(715, 230)	(72, 23)	62
15:53:23.338	23	12.5908	(725, 230)	(73, 23)	62
15:53:23.366	22	12.5224	(735, 230)	(74, 23)	62
15:53:23.395	24	12.6301	(749, 230)	(75, 23)	62
15:53:23.422	22	12.599	(756, 230)	(76, 23)	62
15:53:23.449	23	12.605	(766, 230)	(77, 23)	62
15:53:23.477	24	12.6281	(775, 230)	(78, 23)	62
15:53:23.505	22	12.6935	(785, 230)	(79, 23)	62
15:53:23.533	21	12.7321	(796, 229)	(80, 23)	62
15:53:23.560	23	12.7726	(805, 229)	(81, 23)	62
15:53:23.589	28	12.6693	(815, 229)	(82, 23)	62
15:53:23.624	26	12.867	(825, 228)	(83, 23)	62
