BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00927681, 0.775348, -0.00906515, -0.631399), Translationsvektor: ( 0.326116, -0.188361, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:51:39.060	34	27.0557	(-1, -1)	(-1, -1)	62
15:51:39.099	37	27.0606	(-1, -1)	(-1, -1)	62
15:51:39.140	38	27.0344	(-1, -1)	(-1, -1)	62
15:51:39.181	39	27.0705	(-1, -1)	(-1, -1)	62
15:51:39.229	36	27.0313	(-1, -1)	(-1, -1)	62
15:51:39.271	33	27.1153	(-1, -1)	(-1, -1)	62
15:51:39.313	36	27.0419	(-1, -1)	(-1, -1)	62
15:51:39.354	37	27.0375	(-1, -1)	(-1, -1)	62
15:51:39.396	36	27.0778	(-1, -1)	(-1, -1)	62
15:51:39.438	34	27.0305	(-1, -1)	(-1, -1)	62
15:51:39.479	35	27.1224	(-1, -1)	(-1, -1)	62
15:51:39.524	36	27.0481	(-1, -1)	(-1, -1)	62
15:51:39.564	35	27.0316	(-1, -1)	(-1, -1)	62
15:51:39.606	36	27.0286	(-1, -1)	(-1, -1)	62
15:51:39.649	35	27.076	(-1, -1)	(-1, -1)	62
15:51:39.689	34	27.0859	(-1, -1)	(-1, -1)	62
15:51:39.732	40	27.0233	(-1, -1)	(-1, -1)	62
15:51:39.780	38	27.0178	(-1, -1)	(-1, -1)	62
15:51:39.823	37	27.0317	(-1, -1)	(-1, -1)	62
15:51:39.871	34	27.0465	(-1, -1)	(-1, -1)	62
15:51:39.910	34	27.0932	(-1, -1)	(-1, -1)	62
15:51:39.952	34	27.0981	(-1, -1)	(-1, -1)	62
15:51:40.051	34	27.0471	(-1, -1)	(-1, -1)	62
15:51:40.092	34	27.0384	(-1, -1)	(-1, -1)	62
15:51:40.133	35	27.0397	(-1, -1)	(-1, -1)	62
15:51:40.179	38	27.0412	(-1, -1)	(-1, -1)	62
15:51:40.225	38	27.035	(-1, -1)	(-1, -1)	62
15:51:40.275	39	27.0538	(-1, -1)	(-1, -1)	62
15:51:40.321	35	27.0357	(-1, -1)	(-1, -1)	62
15:51:40.363	35	27.1836	(-1, -1)	(-1, -1)	62
15:51:40.406	39	27.0476	(-1, -1)	(-1, -1)	62
15:51:40.454	39	27.0593	(-1, -1)	(-1, -1)	62
15:51:40.502	35	27.0625	(-1, -1)	(-1, -1)	62
15:51:40.544	34	27.0504	(-1, -1)	(-1, -1)	62
15:51:40.584	36	27.0222	(-1, -1)	(-1, -1)	62
15:51:40.627	36	27.0637	(-1, -1)	(-1, -1)	62
15:51:40.669	36	27.0348	(-1, -1)	(-1, -1)	62
15:51:40.711	34	27.063	(-1, -1)	(-1, -1)	62
15:51:40.752	33	27.1077	(-1, -1)	(-1, -1)	62
15:51:40.787	33	27.1049	(-1, -1)	(-1, -1)	62
15:51:40.829	36	27.0763	(-1, -1)	(-1, -1)	62
15:51:40.872	42	27.0948	(-1, -1)	(-1, -1)	62
15:51:40.922	39	27.0582	(-1, -1)	(-1, -1)	62
15:51:40.968	35	27.0714	(-1, -1)	(-1, -1)	62
15:51:41.009	35	27.0994	(-1, -1)	(-1, -1)	62
15:51:41.055	39	27.0268	(-1, -1)	(-1, -1)	62
15:51:41.101	39	27.0702	(-1, -1)	(-1, -1)	62
15:51:41.153	37	27.0834	(-1, -1)	(-1, -1)	62
15:51:41.196	37	27.045	(-1, -1)	(-1, -1)	62
15:51:41.242	38	27.0347	(-1, -1)	(-1, -1)	62
15:51:41.288	35	27.0883	(-1, -1)	(-1, -1)	62
15:51:41.331	39	27.0785	(-1, -1)	(-1, -1)	62
15:51:41.379	35	27.0182	(-1, -1)	(-1, -1)	62
15:51:41.420	34	27.0356	(-1, -1)	(-1, -1)	62
15:51:41.462	39	27.0062	(-1, -1)	(-1, -1)	62
15:51:41.512	40	27.0622	(-1, -1)	(-1, -1)	62
15:51:41.561	39	27.064	(-1, -1)	(-1, -1)	62
15:51:41.607	36	27.0305	(-1, -1)	(-1, -1)	62
15:51:41.650	39	27.0277	(-1, -1)	(-1, -1)	62
15:51:41.698	40	27.0572	(-1, -1)	(-1, -1)	62
15:51:41.748	40	27.0253	(-1, -1)	(-1, -1)	62
15:51:41.795	34	27.1123	(-1, -1)	(-1, -1)	62
15:51:41.836	36	27.0544	(-1, -1)	(-1, -1)	62
15:51:41.878	35	27.0244	(-1, -1)	(-1, -1)	62
15:51:41.919	38	27.0459	(-1, -1)	(-1, -1)	62
15:51:41.965	38	27.0923	(-1, -1)	(-1, -1)	62
15:51:42.010	34	27.1087	(-1, -1)	(-1, -1)	62
15:51:42.051	33	27.0987	(-1, -1)	(-1, -1)	62
15:51:42.086	35	27.0773	(-1, -1)	(-1, -1)	62
15:51:42.128	37	27.0745	(-1, -1)	(-1, -1)	62
15:51:42.172	41	27.036	(-1, -1)	(-1, -1)	62
15:51:42.218	35	27.0601	(-1, -1)	(-1, -1)	62
15:51:42.260	34	27.1307	(-1, -1)	(-1, -1)	62
15:51:42.303	41	27.0723	(-1, -1)	(-1, -1)	62
15:51:42.352	38	27.0164	(-1, -1)	(-1, -1)	62
15:51:42.399	34	27.1441	(-1, -1)	(-1, -1)	62
15:51:42.440	33	27.1299	(-1, -1)	(-1, -1)	62
15:51:42.475	34	27.0901	(-1, -1)	(-1, -1)	62
15:51:42.517	37	27.0356	(-1, -1)	(-1, -1)	62
15:51:42.561	41	27.0375	(-1, -1)	(-1, -1)	62
