BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00927681, 0.775348, -0.00906515, -0.631399), Translationsvektor: ( 0.326116, -0.188361, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:56:38.031	30	13.7738	(318, 226)	(32, 23)	62
15:56:38.064	28	13.9021	(325, 225)	(33, 23)	62
15:56:38.098	29	14.0341	(335, 225)	(34, 23)	62
15:56:38.134	35	14.1185	(345, 225)	(35, 23)	62
15:56:38.179	35	14.3313	(357, 225)	(36, 23)	62
15:56:38.217	36	14.5406	(372, 225)	(37, 23)	62
15:56:38.259	30	14.6747	(375, 225)	(38, 23)	62
15:56:38.293	36	14.8126	(385, 225)	(39, 23)	62
15:56:38.336	39	14.8833	(395, 225)	(40, 23)	62
15:56:38.384	35	15.0736	(405, 225)	(41, 23)	62
15:56:38.425	34	15.2516	(415, 225)	(42, 23)	62
15:56:38.467	35	15.7015	(425, 225)	(43, 23)	62
15:56:38.509	33	15.4698	(435, 226)	(44, 23)	62
15:56:38.550	35	15.5713	(445, 226)	(45, 23)	62
15:56:38.592	35	15.6879	(455, 226)	(46, 23)	62
15:56:38.634	34	15.7249	(465, 227)	(47, 23)	62
15:56:38.676	30	15.9576	(475, 227)	(48, 23)	62
15:56:38.710	36	15.9514	(485, 228)	(49, 23)	62
15:56:38.753	36	15.952	(495, 228)	(50, 23)	62
15:56:38.794	36	16.04	(505, 229)	(51, 23)	62
15:56:38.836	38	16.1693	(515, 229)	(52, 23)	62
15:56:38.879	33	16.2081	(525, 229)	(53, 23)	62
15:56:38.919	40	16.3036	(535, 229)	(54, 23)	62
15:56:38.969	43	16.3465	(545, 229)	(55, 23)	62
15:56:39.017	43	16.4363	(555, 229)	(56, 23)	62
15:56:39.066	34	16.5083	(565, 229)	(57, 23)	62
15:56:39.106	32	16.6618	(575, 229)	(58, 23)	62
15:56:39.141	31	16.6852	(585, 229)	(59, 23)	62
15:56:39.176	35	16.7452	(596, 229)	(60, 23)	62
15:56:39.218	39	16.744	(605, 230)	(61, 23)	62
15:56:39.267	37	16.8159	(615, 230)	(62, 23)	62
15:56:39.308	32	16.9867	(626, 230)	(63, 23)	62
15:56:39.342	31	17.081	(635, 230)	(64, 23)	62
15:56:39.377	34	17.0597	(645, 230)	(65, 23)	62
15:56:39.419	36	17.0687	(655, 230)	(66, 23)	62
15:56:39.461	42	17.2129	(665, 230)	(67, 23)	62
15:56:39.511	36	17.3099	(680, 230)	(68, 23)	62
15:56:39.552	36	17.6037	(685, 230)	(69, 23)	62
15:56:39.593	37	17.3679	(695, 230)	(70, 23)	62
15:56:39.636	45	17.3859	(705, 230)	(71, 23)	62
15:56:39.692	39	17.444	(715, 230)	(72, 23)	62
15:56:39.739	34	17.5354	(725, 230)	(73, 23)	62
15:56:39.781	38	17.4347	(735, 230)	(74, 23)	62
15:56:39.823	39	17.5056	(749, 230)	(75, 23)	62
15:56:39.872	41	17.535	(756, 230)	(76, 23)	62
15:56:39.922	39	17.5359	(766, 230)	(77, 23)	62
15:56:39.968	41	17.5883	(775, 230)	(78, 23)	62
15:56:40.018	45	17.4822	(785, 230)	(79, 23)	62
15:56:40.074	44	17.4323	(796, 229)	(80, 23)	62
15:56:40.130	39	17.4287	(805, 229)	(81, 23)	62
15:56:40.177	35	17.4704	(815, 229)	(82, 23)	62
15:56:40.218	37	17.4163	(825, 228)	(83, 23)	62
15:56:40.261	36	17.7476	(835, 228)	(84, 23)	62
15:56:40.303	35	17.3575	(845, 228)	(85, 23)	62
15:56:40.344	35	17.3748	(855, 228)	(86, 23)	62
15:56:40.386	47	17.5391	(865, 228)	(87, 23)	62
15:56:40.442	37	17.2369	(875, 228)	(88, 23)	62
15:56:40.483	37	17.2132	(885, 228)	(89, 23)	62
15:56:40.525	38	17.216	(895, 228)	(90, 23)	62
15:56:40.567	34	17.2379	(905, 228)	(91, 23)	62
15:56:40.608	31	17.2379	(915, 228)	(92, 23)	62
15:56:40.642	35	17.2127	(925, 228)	(93, 23)	62
15:56:40.685	38	17.1538	(935, 228)	(94, 23)	62
15:56:40.727	37	17.1336	(945, 227)	(95, 23)	62
15:56:40.769	34	17.2019	(957, 227)	(96, 23)	62
15:56:40.809	32	17.2492	(966, 227)	(97, 23)	62
15:56:40.844	32	17.1132	(975, 227)	(98, 23)	62
15:56:40.879	33	17.1089	(985, 227)	(99, 23)	62
15:56:40.921	34	17.1591	(995, 227)	(100, 23)	62
15:56:40.966	36	17.0544	(1005, 227)	(101, 23)	62
15:56:41.011	34	17.096	(1015, 226)	(102, 23)	62
15:56:41.053	34	17.0569	(1025, 226)	(103, 23)	62
15:56:41.095	33	17.0378	(1035, 226)	(104, 23)	62
15:56:41.137	42	16.9618	(1045, 225)	(105, 23)	62
15:56:41.187	36	16.9659	(1055, 225)	(106, 23)	62
15:56:41.227	32	16.9895	(1065, 225)	(107, 23)	62
15:56:41.261	32	16.9444	(1071, 224)	(107, 22)	62
15:56:41.296	34	16.9375	(1075, 224)	(108, 22)	62
15:56:41.339	35	16.8409	(1085, 224)	(109, 22)	62
15:56:41.380	45	16.821	(1095, 224)	(110, 22)	62
15:56:41.428	32	16.8793	(1105, 224)	(111, 22)	62
15:56:41.463	32	16.8221	(1115, 224)	(112, 22)	62
15:56:41.497	32	16.767	(1125, 224)	(113, 22)	62
15:56:41.532	32	16.6881	(1135, 224)	(114, 22)	62
15:56:41.567	31	16.5545	(1146, 223)	(115, 22)	62
15:56:41.602	32	16.5665	(1155, 223)	(116, 22)	62
15:56:41.637	39	16.5359	(1165, 223)	(117, 22)	62
15:56:41.686	40	16.3996	(1175, 223)	(118, 22)	62
15:56:41.735	47	16.3735	(1185, 223)	(119, 22)	62
15:56:41.791	34	16.2871	(1195, 223)	(120, 22)	62
15:56:41.833	33	16.1714	(1205, 223)	(121, 22)	62
15:56:41.874	32	16.4788	(1215, 223)	(122, 22)	62
15:56:41.914	34	15.8979	(1225, 223)	(123, 22)	62
15:56:41.957	34	16.168	(1235, 223)	(124, 22)	62
15:56:41.999	34	15.5953	(1245, 223)	(125, 22)	62
15:56:42.040	29	15.5249	(1255, 223)	(126, 22)	62
15:56:42.075	33	15.5012	(1265, 224)	(127, 22)	62
15:56:42.117	35	15.7286	(1275, 224)	(128, 22)	62
15:56:42.159	38	15.239	(1282, 225)	(128, 23)	62
15:56:42.208	35	15.2412	(1285, 225)	(129, 23)	62
15:56:42.248	29	15.2092	(1295, 226)	(130, 23)	62
15:56:42.283	29	15.1825	(1305, 226)	(131, 23)	62
15:56:42.317	33	15.0837	(1316, 228)	(132, 23)	62
15:56:42.353	36	14.8353	(1326, 228)	(133, 23)	62
15:56:42.395	36	14.7588	(1335, 228)	(134, 23)	62
15:56:42.437	31	15.1326	(1345, 229)	(135, 23)	62
15:56:42.471	31	14.6711	(1355, 230)	(136, 23)	62
15:56:42.505	32	14.5305	(1366, 230)	(137, 23)	62
15:56:42.541	35	14.3541	(1375, 230)	(138, 23)	62
15:56:42.583	37	14.251	(1386, 231)	(139, 23)	62
15:56:42.625	31	14.1021	(1395, 231)	(140, 23)	62
15:56:42.659	29	13.9773	(1405, 232)	(141, 23)	62
15:56:42.693	30	13.8036	(1415, 232)	(142, 23)	62
15:56:42.728	29	13.6307	(1425, 232)	(143, 23)	62
15:56:42.763	37	13.4738	(1435, 233)	(144, 23)	62
15:56:42.806	40	13.1373	(1445, 234)	(145, 23)	62
15:56:42.856	34	13.0305	(1455, 234)	(146, 23)	62
15:56:42.895	30	12.8019	(1465, 234)	(147, 23)	62
15:56:42.930	32	12.5461	(1478, 234)	(148, 23)	62
15:56:42.965	31	12.3579	(1485, 234)	(149, 23)	62
15:56:42.999	33	12.3643	(1488, 235)	(149, 24)	62
15:56:43.042	31	12.1621	(1495, 235)	(150, 24)	62
15:56:43.076	32	11.9036	(1506, 235)	(151, 24)	62
15:56:43.111	31	11.7356	(1516, 235)	(152, 24)	62
15:56:43.146	31	11.4812	(1526, 236)	(153, 24)	62
15:56:43.181	30	11.2553	(1535, 236)	(154, 24)	62
15:56:43.215	30	11.0289	(1546, 236)	(155, 24)	62
15:56:43.251	29	10.8847	(1556, 237)	(156, 24)	62
15:56:43.285	30	10.6975	(1565, 237)	(157, 24)	62
15:56:43.320	29	10.4314	(1575, 238)	(158, 24)	62
15:56:43.354	30	10.2594	(1585, 238)	(159, 24)	62
15:56:43.389	29	10.4896	(1595, 239)	(160, 24)	62
15:56:43.423	30	9.908	(1605, 239)	(161, 24)	62
15:56:43.459	29	9.76415	(1615, 240)	(162, 24)	62
15:56:43.493	25	9.52044	(1625, 240)	(163, 24)	62
15:56:43.520	23	9.30074	(1636, 241)	(164, 24)	62
15:56:43.548	23	9.19096	(1645, 242)	(165, 24)	62
15:56:43.575	27	9.01111	(1655, 242)	(166, 24)	62
15:56:43.604	28	8.74592	(1666, 243)	(167, 24)	62
15:56:43.639	28	8.56089	(1676, 244)	(168, 24)	62
15:56:43.674	25	8.53689	(1677, 245)	(168, 25)	62
15:56:43.701	24	8.42044	(1686, 245)	(169, 25)	62
15:56:43.729	23	8.27304	(1696, 246)	(170, 25)	62
15:56:43.757	24	8.15141	(1705, 246)	(171, 25)	62
15:56:43.786	26	7.952	(1715, 248)	(172, 25)	62
15:56:43.820	27	7.75556	(1726, 249)	(173, 25)	62
15:56:43.855	26	7.61333	(1735, 250)	(174, 25)	62
15:56:43.890	27	7.45081	(1745, 251)	(175, 25)	62
15:56:43.924	27	7.71541	(1755, 253)	(176, 25)	62
15:56:43.959	27	7.09778	(1765, 254)	(177, 25)	62
15:56:43.994	27	7.08104	(1768, 255)	(177, 26)	62
15:56:44.029	26	7.03526	(1775, 256)	(178, 26)	62
15:56:44.063	27	6.89689	(1785, 258)	(179, 26)	62
15:56:44.098	23	6.69748	(1795, 260)	(180, 26)	62
15:56:44.125	22	6.64341	(1805, 262)	(181, 26)	62
15:56:44.153	20	6.51941	(1815, 264)	(182, 26)	62
15:56:44.181	21	6.49852	(1817, 265)	(182, 27)	62
15:56:44.208	21	6.40711	(1825, 267)	(183, 27)	62
15:56:44.236	21	6.23822	(1838, 271)	(184, 27)	62
15:56:44.265	20	6.20044	(1845, 273)	(185, 27)	62
15:56:44.293	20	6.17882	(1849, 275)	(185, 28)	62
15:56:44.320	20	6.06667	(1858, 278)	(186, 28)	62
15:56:44.348	20	5.92444	(1865, 280)	(187, 28)	62
15:56:44.376	20	5.87141	(1874, 285)	(187, 29)	62
15:56:44.403	21	5.84459	(1875, 285)	(188, 29)	62
15:56:44.432	26	5.73081	(1885, 289)	(189, 29)	62
15:56:44.467	24	5.61348	(1895, 294)	(190, 29)	62
15:56:44.495	26	5.62785	(1895, 295)	(190, 30)	62
15:56:44.529	20	5.56948	(1905, 299)	(191, 30)	62
15:56:44.556	21	5.55985	(1912, 305)	(191, 31)	62
15:56:44.584	21	5.55778	(1915, 307)	(192, 31)	62
15:56:44.612	21	5.45096	(1925, 314)	(193, 31)	62
15:56:44.640	20	5.4757	(1926, 315)	(193, 32)	62
15:56:44.667	21	5.39882	(1935, 322)	(194, 32)	62
15:56:44.695	22	5.37333	(1937, 325)	(194, 33)	62
15:56:44.724	20	5.36578	(1945, 333)	(195, 33)	62
15:56:44.751	20	5.31689	(1947, 335)	(195, 34)	62
15:56:44.779	20	5.30874	(1955, 344)	(196, 34)	62
15:56:44.806	22	5.29511	(1955, 345)	(196, 35)	62
15:56:44.834	21	5.24904	(1963, 355)	(196, 36)	62
15:56:44.863	21	5.21807	(1965, 358)	(197, 36)	62
15:56:44.890	21	5.2483	(1968, 365)	(197, 37)	62
15:56:44.919	20	5.24978	(1973, 375)	(197, 38)	62
15:56:44.946	19	5.26726	(1975, 379)	(198, 38)	62
15:56:44.966	20	5.27956	(1976, 385)	(198, 39)	62
15:56:44.987	19	5.28044	(1980, 395)	(198, 40)	62
15:56:45.008	21	5.34548	(1982, 405)	(198, 41)	62
15:56:45.036	21	5.37659	(1984, 415)	(198, 42)	62
15:56:45.064	21	5.38815	(1985, 417)	(199, 42)	62
15:56:45.091	22	5.45378	(1985, 425)	(199, 43)	62
15:56:45.120	22	5.476	(1987, 435)	(199, 44)	62
15:56:45.148	19	5.52696	(1988, 445)	(199, 45)	62
15:56:45.168	19	5.56341	(1989, 455)	(199, 46)	62
15:56:45.189	19	5.62059	(1989, 465)	(199, 47)	62
15:56:45.210	19	5.62978	(1989, 475)	(199, 48)	62
15:56:45.231	19	5.66904	(1988, 485)	(199, 49)	62
15:56:45.258	21	5.732	(1985, 495)	(199, 50)	62
15:56:45.286	20	5.764	(1984, 495)	(198, 50)	62
15:56:45.314	20	5.88193	(1980, 505)	(198, 51)	62
15:56:45.341	21	6.13852	(1972, 516)	(197, 52)	62
