BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00927681, 0.775348, -0.00906515, -0.631399), Translationsvektor: ( 0.326116, -0.188361, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:57:17.665	31	18.6548	(318, 226)	(32, 23)	62
15:57:17.702	30	18.713	(325, 225)	(33, 23)	62
15:57:17.738	30	18.8536	(335, 225)	(34, 23)	62
15:57:17.772	28	19.0856	(345, 225)	(35, 23)	62
15:57:17.806	29	19.1585	(357, 225)	(36, 23)	62
15:57:17.841	33	19.2596	(372, 225)	(37, 23)	62
15:57:17.877	35	19.2639	(375, 225)	(38, 23)	62
15:57:17.918	33	19.3071	(385, 225)	(39, 23)	62
15:57:17.960	33	19.3911	(395, 225)	(40, 23)	62
15:57:17.995	29	19.4637	(405, 225)	(41, 23)	62
15:57:18.030	29	19.4821	(415, 225)	(42, 23)	62
15:57:18.064	34	19.6231	(425, 225)	(43, 23)	62
15:57:18.107	34	19.7073	(435, 226)	(44, 23)	62
15:57:18.148	33	19.6972	(445, 226)	(45, 23)	62
15:57:18.189	32	19.7436	(455, 226)	(46, 23)	62
15:57:18.224	31	19.8766	(465, 227)	(47, 23)	62
15:57:18.259	32	19.9206	(475, 227)	(48, 23)	62
15:57:18.293	31	19.9176	(485, 228)	(49, 23)	62
15:57:18.328	33	20.1009	(495, 228)	(50, 23)	62
15:57:18.371	30	20.1567	(505, 229)	(51, 23)	62
15:57:18.404	35	20.2276	(515, 229)	(52, 23)	62
15:57:18.447	35	20.2201	(525, 229)	(53, 23)	62
15:57:18.490	38	20.2473	(535, 229)	(54, 23)	62
15:57:18.538	36	20.3184	(545, 229)	(55, 23)	62
15:57:18.580	33	20.3988	(555, 229)	(56, 23)	62
15:57:18.620	32	20.4468	(565, 229)	(57, 23)	62
15:57:18.654	34	20.4458	(575, 229)	(58, 23)	62
15:57:18.690	32	20.4619	(585, 229)	(59, 23)	62
15:57:18.725	33	20.5206	(596, 229)	(60, 23)	62
15:57:18.767	33	20.4784	(605, 230)	(61, 23)	62
15:57:18.808	35	20.4732	(615, 230)	(62, 23)	62
15:57:18.851	40	20.4596	(626, 230)	(63, 23)	62
15:57:18.900	41	20.5065	(635, 230)	(64, 23)	62
15:57:18.949	40	20.6373	(645, 230)	(65, 23)	62
15:57:18.997	36	20.5874	(655, 230)	(66, 23)	62
15:57:19.037	32	20.7956	(665, 230)	(67, 23)	62
15:57:19.071	31	20.5338	(680, 230)	(68, 23)	62
15:57:19.106	32	20.7077	(685, 230)	(69, 23)	62
15:57:19.141	36	20.5477	(695, 230)	(70, 23)	62
15:57:19.184	33	20.6938	(705, 230)	(71, 23)	62
15:57:19.225	35	20.6564	(715, 230)	(72, 23)	62
15:57:19.266	31	20.6156	(725, 230)	(73, 23)	62
15:57:19.301	35	20.5852	(735, 230)	(74, 23)	62
15:57:19.344	35	20.605	(749, 230)	(75, 23)	62
15:57:19.385	36	20.5953	(756, 230)	(76, 23)	62
15:57:19.426	32	20.612	(766, 230)	(77, 23)	62
15:57:19.461	32	20.5474	(775, 230)	(78, 23)	62
15:57:19.496	30	20.6787	(785, 230)	(79, 23)	62
15:57:19.530	33	20.7764	(796, 229)	(80, 23)	62
15:57:19.565	32	20.6172	(805, 229)	(81, 23)	62
15:57:19.600	33	20.6981	(815, 229)	(82, 23)	62
15:57:19.635	31	20.6944	(825, 228)	(83, 23)	62
15:57:19.670	34	20.7779	(835, 228)	(84, 23)	62
15:57:19.711	32	20.6841	(845, 228)	(85, 23)	62
15:57:19.746	31	20.6719	(855, 228)	(86, 23)	62
15:57:19.781	36	20.6911	(865, 228)	(87, 23)	62
15:57:19.824	42	20.7535	(875, 228)	(88, 23)	62
15:57:19.872	32	20.7219	(885, 228)	(89, 23)	62
15:57:19.906	34	20.6116	(895, 228)	(90, 23)	62
15:57:19.948	34	20.7677	(905, 228)	(91, 23)	62
15:57:19.991	34	20.7403	(915, 228)	(92, 23)	62
15:57:20.032	33	20.716	(925, 228)	(93, 23)	62
15:57:20.074	34	20.6099	(935, 228)	(94, 23)	62
15:57:20.115	34	20.757	(945, 227)	(95, 23)	62
15:57:20.156	36	20.7658	(957, 227)	(96, 23)	62
15:57:20.199	41	20.6418	(966, 227)	(97, 23)	62
15:57:20.249	39	20.5796	(975, 227)	(98, 23)	62
15:57:20.295	33	20.7041	(985, 227)	(99, 23)	62
15:57:20.330	33	20.7326	(995, 227)	(100, 23)	62
15:57:20.372	35	20.7427	(1005, 227)	(101, 23)	62
15:57:20.415	34	20.6453	(1015, 226)	(102, 23)	62
15:57:20.457	34	20.7504	(1025, 226)	(103, 23)	62
15:57:20.497	30	20.688	(1035, 226)	(104, 23)	62
15:57:20.531	36	20.6699	(1045, 225)	(105, 23)	62
15:57:20.575	42	20.5311	(1055, 225)	(106, 23)	62
15:57:20.624	39	20.5759	(1065, 225)	(107, 23)	62
15:57:20.672	39	20.4748	(1071, 224)	(107, 22)	62
15:57:20.719	32	20.5677	(1075, 224)	(108, 22)	62
15:57:20.754	31	20.5293	(1085, 224)	(109, 22)	62
15:57:20.788	36	20.5114	(1095, 224)	(110, 22)	62
15:57:20.832	38	20.5256	(1105, 224)	(111, 22)	62
15:57:20.881	37	20.5874	(1115, 224)	(112, 22)	62
15:57:20.921	33	20.5347	(1125, 224)	(113, 22)	62
15:57:20.956	36	20.4218	(1135, 224)	(114, 22)	62
15:57:20.999	40	20.2763	(1146, 223)	(115, 22)	62
15:57:21.046	32	20.3031	(1155, 223)	(116, 22)	62
15:57:21.081	32	20.1966	(1165, 223)	(117, 22)	62
15:57:21.116	28	20.1099	(1175, 223)	(118, 22)	62
15:57:21.150	37	20.0015	(1185, 223)	(119, 22)	62
15:57:21.193	36	19.9099	(1195, 223)	(120, 22)	62
15:57:21.235	39	19.8129	(1205, 223)	(121, 22)	62
15:57:21.283	37	19.6548	(1215, 223)	(122, 22)	62
15:57:21.325	34	19.7677	(1225, 223)	(123, 22)	62
15:57:21.366	32	19.6487	(1235, 223)	(124, 22)	62
15:57:21.401	38	19.6277	(1245, 223)	(125, 22)	62
15:57:21.444	36	19.5219	(1255, 223)	(126, 22)	62
15:57:21.484	31	19.488	(1265, 224)	(127, 22)	62
15:57:21.520	30	19.4071	(1275, 224)	(128, 22)	62
15:57:21.554	32	19.3674	(1282, 225)	(128, 23)	62
15:57:21.596	33	19.4243	(1285, 225)	(129, 23)	62
15:57:21.637	39	19.252	(1295, 226)	(130, 23)	62
15:57:21.681	38	19.1476	(1305, 226)	(131, 23)	62
15:57:21.728	31	19.1456	(1316, 228)	(132, 23)	62
15:57:21.762	28	18.9884	(1326, 228)	(133, 23)	62
15:57:21.796	33	18.9437	(1335, 228)	(134, 23)	62
15:57:21.832	34	18.9253	(1345, 229)	(135, 23)	62
15:57:21.874	35	18.9228	(1355, 230)	(136, 23)	62
15:57:21.916	34	18.7031	(1366, 230)	(137, 23)	62
15:57:21.958	32	18.6284	(1375, 230)	(138, 23)	62
15:57:21.998	28	18.5905	(1386, 231)	(139, 23)	62
15:57:22.033	33	18.5465	(1395, 231)	(140, 23)	62
15:57:22.068	34	18.4887	(1405, 232)	(141, 23)	62
15:57:22.110	35	18.3166	(1415, 232)	(142, 23)	62
15:57:22.152	31	18.2825	(1425, 232)	(143, 23)	62
15:57:22.186	28	18.1733	(1435, 233)	(144, 23)	62
15:57:22.221	29	18.1339	(1445, 234)	(145, 23)	62
15:57:22.256	30	18.0382	(1455, 234)	(146, 23)	62
15:57:22.291	33	17.9929	(1465, 234)	(147, 23)	62
15:57:22.333	34	17.7606	(1478, 234)	(148, 23)	62
15:57:22.375	30	17.8153	(1485, 234)	(149, 23)	62
15:57:22.409	33	17.7677	(1488, 235)	(149, 24)	62
15:57:22.451	33	17.6468	(1495, 235)	(150, 24)	62
15:57:22.493	30	17.5323	(1506, 235)	(151, 24)	62
15:57:22.527	29	17.4967	(1516, 235)	(152, 24)	62
15:57:22.562	29	17.3997	(1526, 236)	(153, 24)	62
15:57:22.597	29	17.3344	(1535, 236)	(154, 24)	62
15:57:22.632	33	17.2839	(1546, 236)	(155, 24)	62
15:57:22.674	31	17.1193	(1556, 237)	(156, 24)	62
15:57:22.708	30	17.113	(1565, 237)	(157, 24)	62
15:57:22.742	28	16.9919	(1575, 238)	(158, 24)	62
15:57:22.777	29	17.0159	(1585, 238)	(159, 24)	62
15:57:22.812	28	17.0076	(1595, 239)	(160, 24)	62
15:57:22.847	32	16.9674	(1605, 239)	(161, 24)	62
15:57:22.882	33	16.8999	(1615, 240)	(162, 24)	62
15:57:22.925	34	16.9065	(1625, 240)	(163, 24)	62
15:57:22.966	30	16.6948	(1636, 241)	(164, 24)	62
15:57:23.000	29	16.7431	(1645, 242)	(165, 24)	62
15:57:23.035	28	16.7053	(1655, 242)	(166, 24)	62
15:57:23.070	35	16.6302	(1666, 243)	(167, 24)	62
15:57:23.115	35	16.5819	(1676, 244)	(168, 24)	62
15:57:23.154	42	16.5877	(1677, 245)	(168, 25)	62
15:57:23.204	32	16.5273	(1686, 245)	(169, 25)	62
15:57:23.243	30	16.6255	(1696, 246)	(170, 25)	62
15:57:23.278	28	16.5135	(1705, 246)	(171, 25)	62
15:57:23.313	30	16.3984	(1715, 248)	(172, 25)	62
15:57:23.349	36	16.3262	(1726, 249)	(173, 25)	62
15:57:23.391	33	16.3114	(1735, 250)	(174, 25)	62
15:57:23.431	26	16.3687	(1745, 251)	(175, 25)	62
15:57:23.458	27	16.2991	(1755, 253)	(176, 25)	62
15:57:23.486	28	16.2671	(1765, 254)	(177, 25)	62
15:57:23.521	31	16.3179	(1768, 255)	(177, 26)	62
15:57:23.556	29	16.264	(1775, 256)	(178, 26)	62
15:57:23.591	27	16.2342	(1785, 258)	(179, 26)	62
15:57:23.625	26	16.2347	(1795, 260)	(180, 26)	62
15:57:23.653	25	16.2375	(1805, 262)	(181, 26)	62
15:57:23.680	26	16.1415	(1815, 264)	(182, 26)	62
15:57:23.708	27	16.1375	(1817, 265)	(182, 27)	62
15:57:23.737	25	16.129	(1825, 267)	(183, 27)	62
15:57:23.764	26	16.133	(1838, 271)	(184, 27)	62
15:57:23.792	26	16.1081	(1845, 273)	(185, 27)	62
15:57:23.821	26	16.1476	(1849, 275)	(185, 28)	62
15:57:23.854	26	16.0847	(1858, 278)	(186, 28)	62
15:57:23.882	26	16.1304	(1865, 280)	(187, 28)	62
15:57:23.918	30	16.1596	(1874, 285)	(187, 29)	62
15:57:23.953	30	16.1397	(1875, 285)	(188, 29)	62
15:57:23.987	30	16.0413	(1885, 289)	(189, 29)	62
15:57:24.023	28	16.0806	(1895, 294)	(190, 29)	62
15:57:24.056	26	16.0044	(1895, 295)	(190, 30)	62
15:57:24.084	26	16.033	(1905, 299)	(191, 30)	62
15:57:24.112	26	15.9975	(1912, 305)	(191, 31)	62
15:57:24.146	32	16.0153	(1915, 307)	(192, 31)	62
15:57:24.182	31	15.9907	(1925, 314)	(193, 31)	62
15:57:24.217	31	15.9893	(1926, 315)	(193, 32)	62
15:57:24.251	28	15.9987	(1935, 322)	(194, 32)	62
15:57:24.286	27	15.9699	(1937, 325)	(194, 33)	62
15:57:24.320	33	15.9627	(1945, 333)	(195, 33)	62
15:57:24.366	36	15.9024	(1947, 335)	(195, 34)	62
15:57:24.412	34	15.9105	(1955, 344)	(196, 34)	62
15:57:24.454	33	15.9224	(1955, 345)	(196, 35)	62
15:57:24.494	27	15.9673	(1963, 355)	(196, 36)	62
15:57:24.529	28	15.9464	(1965, 358)	(197, 36)	62
15:57:24.564	28	15.9596	(1968, 365)	(197, 37)	62
15:57:24.599	30	15.9324	(1973, 375)	(197, 38)	62
15:57:24.633	30	15.8985	(1975, 379)	(198, 38)	62
15:57:24.669	30	15.9258	(1976, 385)	(198, 39)	62
15:57:24.703	26	15.929	(1980, 395)	(198, 40)	62
15:57:24.731	30	15.9778	(1982, 405)	(198, 41)	62
15:57:24.766	33	15.9825	(1984, 415)	(198, 42)	62
15:57:24.808	33	15.948	(1985, 417)	(199, 42)	62
15:57:24.850	30	15.9243	(1985, 425)	(199, 43)	62
15:57:24.884	26	15.9428	(1987, 435)	(199, 44)	62
15:57:24.918	25	15.9496	(1988, 445)	(199, 45)	62
15:57:24.945	30	15.995	(1989, 455)	(199, 46)	62
15:57:24.981	31	15.9843	(1989, 465)	(199, 47)	62
15:57:25.016	31	16.0553	(1989, 475)	(199, 48)	62
15:57:25.051	30	16.037	(1988, 485)	(199, 49)	62
15:57:25.085	28	16.0302	(1985, 495)	(199, 50)	62
15:57:25.120	27	16.0178	(1984, 495)	(198, 50)	62
15:57:25.154	30	16.0379	(1980, 505)	(198, 51)	62
15:57:25.190	29	16.0615	(1972, 516)	(197, 52)	62
15:57:25.224	31	16.0434	(1965, 525)	(197, 53)	62
15:57:25.259	30	16.083	(1964, 526)	(196, 53)	62
15:57:25.294	29	16.0997	(1954, 534)	(195, 53)	62
15:57:25.328	27	16.061	(1953, 535)	(195, 54)	62
15:57:25.365	32	16.029	(1944, 539)	(194, 54)	62
15:57:25.406	30	16.0953	(1937, 545)	(194, 55)	62
15:57:25.441	31	16.0674	(1934, 547)	(193, 55)	62
15:57:25.475	30	16.1879	(1924, 555)	(192, 56)	62
15:57:25.510	31	16.2049	(1914, 561)	(191, 56)	62
15:57:25.544	29	16.2004	(1907, 565)	(191, 57)	62
15:57:25.578	28	16.2142	(1904, 567)	(190, 57)	62
15:57:25.613	28	16.2636	(1894, 572)	(189, 57)	62
15:57:25.648	32	16.2289	(1890, 575)	(189, 58)	62
15:57:25.684	31	16.2796	(1884, 577)	(188, 58)	62
15:57:25.718	28	16.3107	(1874, 581)	(187, 58)	62
15:57:25.753	28	16.3188	(1866, 585)	(187, 59)	62
15:57:25.787	28	16.3	(1864, 585)	(186, 59)	62
15:57:25.822	27	16.347	(1854, 590)	(185, 59)	62
15:57:25.857	33	16.5359	(1844, 594)	(184, 59)	62
