BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00927681, 0.775348, -0.00906515, -0.631399), Translationsvektor: ( 0.326116, -0.188361, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:55:41.760	55	49.7887	(-1, -1)	(-1, -1)	62
15:55:41.817	59	49.855	(-1, -1)	(-1, -1)	62
15:55:41.881	61	49.7844	(-1, -1)	(-1, -1)	62
15:55:41.952	61	49.7559	(-1, -1)	(-1, -1)	62
15:55:42.019	58	49.7444	(-1, -1)	(-1, -1)	62
15:55:42.085	62	49.7822	(-1, -1)	(-1, -1)	62
15:55:42.157	60	49.7493	(-1, -1)	(-1, -1)	62
15:55:42.221	58	49.74	(-1, -1)	(-1, -1)	62
15:55:42.295	64	49.7324	(-1, -1)	(-1, -1)	62
15:55:42.395	57	49.7594	(-1, -1)	(-1, -1)	62
15:55:42.460	57	49.7536	(-1, -1)	(-1, -1)	62
15:55:42.533	58	49.7516	(-1, -1)	(-1, -1)	62
15:55:42.597	57	49.7876	(-1, -1)	(-1, -1)	62
15:55:42.660	57	49.7916	(-1, -1)	(-1, -1)	62
15:55:42.723	56	49.9413	(-1, -1)	(-1, -1)	62
15:55:42.787	62	49.8461	(-1, -1)	(-1, -1)	62
15:55:42.867	56	49.8046	(-1, -1)	(-1, -1)	62
15:55:42.929	56	49.9067	(-1, -1)	(-1, -1)	62
15:55:42.992	56	49.8721	(-1, -1)	(-1, -1)	62
15:55:43.055	55	49.9717	(-1, -1)	(-1, -1)	62
15:55:43.118	56	49.8984	(-1, -1)	(-1, -1)	62
15:55:43.180	57	50.0397	(-1, -1)	(-1, -1)	62
15:55:43.242	55	49.9711	(-1, -1)	(-1, -1)	62
15:55:43.304	57	50.016	(-1, -1)	(-1, -1)	62
15:55:43.368	56	49.9963	(-1, -1)	(-1, -1)	62
15:55:43.430	56	49.9689	(-1, -1)	(-1, -1)	62
15:55:43.492	57	50.1273	(-1, -1)	(-1, -1)	62
15:55:43.555	57	49.8173	(-1, -1)	(-1, -1)	62
15:55:43.620	61	49.7972	(-1, -1)	(-1, -1)	62
15:55:43.687	58	49.7861	(-1, -1)	(-1, -1)	62
15:55:43.751	58	49.7772	(-1, -1)	(-1, -1)	62
15:55:43.814	61	49.751	(-1, -1)	(-1, -1)	62
15:55:43.882	57	49.8966	(-1, -1)	(-1, -1)	62
15:55:43.944	57	49.8671	(-1, -1)	(-1, -1)	62
15:55:44.009	62	49.7561	(-1, -1)	(-1, -1)	62
15:55:44.078	58	49.7787	(-1, -1)	(-1, -1)	62
15:55:44.143	61	49.7716	(-1, -1)	(-1, -1)	62
15:55:44.218	59	49.7707	(-1, -1)	(-1, -1)	62
15:55:44.285	57	49.8693	(-1, -1)	(-1, -1)	62
15:55:44.356	60	49.7776	(-1, -1)	(-1, -1)	62
15:55:44.426	56	49.7384	(-1, -1)	(-1, -1)	62
15:55:44.486	57	49.8588	(-1, -1)	(-1, -1)	62
15:55:44.552	62	49.7819	(-1, -1)	(-1, -1)	62
15:55:44.628	61	49.7502	(-1, -1)	(-1, -1)	62
15:55:44.697	59	49.8021	(-1, -1)	(-1, -1)	62
15:55:44.765	59	49.7434	(-1, -1)	(-1, -1)	62
15:55:44.829	61	49.7796	(-1, -1)	(-1, -1)	62
15:55:44.901	61	49.7689	(-1, -1)	(-1, -1)	62
15:55:44.966	60	49.7833	(-1, -1)	(-1, -1)	62
15:55:45.030	64	49.7876	(-1, -1)	(-1, -1)	62
15:55:45.102	61	49.7704	(-1, -1)	(-1, -1)	62
15:55:45.168	59	49.7683	(-1, -1)	(-1, -1)	62
15:55:45.232	63	49.792	(-1, -1)	(-1, -1)	62
15:55:45.304	65	49.7653	(-1, -1)	(-1, -1)	62
15:55:45.376	58	50.0086	(-1, -1)	(-1, -1)	62
15:55:45.441	62	49.7489	(-1, -1)	(-1, -1)	62
15:55:45.511	61	49.793	(-1, -1)	(-1, -1)	62
15:55:45.578	59	49.8268	(-1, -1)	(-1, -1)	62
15:55:45.642	63	49.7361	(-1, -1)	(-1, -1)	62
15:55:45.712	61	49.7576	(-1, -1)	(-1, -1)	62
15:55:45.780	56	49.8181	(-1, -1)	(-1, -1)	62
15:55:45.844	62	49.7582	(-1, -1)	(-1, -1)	62
15:55:45.914	62	49.7776	(-1, -1)	(-1, -1)	62
15:55:45.986	58	49.7907	(-1, -1)	(-1, -1)	62
15:55:46.051	56	49.8461	(-1, -1)	(-1, -1)	62
15:55:46.115	60	49.7799	(-1, -1)	(-1, -1)	62
15:55:46.184	60	49.779	(-1, -1)	(-1, -1)	62
15:55:46.255	60	49.7913	(-1, -1)	(-1, -1)	62
15:55:46.323	61	49.8016	(-1, -1)	(-1, -1)	62
15:55:46.392	59	49.8148	(-1, -1)	(-1, -1)	62
15:55:46.454	58	49.7597	(-1, -1)	(-1, -1)	62
15:55:46.518	62	49.7901	(-1, -1)	(-1, -1)	62
15:55:46.590	60	49.7693	(-1, -1)	(-1, -1)	62
15:55:46.656	58	49.7433	(-1, -1)	(-1, -1)	62
15:55:46.718	60	49.7776	(-1, -1)	(-1, -1)	62
15:55:46.785	61	49.8098	(-1, -1)	(-1, -1)	62
15:55:46.851	57	49.8196	(-1, -1)	(-1, -1)	62
15:55:46.914	61	49.7959	(-1, -1)	(-1, -1)	62
15:55:46.985	62	49.7733	(-1, -1)	(-1, -1)	62
15:55:47.052	57	49.8796	(-1, -1)	(-1, -1)	62
15:55:47.116	61	49.7581	(-1, -1)	(-1, -1)	62
15:55:47.186	63	49.8239	(-1, -1)	(-1, -1)	62
15:55:47.253	56	49.8453	(-1, -1)	(-1, -1)	62
15:55:47.318	72	49.753	(-1, -1)	(-1, -1)	62
15:55:47.401	60	49.7594	(-1, -1)	(-1, -1)	62
15:55:47.468	58	49.8179	(-1, -1)	(-1, -1)	62
15:55:47.532	63	49.7622	(-1, -1)	(-1, -1)	62
15:55:47.603	61	49.7813	(-1, -1)	(-1, -1)	62
15:55:47.670	57	49.8613	(-1, -1)	(-1, -1)	62
15:55:47.734	61	49.7702	(-1, -1)	(-1, -1)	62
15:55:47.806	62	49.781	(-1, -1)	(-1, -1)	62
15:55:47.874	60	49.8222	(-1, -1)	(-1, -1)	62
15:55:47.944	61	49.7514	(-1, -1)	(-1, -1)	62
15:55:48.026	61	49.7547	(-1, -1)	(-1, -1)	62
15:55:48.095	59	49.735	(-1, -1)	(-1, -1)	62
15:55:48.159	61	49.7695	(-1, -1)	(-1, -1)	62
15:55:48.228	62	49.7773	(-1, -1)	(-1, -1)	62
15:55:48.298	59	49.7874	(-1, -1)	(-1, -1)	62
15:55:48.359	60	49.756	(-1, -1)	(-1, -1)	62
15:55:48.430	60	49.7376	(-1, -1)	(-1, -1)	62
15:55:48.498	60	49.7818	(-1, -1)	(-1, -1)	62
15:55:48.562	62	49.7576	(-1, -1)	(-1, -1)	62
15:55:48.632	61	49.7319	(-1, -1)	(-1, -1)	62
15:55:48.701	58	49.797	(-1, -1)	(-1, -1)	62
15:55:48.762	56	49.8557	(-1, -1)	(-1, -1)	62
15:55:48.826	61	49.771	(-1, -1)	(-1, -1)	62
15:55:48.896	61	49.776	(-1, -1)	(-1, -1)	62
