BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.0169966, -0.387047, -0.117464, 0.914388), Translationsvektor: ( 0.198851, -0.335375, 1.4).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:02:48.649	35	16.9167	(318, 226)	(32, 23)	62
16:02:48.689	33	17.0259	(325, 225)	(33, 23)	62
16:02:48.730	39	17.2723	(335, 225)	(34, 23)	62
16:02:48.774	37	17.5249	(345, 225)	(35, 23)	62
16:02:48.814	36	17.9184	(357, 225)	(36, 23)	62
16:02:48.856	37	18.308	(372, 225)	(37, 23)	62
16:02:48.897	37	18.3615	(375, 225)	(38, 23)	62
16:02:48.939	36	18.6141	(385, 225)	(39, 23)	62
16:02:48.981	37	18.8339	(395, 225)	(40, 23)	62
16:02:49.022	37	19.1021	(405, 225)	(41, 23)	62
16:02:49.065	34	19.2424	(415, 225)	(42, 23)	62
16:02:49.105	34	19.5016	(425, 225)	(43, 23)	62
16:02:49.147	35	19.8021	(435, 226)	(44, 23)	62
16:02:49.189	40	19.963	(445, 226)	(45, 23)	62
16:02:49.239	41	20.0151	(455, 226)	(46, 23)	62
16:02:49.287	39	20.2815	(465, 227)	(47, 23)	62
16:02:49.337	44	20.5391	(475, 227)	(48, 23)	62
16:02:49.385	45	20.639	(485, 228)	(49, 23)	62
16:02:49.434	45	20.8018	(495, 228)	(50, 23)	62
16:02:49.482	39	20.9434	(505, 229)	(51, 23)	62
16:02:49.523	37	21.1161	(515, 229)	(52, 23)	62
16:02:49.566	39	21.2561	(525, 229)	(53, 23)	62
16:02:49.614	40	21.3634	(535, 229)	(54, 23)	62
16:02:49.663	37	21.4852	(545, 229)	(55, 23)	62
16:02:49.703	37	21.6927	(555, 229)	(56, 23)	62
16:02:49.745	40	21.8166	(565, 229)	(57, 23)	62
16:02:49.794	41	21.8926	(575, 229)	(58, 23)	62
16:02:49.842	40	22.02	(585, 229)	(59, 23)	62
16:02:49.891	38	22.26	(596, 229)	(60, 23)	62
16:02:49.932	36	22.4271	(605, 230)	(61, 23)	62
16:02:49.974	40	22.6421	(615, 230)	(62, 23)	62
16:02:50.017	46	22.8065	(626, 230)	(63, 23)	62
16:02:50.074	46	22.8182	(635, 230)	(64, 23)	62
16:02:50.128	42	22.8772	(645, 230)	(65, 23)	62
16:02:50.177	45	23.0527	(655, 230)	(66, 23)	62
16:02:50.226	52	23.1572	(665, 230)	(67, 23)	62
16:02:50.281	41	23.291	(680, 230)	(68, 23)	62
16:02:50.330	40	23.3806	(685, 230)	(69, 23)	62
16:02:50.378	47	23.437	(695, 230)	(70, 23)	62
16:02:50.435	50	23.4483	(705, 230)	(71, 23)	62
16:02:50.492	40	23.6359	(715, 230)	(72, 23)	62
16:02:50.538	38	23.8096	(725, 230)	(73, 23)	62
16:02:50.579	41	23.8163	(735, 230)	(74, 23)	62
16:02:50.630	49	23.9247	(749, 230)	(75, 23)	62
16:02:50.685	47	24.0612	(756, 230)	(76, 23)	62
16:02:50.740	39	24.1523	(766, 230)	(77, 23)	62
16:02:50.781	38	24.2427	(775, 230)	(78, 23)	62
16:02:50.823	41	24.2526	(785, 230)	(79, 23)	62
16:02:50.871	44	24.5064	(796, 229)	(80, 23)	62
16:02:50.922	42	24.5031	(805, 229)	(81, 23)	62
16:02:50.969	47	24.5434	(815, 229)	(82, 23)	62
16:02:51.026	51	24.5819	(825, 228)	(83, 23)	62
16:02:51.082	51	24.5738	(835, 228)	(84, 23)	62
16:02:51.145	44	24.735	(845, 228)	(85, 23)	62
16:02:51.191	38	24.9095	(855, 228)	(86, 23)	62
16:02:51.232	40	24.9333	(865, 228)	(87, 23)	62
16:02:51.274	46	24.952	(875, 228)	(88, 23)	62
16:02:51.324	47	24.9326	(885, 228)	(89, 23)	62
16:02:51.379	45	25.0003	(895, 228)	(90, 23)	62
16:02:51.429	53	24.9458	(905, 228)	(91, 23)	62
16:02:51.492	52	24.9441	(915, 228)	(92, 23)	62
16:02:51.555	45	24.9412	(925, 228)	(93, 23)	62
16:02:51.609	44	24.9916	(935, 228)	(94, 23)	62
16:02:51.657	49	25.0031	(945, 227)	(95, 23)	62
16:02:51.716	48	25.0621	(957, 227)	(96, 23)	62
