BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.0169966, -0.387047, -0.117464, 0.914388), Translationsvektor: ( 0.198851, -0.335375, 1.4).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:03:41.082	41	27.7477	(318, 226)	(32, 23)	62
16:03:41.126	45	27.8286	(325, 225)	(33, 23)	62
16:03:41.178	47	27.8412	(335, 225)	(34, 23)	62
16:03:41.232	44	27.9803	(345, 225)	(35, 23)	62
16:03:41.278	38	28.0807	(357, 225)	(36, 23)	62
16:03:41.319	44	28.1973	(372, 225)	(37, 23)	62
16:03:41.370	48	28.1249	(375, 225)	(38, 23)	62
16:03:41.426	42	28.2673	(385, 225)	(39, 23)	62
16:03:41.473	38	28.4003	(395, 225)	(40, 23)	62
16:03:41.515	41	28.4538	(405, 225)	(41, 23)	62
16:03:41.566	45	28.3859	(415, 225)	(42, 23)	62
16:03:41.621	44	28.5932	(425, 225)	(43, 23)	62
16:03:41.677	40	28.6834	(435, 226)	(44, 23)	62
16:03:41.723	40	28.6935	(445, 226)	(45, 23)	62
16:03:41.772	40	28.6895	(455, 226)	(46, 23)	62
16:03:41.822	40	28.781	(465, 227)	(47, 23)	62
16:03:41.870	40	28.8418	(475, 227)	(48, 23)	62
16:03:41.919	44	28.8327	(485, 228)	(49, 23)	62
16:03:41.968	41	28.8585	(495, 228)	(50, 23)	62
16:03:42.021	40	28.9748	(505, 229)	(51, 23)	62
16:03:42.064	39	29.0979	(515, 229)	(52, 23)	62
16:03:42.105	40	29.0256	(525, 229)	(53, 23)	62
16:03:42.147	39	28.985	(535, 229)	(54, 23)	62
16:03:42.188	40	29.047	(545, 229)	(55, 23)	62
16:03:42.231	38	29.121	(555, 229)	(56, 23)	62
16:03:42.273	39	29.1477	(565, 229)	(57, 23)	62
16:03:42.314	38	29.067	(575, 229)	(58, 23)	62
16:03:42.355	42	29.245	(585, 229)	(59, 23)	62
16:03:42.407	48	29.2105	(596, 229)	(60, 23)	62
16:03:42.462	49	29.1748	(605, 230)	(61, 23)	62
16:03:42.516	43	29.2637	(615, 230)	(62, 23)	62
16:03:42.565	45	29.4215	(626, 230)	(63, 23)	62
16:03:42.614	43	29.3919	(635, 230)	(64, 23)	62
16:03:42.662	42	29.4156	(645, 230)	(65, 23)	62
16:03:42.711	39	29.4637	(655, 230)	(66, 23)	62
16:03:42.752	41	29.584	(665, 230)	(67, 23)	62
16:03:42.803	47	29.5093	(680, 230)	(68, 23)	62
16:03:42.858	46	29.6327	(685, 230)	(69, 23)	62
16:03:42.912	40	29.561	(695, 230)	(70, 23)	62
16:03:42.954	41	29.748	(705, 230)	(71, 23)	62
16:03:43.003	46	29.9141	(715, 230)	(72, 23)	62
16:03:43.053	51	29.7073	(725, 230)	(73, 23)	62
16:03:43.109	43	29.6267	(735, 230)	(74, 23)	62
16:03:43.156	42	29.7825	(749, 230)	(75, 23)	62
16:03:43.206	46	29.7246	(756, 230)	(76, 23)	62
16:03:43.260	48	29.7665	(766, 230)	(77, 23)	62
16:03:43.320	42	29.7999	(775, 230)	(78, 23)	62
16:03:43.364	46	30.027	(785, 230)	(79, 23)	62
