BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.0169966, -0.387047, -0.117464, 0.914388), Translationsvektor: ( 0.198851, -0.335375, 1.4).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:01:34.092	82	76.8058	(-1, -1)	(-1, -1)	62
16:01:34.179	85	76.7987	(-1, -1)	(-1, -1)	62
16:01:34.272	86	76.7844	(-1, -1)	(-1, -1)	62
16:01:34.361	83	76.8382	(-1, -1)	(-1, -1)	62
16:01:34.454	89	76.7314	(-1, -1)	(-1, -1)	62
16:01:34.557	88	76.737	(-1, -1)	(-1, -1)	62
16:01:34.656	89	76.7603	(-1, -1)	(-1, -1)	62
16:01:34.752	89	76.7239	(-1, -1)	(-1, -1)	62
16:01:34.848	89	76.7147	(-1, -1)	(-1, -1)	62
16:01:34.945	86	76.78	(-1, -1)	(-1, -1)	62
16:01:35.039	89	76.7419	(-1, -1)	(-1, -1)	62
16:01:35.134	84	76.7692	(-1, -1)	(-1, -1)	62
16:01:35.225	88	76.6969	(-1, -1)	(-1, -1)	62
16:01:35.324	85	76.76	(-1, -1)	(-1, -1)	62
16:01:35.419	84	76.751	(-1, -1)	(-1, -1)	62
16:01:35.513	86	76.7379	(-1, -1)	(-1, -1)	62
16:01:35.662	90	76.8114	(-1, -1)	(-1, -1)	62
16:01:35.766	82	76.788	(-1, -1)	(-1, -1)	62
16:01:35.864	82	76.8504	(-1, -1)	(-1, -1)	62
16:01:35.952	82	76.801	(-1, -1)	(-1, -1)	62
16:01:36.044	85	76.7493	(-1, -1)	(-1, -1)	62
16:01:36.137	84	76.7391	(-1, -1)	(-1, -1)	62
16:01:36.225	86	76.6904	(-1, -1)	(-1, -1)	62
16:01:36.326	85	76.7018	(-1, -1)	(-1, -1)	62
16:01:36.418	84	76.8603	(-1, -1)	(-1, -1)	62
16:01:36.509	84	77.1207	(-1, -1)	(-1, -1)	62
16:01:36.600	83	76.9692	(-1, -1)	(-1, -1)	62
16:01:36.697	84	77.0865	(-1, -1)	(-1, -1)	62
16:01:36.787	83	77.1019	(-1, -1)	(-1, -1)	62
16:01:36.877	83	77.0176	(-1, -1)	(-1, -1)	62
16:01:36.968	84	76.8601	(-1, -1)	(-1, -1)	62
16:01:37.059	88	76.7393	(-1, -1)	(-1, -1)	62
16:01:37.157	88	76.7556	(-1, -1)	(-1, -1)	62
16:01:37.252	84	76.8687	(-1, -1)	(-1, -1)	62
16:01:37.344	90	76.7154	(-1, -1)	(-1, -1)	62
16:01:37.440	88	76.7212	(-1, -1)	(-1, -1)	62
16:01:37.539	88	76.7556	(-1, -1)	(-1, -1)	62
16:01:37.636	84	76.7769	(-1, -1)	(-1, -1)	62
16:01:37.725	86	76.7831	(-1, -1)	(-1, -1)	62
16:01:37.817	86	76.771	(-1, -1)	(-1, -1)	62
16:01:37.911	88	76.7127	(-1, -1)	(-1, -1)	62
16:01:38.011	86	76.7313	(-1, -1)	(-1, -1)	62
16:01:38.102	89	76.7335	(-1, -1)	(-1, -1)	62
16:01:38.201	87	76.7652	(-1, -1)	(-1, -1)	62
16:01:38.297	84	76.739	(-1, -1)	(-1, -1)	62
16:01:38.388	82	76.9273	(-1, -1)	(-1, -1)	62
16:01:38.476	83	76.8849	(-1, -1)	(-1, -1)	62
16:01:38.570	85	76.791	(-1, -1)	(-1, -1)	62
16:01:38.663	85	76.7677	(-1, -1)	(-1, -1)	62
16:01:38.755	87	76.7679	(-1, -1)	(-1, -1)	62
16:01:38.853	87	76.804	(-1, -1)	(-1, -1)	62
16:01:38.950	83	76.7889	(-1, -1)	(-1, -1)	62
16:01:39.039	85	76.8116	(-1, -1)	(-1, -1)	62
16:01:39.132	89	76.7616	(-1, -1)	(-1, -1)	62
16:01:39.227	83	76.8299	(-1, -1)	(-1, -1)	62
16:01:39.317	83	76.823	(-1, -1)	(-1, -1)	62
16:01:39.410	85	76.7501	(-1, -1)	(-1, -1)	62
16:01:39.498	84	76.815	(-1, -1)	(-1, -1)	62
16:01:39.588	84	76.7599	(-1, -1)	(-1, -1)	62
16:01:39.680	85	76.721	(-1, -1)	(-1, -1)	62
