BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.0917033, -0.688919, 0.716429, 0.0609024), Translationsvektor: ( 0.212108, -0.14242, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:30:31.319	20	4.17082	(318, 226)	(32, 23)	49
16:30:31.342	19	4.19304	(325, 225)	(33, 23)	49
16:30:31.363	19	4.26667	(335, 225)	(34, 23)	49
16:30:31.384	19	4.33585	(345, 225)	(35, 23)	49
16:30:31.404	19	4.41882	(357, 225)	(36, 23)	49
16:30:31.425	21	4.48163	(372, 225)	(37, 23)	49
16:30:31.454	19	4.47674	(375, 225)	(38, 23)	49
16:30:31.475	19	4.54533	(385, 225)	(39, 23)	49
16:30:31.496	19	4.62282	(395, 225)	(40, 23)	49
16:30:31.523	20	4.70044	(405, 225)	(41, 23)	49
16:30:31.551	20	4.77615	(415, 225)	(42, 23)	49
16:30:31.579	19	4.81289	(425, 225)	(43, 23)	49
16:30:31.599	20	4.88193	(435, 226)	(44, 23)	49
16:30:31.621	18	4.93689	(445, 226)	(45, 23)	49
16:30:31.641	19	5.00133	(455, 226)	(46, 23)	49
16:30:31.662	19	5.11689	(465, 227)	(47, 23)	49
16:30:31.683	20	5.22193	(475, 227)	(48, 23)	49
16:30:31.711	20	5.37422	(485, 228)	(49, 23)	49
16:30:31.738	21	5.56474	(495, 228)	(50, 23)	49
16:30:31.766	20	5.76059	(505, 229)	(51, 23)	49
16:30:31.794	21	5.90874	(515, 229)	(52, 23)	49
16:30:31.822	21	6.16993	(525, 229)	(53, 23)	49
16:30:31.850	20	6.42726	(535, 229)	(54, 23)	49
16:30:31.877	22	6.58845	(545, 229)	(55, 23)	49
16:30:31.905	21	6.78919	(555, 229)	(56, 23)	49
16:30:31.934	21	7.02756	(565, 229)	(57, 23)	49
16:30:31.961	23	7.19289	(575, 229)	(58, 23)	49
16:30:31.989	23	7.36222	(585, 229)	(59, 23)	49
16:30:32.017	21	7.59526	(596, 229)	(60, 23)	49
16:30:32.044	21	7.86963	(605, 230)	(61, 23)	49
16:30:32.073	26	8.21274	(615, 230)	(62, 23)	49
16:30:32.107	29	8.08059	(626, 230)	(63, 23)	49
16:30:32.143	28	8.25289	(635, 230)	(64, 23)	49
16:30:32.178	24	8.38296	(645, 230)	(65, 23)	49
16:30:32.204	24	8.56578	(655, 230)	(66, 23)	49
16:30:32.232	22	8.75422	(665, 230)	(67, 23)	49
16:30:32.260	23	8.9283	(680, 230)	(68, 23)	49
16:30:32.287	24	9.00133	(685, 230)	(69, 23)	49
16:30:32.316	23	9.18385	(695, 230)	(70, 23)	49
16:30:32.344	23	9.45881	(705, 230)	(71, 23)	49
16:30:32.372	23	9.57096	(715, 230)	(72, 23)	49
16:30:32.399	23	9.7723	(725, 230)	(73, 23)	49
16:30:32.428	24	10.0436	(735, 230)	(74, 23)	49
16:30:32.454	26	10.2606	(749, 230)	(75, 23)	49
16:30:32.483	26	10.3256	(756, 230)	(76, 23)	49
16:30:32.518	25	10.6671	(766, 230)	(77, 23)	49
16:30:32.545	26	10.8252	(775, 230)	(78, 23)	49
16:30:32.573	28	11.104	(785, 230)	(79, 23)	49
16:30:32.609	27	11.3182	(796, 229)	(80, 23)	49
16:30:32.643	26	11.6412	(805, 229)	(81, 23)	49
16:30:32.677	28	11.892	(815, 229)	(82, 23)	49
16:30:32.712	32	12.2481	(825, 228)	(83, 23)	49
16:30:32.747	37	12.4037	(835, 228)	(84, 23)	49
16:30:32.790	35	12.7065	(845, 228)	(85, 23)	49
16:30:32.831	30	12.9896	(855, 228)	(86, 23)	49
16:30:32.865	31	13.1587	(865, 228)	(87, 23)	49
16:30:32.900	32	13.3627	(875, 228)	(88, 23)	49
16:30:32.935	38	13.6287	(885, 228)	(89, 23)	49
16:30:32.977	32	13.9585	(895, 228)	(90, 23)	49
16:30:33.011	31	14.0031	(905, 228)	(91, 23)	49
16:30:33.045	29	14.3204	(915, 228)	(92, 23)	49
16:30:33.081	32	14.4941	(925, 228)	(93, 23)	49
16:30:33.116	32	14.8541	(935, 228)	(94, 23)	49
16:30:33.150	33	14.8141	(945, 227)	(95, 23)	49
16:30:33.185	34	15.087	(957, 227)	(96, 23)	49
16:30:33.227	33	15.1879	(966, 227)	(97, 23)	49
16:30:33.269	33	15.4376	(975, 227)	(98, 23)	49
16:30:33.311	33	15.5376	(985, 227)	(99, 23)	49
16:30:33.352	33	15.6815	(995, 227)	(100, 23)	49
16:30:33.393	35	15.6948	(1005, 227)	(101, 23)	49
16:30:33.435	31	15.8484	(1015, 226)	(102, 23)	49
16:30:33.469	31	15.9345	(1025, 226)	(103, 23)	49
16:30:33.504	35	16.2116	(1035, 226)	(104, 23)	49
16:30:33.547	37	16.2622	(1045, 225)	(105, 23)	49
16:30:33.589	36	16.4089	(1055, 225)	(106, 23)	49
16:30:33.630	34	16.7564	(1065, 225)	(107, 23)	49
16:30:33.671	31	16.5588	(1071, 224)	(107, 22)	49
16:30:33.705	31	16.5593	(1075, 224)	(108, 22)	49
16:30:33.741	31	16.6907	(1085, 224)	(109, 22)	49
16:30:33.775	33	16.9141	(1095, 224)	(110, 22)	49
16:30:33.811	32	17.0585	(1105, 224)	(111, 22)	49
16:30:33.845	32	17.0012	(1115, 224)	(112, 22)	49
16:30:33.880	37	17.0356	(1125, 224)	(113, 22)	49
16:30:33.923	40	17.0613	(1135, 224)	(114, 22)	49
16:30:33.971	41	17.0707	(1146, 223)	(115, 22)	49
16:30:34.020	41	17.0068	(1155, 223)	(116, 22)	49
16:30:34.069	36	17.0945	(1165, 223)	(117, 22)	49
16:30:34.109	35	17.1129	(1175, 223)	(118, 22)	49
16:30:34.153	44	16.908	(1185, 223)	(119, 22)	49
16:30:34.202	43	16.7524	(1195, 223)	(120, 22)	49
16:30:34.250	37	16.8301	(1205, 223)	(121, 22)	49
16:30:34.290	34	16.5756	(1215, 223)	(122, 22)	49
16:30:34.332	35	16.5693	(1225, 223)	(123, 22)	49
16:30:34.374	35	16.3415	(1235, 223)	(124, 22)	49
16:30:34.416	37	16.3578	(1245, 223)	(125, 22)	49
16:30:34.461	38	15.9336	(1255, 223)	(126, 22)	49
16:30:34.506	30	15.9957	(1265, 224)	(127, 22)	49
16:30:34.541	30	15.7739	(1275, 224)	(128, 22)	49
16:30:34.575	33	15.428	(1282, 225)	(128, 23)	49
16:30:34.618	34	15.4513	(1285, 225)	(129, 23)	49
16:30:34.660	32	15.1827	(1295, 226)	(130, 23)	49
16:30:34.700	31	15.0867	(1305, 226)	(131, 23)	49
16:30:34.735	29	14.7357	(1316, 228)	(132, 23)	49
16:30:34.769	30	14.5935	(1326, 228)	(133, 23)	49
16:30:34.804	31	14.4591	(1335, 228)	(134, 23)	49
16:30:34.841	37	14.371	(1345, 229)	(135, 23)	49
16:30:34.882	35	14.0067	(1355, 230)	(136, 23)	49
16:30:34.922	28	13.9853	(1366, 230)	(137, 23)	49
16:30:34.957	29	13.8407	(1375, 230)	(138, 23)	49
16:30:34.993	37	13.4967	(1386, 231)	(139, 23)	49
16:30:35.037	36	13.3539	(1395, 231)	(140, 23)	49
16:30:35.076	34	13.1535	(1405, 232)	(141, 23)	49
16:30:35.117	28	12.6157	(1415, 232)	(142, 23)	49
16:30:35.152	26	12.3498	(1425, 232)	(143, 23)	49
16:30:35.179	29	12.2987	(1435, 233)	(144, 23)	49
16:30:35.215	31	12.0255	(1445, 234)	(145, 23)	49
16:30:35.250	32	11.8738	(1455, 234)	(146, 23)	49
16:30:35.285	31	11.872	(1465, 234)	(147, 23)	49
16:30:35.320	30	11.5853	(1478, 234)	(148, 23)	49
16:30:35.354	31	11.3324	(1485, 234)	(149, 23)	49
16:30:35.389	31	11.3279	(1488, 235)	(149, 24)	49
16:30:35.424	30	11.332	(1495, 235)	(150, 24)	49
16:30:35.458	31	10.9856	(1506, 235)	(151, 24)	49
16:30:35.494	29	10.793	(1516, 235)	(152, 24)	49
16:30:35.528	25	10.6481	(1526, 236)	(153, 24)	49
16:30:35.555	27	10.5059	(1535, 236)	(154, 24)	49
16:30:35.591	30	10.1932	(1546, 236)	(155, 24)	49
16:30:35.625	31	10.0656	(1556, 237)	(156, 24)	49
16:30:35.660	31	9.89867	(1565, 237)	(157, 24)	49
16:30:35.695	30	9.75748	(1575, 238)	(158, 24)	49
16:30:35.730	24	9.73511	(1585, 238)	(159, 24)	49
16:30:35.757	24	9.67141	(1595, 239)	(160, 24)	49
16:30:35.784	26	9.60341	(1605, 239)	(161, 24)	49
16:30:35.812	24	9.44785	(1615, 240)	(162, 24)	49
16:30:35.840	26	9.23037	(1625, 240)	(163, 24)	49
16:30:35.869	24	9.04548	(1636, 241)	(164, 24)	49
16:30:35.896	24	8.7723	(1645, 242)	(165, 24)	49
16:30:35.924	24	8.56163	(1655, 242)	(166, 24)	49
16:30:35.951	25	8.51526	(1666, 243)	(167, 24)	49
16:30:35.979	24	8.32148	(1676, 244)	(168, 24)	49
16:30:36.007	24	8.27807	(1677, 245)	(168, 25)	49
16:30:36.035	24	8.148	(1686, 245)	(169, 25)	49
16:30:36.063	23	7.90593	(1696, 246)	(170, 25)	49
16:30:36.091	23	7.66504	(1705, 246)	(171, 25)	49
16:30:36.119	23	7.42296	(1715, 248)	(172, 25)	49
16:30:36.146	23	7.23526	(1726, 249)	(173, 25)	49
16:30:36.174	21	6.97526	(1735, 250)	(174, 25)	49
16:30:36.201	23	6.74815	(1745, 251)	(175, 25)	49
16:30:36.230	21	6.54504	(1755, 253)	(176, 25)	49
16:30:36.257	22	6.38578	(1765, 254)	(177, 25)	49
16:30:36.285	22	6.32341	(1768, 255)	(177, 26)	49
16:30:36.313	22	6.26	(1775, 256)	(178, 26)	49
16:30:36.341	22	6.10237	(1785, 258)	(179, 26)	49
16:30:36.368	22	5.92607	(1795, 260)	(180, 26)	49
16:30:36.396	22	5.92074	(1805, 262)	(181, 26)	49
16:30:36.424	21	5.70519	(1815, 264)	(182, 26)	49
16:30:36.452	21	5.70296	(1817, 265)	(182, 27)	49
16:30:36.479	22	5.55289	(1825, 267)	(183, 27)	49
16:30:36.508	21	5.19082	(1838, 271)	(184, 27)	49
16:30:36.536	21	5.08785	(1845, 273)	(185, 27)	49
16:30:36.564	19	5.07007	(1849, 275)	(185, 28)	49
16:30:36.584	19	4.96341	(1858, 278)	(186, 28)	49
16:30:36.604	18	4.96089	(1865, 280)	(187, 28)	49
16:30:36.625	18	4.86815	(1874, 285)	(187, 29)	49
16:30:36.646	19	4.84844	(1875, 285)	(188, 29)	49
16:30:36.667	19	4.79793	(1885, 289)	(189, 29)	49
16:30:36.688	19	4.70444	(1895, 294)	(190, 29)	49
16:30:36.709	18	4.68519	(1895, 295)	(190, 30)	49
16:30:36.730	19	4.57585	(1905, 299)	(191, 30)	49
16:30:36.751	18	4.59333	(1912, 305)	(191, 31)	49
16:30:36.771	18	4.55215	(1915, 307)	(192, 31)	49
16:30:36.792	18	4.4563	(1925, 314)	(193, 31)	49
16:30:36.813	18	4.51808	(1926, 315)	(193, 32)	49
16:30:36.834	18	4.4237	(1935, 322)	(194, 32)	49
16:30:36.854	20	4.47393	(1937, 325)	(194, 33)	49
16:30:36.876	17	4.35274	(1945, 333)	(195, 33)	49
16:30:36.896	19	4.29082	(1947, 335)	(195, 34)	49
16:30:36.917	18	4.37585	(1955, 344)	(196, 34)	49
16:30:36.938	19	4.25867	(1955, 345)	(196, 35)	49
16:30:36.959	18	4.22755	(1963, 355)	(196, 36)	49
16:30:36.980	19	4.16874	(1965, 358)	(197, 36)	49
16:30:37.001	19	4.19733	(1968, 365)	(197, 37)	49
16:30:37.022	18	4.21748	(1973, 375)	(197, 38)	49
16:30:37.043	18	4.16193	(1975, 379)	(198, 38)	49
16:30:37.064	18	4.16311	(1976, 385)	(198, 39)	49
16:30:37.084	19	4.21007	(1980, 395)	(198, 40)	49
16:30:37.105	19	4.15659	(1982, 405)	(198, 41)	49
16:30:37.126	19	4.168	(1984, 415)	(198, 42)	49
16:30:37.147	18	4.14785	(1985, 417)	(199, 42)	49
16:30:37.168	18	4.16667	(1985, 425)	(199, 43)	49
16:30:37.188	18	4.17496	(1987, 435)	(199, 44)	49
16:30:37.209	18	4.09674	(1988, 445)	(199, 45)	49
16:30:37.230	19	4.03793	(1989, 455)	(199, 46)	49
16:30:37.251	18	3.97067	(1989, 465)	(199, 47)	49
16:30:37.272	17	3.98119	(1989, 475)	(199, 48)	49
16:30:37.293	18	3.95496	(1988, 485)	(199, 49)	49
16:30:37.313	20	3.88311	(1985, 495)	(199, 50)	49
16:30:37.335	18	3.91274	(1984, 495)	(198, 50)	49
16:30:37.356	18	3.99319	(1980, 505)	(198, 51)	49
16:30:37.376	18	4.14548	(1972, 516)	(197, 52)	49
16:30:37.397	18	4.16978	(1965, 525)	(197, 53)	49
16:30:37.418	18	4.1277	(1964, 526)	(196, 53)	49
16:30:37.439	18	4.21452	(1954, 534)	(195, 53)	49
16:30:37.460	18	4.19333	(1953, 535)	(195, 54)	49
16:30:37.480	19	4.2277	(1944, 539)	(194, 54)	49
16:30:37.502	18	4.27259	(1937, 545)	(194, 55)	49
16:30:37.522	18	4.29037	(1934, 547)	(193, 55)	49
16:30:37.543	19	4.33778	(1924, 555)	(192, 56)	49
16:30:37.564	18	4.39778	(1914, 561)	(191, 56)	49
16:30:37.585	18	4.44104	(1907, 565)	(191, 57)	49
16:30:37.605	20	4.43778	(1904, 567)	(190, 57)	49
16:30:37.627	18	4.49704	(1894, 572)	(189, 57)	49
16:30:37.648	18	4.52311	(1890, 575)	(189, 58)	49
16:30:37.668	18	4.66593	(1884, 577)	(188, 58)	49
16:30:37.689	18	4.6637	(1874, 581)	(187, 58)	49
16:30:37.711	18	4.76311	(1866, 585)	(187, 59)	49
16:30:37.731	18	4.73393	(1864, 585)	(186, 59)	49
16:30:37.753	19	4.84578	(1854, 590)	(185, 59)	49
16:30:37.780	19	4.94978	(1844, 594)	(184, 59)	49
16:30:37.801	18	4.9763	(1843, 595)	(184, 60)	49
16:30:37.821	20	5.1963	(1834, 597)	(183, 60)	49
16:30:37.842	20	5.55689	(1823, 601)	(182, 60)	49
16:30:37.863	19	5.6923	(1810, 606)	(181, 61)	49
16:30:37.884	19	5.73526	(1804, 609)	(180, 61)	49
16:30:37.905	19	5.79422	(1794, 612)	(179, 61)	49
16:30:37.926	20	5.888	(1787, 615)	(179, 62)	49
16:30:37.954	20	5.97689	(1784, 616)	(178, 62)	49
16:30:37.981	20	6.20474	(1774, 619)	(177, 62)	49
