BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.0917033, -0.688919, 0.716429, 0.0609024), Translationsvektor: ( 0.212108, -0.14242, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:30:53.222	20	7.54074	(318, 226)	(32, 23)	49
16:30:53.248	18	7.6397	(325, 225)	(33, 23)	49
16:30:53.269	17	7.54119	(335, 225)	(34, 23)	49
16:30:53.290	17	7.60326	(345, 225)	(35, 23)	49
16:30:53.310	18	7.56207	(357, 225)	(36, 23)	49
16:30:53.331	18	7.70311	(372, 225)	(37, 23)	49
16:30:53.352	19	7.64015	(375, 225)	(38, 23)	49
16:30:53.373	18	7.60207	(385, 225)	(39, 23)	49
16:30:53.393	20	7.81007	(395, 225)	(40, 23)	49
16:30:53.415	18	7.632	(405, 225)	(41, 23)	49
16:30:53.436	18	7.71778	(415, 225)	(42, 23)	49
16:30:53.456	19	7.68296	(425, 225)	(43, 23)	49
16:30:53.477	19	7.77822	(435, 226)	(44, 23)	49
16:30:53.498	18	7.77437	(445, 226)	(45, 23)	49
16:30:53.519	19	7.67645	(455, 226)	(46, 23)	49
16:30:53.540	18	7.72237	(465, 227)	(47, 23)	49
16:30:53.560	19	7.71985	(475, 227)	(48, 23)	49
16:30:53.581	19	7.74074	(485, 228)	(49, 23)	49
16:30:53.602	18	7.70459	(495, 228)	(50, 23)	49
16:30:53.623	19	7.72252	(505, 229)	(51, 23)	49
16:30:53.644	19	7.84444	(515, 229)	(52, 23)	49
16:30:53.664	19	7.77541	(525, 229)	(53, 23)	49
16:30:53.686	19	7.89037	(535, 229)	(54, 23)	49
16:30:53.713	19	7.90341	(545, 229)	(55, 23)	49
16:30:53.734	19	7.97837	(555, 229)	(56, 23)	49
16:30:53.755	19	8.08178	(565, 229)	(57, 23)	49
16:30:53.777	18	8.084	(575, 229)	(58, 23)	49
16:30:53.797	18	8.17526	(585, 229)	(59, 23)	49
16:30:53.818	19	8.22059	(596, 229)	(60, 23)	49
16:30:53.846	18	8.22756	(605, 230)	(61, 23)	49
16:30:53.866	20	8.25689	(615, 230)	(62, 23)	49
16:30:53.894	20	8.3963	(626, 230)	(63, 23)	49
16:30:53.923	18	8.37037	(635, 230)	(64, 23)	49
16:30:53.943	19	8.57615	(645, 230)	(65, 23)	49
16:30:53.971	19	8.512	(655, 230)	(66, 23)	49
