BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.0917033, -0.688919, 0.716429, 0.0609024), Translationsvektor: ( 0.212108, -0.14242, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:30:05.819	29	20.2299	(-1, -1)	(-1, -1)	49
16:30:05.854	33	20.176	(-1, -1)	(-1, -1)	49
16:30:05.896	32	20.219	(-1, -1)	(-1, -1)	49
16:30:05.936	34	20.1702	(-1, -1)	(-1, -1)	49
16:30:05.976	29	20.1573	(-1, -1)	(-1, -1)	49
16:30:06.012	29	20.1597	(-1, -1)	(-1, -1)	49
16:30:06.047	29	20.1606	(-1, -1)	(-1, -1)	49
16:30:06.082	30	20.1741	(-1, -1)	(-1, -1)	49
16:30:06.124	29	20.1684	(-1, -1)	(-1, -1)	49
16:30:06.158	29	20.1508	(-1, -1)	(-1, -1)	49
16:30:06.193	28	20.1695	(-1, -1)	(-1, -1)	49
16:30:06.227	27	20.1748	(-1, -1)	(-1, -1)	49
16:30:06.261	28	20.2164	(-1, -1)	(-1, -1)	49
16:30:06.296	28	20.1693	(-1, -1)	(-1, -1)	49
16:30:06.336	27	20.216	(-1, -1)	(-1, -1)	49
16:30:06.366	27	20.1634	(-1, -1)	(-1, -1)	49
16:30:06.400	28	20.1665	(-1, -1)	(-1, -1)	49
16:30:06.434	27	20.2673	(-1, -1)	(-1, -1)	49
16:30:06.469	26	20.2339	(-1, -1)	(-1, -1)	49
16:30:06.507	29	20.1599	(-1, -1)	(-1, -1)	49
16:30:06.541	27	20.1708	(-1, -1)	(-1, -1)	49
16:30:06.574	28	20.1849	(-1, -1)	(-1, -1)	49
16:30:06.609	27	20.2081	(-1, -1)	(-1, -1)	49
16:30:06.643	28	20.291	(-1, -1)	(-1, -1)	49
16:30:06.681	29	20.1665	(-1, -1)	(-1, -1)	49
16:30:06.713	29	20.1477	(-1, -1)	(-1, -1)	49
16:30:06.747	29	20.2529	(-1, -1)	(-1, -1)	49
16:30:06.783	31	20.1618	(-1, -1)	(-1, -1)	49
16:30:06.818	28	20.1573	(-1, -1)	(-1, -1)	49
16:30:06.852	28	20.163	(-1, -1)	(-1, -1)	49
16:30:06.887	27	20.2019	(-1, -1)	(-1, -1)	49
16:30:06.921	29	20.2021	(-1, -1)	(-1, -1)	49
16:30:06.956	28	20.1601	(-1, -1)	(-1, -1)	49
16:30:06.991	29	20.1599	(-1, -1)	(-1, -1)	49
16:30:07.026	28	20.1661	(-1, -1)	(-1, -1)	49
16:30:07.060	29	20.1788	(-1, -1)	(-1, -1)	49
16:30:07.095	28	20.2665	(-1, -1)	(-1, -1)	49
16:30:07.130	28	20.1716	(-1, -1)	(-1, -1)	49
16:30:07.165	28	20.163	(-1, -1)	(-1, -1)	49
16:30:07.200	28	20.1668	(-1, -1)	(-1, -1)	49
16:30:07.233	28	20.2545	(-1, -1)	(-1, -1)	49
16:30:07.269	29	20.1498	(-1, -1)	(-1, -1)	49
16:30:07.304	28	20.1625	(-1, -1)	(-1, -1)	49
16:30:07.338	31	20.1588	(-1, -1)	(-1, -1)	49
16:30:07.375	32	20.1733	(-1, -1)	(-1, -1)	49
