BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.028539, 0.735581, -0.672664, 0.0750333), Translationsvektor: ( 0.212108, -0.14242, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:34:06.469	19	4.48844	(318, 226)	(32, 23)	49
16:34:06.493	20	4.50429	(325, 225)	(33, 23)	49
16:34:06.527	24	4.55615	(335, 225)	(34, 23)	49
16:34:06.555	24	4.61437	(345, 225)	(35, 23)	49
16:34:06.583	23	4.66696	(357, 225)	(36, 23)	49
16:34:06.617	24	4.76519	(372, 225)	(37, 23)	49
16:34:06.646	24	4.78919	(375, 225)	(38, 23)	49
16:34:06.674	24	4.85319	(385, 225)	(39, 23)	49
16:34:06.701	23	4.9283	(395, 225)	(40, 23)	49
16:34:06.729	19	5.02844	(405, 225)	(41, 23)	49
16:34:06.756	20	5.07289	(415, 225)	(42, 23)	49
16:34:06.785	19	5.12	(425, 225)	(43, 23)	49
16:34:06.812	20	5.1363	(435, 226)	(44, 23)	49
16:34:06.839	21	5.18193	(445, 226)	(45, 23)	49
16:34:06.867	21	5.2357	(455, 226)	(46, 23)	49
16:34:06.895	21	5.30267	(465, 227)	(47, 23)	49
16:34:06.923	20	5.36518	(475, 227)	(48, 23)	49
16:34:06.951	21	5.44015	(485, 228)	(49, 23)	49
16:34:06.979	19	5.46904	(495, 228)	(50, 23)	49
16:34:07.006	20	5.53763	(505, 229)	(51, 23)	49
16:34:07.034	21	5.61067	(515, 229)	(52, 23)	49
16:34:07.062	21	5.6637	(525, 229)	(53, 23)	49
16:34:07.090	26	5.70741	(535, 229)	(54, 23)	49
16:34:07.117	20	5.7917	(545, 229)	(55, 23)	49
16:34:07.138	19	5.86667	(555, 229)	(56, 23)	49
16:34:07.159	20	5.9357	(565, 229)	(57, 23)	49
16:34:07.180	20	6.10785	(575, 229)	(58, 23)	49
16:34:07.208	20	6.26682	(585, 229)	(59, 23)	49
16:34:07.237	24	6.41896	(596, 229)	(60, 23)	49
16:34:07.263	21	6.55896	(605, 230)	(61, 23)	49
16:34:07.291	20	6.67022	(615, 230)	(62, 23)	49
16:34:07.318	26	6.84755	(626, 230)	(63, 23)	49
16:34:07.348	25	6.93363	(635, 230)	(64, 23)	49
16:34:07.375	26	7.07348	(645, 230)	(65, 23)	49
16:34:07.410	26	7.24237	(655, 230)	(66, 23)	49
16:34:07.438	27	7.38474	(665, 230)	(67, 23)	49
16:34:07.473	22	7.6237	(680, 230)	(68, 23)	49
16:34:07.500	22	7.716	(685, 230)	(69, 23)	49
16:34:07.527	23	7.79674	(695, 230)	(70, 23)	49
16:34:07.555	30	7.93037	(705, 230)	(71, 23)	49
16:34:07.592	32	8.09037	(715, 230)	(72, 23)	49
16:34:07.633	32	8.28015	(725, 230)	(73, 23)	49
16:34:07.676	29	8.45215	(735, 230)	(74, 23)	49
16:34:07.709	24	8.59022	(749, 230)	(75, 23)	49
16:34:07.736	23	8.6683	(756, 230)	(76, 23)	49
16:34:07.764	27	8.83422	(766, 230)	(77, 23)	49
16:34:07.800	27	9.10755	(775, 230)	(78, 23)	49
16:34:07.834	28	8.98815	(785, 230)	(79, 23)	49
16:34:07.869	28	9.156	(796, 229)	(80, 23)	49
16:34:07.903	26	9.29852	(805, 229)	(81, 23)	49
16:34:07.930	24	9.42874	(815, 229)	(82, 23)	49
16:34:07.958	25	9.61274	(825, 228)	(83, 23)	49
16:34:07.986	25	9.73541	(835, 228)	(84, 23)	49
16:34:08.015	24	9.88	(845, 228)	(85, 23)	49
16:34:08.042	30	9.99644	(855, 228)	(86, 23)	49
16:34:08.077	25	10.1576	(865, 228)	(87, 23)	49
16:34:08.104	26	10.3773	(875, 228)	(88, 23)	49
16:34:08.133	25	10.6369	(885, 228)	(89, 23)	49
16:34:08.161	26	10.9036	(895, 228)	(90, 23)	49
16:34:08.195	26	11.156	(905, 228)	(91, 23)	49
16:34:08.223	27	11.3307	(915, 228)	(92, 23)	49
16:34:08.258	26	11.5441	(925, 228)	(93, 23)	49
16:34:08.293	27	11.8273	(935, 228)	(94, 23)	49
16:34:08.327	27	12.1105	(945, 227)	(95, 23)	49
16:34:08.362	27	12.495	(957, 227)	(96, 23)	49
16:34:08.397	28	12.7523	(966, 227)	(97, 23)	49
16:34:08.432	27	12.8653	(975, 227)	(98, 23)	49
16:34:08.466	28	13.093	(985, 227)	(99, 23)	49
16:34:08.501	29	13.3221	(995, 227)	(100, 23)	49
16:34:08.535	27	13.4252	(1005, 227)	(101, 23)	49
16:34:08.570	27	13.5538	(1015, 226)	(102, 23)	49
16:34:08.605	33	13.7124	(1025, 226)	(103, 23)	49
16:34:08.641	35	13.7243	(1035, 226)	(104, 23)	49
16:34:08.682	36	13.7447	(1045, 225)	(105, 23)	49
16:34:08.726	30	13.7191	(1055, 225)	(106, 23)	49
16:34:08.759	27	13.7561	(1065, 225)	(107, 23)	49
16:34:08.793	27	13.7644	(1071, 224)	(107, 22)	49
16:34:08.828	34	13.7422	(1075, 224)	(108, 22)	49
16:34:08.870	33	13.785	(1085, 224)	(109, 22)	49
16:34:08.913	34	13.8333	(1095, 224)	(110, 22)	49
16:34:08.954	33	14.119	(1105, 224)	(111, 22)	49
16:34:08.995	34	14.2754	(1115, 224)	(112, 22)	49
16:34:09.037	37	14.5092	(1125, 224)	(113, 22)	49
16:34:09.078	35	14.8074	(1135, 224)	(114, 22)	49
16:34:09.120	36	15.0713	(1146, 223)	(115, 22)	49
16:34:09.162	35	15.2695	(1155, 223)	(116, 22)	49
16:34:09.203	36	15.5508	(1165, 223)	(117, 22)	49
16:34:09.245	36	15.7233	(1175, 223)	(118, 22)	49
16:34:09.287	36	16.1351	(1185, 223)	(119, 22)	49
16:34:09.329	35	16.144	(1195, 223)	(120, 22)	49
16:34:09.371	35	16.5067	(1205, 223)	(121, 22)	49
16:34:09.412	37	16.509	(1215, 223)	(122, 22)	49
16:34:09.454	36	16.5335	(1225, 223)	(123, 22)	49
16:34:09.496	36	16.3945	(1235, 223)	(124, 22)	49
16:34:09.538	35	16.3293	(1245, 223)	(125, 22)	49
16:34:09.579	33	16.1662	(1255, 223)	(126, 22)	49
16:34:09.620	34	16.1827	(1265, 224)	(127, 22)	49
16:34:09.662	37	16.2167	(1275, 224)	(128, 22)	49
16:34:09.704	36	16.0853	(1282, 225)	(128, 23)	49
16:34:09.746	35	16.0982	(1285, 225)	(129, 23)	49
16:34:09.787	34	16.0443	(1295, 226)	(130, 23)	49
16:34:09.828	32	16.1425	(1305, 226)	(131, 23)	49
16:34:09.863	35	15.9345	(1316, 228)	(132, 23)	49
16:34:09.906	34	15.863	(1326, 228)	(133, 23)	49
16:34:09.947	37	15.8864	(1335, 228)	(134, 23)	49
16:34:09.991	35	15.7166	(1345, 229)	(135, 23)	49
16:34:10.031	35	15.6812	(1355, 230)	(136, 23)	49
16:34:10.073	36	15.5939	(1366, 230)	(137, 23)	49
16:34:10.114	36	15.6024	(1375, 230)	(138, 23)	49
16:34:10.156	35	15.5271	(1386, 231)	(139, 23)	49
16:34:10.198	34	15.381	(1395, 231)	(140, 23)	49
16:34:10.239	29	15.3689	(1405, 232)	(141, 23)	49
16:34:10.273	33	15.1836	(1415, 232)	(142, 23)	49
16:34:10.309	34	15.1548	(1425, 232)	(143, 23)	49
16:34:10.350	35	15.0031	(1435, 233)	(144, 23)	49
16:34:10.393	33	14.8578	(1445, 234)	(145, 23)	49
16:34:10.434	31	14.6776	(1455, 234)	(146, 23)	49
16:34:10.468	31	14.6215	(1465, 234)	(147, 23)	49
16:34:10.503	30	14.4741	(1478, 234)	(148, 23)	49
16:34:10.538	34	14.1465	(1485, 234)	(149, 23)	49
16:34:10.580	34	14.1622	(1488, 235)	(149, 24)	49
16:34:10.622	34	14.0513	(1495, 235)	(150, 24)	49
16:34:10.664	31	13.9382	(1506, 235)	(151, 24)	49
16:34:10.698	30	14.0773	(1516, 235)	(152, 24)	49
16:34:10.733	28	13.7591	(1526, 236)	(153, 24)	49
16:34:10.767	36	13.6564	(1535, 236)	(154, 24)	49
16:34:10.810	36	13.5139	(1546, 236)	(155, 24)	49
16:34:10.852	38	13.2613	(1556, 237)	(156, 24)	49
16:34:10.893	29	12.9883	(1565, 237)	(157, 24)	49
16:34:10.928	29	12.7098	(1575, 238)	(158, 24)	49
16:34:10.963	30	12.7427	(1585, 238)	(159, 24)	49
16:34:10.997	30	12.3039	(1595, 239)	(160, 24)	49
16:34:11.031	31	12.1092	(1605, 239)	(161, 24)	49
16:34:11.066	31	11.8425	(1615, 240)	(162, 24)	49
16:34:11.102	29	11.4679	(1625, 240)	(163, 24)	49
16:34:11.136	30	11.1347	(1636, 241)	(164, 24)	49
16:34:11.171	29	10.9788	(1645, 242)	(165, 24)	49
16:34:11.205	35	10.5665	(1655, 242)	(166, 24)	49
16:34:11.248	35	10.2015	(1666, 243)	(167, 24)	49
16:34:11.291	32	9.70178	(1676, 244)	(168, 24)	49
