BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.028539, 0.735581, -0.672664, 0.0750333), Translationsvektor: ( 0.212108, -0.14242, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:33:44.704	21	12.1735	(318, 226)	(32, 23)	49
16:33:44.740	24	12.2332	(325, 225)	(33, 23)	49
16:33:44.770	28	12.1855	(335, 225)	(34, 23)	49
16:33:44.803	29	12.2327	(345, 225)	(35, 23)	49
16:33:44.839	26	12.2099	(357, 225)	(36, 23)	49
16:33:44.872	24	12.265	(372, 225)	(37, 23)	49
16:33:44.900	22	12.3024	(375, 225)	(38, 23)	49
16:33:44.928	21	12.3127	(385, 225)	(39, 23)	49
16:33:44.955	23	12.3397	(395, 225)	(40, 23)	49
16:33:44.983	27	12.327	(405, 225)	(41, 23)	49
16:33:45.019	25	12.3394	(415, 225)	(42, 23)	49
16:33:45.054	25	12.3359	(425, 225)	(43, 23)	49
16:33:45.088	23	12.3879	(435, 226)	(44, 23)	49
16:33:45.122	22	12.3492	(445, 226)	(45, 23)	49
16:33:45.150	25	12.4089	(455, 226)	(46, 23)	49
16:33:45.179	24	12.4012	(465, 227)	(47, 23)	49
16:33:45.206	24	12.3896	(475, 227)	(48, 23)	49
16:33:45.234	25	12.4538	(485, 228)	(49, 23)	49
16:33:45.262	24	12.4234	(495, 228)	(50, 23)	49
16:33:45.289	23	12.4292	(505, 229)	(51, 23)	49
16:33:45.317	24	12.4593	(515, 229)	(52, 23)	49
16:33:45.345	25	12.4877	(525, 229)	(53, 23)	49
16:33:45.373	25	12.5061	(535, 229)	(54, 23)	49
16:33:45.401	24	12.4996	(545, 229)	(55, 23)	49
16:33:45.428	26	12.5016	(555, 229)	(56, 23)	49
16:33:45.465	24	12.488	(565, 229)	(57, 23)	49
16:33:45.498	25	12.503	(575, 229)	(58, 23)	49
16:33:45.527	24	12.5136	(585, 229)	(59, 23)	49
16:33:45.555	25	12.5261	(596, 229)	(60, 23)	49
16:33:45.592	25	12.4819	(605, 230)	(61, 23)	49
16:33:45.623	26	12.5582	(615, 230)	(62, 23)	49
16:33:45.661	25	12.5476	(626, 230)	(63, 23)	49
16:33:45.693	22	12.5967	(635, 230)	(64, 23)	49
16:33:45.720	24	12.6554	(645, 230)	(65, 23)	49
16:33:45.749	23	12.6699	(655, 230)	(66, 23)	49
16:33:45.776	23	12.716	(665, 230)	(67, 23)	49
16:33:45.804	22	12.7828	(680, 230)	(68, 23)	49
16:33:45.831	24	12.7924	(685, 230)	(69, 23)	49
16:33:45.860	23	12.8058	(695, 230)	(70, 23)	49
16:33:45.887	23	12.8461	(705, 230)	(71, 23)	49
16:33:45.916	22	12.8839	(715, 230)	(72, 23)	49
16:33:45.943	22	12.8933	(725, 230)	(73, 23)	49
16:33:45.970	24	12.8561	(735, 230)	(74, 23)	49
16:33:45.999	23	12.9304	(749, 230)	(75, 23)	49
16:33:46.028	28	12.9404	(756, 230)	(76, 23)	49
16:33:46.062	28	12.8797	(766, 230)	(77, 23)	49
16:33:46.097	27	12.9366	(775, 230)	(78, 23)	49
16:33:46.131	24	12.9493	(785, 230)	(79, 23)	49
16:33:46.158	24	13.0224	(796, 229)	(80, 23)	49
16:33:46.186	31	12.98	(805, 229)	(81, 23)	49
16:33:46.223	32	12.9022	(815, 229)	(82, 23)	49
16:33:46.264	32	12.9587	(825, 228)	(83, 23)	49
16:33:46.307	27	12.967	(835, 228)	(84, 23)	49
16:33:46.339	23	13.0751	(845, 228)	(85, 23)	49
16:33:46.366	23	13.0516	(855, 228)	(86, 23)	49
16:33:46.394	24	13.1443	(865, 228)	(87, 23)	49
16:33:46.423	27	13.2473	(875, 228)	(88, 23)	49
16:33:46.458	27	13.2824	(885, 228)	(89, 23)	49
16:33:46.493	27	13.2761	(895, 228)	(90, 23)	49
16:33:46.528	26	13.3907	(905, 228)	(91, 23)	49
16:33:46.562	23	13.4028	(915, 228)	(92, 23)	49
16:33:46.589	23	13.4593	(925, 228)	(93, 23)	49
16:33:46.617	27	13.4784	(935, 228)	(94, 23)	49
16:33:46.653	28	13.6127	(945, 227)	(95, 23)	49
16:33:46.688	27	13.66	(957, 227)	(96, 23)	49
16:33:46.722	24	13.6767	(966, 227)	(97, 23)	49
16:33:46.749	24	13.7166	(975, 227)	(98, 23)	49
16:33:46.776	24	13.8004	(985, 227)	(99, 23)	49
16:33:46.804	24	13.8455	(995, 227)	(100, 23)	49
16:33:46.833	24	13.8988	(1005, 227)	(101, 23)	49
16:33:46.860	32	13.8652	(1015, 226)	(102, 23)	49
16:33:46.896	33	13.963	(1025, 226)	(103, 23)	49
