BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.028539, 0.735581, -0.672664, 0.0750333), Translationsvektor: ( 0.212108, -0.14242, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:34:33.145	44	35.4025	(-1, -1)	(-1, -1)	49
16:34:33.195	45	35.3052	(-1, -1)	(-1, -1)	49
16:34:33.251	46	35.3286	(-1, -1)	(-1, -1)	49
16:34:33.306	48	35.3479	(-1, -1)	(-1, -1)	49
16:34:33.361	44	35.3293	(-1, -1)	(-1, -1)	49
16:34:33.410	45	35.3206	(-1, -1)	(-1, -1)	49
16:34:33.466	48	35.3366	(-1, -1)	(-1, -1)	49
16:34:33.521	47	35.3323	(-1, -1)	(-1, -1)	49
16:34:33.577	45	35.3228	(-1, -1)	(-1, -1)	49
16:34:33.625	46	35.3314	(-1, -1)	(-1, -1)	49
16:34:33.681	47	35.316	(-1, -1)	(-1, -1)	49
16:34:33.736	43	35.4036	(-1, -1)	(-1, -1)	49
16:34:33.787	43	35.3436	(-1, -1)	(-1, -1)	49
16:34:33.834	44	35.3449	(-1, -1)	(-1, -1)	49
16:34:33.890	48	35.3444	(-1, -1)	(-1, -1)	49
16:34:33.946	47	35.3597	(-1, -1)	(-1, -1)	49
16:34:34.001	44	35.3287	(-1, -1)	(-1, -1)	49
16:34:34.049	46	35.3243	(-1, -1)	(-1, -1)	49
16:34:34.105	49	35.3252	(-1, -1)	(-1, -1)	49
16:34:34.161	47	35.3225	(-1, -1)	(-1, -1)	49
16:34:34.216	43	35.327	(-1, -1)	(-1, -1)	49
16:34:34.267	48	35.3244	(-1, -1)	(-1, -1)	49
16:34:34.324	47	35.3391	(-1, -1)	(-1, -1)	49
16:34:34.377	46	35.3391	(-1, -1)	(-1, -1)	49
16:34:34.431	43	35.3372	(-1, -1)	(-1, -1)	49
16:34:34.479	43	35.4279	(-1, -1)	(-1, -1)	49
16:34:34.530	47	35.3514	(-1, -1)	(-1, -1)	49
16:34:34.587	46	35.3496	(-1, -1)	(-1, -1)	49
16:34:34.641	43	35.3265	(-1, -1)	(-1, -1)	49
16:34:34.688	42	35.413	(-1, -1)	(-1, -1)	49
16:34:34.737	44	35.4279	(-1, -1)	(-1, -1)	49
16:34:34.788	47	35.3296	(-1, -1)	(-1, -1)	49
16:34:34.843	46	35.3388	(-1, -1)	(-1, -1)	49
16:34:34.897	44	35.4181	(-1, -1)	(-1, -1)	49
16:34:34.948	47	35.3087	(-1, -1)	(-1, -1)	49
16:34:35.011	47	35.3559	(-1, -1)	(-1, -1)	49
16:34:35.065	44	35.3541	(-1, -1)	(-1, -1)	49
16:34:35.116	47	35.3153	(-1, -1)	(-1, -1)	49
16:34:35.171	46	35.3264	(-1, -1)	(-1, -1)	49
16:34:35.225	48	35.3059	(-1, -1)	(-1, -1)	49
16:34:35.281	42	35.3607	(-1, -1)	(-1, -1)	49
16:34:35.328	44	35.4381	(-1, -1)	(-1, -1)	49
16:34:35.378	47	35.3277	(-1, -1)	(-1, -1)	49
16:34:35.434	46	35.3062	(-1, -1)	(-1, -1)	49
16:34:35.489	43	35.3156	(-1, -1)	(-1, -1)	49
16:34:35.538	46	35.3471	(-1, -1)	(-1, -1)	49
16:34:35.593	48	35.3366	(-1, -1)	(-1, -1)	49
16:34:35.649	48	35.327	(-1, -1)	(-1, -1)	49
16:34:35.703	43	35.4025	(-1, -1)	(-1, -1)	49
16:34:35.752	43	35.4028	(-1, -1)	(-1, -1)	49
16:34:35.802	47	35.3351	(-1, -1)	(-1, -1)	49
16:34:35.858	48	35.3415	(-1, -1)	(-1, -1)	49
16:34:35.913	43	35.3604	(-1, -1)	(-1, -1)	49
16:34:35.961	44	35.3191	(-1, -1)	(-1, -1)	49
16:34:36.011	47	35.3216	(-1, -1)	(-1, -1)	49
16:34:36.068	48	35.3348	(-1, -1)	(-1, -1)	49
16:34:36.122	42	35.3449	(-1, -1)	(-1, -1)	49
16:34:36.169	41	35.3954	(-1, -1)	(-1, -1)	49
16:34:36.219	48	35.3271	(-1, -1)	(-1, -1)	49
16:34:36.275	46	35.3274	(-1, -1)	(-1, -1)	49
16:34:36.331	43	35.3255	(-1, -1)	(-1, -1)	49
16:34:36.377	42	35.4345	(-1, -1)	(-1, -1)	49
16:34:36.430	47	35.3519	(-1, -1)	(-1, -1)	49
16:34:36.483	48	35.3465	(-1, -1)	(-1, -1)	49
16:34:36.539	46	35.3231	(-1, -1)	(-1, -1)	49
16:34:36.593	43	35.4302	(-1, -1)	(-1, -1)	49
16:34:36.643	48	35.344	(-1, -1)	(-1, -1)	49
16:34:36.699	46	35.3138	(-1, -1)	(-1, -1)	49
16:34:36.754	43	35.3347	(-1, -1)	(-1, -1)	49
16:34:36.802	44	35.3384	(-1, -1)	(-1, -1)	49
16:34:36.851	48	35.3148	(-1, -1)	(-1, -1)	49
16:34:36.908	47	35.3367	(-1, -1)	(-1, -1)	49
16:34:36.962	44	35.3329	(-1, -1)	(-1, -1)	49
16:34:37.011	43	35.3356	(-1, -1)	(-1, -1)	49
16:34:37.060	47	35.3191	(-1, -1)	(-1, -1)	49
16:34:37.115	48	35.3321	(-1, -1)	(-1, -1)	49
16:34:37.171	44	35.3351	(-1, -1)	(-1, -1)	49
16:34:37.219	45	35.3279	(-1, -1)	(-1, -1)	49
16:34:37.269	48	35.3446	(-1, -1)	(-1, -1)	49
16:34:37.325	47	35.3382	(-1, -1)	(-1, -1)	49
16:34:37.381	45	35.3092	(-1, -1)	(-1, -1)	49
16:34:37.428	44	35.3021	(-1, -1)	(-1, -1)	49
16:34:37.480	46	35.3286	(-1, -1)	(-1, -1)	49
16:34:37.533	47	35.3111	(-1, -1)	(-1, -1)	49
16:34:37.589	45	35.3182	(-1, -1)	(-1, -1)	49
16:34:37.643	46	35.3409	(-1, -1)	(-1, -1)	49
16:34:37.700	48	35.316	(-1, -1)	(-1, -1)	49
16:34:37.755	47	35.3204	(-1, -1)	(-1, -1)	49
16:34:37.810	43	35.3209	(-1, -1)	(-1, -1)	49
16:34:37.858	42	35.3822	(-1, -1)	(-1, -1)	49
16:34:37.909	47	35.3542	(-1, -1)	(-1, -1)	49
16:34:37.964	47	35.3404	(-1, -1)	(-1, -1)	49
16:34:38.019	42	35.4517	(-1, -1)	(-1, -1)	49
16:34:38.067	42	35.3985	(-1, -1)	(-1, -1)	49
16:34:38.117	47	35.32	(-1, -1)	(-1, -1)	49
16:34:38.172	48	35.3305	(-1, -1)	(-1, -1)	49
16:34:38.228	43	35.3308	(-1, -1)	(-1, -1)	49
16:34:38.276	45	35.3456	(-1, -1)	(-1, -1)	49
16:34:38.332	48	35.3379	(-1, -1)	(-1, -1)	49
16:34:38.388	47	35.3172	(-1, -1)	(-1, -1)	49
16:34:38.443	43	35.3264	(-1, -1)	(-1, -1)	49
16:34:38.491	46	35.3231	(-1, -1)	(-1, -1)	49
16:34:38.542	48	35.3473	(-1, -1)	(-1, -1)	49
16:34:38.597	47	35.3203	(-1, -1)	(-1, -1)	49
16:34:38.651	43	35.308	(-1, -1)	(-1, -1)	49
16:34:38.699	43	35.436	(-1, -1)	(-1, -1)	49
16:34:38.749	48	35.3321	(-1, -1)	(-1, -1)	49
16:34:38.806	50	35.3342	(-1, -1)	(-1, -1)	49
16:34:38.860	44	35.3262	(-1, -1)	(-1, -1)	49
16:34:38.909	47	35.3299	(-1, -1)	(-1, -1)	49
16:34:38.965	47	35.3347	(-1, -1)	(-1, -1)	49
16:34:39.020	48	35.3292	(-1, -1)	(-1, -1)	49
16:34:39.075	44	35.3436	(-1, -1)	(-1, -1)	49
16:34:39.124	45	35.3379	(-1, -1)	(-1, -1)	49
16:34:39.174	47	35.3184	(-1, -1)	(-1, -1)	49
16:34:39.230	47	35.301	(-1, -1)	(-1, -1)	49
16:34:39.284	45	35.3336	(-1, -1)	(-1, -1)	49
16:34:39.334	46	35.3164	(-1, -1)	(-1, -1)	49
16:34:39.389	47	35.3081	(-1, -1)	(-1, -1)	49
16:34:39.447	45	35.332	(-1, -1)	(-1, -1)	49
16:34:39.499	41	35.3926	(-1, -1)	(-1, -1)	49
16:34:39.549	47	35.3253	(-1, -1)	(-1, -1)	49
16:34:39.605	47	35.3212	(-1, -1)	(-1, -1)	49
16:34:39.662	47	35.3418	(-1, -1)	(-1, -1)	49
16:34:39.715	43	35.325	(-1, -1)	(-1, -1)	49
16:34:39.763	41	35.3916	(-1, -1)	(-1, -1)	49
16:34:39.813	47	35.3437	(-1, -1)	(-1, -1)	49
16:34:39.869	48	35.3185	(-1, -1)	(-1, -1)	49
16:34:39.925	46	35.3199	(-1, -1)	(-1, -1)	49
16:34:39.980	47	35.3434	(-1, -1)	(-1, -1)	49
16:34:40.035	48	35.3444	(-1, -1)	(-1, -1)	49
16:34:40.095	47	35.3384	(-1, -1)	(-1, -1)	49
16:34:40.146	43	35.4099	(-1, -1)	(-1, -1)	49
16:34:40.196	48	35.3431	(-1, -1)	(-1, -1)	49
16:34:40.252	46	35.3441	(-1, -1)	(-1, -1)	49
16:34:40.307	47	35.3544	(-1, -1)	(-1, -1)	49
16:34:40.361	45	35.3324	(-1, -1)	(-1, -1)	49
16:34:40.411	47	35.3256	(-1, -1)	(-1, -1)	49
16:34:40.467	47	35.3173	(-1, -1)	(-1, -1)	49
16:34:40.523	47	35.3289	(-1, -1)	(-1, -1)	49
16:34:40.576	46	35.3284	(-1, -1)	(-1, -1)	49
16:34:40.627	47	35.3427	(-1, -1)	(-1, -1)	49
16:34:40.682	47	35.3273	(-1, -1)	(-1, -1)	49
16:34:40.736	43	35.4089	(-1, -1)	(-1, -1)	49
16:34:40.785	45	35.3253	(-1, -1)	(-1, -1)	49
16:34:40.836	46	35.3259	(-1, -1)	(-1, -1)	49
16:34:40.891	48	35.3434	(-1, -1)	(-1, -1)	49
16:34:40.947	45	35.3293	(-1, -1)	(-1, -1)	49
16:34:40.993	42	35.3825	(-1, -1)	(-1, -1)	49
16:34:41.044	47	35.335	(-1, -1)	(-1, -1)	49
16:34:41.099	48	35.3636	(-1, -1)	(-1, -1)	49
16:34:41.155	45	35.3302	(-1, -1)	(-1, -1)	49
16:34:41.209	43	35.4363	(-1, -1)	(-1, -1)	49
16:34:41.259	47	35.3364	(-1, -1)	(-1, -1)	49
16:34:41.315	47	35.3424	(-1, -1)	(-1, -1)	49
16:34:41.369	44	35.3369	(-1, -1)	(-1, -1)	49
16:34:41.418	45	35.3311	(-1, -1)	(-1, -1)	49
16:34:41.468	46	35.3224	(-1, -1)	(-1, -1)	49
16:34:41.523	48	35.3215	(-1, -1)	(-1, -1)	49
16:34:41.579	43	35.3219	(-1, -1)	(-1, -1)	49
16:34:41.633	44	35.3237	(-1, -1)	(-1, -1)	49
16:34:41.683	48	35.3327	(-1, -1)	(-1, -1)	49
16:34:41.740	47	35.3292	(-1, -1)	(-1, -1)	49
16:34:41.793	44	35.3253	(-1, -1)	(-1, -1)	49
16:34:41.842	44	35.3607	(-1, -1)	(-1, -1)	49
16:34:41.892	47	35.3461	(-1, -1)	(-1, -1)	49
16:34:41.947	48	35.3436	(-1, -1)	(-1, -1)	49
16:34:42.003	44	35.3324	(-1, -1)	(-1, -1)	49
16:34:42.051	44	35.312	(-1, -1)	(-1, -1)	49
16:34:42.100	47	35.3381	(-1, -1)	(-1, -1)	49
16:34:42.157	48	35.3204	(-1, -1)	(-1, -1)	49
16:34:42.211	43	35.3336	(-1, -1)	(-1, -1)	49
16:34:42.259	44	35.4415	(-1, -1)	(-1, -1)	49
16:34:42.309	48	35.3413	(-1, -1)	(-1, -1)	49
16:34:42.364	48	35.3375	(-1, -1)	(-1, -1)	49
16:34:42.419	44	35.3587	(-1, -1)	(-1, -1)	49
16:34:42.469	47	35.3514	(-1, -1)	(-1, -1)	49
16:34:42.525	46	35.3222	(-1, -1)	(-1, -1)	49
16:34:42.580	47	35.3265	(-1, -1)	(-1, -1)	49
16:34:42.634	42	35.4089	(-1, -1)	(-1, -1)	49
16:34:42.682	42	35.448	(-1, -1)	(-1, -1)	49
16:34:42.732	43	35.328	(-1, -1)	(-1, -1)	49
16:34:42.780	47	35.3311	(-1, -1)	(-1, -1)	49
16:34:42.837	44	35.3431	(-1, -1)	(-1, -1)	49
16:34:42.884	41	35.4237	(-1, -1)	(-1, -1)	49
16:34:42.934	47	35.3541	(-1, -1)	(-1, -1)	49
16:34:42.990	48	35.336	(-1, -1)	(-1, -1)	49
16:34:43.046	46	35.3104	(-1, -1)	(-1, -1)	49
16:34:43.100	45	35.3273	(-1, -1)	(-1, -1)	49
16:34:43.150	47	35.3447	(-1, -1)	(-1, -1)	49
16:34:43.207	47	35.3231	(-1, -1)	(-1, -1)	49
16:34:43.261	44	35.3572	(-1, -1)	(-1, -1)	49
16:34:43.308	44	35.4447	(-1, -1)	(-1, -1)	49
16:34:43.358	48	35.3335	(-1, -1)	(-1, -1)	49
16:34:43.414	48	35.3387	(-1, -1)	(-1, -1)	49
16:34:43.471	43	35.339	(-1, -1)	(-1, -1)	49
16:34:43.517	45	35.3153	(-1, -1)	(-1, -1)	49
16:34:43.569	47	35.3502	(-1, -1)	(-1, -1)	49
16:34:43.623	47	35.3234	(-1, -1)	(-1, -1)	49
