BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.798357, 0.246892, -0.527757, 0.15212), Translationsvektor: ( 0.0318162, 0.0367534, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:37:03.303	21	5.12444	(318, 226)	(32, 23)	49
16:37:03.338	21	5.16207	(325, 225)	(33, 23)	49
16:37:03.366	20	5.23556	(335, 225)	(34, 23)	49
16:37:03.393	26	5.3637	(345, 225)	(35, 23)	49
16:37:03.428	21	5.4717	(357, 225)	(36, 23)	49
16:37:03.456	23	5.6157	(372, 225)	(37, 23)	49
16:37:03.484	21	5.63259	(375, 225)	(38, 23)	49
16:37:03.511	22	5.70104	(385, 225)	(39, 23)	49
16:37:03.539	22	5.82489	(395, 225)	(40, 23)	49
16:37:03.567	22	5.85482	(405, 225)	(41, 23)	49
16:37:03.595	21	5.91852	(415, 225)	(42, 23)	49
16:37:03.622	22	6.03852	(425, 225)	(43, 23)	49
16:37:03.650	23	6.22533	(435, 226)	(44, 23)	49
16:37:03.678	23	6.36681	(445, 226)	(45, 23)	49
16:37:03.706	23	6.39837	(455, 226)	(46, 23)	49
16:37:03.733	24	6.50607	(465, 227)	(47, 23)	49
16:37:03.762	22	6.64815	(475, 227)	(48, 23)	49
16:37:03.789	23	6.69437	(485, 228)	(49, 23)	49
16:37:03.817	23	6.82385	(495, 228)	(50, 23)	49
16:37:03.845	22	6.81378	(505, 229)	(51, 23)	49
16:37:03.872	23	6.96622	(515, 229)	(52, 23)	49
16:37:03.900	24	7.01659	(525, 229)	(53, 23)	49
16:37:03.928	23	7.23941	(535, 229)	(54, 23)	49
16:37:03.957	24	7.45659	(545, 229)	(55, 23)	49
16:37:03.984	23	7.66756	(555, 229)	(56, 23)	49
16:37:04.012	25	7.83645	(565, 229)	(57, 23)	49
16:37:04.039	23	8.052	(575, 229)	(58, 23)	49
16:37:04.067	22	8.16889	(585, 229)	(59, 23)	49
16:37:04.094	24	8.42341	(596, 229)	(60, 23)	49
16:37:04.123	25	8.60637	(605, 230)	(61, 23)	49
16:37:04.151	24	8.72282	(615, 230)	(62, 23)	49
16:37:04.178	25	8.93985	(626, 230)	(63, 23)	49
16:37:04.206	25	9.09674	(635, 230)	(64, 23)	49
16:37:04.241	25	9.24593	(645, 230)	(65, 23)	49
16:37:04.269	24	9.40148	(655, 230)	(66, 23)	49
16:37:04.296	26	9.64267	(665, 230)	(67, 23)	49
16:37:04.332	25	9.90311	(680, 230)	(68, 23)	49
16:37:04.359	27	10.0311	(685, 230)	(69, 23)	49
16:37:04.394	27	10.1855	(695, 230)	(70, 23)	49
16:37:04.429	27	10.4844	(705, 230)	(71, 23)	49
16:37:04.463	26	10.6086	(715, 230)	(72, 23)	49
16:37:04.491	27	10.8061	(725, 230)	(73, 23)	49
16:37:04.526	27	10.9244	(735, 230)	(74, 23)	49
16:37:04.561	26	11.1756	(749, 230)	(75, 23)	49
16:37:04.596	27	11.229	(756, 230)	(76, 23)	49
16:37:04.631	27	11.3443	(766, 230)	(77, 23)	49
16:37:04.666	26	11.3284	(775, 230)	(78, 23)	49
16:37:04.700	27	11.4769	(785, 230)	(79, 23)	49
16:37:04.735	26	11.6096	(796, 229)	(80, 23)	49
16:37:04.770	27	11.759	(805, 229)	(81, 23)	49
16:37:04.804	28	11.8439	(815, 229)	(82, 23)	49
16:37:04.839	27	11.9674	(825, 228)	(83, 23)	49
16:37:04.873	32	12.1052	(835, 228)	(84, 23)	49
16:37:04.910	30	12.2908	(845, 228)	(85, 23)	49
16:37:04.943	28	12.4181	(855, 228)	(86, 23)	49
16:37:04.979	29	12.532	(865, 228)	(87, 23)	49
16:37:05.013	29	12.6624	(875, 228)	(88, 23)	49
16:37:05.048	29	12.7967	(885, 228)	(89, 23)	49
16:37:05.082	29	12.8446	(895, 228)	(90, 23)	49
16:37:05.117	30	13.0191	(905, 228)	(91, 23)	49
16:37:05.152	29	13.208	(915, 228)	(92, 23)	49
16:37:05.186	31	13.4041	(925, 228)	(93, 23)	49
16:37:05.222	29	13.5729	(935, 228)	(94, 23)	49
16:37:05.256	31	13.7416	(945, 227)	(95, 23)	49
16:37:05.291	37	13.8301	(957, 227)	(96, 23)	49
16:37:05.335	36	13.8016	(966, 227)	(97, 23)	49
16:37:05.374	35	13.9396	(975, 227)	(98, 23)	49
16:37:05.416	35	13.955	(985, 227)	(99, 23)	49
16:37:05.459	32	13.9145	(995, 227)	(100, 23)	49
16:37:05.499	28	14.1053	(1005, 227)	(101, 23)	49
16:37:05.533	36	14.1185	(1015, 226)	(102, 23)	49
16:37:05.576	39	14.0218	(1025, 226)	(103, 23)	49
16:37:05.619	36	14.052	(1035, 226)	(104, 23)	49
16:37:05.661	33	13.877	(1045, 225)	(105, 23)	49
16:37:05.702	31	13.8292	(1055, 225)	(106, 23)	49
16:37:05.735	28	13.769	(1065, 225)	(107, 23)	49
16:37:05.770	30	13.7289	(1071, 224)	(107, 22)	49
16:37:05.806	37	13.6991	(1075, 224)	(108, 22)	49
16:37:05.848	36	13.5185	(1085, 224)	(109, 22)	49
16:37:05.889	32	13.3837	(1095, 224)	(110, 22)	49
16:37:05.924	34	13.3228	(1105, 224)	(111, 22)	49
16:37:05.966	37	13.2683	(1115, 224)	(112, 22)	49
16:37:06.007	38	13.135	(1125, 224)	(113, 22)	49
16:37:06.051	38	12.9859	(1135, 224)	(114, 22)	49
16:37:06.097	29	12.865	(1146, 223)	(115, 22)	49
16:37:06.132	35	12.799	(1155, 223)	(116, 22)	49
16:37:06.175	40	12.605	(1165, 223)	(117, 22)	49
16:37:06.224	38	12.4367	(1175, 223)	(118, 22)	49
16:37:06.273	40	12.3175	(1185, 223)	(119, 22)	49
16:37:06.322	32	12.2453	(1195, 223)	(120, 22)	49
16:37:06.362	28	12.2724	(1205, 223)	(121, 22)	49
16:37:06.397	29	12.0397	(1215, 223)	(122, 22)	49
16:37:06.431	30	12.0736	(1225, 223)	(123, 22)	49
16:37:06.465	31	11.7764	(1235, 223)	(124, 22)	49
16:37:06.502	30	11.6169	(1245, 223)	(125, 22)	49
16:37:06.536	30	11.4304	(1255, 223)	(126, 22)	49
16:37:06.570	39	11.204	(1265, 224)	(127, 22)	49
16:37:06.620	37	11.0681	(1275, 224)	(128, 22)	49
16:37:06.669	39	10.9939	(1282, 225)	(128, 23)	49
16:37:06.719	28	10.9576	(1285, 225)	(129, 23)	49
16:37:06.750	28	10.8142	(1295, 226)	(130, 23)	49
16:37:06.785	28	10.6427	(1305, 226)	(131, 23)	49
16:37:06.820	27	10.3633	(1316, 228)	(132, 23)	49
16:37:06.854	28	10.1116	(1326, 228)	(133, 23)	49
16:37:06.890	26	9.89793	(1335, 228)	(134, 23)	49
16:37:06.926	26	9.76311	(1345, 229)	(135, 23)	49
16:37:06.959	27	9.59393	(1355, 230)	(136, 23)	49
16:37:06.994	23	9.37007	(1366, 230)	(137, 23)	49
16:37:07.021	23	9.08993	(1375, 230)	(138, 23)	49
16:37:07.049	25	8.75067	(1386, 231)	(139, 23)	49
16:37:07.078	25	8.52133	(1395, 231)	(140, 23)	49
16:37:07.106	25	8.45348	(1405, 232)	(141, 23)	49
16:37:07.134	25	8.15245	(1415, 232)	(142, 23)	49
16:37:07.161	24	7.96133	(1425, 232)	(143, 23)	49
16:37:07.190	23	7.88489	(1435, 233)	(144, 23)	49
16:37:07.216	22	7.78045	(1445, 234)	(145, 23)	49
16:37:07.244	21	7.62682	(1455, 234)	(146, 23)	49
16:37:07.272	22	7.56785	(1465, 234)	(147, 23)	49
16:37:07.300	21	7.30326	(1478, 234)	(148, 23)	49
16:37:07.328	21	7.22933	(1485, 234)	(149, 23)	49
16:37:07.355	21	7.35793	(1488, 235)	(149, 24)	49
16:37:07.383	22	7.10163	(1495, 235)	(150, 24)	49
16:37:07.411	20	7.03704	(1506, 235)	(151, 24)	49
16:37:07.439	24	6.93022	(1516, 235)	(152, 24)	49
16:37:07.468	31	6.82059	(1526, 236)	(153, 24)	49
16:37:07.502	25	6.66874	(1535, 236)	(154, 24)	49
16:37:07.529	26	6.65348	(1546, 236)	(155, 24)	49
16:37:07.565	26	6.59378	(1556, 237)	(156, 24)	49
16:37:07.598	23	6.41926	(1565, 237)	(157, 24)	49
16:37:07.627	21	6.27245	(1575, 238)	(158, 24)	49
16:37:07.654	22	6.21052	(1585, 238)	(159, 24)	49
16:37:07.682	22	6.17793	(1595, 239)	(160, 24)	49
16:37:07.710	21	6.02148	(1605, 239)	(161, 24)	49
16:37:07.737	23	5.94341	(1615, 240)	(162, 24)	49
