BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.798357, 0.246892, -0.527757, 0.15212), Translationsvektor: ( 0.0318162, 0.0367534, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:37:29.226	22	11.2366	(318, 226)	(32, 23)	49
16:37:29.255	22	11.1116	(325, 225)	(33, 23)	49
16:37:29.281	22	11.2227	(335, 225)	(34, 23)	49
16:37:29.309	21	11.2025	(345, 225)	(35, 23)	49
16:37:29.337	29	11.1948	(357, 225)	(36, 23)	49
16:37:29.371	22	11.1904	(372, 225)	(37, 23)	49
16:37:29.399	22	11.1073	(375, 225)	(38, 23)	49
16:37:29.427	22	11.2871	(385, 225)	(39, 23)	49
16:37:29.455	22	11.1833	(395, 225)	(40, 23)	49
16:37:29.483	21	11.2636	(405, 225)	(41, 23)	49
16:37:29.510	21	11.3871	(415, 225)	(42, 23)	49
16:37:29.538	21	11.2794	(425, 225)	(43, 23)	49
16:37:29.566	20	11.24	(435, 226)	(44, 23)	49
16:37:29.593	22	11.3058	(445, 226)	(45, 23)	49
16:37:29.621	22	11.6059	(455, 226)	(46, 23)	49
16:37:29.651	26	11.9071	(465, 227)	(47, 23)	49
16:37:29.686	23	12.0433	(475, 227)	(48, 23)	49
16:37:29.712	22	12.2258	(485, 228)	(49, 23)	49
16:37:29.740	23	12.1745	(495, 228)	(50, 23)	49
16:37:29.769	26	12.2034	(505, 229)	(51, 23)	49
16:37:29.803	27	12.1942	(515, 229)	(52, 23)	49
16:37:29.838	27	12.2646	(525, 229)	(53, 23)	49
16:37:29.873	26	12.361	(535, 229)	(54, 23)	49
16:37:29.907	27	12.2613	(545, 229)	(55, 23)	49
16:37:29.942	23	12.2668	(555, 229)	(56, 23)	49
16:37:29.969	24	12.3126	(565, 229)	(57, 23)	49
16:37:29.998	22	12.4013	(575, 229)	(58, 23)	49
16:37:30.025	24	12.408	(585, 229)	(59, 23)	49
16:37:30.053	24	12.4576	(596, 229)	(60, 23)	49
16:37:30.082	24	12.5618	(605, 230)	(61, 23)	49
16:37:30.108	24	12.5449	(615, 230)	(62, 23)	49
16:37:30.136	24	12.844	(626, 230)	(63, 23)	49
16:37:30.164	24	12.6196	(635, 230)	(64, 23)	49
16:37:30.192	23	12.8376	(645, 230)	(65, 23)	49
16:37:30.219	24	12.9176	(655, 230)	(66, 23)	49
16:37:30.247	25	12.741	(665, 230)	(67, 23)	49
16:37:30.276	23	12.9369	(680, 230)	(68, 23)	49
16:37:30.304	23	12.9923	(685, 230)	(69, 23)	49
16:37:30.331	24	13.0279	(695, 230)	(70, 23)	49
16:37:30.359	22	13.0243	(705, 230)	(71, 23)	49
16:37:30.386	25	13.0507	(715, 230)	(72, 23)	49
16:37:30.415	22	13.2234	(725, 230)	(73, 23)	49
16:37:30.442	24	13.1126	(735, 230)	(74, 23)	49
16:37:30.469	24	13.3046	(749, 230)	(75, 23)	49
16:37:30.498	24	13.3548	(756, 230)	(76, 23)	49
16:37:30.526	23	13.3923	(766, 230)	(77, 23)	49
16:37:30.553	24	13.5121	(775, 230)	(78, 23)	49
16:37:30.581	25	13.6397	(785, 230)	(79, 23)	49
16:37:30.609	25	13.4871	(796, 229)	(80, 23)	49
16:37:30.637	25	13.5279	(805, 229)	(81, 23)	49
16:37:30.665	24	13.6159	(815, 229)	(82, 23)	49
16:37:30.693	24	13.6289	(825, 228)	(83, 23)	49
16:37:30.720	26	13.5948	(835, 228)	(84, 23)	49
16:37:30.748	25	13.7344	(845, 228)	(85, 23)	49
16:37:30.776	25	13.6736	(855, 228)	(86, 23)	49
16:37:30.804	24	13.5662	(865, 228)	(87, 23)	49
16:37:30.831	24	13.5526	(875, 228)	(88, 23)	49
16:37:30.859	24	13.4092	(885, 228)	(89, 23)	49
16:37:30.887	25	13.3828	(895, 228)	(90, 23)	49
16:37:30.914	24	13.503	(905, 228)	(91, 23)	49
16:37:30.942	23	13.5961	(915, 228)	(92, 23)	49
16:37:30.971	23	13.7736	(925, 228)	(93, 23)	49
16:37:30.998	27	13.6486	(935, 228)	(94, 23)	49
16:37:31.035	26	13.7142	(945, 227)	(95, 23)	49
16:37:31.068	27	13.6899	(957, 227)	(96, 23)	49
16:37:31.103	26	13.8831	(966, 227)	(97, 23)	49
16:37:31.137	27	13.7708	(975, 227)	(98, 23)	49
16:37:31.172	26	13.747	(985, 227)	(99, 23)	49
16:37:31.206	23	13.7292	(995, 227)	(100, 23)	49
16:37:31.234	23	13.763	(1005, 227)	(101, 23)	49
16:37:31.263	29	13.7521	(1015, 226)	(102, 23)	49
16:37:31.298	28	13.7387	(1025, 226)	(103, 23)	49
16:37:31.333	29	13.7163	(1035, 226)	(104, 23)	49
16:37:31.368	26	13.7156	(1045, 225)	(105, 23)	49
16:37:31.403	25	13.6114	(1055, 225)	(106, 23)	49
16:37:31.430	25	13.691	(1065, 225)	(107, 23)	49
16:37:31.459	27	13.4921	(1071, 224)	(107, 22)	49
16:37:31.492	27	13.6529	(1075, 224)	(108, 22)	49
16:37:31.527	28	13.715	(1085, 224)	(109, 22)	49
16:37:31.562	28	13.7908	(1095, 224)	(110, 22)	49
16:37:31.596	25	13.7252	(1105, 224)	(111, 22)	49
16:37:31.624	25	13.68	(1115, 224)	(112, 22)	49
16:37:31.652	25	13.611	(1125, 224)	(113, 22)	49
16:37:31.679	25	13.5113	(1135, 224)	(114, 22)	49
16:37:31.707	24	13.3984	(1146, 223)	(115, 22)	49
16:37:31.735	24	13.5673	(1155, 223)	(116, 22)	49
16:37:31.762	25	13.5225	(1165, 223)	(117, 22)	49
16:37:31.791	24	13.597	(1175, 223)	(118, 22)	49
16:37:31.818	25	13.168	(1185, 223)	(119, 22)	49
16:37:31.847	23	13.1041	(1195, 223)	(120, 22)	49
16:37:31.874	24	13.2207	(1205, 223)	(121, 22)	49
16:37:31.902	24	12.9844	(1215, 223)	(122, 22)	49
16:37:31.930	24	12.9089	(1225, 223)	(123, 22)	49
16:37:31.958	23	12.8726	(1235, 223)	(124, 22)	49
