BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.798357, 0.246892, -0.527757, 0.15212), Translationsvektor: ( 0.0318162, 0.0367534, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:36:34.141	34	27.2799	(-1, -1)	(-1, -1)	49
16:36:34.182	34	27.3978	(-1, -1)	(-1, -1)	49
16:36:34.225	40	27.2493	(-1, -1)	(-1, -1)	49
16:36:34.281	38	27.2668	(-1, -1)	(-1, -1)	49
16:36:34.329	40	27.408	(-1, -1)	(-1, -1)	49
16:36:34.378	36	27.2603	(-1, -1)	(-1, -1)	49
16:36:34.418	35	27.4422	(-1, -1)	(-1, -1)	49
16:36:34.460	35	27.3031	(-1, -1)	(-1, -1)	49
16:36:34.504	38	27.2852	(-1, -1)	(-1, -1)	49
16:36:34.551	35	27.2775	(-1, -1)	(-1, -1)	49
16:36:34.592	36	27.2625	(-1, -1)	(-1, -1)	49
16:36:34.634	36	27.2892	(-1, -1)	(-1, -1)	49
16:36:34.675	35	27.3416	(-1, -1)	(-1, -1)	49
16:36:34.719	38	27.3545	(-1, -1)	(-1, -1)	49
16:36:34.766	40	27.2751	(-1, -1)	(-1, -1)	49
16:36:34.818	38	27.3049	(-1, -1)	(-1, -1)	49
16:36:34.863	34	27.3184	(-1, -1)	(-1, -1)	49
16:36:34.907	38	27.2567	(-1, -1)	(-1, -1)	49
16:36:34.954	40	27.2621	(-1, -1)	(-1, -1)	49
16:36:35.005	36	27.2508	(-1, -1)	(-1, -1)	49
16:36:35.044	36	27.2723	(-1, -1)	(-1, -1)	49
16:36:35.086	36	27.2419	(-1, -1)	(-1, -1)	49
16:36:35.128	40	27.4289	(-1, -1)	(-1, -1)	49
16:36:35.177	40	27.2615	(-1, -1)	(-1, -1)	49
16:36:35.227	39	27.2701	(-1, -1)	(-1, -1)	49
16:36:35.274	33	27.3957	(-1, -1)	(-1, -1)	49
16:36:35.315	34	27.34	(-1, -1)	(-1, -1)	49
16:36:35.358	39	27.2443	(-1, -1)	(-1, -1)	49
16:36:35.407	38	27.2649	(-1, -1)	(-1, -1)	49
16:36:35.447	34	27.3391	(-1, -1)	(-1, -1)	49
16:36:35.488	35	27.4508	(-1, -1)	(-1, -1)	49
16:36:35.532	39	27.2576	(-1, -1)	(-1, -1)	49
16:36:35.580	40	27.3375	(-1, -1)	(-1, -1)	49
16:36:35.630	39	27.2508	(-1, -1)	(-1, -1)	49
16:36:35.677	35	27.2258	(-1, -1)	(-1, -1)	49
16:36:35.718	35	27.2283	(-1, -1)	(-1, -1)	49
16:36:35.760	39	27.3576	(-1, -1)	(-1, -1)	49
16:36:35.810	39	27.2876	(-1, -1)	(-1, -1)	49
16:36:35.860	42	27.3098	(-1, -1)	(-1, -1)	49
16:36:35.906	34	27.3536	(-1, -1)	(-1, -1)	49
16:36:35.949	39	27.2689	(-1, -1)	(-1, -1)	49
16:36:35.997	41	27.2724	(-1, -1)	(-1, -1)	49
16:36:36.046	41	27.3409	(-1, -1)	(-1, -1)	49
16:36:36.094	35	27.2587	(-1, -1)	(-1, -1)	49
16:36:36.136	36	27.2647	(-1, -1)	(-1, -1)	49
16:36:36.178	40	27.3336	(-1, -1)	(-1, -1)	49
16:36:36.227	39	27.2713	(-1, -1)	(-1, -1)	49
16:36:36.276	40	27.3508	(-1, -1)	(-1, -1)	49
16:36:36.325	38	27.261	(-1, -1)	(-1, -1)	49
