BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.723474, 0.212068, -0.631422, 0.181425), Translationsvektor: ( 0.0318162, 0.0367534, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:42:18.679	20	4.76	(318, 226)	(32, 23)	49
16:42:18.703	20	4.84104	(325, 225)	(33, 23)	49
16:42:18.730	19	4.94163	(335, 225)	(34, 23)	49
16:42:18.751	19	5.16282	(345, 225)	(35, 23)	49
16:42:18.772	19	5.54104	(357, 225)	(36, 23)	49
16:42:18.793	19	5.63793	(372, 225)	(37, 23)	49
16:42:18.813	21	5.66859	(375, 225)	(38, 23)	49
16:42:18.835	20	5.69882	(385, 225)	(39, 23)	49
16:42:18.863	23	5.74489	(395, 225)	(40, 23)	49
16:42:18.891	23	5.78178	(405, 225)	(41, 23)	49
16:42:18.918	22	5.95645	(415, 225)	(42, 23)	49
16:42:18.946	21	6.00637	(425, 225)	(43, 23)	49
16:42:18.974	22	6.19304	(435, 226)	(44, 23)	49
16:42:19.002	21	6.23496	(445, 226)	(45, 23)	49
16:42:19.029	23	6.3437	(455, 226)	(46, 23)	49
16:42:19.058	21	6.32504	(465, 227)	(47, 23)	49
16:42:19.086	22	6.42222	(475, 227)	(48, 23)	49
16:42:19.113	22	6.52089	(485, 228)	(49, 23)	49
16:42:19.141	21	6.50844	(495, 228)	(50, 23)	49
16:42:19.169	21	6.66193	(505, 229)	(51, 23)	49
16:42:19.196	22	6.91481	(515, 229)	(52, 23)	49
16:42:19.224	21	6.83348	(525, 229)	(53, 23)	49
16:42:19.252	23	6.96978	(535, 229)	(54, 23)	49
16:42:19.280	23	7.12593	(545, 229)	(55, 23)	49
16:42:19.308	22	7.17407	(555, 229)	(56, 23)	49
16:42:19.335	23	7.26548	(565, 229)	(57, 23)	49
16:42:19.363	23	7.51659	(575, 229)	(58, 23)	49
16:42:19.392	31	7.69822	(585, 229)	(59, 23)	49
16:42:19.427	31	7.98504	(596, 229)	(60, 23)	49
16:42:19.461	34	8.30948	(605, 230)	(61, 23)	49
16:42:19.504	31	8.56148	(615, 230)	(62, 23)	49
16:42:19.537	25	8.82356	(626, 230)	(63, 23)	49
16:42:19.565	25	9.01348	(635, 230)	(64, 23)	49
16:42:19.593	25	9.14978	(645, 230)	(65, 23)	49
16:42:19.621	28	9.31689	(655, 230)	(66, 23)	49
16:42:19.656	26	9.45585	(665, 230)	(67, 23)	49
16:42:19.691	28	9.45096	(680, 230)	(68, 23)	49
16:42:19.726	26	9.30741	(685, 230)	(69, 23)	49
16:42:19.760	27	9.40237	(695, 230)	(70, 23)	49
16:42:19.795	27	9.44815	(705, 230)	(71, 23)	49
16:42:19.830	27	9.43837	(715, 230)	(72, 23)	49
16:42:19.864	28	9.34815	(725, 230)	(73, 23)	49
16:42:19.899	29	9.37378	(735, 230)	(74, 23)	49
16:42:19.934	29	9.34489	(749, 230)	(75, 23)	49
16:42:19.969	27	9.492	(756, 230)	(76, 23)	49
16:42:20.003	28	9.39333	(766, 230)	(77, 23)	49
16:42:20.038	27	9.86489	(775, 230)	(78, 23)	49
16:42:20.073	27	9.46622	(785, 230)	(79, 23)	49
16:42:20.108	27	9.47007	(796, 229)	(80, 23)	49
16:42:20.142	24	9.51541	(805, 229)	(81, 23)	49
16:42:20.170	23	9.58845	(815, 229)	(82, 23)	49
16:42:20.198	25	9.75274	(825, 228)	(83, 23)	49
16:42:20.226	27	9.98593	(835, 228)	(84, 23)	49
16:42:20.260	29	10.441	(845, 228)	(85, 23)	49
16:42:20.295	30	10.4753	(855, 228)	(86, 23)	49
16:42:20.330	27	10.7908	(865, 228)	(87, 23)	49
16:42:20.364	26	11.023	(875, 228)	(88, 23)	49
16:42:20.392	25	11.0751	(885, 228)	(89, 23)	49
16:42:20.420	25	11.1964	(895, 228)	(90, 23)	49
16:42:20.447	26	11.0776	(905, 228)	(91, 23)	49
16:42:20.476	25	11.017	(915, 228)	(92, 23)	49
16:42:20.503	26	10.9447	(925, 228)	(93, 23)	49
16:42:20.531	25	10.9062	(935, 228)	(94, 23)	49
16:42:20.559	25	11.0295	(945, 227)	(95, 23)	49
16:42:20.586	26	10.8465	(957, 227)	(96, 23)	49
16:42:20.614	31	10.7938	(966, 227)	(97, 23)	49
16:42:20.650	29	10.7631	(975, 227)	(98, 23)	49
16:42:20.685	30	10.7822	(985, 227)	(99, 23)	49
16:42:20.720	27	10.6966	(995, 227)	(100, 23)	49
16:42:20.754	24	10.6753	(1005, 227)	(101, 23)	49
16:42:20.782	28	10.6559	(1015, 226)	(102, 23)	49
16:42:20.818	31	10.6384	(1025, 226)	(103, 23)	49
16:42:20.852	30	10.5287	(1035, 226)	(104, 23)	49
16:42:20.886	30	10.5932	(1045, 225)	(105, 23)	49
16:42:20.922	30	10.6044	(1055, 225)	(106, 23)	49
16:42:20.955	28	10.5873	(1065, 225)	(107, 23)	49
16:42:20.991	25	10.6021	(1071, 224)	(107, 22)	49
16:42:21.019	26	10.539	(1075, 224)	(108, 22)	49
16:42:21.053	25	10.531	(1085, 224)	(109, 22)	49
16:42:21.081	25	10.5504	(1095, 224)	(110, 22)	49
16:42:21.108	26	10.5713	(1105, 224)	(111, 22)	49
16:42:21.143	27	11.1711	(1115, 224)	(112, 22)	49
16:42:21.178	26	10.5074	(1125, 224)	(113, 22)	49
16:42:21.207	25	10.3907	(1135, 224)	(114, 22)	49
16:42:21.240	34	10.3704	(1146, 223)	(115, 22)	49
16:42:21.283	35	10.2641	(1155, 223)	(116, 22)	49
16:42:21.325	34	10.1123	(1165, 223)	(117, 22)	49
16:42:21.366	25	10.0573	(1175, 223)	(118, 22)	49
16:42:21.393	26	9.93689	(1185, 223)	(119, 22)	49
16:42:21.429	24	9.92637	(1195, 223)	(120, 22)	49
16:42:21.456	26	9.69852	(1205, 223)	(121, 22)	49
16:42:21.491	25	9.74341	(1215, 223)	(122, 22)	49
16:42:21.518	26	9.6443	(1225, 223)	(123, 22)	49
16:42:21.547	26	9.51896	(1235, 223)	(124, 22)	49
16:42:21.580	24	9.3803	(1245, 223)	(125, 22)	49
16:42:21.609	28	9.24592	(1255, 223)	(126, 22)	49
16:42:21.644	27	9.15422	(1265, 224)	(127, 22)	49
16:42:21.679	29	9.01511	(1275, 224)	(128, 22)	49
16:42:21.714	28	9.05393	(1282, 225)	(128, 23)	49
16:42:21.749	24	8.87911	(1285, 225)	(129, 23)	49
16:42:21.776	22	8.79719	(1295, 226)	(130, 23)	49
16:42:21.803	22	8.54074	(1305, 226)	(131, 23)	49
16:42:21.832	25	8.29511	(1316, 228)	(132, 23)	49
16:42:21.859	27	7.77985	(1326, 228)	(133, 23)	49
16:42:21.894	27	7.46978	(1335, 228)	(134, 23)	49
16:42:21.929	26	7.20889	(1345, 229)	(135, 23)	49
16:42:21.963	21	7.05096	(1355, 230)	(136, 23)	49
16:42:21.991	21	6.93096	(1366, 230)	(137, 23)	49
16:42:22.018	21	6.84341	(1375, 230)	(138, 23)	49
16:42:22.046	24	6.83941	(1386, 231)	(139, 23)	49
16:42:22.074	26	6.72415	(1395, 231)	(140, 23)	49
16:42:22.102	27	6.66696	(1405, 232)	(141, 23)	49
16:42:22.138	25	6.60548	(1415, 232)	(142, 23)	49
16:42:22.165	27	6.56785	(1425, 232)	(143, 23)	49
16:42:22.200	22	6.58104	(1435, 233)	(144, 23)	49
16:42:22.227	22	6.48311	(1445, 234)	(145, 23)	49
16:42:22.255	21	6.4643	(1455, 234)	(146, 23)	49
16:42:22.283	21	6.54607	(1465, 234)	(147, 23)	49
16:42:22.311	22	6.38074	(1478, 234)	(148, 23)	49
16:42:22.339	21	6.34	(1485, 234)	(149, 23)	49
16:42:22.367	22	6.33896	(1488, 235)	(149, 24)	49
16:42:22.394	21	6.26326	(1495, 235)	(150, 24)	49
16:42:22.422	20	6.19067	(1506, 235)	(151, 24)	49
16:42:22.450	20	6.04074	(1516, 235)	(152, 24)	49
16:42:22.477	21	5.83985	(1526, 236)	(153, 24)	49
