BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.723474, 0.212068, -0.631422, 0.181425), Translationsvektor: ( 0.0318162, 0.0367534, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:42:42.777	23	12.7476	(318, 226)	(32, 23)	49
16:42:42.804	23	12.7763	(325, 225)	(33, 23)	49
16:42:42.833	22	12.8129	(335, 225)	(34, 23)	49
16:42:42.860	23	12.7975	(345, 225)	(35, 23)	49
16:42:42.889	24	12.7639	(357, 225)	(36, 23)	49
16:42:42.916	24	12.8258	(372, 225)	(37, 23)	49
16:42:42.944	25	12.9357	(375, 225)	(38, 23)	49
16:42:42.972	25	12.9249	(385, 225)	(39, 23)	49
16:42:43.000	24	12.8187	(395, 225)	(40, 23)	49
16:42:43.027	25	12.84	(405, 225)	(41, 23)	49
16:42:43.056	24	12.8397	(415, 225)	(42, 23)	49
16:42:43.083	26	12.9073	(425, 225)	(43, 23)	49
16:42:43.111	25	13.0304	(435, 226)	(44, 23)	49
16:42:43.139	25	12.8717	(445, 226)	(45, 23)	49
16:42:43.166	26	13.0261	(455, 226)	(46, 23)	49
16:42:43.195	29	13.1393	(465, 227)	(47, 23)	49
16:42:43.230	23	13.1782	(475, 227)	(48, 23)	49
16:42:43.257	22	13.1487	(485, 228)	(49, 23)	49
16:42:43.284	25	13.0818	(495, 228)	(50, 23)	49
16:42:43.313	28	13.2444	(505, 229)	(51, 23)	49
16:42:43.347	25	13.2865	(515, 229)	(52, 23)	49
16:42:43.374	25	13.3739	(525, 229)	(53, 23)	49
16:42:43.402	25	13.4596	(535, 229)	(54, 23)	49
16:42:43.430	25	13.4467	(545, 229)	(55, 23)	49
16:42:43.458	24	13.5401	(555, 229)	(56, 23)	49
16:42:43.486	31	13.6357	(565, 229)	(57, 23)	49
16:42:43.522	27	13.7422	(575, 229)	(58, 23)	49
16:42:43.556	28	13.956	(585, 229)	(59, 23)	49
16:42:43.591	28	13.8825	(596, 229)	(60, 23)	49
16:42:43.626	29	13.9569	(605, 230)	(61, 23)	49
16:42:43.661	26	14.0231	(615, 230)	(62, 23)	49
16:42:43.695	27	13.9956	(626, 230)	(63, 23)	49
16:42:43.731	28	14.0591	(635, 230)	(64, 23)	49
16:42:43.766	27	14.0791	(645, 230)	(65, 23)	49
16:42:43.799	28	14.0387	(655, 230)	(66, 23)	49
16:42:43.835	28	14.2956	(665, 230)	(67, 23)	49
16:42:43.869	26	14.1713	(680, 230)	(68, 23)	49
16:42:43.903	26	14.1963	(685, 230)	(69, 23)	49
16:42:43.939	29	14.3606	(695, 230)	(70, 23)	49
16:42:43.974	30	14.46	(705, 230)	(71, 23)	49
16:42:44.009	29	14.3055	(715, 230)	(72, 23)	49
16:42:44.043	29	14.2397	(725, 230)	(73, 23)	49
16:42:44.077	24	14.4406	(735, 230)	(74, 23)	49
16:42:44.104	25	14.5533	(749, 230)	(75, 23)	49
16:42:44.132	25	14.5425	(756, 230)	(76, 23)	49
16:42:44.160	24	14.5738	(766, 230)	(77, 23)	49
16:42:44.188	25	14.5739	(775, 230)	(78, 23)	49
16:42:44.215	26	14.7345	(785, 230)	(79, 23)	49
16:42:44.244	25	14.737	(796, 229)	(80, 23)	49
16:42:44.272	25	14.519	(805, 229)	(81, 23)	49
16:42:44.300	24	14.5859	(815, 229)	(82, 23)	49
16:42:44.327	25	14.6243	(825, 228)	(83, 23)	49
16:42:44.355	24	14.5947	(835, 228)	(84, 23)	49
16:42:44.383	25	14.8252	(845, 228)	(85, 23)	49
16:42:44.410	26	14.8782	(855, 228)	(86, 23)	49
16:42:44.439	24	14.9634	(865, 228)	(87, 23)	49
16:42:44.466	25	14.967	(875, 228)	(88, 23)	49
16:42:44.494	25	15.0782	(885, 228)	(89, 23)	49
16:42:44.521	25	14.9887	(895, 228)	(90, 23)	49
16:42:44.549	26	15.1409	(905, 228)	(91, 23)	49
16:42:44.577	29	15.2176	(915, 228)	(92, 23)	49
16:42:44.612	31	15.3239	(925, 228)	(93, 23)	49
16:42:44.648	30	15.1739	(935, 228)	(94, 23)	49
16:42:44.682	29	15.1381	(945, 227)	(95, 23)	49
16:42:44.716	27	15.0603	(957, 227)	(96, 23)	49
16:42:44.751	29	15.2215	(966, 227)	(97, 23)	49
16:42:44.788	28	15.1508	(975, 227)	(98, 23)	49
16:42:44.821	30	15.1031	(985, 227)	(99, 23)	49
16:42:44.856	29	15.0496	(995, 227)	(100, 23)	49
16:42:44.891	27	14.9849	(1005, 227)	(101, 23)	49
16:42:44.924	32	14.9084	(1015, 226)	(102, 23)	49
16:42:44.961	32	14.927	(1025, 226)	(103, 23)	49
16:42:45.002	32	15.0879	(1035, 226)	(104, 23)	49
16:42:45.044	31	15.0142	(1045, 225)	(105, 23)	49
16:42:45.080	27	14.7856	(1055, 225)	(106, 23)	49
16:42:45.113	25	14.7609	(1065, 225)	(107, 23)	49
16:42:45.140	26	14.8327	(1071, 224)	(107, 22)	49
16:42:45.168	25	14.7947	(1075, 224)	(108, 22)	49
16:42:45.196	24	14.8108	(1085, 224)	(109, 22)	49
16:42:45.223	26	14.8117	(1095, 224)	(110, 22)	49
16:42:45.251	26	14.6976	(1105, 224)	(111, 22)	49
16:42:45.287	25	14.8551	(1115, 224)	(112, 22)	49
16:42:45.314	27	14.727	(1125, 224)	(113, 22)	49
16:42:45.349	25	14.7096	(1135, 224)	(114, 22)	49
16:42:45.376	27	14.5545	(1146, 223)	(115, 22)	49
16:42:45.404	26	14.6093	(1155, 223)	(116, 22)	49
16:42:45.432	25	14.5843	(1165, 223)	(117, 22)	49
16:42:45.460	26	14.5025	(1175, 223)	(118, 22)	49
16:42:45.488	26	14.5096	(1185, 223)	(119, 22)	49
16:42:45.515	25	14.4646	(1195, 223)	(120, 22)	49
16:42:45.544	22	14.4253	(1205, 223)	(121, 22)	49
16:42:45.573	29	14.2852	(1215, 223)	(122, 22)	49
16:42:45.608	27	14.2859	(1225, 223)	(123, 22)	49
16:42:45.642	29	14.0679	(1235, 223)	(124, 22)	49
16:42:45.677	28	13.9807	(1245, 223)	(125, 22)	49
16:42:45.712	25	13.7461	(1255, 223)	(126, 22)	49
16:42:45.738	24	13.667	(1265, 224)	(127, 22)	49
16:42:45.766	24	13.5123	(1275, 224)	(128, 22)	49
16:42:45.793	25	13.516	(1282, 225)	(128, 23)	49
16:42:45.822	26	13.404	(1285, 225)	(129, 23)	49
16:42:45.857	26	13.4067	(1295, 226)	(130, 23)	49
16:42:45.892	26	13.2479	(1305, 226)	(131, 23)	49
16:42:45.926	27	13.2759	(1316, 228)	(132, 23)	49
16:42:45.961	26	13.0281	(1326, 228)	(133, 23)	49
16:42:45.989	26	13.0818	(1335, 228)	(134, 23)	49
16:42:46.024	25	13.2185	(1345, 229)	(135, 23)	49
16:42:46.051	26	13.1236	(1355, 230)	(136, 23)	49
16:42:46.080	26	13.073	(1366, 230)	(137, 23)	49
16:42:46.114	26	13.0587	(1375, 230)	(138, 23)	49
16:42:46.149	25	13.1633	(1386, 231)	(139, 23)	49
16:42:46.176	26	13.137	(1395, 231)	(140, 23)	49
16:42:46.212	26	13.156	(1405, 232)	(141, 23)	49
16:42:46.246	25	13.107	(1415, 232)	(142, 23)	49
16:42:46.273	26	13.113	(1425, 232)	(143, 23)	49
16:42:46.301	27	13.0913	(1435, 233)	(144, 23)	49
16:42:46.336	28	13.184	(1445, 234)	(145, 23)	49
16:42:46.372	25	13.1244	(1455, 234)	(146, 23)	49
16:42:46.406	25	13.0801	(1465, 234)	(147, 23)	49
16:42:46.434	25	13.1985	(1478, 234)	(148, 23)	49
16:42:46.461	27	13.139	(1485, 234)	(149, 23)	49
16:42:46.496	26	13.2159	(1488, 235)	(149, 24)	49
16:42:46.525	25	13.1025	(1495, 235)	(150, 24)	49
16:42:46.559	26	13.0874	(1506, 235)	(151, 24)	49
16:42:46.593	26	13.1841	(1516, 235)	(152, 24)	49
16:42:46.622	25	13.167	(1526, 236)	(153, 24)	49
16:42:46.650	25	13.0816	(1535, 236)	(154, 24)	49
16:42:46.677	26	13.0378	(1546, 236)	(155, 24)	49
16:42:46.712	25	13.0683	(1556, 237)	(156, 24)	49
