BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.723474, 0.212068, -0.631422, 0.181425), Translationsvektor: ( 0.0318162, 0.0367534, 1.85).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:41:40.433	42	34.273	(-1, -1)	(-1, -1)	49
16:41:40.482	41	34.2499	(-1, -1)	(-1, -1)	49
16:41:40.532	47	34.293	(-1, -1)	(-1, -1)	49
16:41:40.588	47	34.2351	(-1, -1)	(-1, -1)	49
16:41:40.645	52	34.2187	(-1, -1)	(-1, -1)	49
16:41:40.705	44	34.1935	(-1, -1)	(-1, -1)	49
16:41:40.756	45	34.2307	(-1, -1)	(-1, -1)	49
16:41:40.810	47	34.3313	(-1, -1)	(-1, -1)	49
16:41:40.866	47	34.2087	(-1, -1)	(-1, -1)	49
16:41:40.921	43	34.211	(-1, -1)	(-1, -1)	49
16:41:40.969	43	34.2609	(-1, -1)	(-1, -1)	49
16:41:41.018	40	34.2551	(-1, -1)	(-1, -1)	49
16:41:41.068	44	34.2394	(-1, -1)	(-1, -1)	49
16:41:41.117	43	34.3135	(-1, -1)	(-1, -1)	49
16:41:41.165	47	34.2637	(-1, -1)	(-1, -1)	49
16:41:41.221	45	34.1616	(-1, -1)	(-1, -1)	49
16:41:41.279	46	34.2443	(-1, -1)	(-1, -1)	49
16:41:41.330	44	34.2465	(-1, -1)	(-1, -1)	49
16:41:41.381	46	34.2656	(-1, -1)	(-1, -1)	49
16:41:41.436	46	34.3191	(-1, -1)	(-1, -1)	49
16:41:41.491	42	34.221	(-1, -1)	(-1, -1)	49
16:41:41.539	41	34.2744	(-1, -1)	(-1, -1)	49
16:41:41.588	43	34.2797	(-1, -1)	(-1, -1)	49
16:41:41.638	46	34.2037	(-1, -1)	(-1, -1)	49
16:41:41.693	51	34.2307	(-1, -1)	(-1, -1)	49
16:41:41.747	41	34.2787	(-1, -1)	(-1, -1)	49
16:41:41.795	42	34.2687	(-1, -1)	(-1, -1)	49
16:41:41.846	46	34.2551	(-1, -1)	(-1, -1)	49
16:41:41.902	46	34.2516	(-1, -1)	(-1, -1)	49
16:41:41.956	42	34.2151	(-1, -1)	(-1, -1)	49
16:41:42.005	43	34.2287	(-1, -1)	(-1, -1)	49
16:41:42.054	43	34.2046	(-1, -1)	(-1, -1)	49
16:41:42.104	49	34.189	(-1, -1)	(-1, -1)	49
16:41:42.158	44	34.192	(-1, -1)	(-1, -1)	49
16:41:42.208	44	34.2286	(-1, -1)	(-1, -1)	49
16:41:42.256	44	34.2649	(-1, -1)	(-1, -1)	49
16:41:42.305	47	34.2056	(-1, -1)	(-1, -1)	49
16:41:42.361	43	34.2056	(-1, -1)	(-1, -1)	49
16:41:42.409	43	34.1391	(-1, -1)	(-1, -1)	49
16:41:42.461	46	34.2936	(-1, -1)	(-1, -1)	49
16:41:42.512	42	34.2812	(-1, -1)	(-1, -1)	49
16:41:42.562	41	34.2113	(-1, -1)	(-1, -1)	49
16:41:42.611	47	34.2295	(-1, -1)	(-1, -1)	49
16:41:42.667	46	34.271	(-1, -1)	(-1, -1)	49
16:41:42.723	46	34.2717	(-1, -1)	(-1, -1)	49
16:41:42.779	43	34.2298	(-1, -1)	(-1, -1)	49
16:41:42.826	41	34.3276	(-1, -1)	(-1, -1)	49
16:41:42.875	45	34.2021	(-1, -1)	(-1, -1)	49
16:41:42.931	47	34.1887	(-1, -1)	(-1, -1)	49
16:41:42.987	44	34.2147	(-1, -1)	(-1, -1)	49
16:41:43.034	40	34.3624	(-1, -1)	(-1, -1)	49
16:41:43.083	48	34.1459	(-1, -1)	(-1, -1)	49
16:41:43.140	46	34.3105	(-1, -1)	(-1, -1)	49
16:41:43.195	44	34.2037	(-1, -1)	(-1, -1)	49
16:41:43.242	40	34.2957	(-1, -1)	(-1, -1)	49
