BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.743754, 0.176147, -0.61516, -0.193306), Translationsvektor: ( 0.172338, -0.0367534, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:48:23.997	30	14.4966	(318, 226)	(32, 23)	49
16:48:24.038	34	14.7157	(325, 225)	(33, 23)	49
16:48:24.081	43	14.8698	(335, 225)	(34, 23)	49
16:48:24.130	42	14.9585	(345, 225)	(35, 23)	49
16:48:24.178	37	15.3637	(357, 225)	(36, 23)	49
16:48:24.219	35	15.5754	(372, 225)	(37, 23)	49
16:48:24.261	38	15.6019	(375, 225)	(38, 23)	49
16:48:24.302	36	15.7231	(385, 225)	(39, 23)	49
16:48:24.344	35	15.861	(395, 225)	(40, 23)	49
16:48:24.386	36	16.1941	(405, 225)	(41, 23)	49
16:48:24.428	36	16.2991	(415, 225)	(42, 23)	49
16:48:24.469	36	16.5006	(425, 225)	(43, 23)	49
16:48:24.510	37	16.4793	(435, 226)	(44, 23)	49
16:48:24.553	40	16.6246	(445, 226)	(45, 23)	49
16:48:24.603	39	16.8533	(455, 226)	(46, 23)	49
16:48:24.650	32	17.0043	(465, 227)	(47, 23)	49
16:48:24.684	31	17.1953	(475, 227)	(48, 23)	49
16:48:24.719	36	17.3887	(485, 228)	(49, 23)	49
16:48:24.761	39	17.3031	(495, 228)	(50, 23)	49
16:48:24.803	39	17.3354	(505, 229)	(51, 23)	49
16:48:24.852	42	17.529	(515, 229)	(52, 23)	49
16:48:24.901	32	17.623	(525, 229)	(53, 23)	49
16:48:24.935	35	17.7241	(535, 229)	(54, 23)	49
16:48:24.978	40	17.7788	(545, 229)	(55, 23)	49
16:48:25.026	40	17.903	(555, 229)	(56, 23)	49
16:48:25.076	35	17.8252	(565, 229)	(57, 23)	49
16:48:25.115	39	18.2292	(575, 229)	(58, 23)	49
16:48:25.158	41	18.2444	(585, 229)	(59, 23)	49
16:48:25.207	45	18.5199	(596, 229)	(60, 23)	49
16:48:25.262	37	18.8711	(605, 230)	(61, 23)	49
16:48:25.303	34	19.1745	(615, 230)	(62, 23)	49
16:48:25.345	40	19.4329	(626, 230)	(63, 23)	49
16:48:25.395	43	19.6726	(635, 230)	(64, 23)	49
16:48:25.443	38	19.9116	(645, 230)	(65, 23)	49
16:48:25.483	38	20.315	(655, 230)	(66, 23)	49
16:48:25.526	37	20.3853	(665, 230)	(67, 23)	49
16:48:25.568	44	20.631	(680, 230)	(68, 23)	49
16:48:25.617	44	20.5779	(685, 230)	(69, 23)	49
16:48:25.673	39	20.6431	(695, 230)	(70, 23)	49
16:48:25.720	40	20.9636	(705, 230)	(71, 23)	49
16:48:25.762	40	20.9096	(715, 230)	(72, 23)	49
16:48:25.804	42	21.0748	(725, 230)	(73, 23)	49
16:48:25.854	43	21.0757	(735, 230)	(74, 23)	49
16:48:25.901	42	21.107	(749, 230)	(75, 23)	49
