BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.743754, 0.176147, -0.61516, -0.193306), Translationsvektor: ( 0.172338, -0.0367534, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:48:57.997	43	30.9921	(318, 226)	(32, 23)	49
16:48:58.046	48	31.2819	(325, 225)	(33, 23)	49
16:48:58.103	49	31.0871	(335, 225)	(34, 23)	49
16:48:58.160	46	31.2332	(345, 225)	(35, 23)	49
16:48:58.213	42	31.4904	(357, 225)	(36, 23)	49
16:48:58.262	49	31.4293	(372, 225)	(37, 23)	49
16:48:58.318	51	31.421	(375, 225)	(38, 23)	49
16:48:58.374	45	31.5044	(385, 225)	(39, 23)	49
16:48:58.428	47	31.6563	(395, 225)	(40, 23)	49
16:48:58.483	44	31.6683	(405, 225)	(41, 23)	49
16:48:58.535	49	31.5329	(415, 225)	(42, 23)	49
16:48:58.590	44	31.5342	(425, 225)	(43, 23)	49
16:48:58.636	42	31.7083	(435, 226)	(44, 23)	49
16:48:58.686	51	31.8625	(445, 226)	(45, 23)	49
16:48:58.742	52	31.5996	(455, 226)	(46, 23)	49
16:48:58.804	41	31.9188	(465, 227)	(47, 23)	49
16:48:58.851	42	31.9093	(475, 227)	(48, 23)	49
16:48:58.900	49	32.0572	(485, 228)	(49, 23)	49
16:48:58.958	51	32.0141	(495, 228)	(50, 23)	49
16:48:59.013	44	32.2867	(505, 229)	(51, 23)	49
16:48:59.061	45	32.1961	(515, 229)	(52, 23)	49
16:48:59.111	51	32.2142	(525, 229)	(53, 23)	49
16:48:59.168	48	32.1526	(535, 229)	(54, 23)	49
16:48:59.241	44	32.075	(545, 229)	(55, 23)	49
16:48:59.372	47	32.3616	(555, 229)	(56, 23)	49
16:48:59.425	44	32.1871	(565, 229)	(57, 23)	49
16:48:59.471	42	32.2139	(575, 229)	(58, 23)	49
16:48:59.520	45	32.1015	(585, 229)	(59, 23)	49
16:48:59.612	44	32.1187	(596, 229)	(60, 23)	49
16:48:59.666	47	32.2643	(605, 230)	(61, 23)	49
16:48:59.724	51	32.248	(615, 230)	(62, 23)	49
16:48:59.788	49	32.2373	(626, 230)	(63, 23)	49
16:48:59.841	49	32.3372	(635, 230)	(64, 23)	49
16:48:59.895	46	32.3024	(645, 230)	(65, 23)	49
16:48:59.951	53	32.1444	(655, 230)	(66, 23)	49
16:49:00.015	46	32.1535	(665, 230)	(67, 23)	49
16:49:00.069	41	32.235	(680, 230)	(68, 23)	49
16:49:00.117	47	32.3379	(685, 230)	(69, 23)	49
16:49:00.174	51	32.3148	(695, 230)	(70, 23)	49
16:49:00.230	52	32.0261	(705, 230)	(71, 23)	49
16:49:00.291	47	32.2179	(715, 230)	(72, 23)	49
16:49:00.347	47	32.1773	(725, 230)	(73, 23)	49
16:49:00.403	53	32.0206	(735, 230)	(74, 23)	49
16:49:00.466	49	32.0748	(749, 230)	(75, 23)	49
16:49:00.520	43	31.9268	(756, 230)	(76, 23)	49
16:49:00.569	49	32.1161	(766, 230)	(77, 23)	49
16:49:00.626	51	32.131	(775, 230)	(78, 23)	49
16:49:00.682	47	31.7967	(785, 230)	(79, 23)	49
16:49:00.736	46	31.9305	(796, 229)	(80, 23)	49
16:49:00.786	45	31.9409	(805, 229)	(81, 23)	49
16:49:00.833	47	31.8344	(815, 229)	(82, 23)	49
16:49:00.891	49	31.7803	(825, 228)	(83, 23)	49
16:49:00.946	47	31.8261	(835, 228)	(84, 23)	49
