BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.743754, 0.176147, -0.61516, -0.193306), Translationsvektor: ( 0.172338, -0.0367534, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
16:47:20.178	89	80.8849	(-1, -1)	(-1, -1)	49
16:47:20.272	92	80.8701	(-1, -1)	(-1, -1)	49
16:47:20.366	89	80.9351	(-1, -1)	(-1, -1)	49
16:47:20.466	92	80.7978	(-1, -1)	(-1, -1)	49
16:47:20.561	88	80.8926	(-1, -1)	(-1, -1)	49
16:47:20.661	93	80.8233	(-1, -1)	(-1, -1)	49
16:47:20.756	90	80.943	(-1, -1)	(-1, -1)	49
16:47:20.855	93	80.751	(-1, -1)	(-1, -1)	49
16:47:20.952	90	80.8327	(-1, -1)	(-1, -1)	49
16:47:21.049	94	80.7896	(-1, -1)	(-1, -1)	49
16:47:21.148	92	80.7939	(-1, -1)	(-1, -1)	49
16:47:21.244	93	80.7908	(-1, -1)	(-1, -1)	49
16:47:21.341	93	80.7441	(-1, -1)	(-1, -1)	49
16:47:21.438	87	80.8987	(-1, -1)	(-1, -1)	49
16:47:21.537	89	80.8736	(-1, -1)	(-1, -1)	49
16:47:21.632	92	80.7902	(-1, -1)	(-1, -1)	49
16:47:21.731	93	80.7006	(-1, -1)	(-1, -1)	49
16:47:21.826	88	80.8527	(-1, -1)	(-1, -1)	49
16:47:21.918	93	80.8302	(-1, -1)	(-1, -1)	49
16:47:22.015	89	80.7578	(-1, -1)	(-1, -1)	49
16:47:22.113	92	80.8418	(-1, -1)	(-1, -1)	49
16:47:22.210	91	80.859	(-1, -1)	(-1, -1)	49
16:47:22.308	93	80.8081	(-1, -1)	(-1, -1)	49
16:47:22.406	92	80.7957	(-1, -1)	(-1, -1)	49
16:47:22.502	92	80.7579	(-1, -1)	(-1, -1)	49
16:47:22.598	89	81.0101	(-1, -1)	(-1, -1)	49
16:47:22.697	94	80.6367	(-1, -1)	(-1, -1)	49
16:47:22.803	93	80.799	(-1, -1)	(-1, -1)	49
16:47:22.906	94	80.8628	(-1, -1)	(-1, -1)	49
16:47:23.011	93	80.729	(-1, -1)	(-1, -1)	49
16:47:23.115	93	80.7086	(-1, -1)	(-1, -1)	49
16:47:23.219	93	80.8644	(-1, -1)	(-1, -1)	49
16:47:23.322	94	80.6926	(-1, -1)	(-1, -1)	49
16:47:23.420	92	80.7267	(-1, -1)	(-1, -1)	49
16:47:23.516	88	80.8307	(-1, -1)	(-1, -1)	49
16:47:23.614	88	80.8671	(-1, -1)	(-1, -1)	49
16:47:23.712	93	80.8484	(-1, -1)	(-1, -1)	49
16:47:23.812	92	80.7621	(-1, -1)	(-1, -1)	49
16:47:23.913	94	80.7656	(-1, -1)	(-1, -1)	49
16:47:24.011	93	80.9246	(-1, -1)	(-1, -1)	49
16:47:24.107	91	80.8861	(-1, -1)	(-1, -1)	49
16:47:24.206	91	80.7496	(-1, -1)	(-1, -1)	49
16:47:24.302	88	80.7345	(-1, -1)	(-1, -1)	49
16:47:24.400	93	80.8277	(-1, -1)	(-1, -1)	49
16:47:24.504	92	80.8338	(-1, -1)	(-1, -1)	49
16:47:24.602	92	80.9037	(-1, -1)	(-1, -1)	49
16:47:24.699	97	80.9052	(-1, -1)	(-1, -1)	49
16:47:24.804	92	80.8492	(-1, -1)	(-1, -1)	49
16:47:24.901	92	80.6633	(-1, -1)	(-1, -1)	49
16:47:24.996	87	80.864	(-1, -1)	(-1, -1)	49
16:47:25.087	90	80.7596	(-1, -1)	(-1, -1)	49
16:47:25.186	94	80.7953	(-1, -1)	(-1, -1)	49
16:47:25.290	100	80.7674	(-1, -1)	(-1, -1)	49
16:47:25.401	93	80.8326	(-1, -1)	(-1, -1)	49
16:47:25.499	93	80.9354	(-1, -1)	(-1, -1)	49
16:47:25.603	92	80.7818	(-1, -1)	(-1, -1)	49
16:47:25.699	89	80.7446	(-1, -1)	(-1, -1)	49
16:47:25.796	90	80.7754	(-1, -1)	(-1, -1)	49
16:47:25.894	92	80.8105	(-1, -1)	(-1, -1)	49
16:47:25.990	89	80.8984	(-1, -1)	(-1, -1)	49
16:47:26.090	93	80.7493	(-1, -1)	(-1, -1)	49
16:47:26.193	90	80.7601	(-1, -1)	(-1, -1)	49
16:47:26.291	92	80.8387	(-1, -1)	(-1, -1)	49
16:47:26.387	89	81.0141	(-1, -1)	(-1, -1)	49
16:47:26.486	93	80.8748	(-1, -1)	(-1, -1)	49
16:47:26.582	91	80.8359	(-1, -1)	(-1, -1)	49
16:47:26.681	93	80.7314	(-1, -1)	(-1, -1)	49
16:47:26.786	92	80.8401	(-1, -1)	(-1, -1)	49
16:47:26.889	93	80.9547	(-1, -1)	(-1, -1)	49
16:47:26.994	92	80.8316	(-1, -1)	(-1, -1)	49
16:47:27.090	94	80.8391	(-1, -1)	(-1, -1)	49
16:47:27.188	95	80.8612	(-1, -1)	(-1, -1)	49
16:47:27.292	92	80.7505	(-1, -1)	(-1, -1)	49
16:47:27.389	93	80.8046	(-1, -1)	(-1, -1)	49
16:47:27.486	100	80.7806	(-1, -1)	(-1, -1)	49
16:47:27.591	94	80.7717	(-1, -1)	(-1, -1)	49
16:47:27.687	89	80.9864	(-1, -1)	(-1, -1)	49
16:47:27.787	90	80.7816	(-1, -1)	(-1, -1)	49
16:47:27.881	89	80.8927	(-1, -1)	(-1, -1)	49
16:47:27.981	92	80.8142	(-1, -1)	(-1, -1)	49
16:47:28.077	88	80.9419	(-1, -1)	(-1, -1)	49
16:47:28.175	93	80.8793	(-1, -1)	(-1, -1)	49
16:47:28.281	93	80.9201	(-1, -1)	(-1, -1)	49
16:47:28.384	94	80.891	(-1, -1)	(-1, -1)	49
16:47:28.489	92	80.72	(-1, -1)	(-1, -1)	49
16:47:28.583	88	80.7422	(-1, -1)	(-1, -1)	49
16:47:28.676	91	80.8176	(-1, -1)	(-1, -1)	49
16:47:28.773	94	80.8695	(-1, -1)	(-1, -1)	49
16:47:28.878	93	80.7825	(-1, -1)	(-1, -1)	49
16:47:28.981	94	80.8271	(-1, -1)	(-1, -1)	49
16:47:29.079	92	80.9036	(-1, -1)	(-1, -1)	49
16:47:29.175	90	80.8123	(-1, -1)	(-1, -1)	49
16:47:29.274	91	80.7957	(-1, -1)	(-1, -1)	49
16:47:29.369	89	80.9852	(-1, -1)	(-1, -1)	49
16:47:29.468	92	80.8513	(-1, -1)	(-1, -1)	49
16:47:29.564	90	80.7194	(-1, -1)	(-1, -1)	49
16:47:29.663	93	80.8323	(-1, -1)	(-1, -1)	49
16:47:29.767	93	80.7216	(-1, -1)	(-1, -1)	49
16:47:29.864	92	80.7708	(-1, -1)	(-1, -1)	49
16:47:29.962	93	80.8185	(-1, -1)	(-1, -1)	49
16:47:30.067	92	80.7911	(-1, -1)	(-1, -1)	49
16:47:30.170	94	80.7138	(-1, -1)	(-1, -1)	49
16:47:30.275	92	80.8764	(-1, -1)	(-1, -1)	49
16:47:30.372	94	80.951	(-1, -1)	(-1, -1)	49
16:47:30.477	93	80.7775	(-1, -1)	(-1, -1)	49
16:47:30.581	93	80.8364	(-1, -1)	(-1, -1)	49
16:47:30.685	93	80.7079	(-1, -1)	(-1, -1)	49
16:47:30.790	92	80.7028	(-1, -1)	(-1, -1)	49
16:47:30.885	90	80.7609	(-1, -1)	(-1, -1)	49
16:47:30.984	93	80.9056	(-1, -1)	(-1, -1)	49
16:47:31.079	88	80.9167	(-1, -1)	(-1, -1)	49
16:47:31.178	92	80.7527	(-1, -1)	(-1, -1)	49
16:47:31.275	88	80.7679	(-1, -1)	(-1, -1)	49
