BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.166211, 0.78287, 0.580329, 0.150691), Translationsvektor: ( 0, 0, 2.075).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:09:32.589	26	7.78874	(318, 226)	(32, 23)	49
18:09:32.620	23	7.90178	(325, 225)	(33, 23)	49
18:09:32.648	24	8.19881	(335, 225)	(34, 23)	49
18:09:32.676	24	8.36533	(345, 225)	(35, 23)	49
18:09:32.705	23	8.68667	(357, 225)	(36, 23)	49
18:09:32.732	24	9.10593	(372, 225)	(37, 23)	49
18:09:32.760	24	9.22148	(375, 225)	(38, 23)	49
18:09:32.794	25	9.53185	(385, 225)	(39, 23)	49
18:09:32.822	26	9.82267	(395, 225)	(40, 23)	49
18:09:32.851	24	10.2766	(405, 225)	(41, 23)	49
18:09:32.878	25	10.5696	(415, 225)	(42, 23)	49
18:09:32.905	27	10.9846	(425, 225)	(43, 23)	49
18:09:32.934	26	11.4356	(435, 226)	(44, 23)	49
18:09:32.968	27	11.6707	(445, 226)	(45, 23)	49
18:09:33.004	27	12.1268	(455, 226)	(46, 23)	49
18:09:33.038	27	12.5246	(465, 227)	(47, 23)	49
18:09:33.073	33	12.9902	(475, 227)	(48, 23)	49
18:09:33.115	35	13.4059	(485, 228)	(49, 23)	49
18:09:33.157	35	13.888	(495, 228)	(50, 23)	49
18:09:33.199	32	14.3159	(505, 229)	(51, 23)	49
18:09:33.240	31	14.8421	(515, 229)	(52, 23)	49
18:09:33.274	32	15.5356	(525, 229)	(53, 23)	49
18:09:33.309	37	15.8687	(535, 229)	(54, 23)	49
18:09:33.352	47	16.0787	(545, 229)	(55, 23)	49
18:09:33.408	49	16.5825	(555, 229)	(56, 23)	49
18:09:33.462	33	16.7844	(565, 229)	(57, 23)	49
18:09:33.504	33	17.3259	(575, 229)	(58, 23)	49
18:09:33.545	41	17.8397	(585, 229)	(59, 23)	49
18:09:33.596	49	18.396	(596, 229)	(60, 23)	49
18:09:33.651	39	19.0121	(605, 230)	(61, 23)	49
18:09:33.699	35	19.6773	(615, 230)	(62, 23)	49
18:09:33.740	36	20.4231	(626, 230)	(63, 23)	49
18:09:33.783	48	21.0813	(635, 230)	(64, 23)	49
18:09:33.839	41	21.6033	(645, 230)	(65, 23)	49
18:09:33.886	38	22.4433	(655, 230)	(66, 23)	49
18:09:33.927	38	23.0133	(665, 230)	(67, 23)	49
18:09:33.970	48	23.9196	(680, 230)	(68, 23)	49
18:09:34.026	49	24.2772	(685, 230)	(69, 23)	49
18:09:34.081	41	24.6775	(695, 230)	(70, 23)	49
18:09:34.129	45	25.3301	(705, 230)	(71, 23)	49
18:09:34.180	52	25.8212	(715, 230)	(72, 23)	49
18:09:34.242	49	26.608	(725, 230)	(73, 23)	49
18:09:34.296	42	26.8999	(735, 230)	(74, 23)	49
18:09:34.345	48	27.6268	(749, 230)	(75, 23)	49
18:09:34.402	55	27.949	(756, 230)	(76, 23)	49
