BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.166211, 0.78287, 0.580329, 0.150691), Translationsvektor: ( 0, 0, 2.075).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:08:52.045	53	45.6514	(-1, -1)	(-1, -1)	49
18:08:52.107	56	45.6988	(-1, -1)	(-1, -1)	49
18:08:52.169	58	45.6489	(-1, -1)	(-1, -1)	49
18:08:52.232	56	45.5785	(-1, -1)	(-1, -1)	49
18:08:52.294	54	45.6618	(-1, -1)	(-1, -1)	49
18:08:52.358	58	45.604	(-1, -1)	(-1, -1)	49
18:08:52.421	56	45.6526	(-1, -1)	(-1, -1)	49
18:08:52.482	55	45.5905	(-1, -1)	(-1, -1)	49
18:08:52.545	58	45.5655	(-1, -1)	(-1, -1)	49
18:08:52.608	58	45.5637	(-1, -1)	(-1, -1)	49
18:08:52.671	56	45.5683	(-1, -1)	(-1, -1)	49
18:08:52.732	54	45.6514	(-1, -1)	(-1, -1)	49
18:08:52.796	57	45.6416	(-1, -1)	(-1, -1)	49
18:08:52.857	57	45.5637	(-1, -1)	(-1, -1)	49
18:08:52.921	53	45.5641	(-1, -1)	(-1, -1)	49
18:08:52.984	58	45.5727	(-1, -1)	(-1, -1)	49
18:08:53.046	59	45.6003	(-1, -1)	(-1, -1)	49
18:08:53.117	64	45.5865	(-1, -1)	(-1, -1)	49
18:08:53.184	54	45.5767	(-1, -1)	(-1, -1)	49
18:08:53.248	59	45.5856	(-1, -1)	(-1, -1)	49
18:08:53.317	55	45.6344	(-1, -1)	(-1, -1)	49
18:08:53.378	53	45.7484	(-1, -1)	(-1, -1)	49
18:08:53.442	59	45.561	(-1, -1)	(-1, -1)	49
18:08:53.512	55	45.5923	(-1, -1)	(-1, -1)	49
18:08:53.573	53	45.604	(-1, -1)	(-1, -1)	49
18:08:53.637	59	45.5843	(-1, -1)	(-1, -1)	49
18:08:53.706	56	45.6333	(-1, -1)	(-1, -1)	49
18:08:53.767	53	45.6727	(-1, -1)	(-1, -1)	49
18:08:53.823	55	45.6188	(-1, -1)	(-1, -1)	49
18:08:53.887	59	45.5649	(-1, -1)	(-1, -1)	49
18:08:53.950	56	45.6247	(-1, -1)	(-1, -1)	49
18:08:54.012	53	45.6239	(-1, -1)	(-1, -1)	49
18:08:54.075	58	45.6283	(-1, -1)	(-1, -1)	49
18:08:54.144	58	45.5753	(-1, -1)	(-1, -1)	49
18:08:54.207	53	45.601	(-1, -1)	(-1, -1)	49
18:08:54.268	56	45.5456	(-1, -1)	(-1, -1)	49
18:08:54.332	58	45.649	(-1, -1)	(-1, -1)	49
18:08:54.394	56	45.5853	(-1, -1)	(-1, -1)	49
18:08:54.458	57	45.5873	(-1, -1)	(-1, -1)	49
18:08:54.522	59	45.6074	(-1, -1)	(-1, -1)	49
18:08:54.591	57	45.62	(-1, -1)	(-1, -1)	49
18:08:54.651	53	45.6191	(-1, -1)	(-1, -1)	49
18:08:54.707	52	45.6434	(-1, -1)	(-1, -1)	49
18:08:54.763	61	45.6212	(-1, -1)	(-1, -1)	49
18:08:54.832	53	45.6185	(-1, -1)	(-1, -1)	49
18:08:54.893	54	45.7224	(-1, -1)	(-1, -1)	49
18:08:54.951	58	45.6068	(-1, -1)	(-1, -1)	49
