BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.694302, 0.485923, 0.501324, 0.174634), Translationsvektor: ( 0, 0, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:15:31.104	33	15.4563	(318, 226)	(32, 23)	49
18:15:31.144	30	15.6593	(325, 225)	(33, 23)	49
18:15:31.178	34	16.1185	(335, 225)	(34, 23)	49
18:15:31.221	40	16.4545	(345, 225)	(35, 23)	49
18:15:31.271	41	17.18	(357, 225)	(36, 23)	49
18:15:31.335	34	17.796	(372, 225)	(37, 23)	49
18:15:31.372	32	17.9474	(375, 225)	(38, 23)	49
18:15:31.407	33	18.3557	(385, 225)	(39, 23)	49
18:15:31.442	34	18.6847	(395, 225)	(40, 23)	49
18:15:31.485	34	19.2173	(405, 225)	(41, 23)	49
18:15:31.527	36	19.748	(415, 225)	(42, 23)	49
18:15:31.567	35	20.4024	(425, 225)	(43, 23)	49
18:15:31.608	36	21.1914	(435, 226)	(44, 23)	49
18:15:31.650	41	21.7754	(445, 226)	(45, 23)	49
18:15:31.699	45	22.3153	(455, 226)	(46, 23)	49
18:15:31.749	40	23.2587	(465, 227)	(47, 23)	49
18:15:31.796	39	24.0788	(475, 227)	(48, 23)	49
18:15:31.838	43	24.7166	(485, 228)	(49, 23)	49
18:15:31.887	51	25.5064	(495, 228)	(50, 23)	49
18:15:31.944	46	26.2556	(505, 229)	(51, 23)	49
18:15:31.999	47	26.8745	(515, 229)	(52, 23)	49
18:15:32.054	47	27.7864	(525, 229)	(53, 23)	49
18:15:32.109	50	28.3975	(535, 229)	(54, 23)	49
18:15:32.166	49	29.1468	(545, 229)	(55, 23)	49
18:15:32.221	44	29.8508	(555, 229)	(56, 23)	49
18:15:32.269	52	30.6757	(565, 229)	(57, 23)	49
18:15:32.326	58	31.4313	(575, 229)	(58, 23)	49
18:15:32.396	51	32.1191	(585, 229)	(59, 23)	49
18:15:32.449	56	32.8419	(596, 229)	(60, 23)	49
18:15:32.514	62	33.4281	(605, 230)	(61, 23)	49
18:15:32.582	52	34.3439	(615, 230)	(62, 23)	49
18:15:32.637	56	34.8588	(626, 230)	(63, 23)	49
18:15:32.701	59	35.3237	(635, 230)	(64, 23)	49
18:15:32.764	55	35.9513	(645, 230)	(65, 23)	49
18:15:32.825	52	36.771	(655, 230)	(66, 23)	49
18:15:32.881	66	37.6816	(665, 230)	(67, 23)	49
18:15:32.952	71	39.12	(680, 230)	(68, 23)	49
