BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.694302, 0.485923, 0.501324, 0.174634), Translationsvektor: ( 0, 0, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:16:13.545	51	37.9148	(318, 226)	(32, 23)	49
18:16:13.607	53	37.941	(325, 225)	(33, 23)	49
18:16:13.668	53	38.139	(335, 225)	(34, 23)	49
18:16:13.731	54	38.0754	(345, 225)	(35, 23)	49
18:16:13.793	50	38.1972	(357, 225)	(36, 23)	49
18:16:13.848	51	38.3856	(372, 225)	(37, 23)	49
18:16:13.904	53	38.4477	(375, 225)	(38, 23)	49
18:16:13.967	58	38.8156	(385, 225)	(39, 23)	49
18:16:14.030	51	38.7879	(395, 225)	(40, 23)	49
18:16:14.083	50	38.9825	(405, 225)	(41, 23)	49
18:16:14.141	58	38.9201	(415, 225)	(42, 23)	49
18:16:14.204	58	39.2456	(425, 225)	(43, 23)	49
18:16:14.274	53	39.4505	(435, 226)	(44, 23)	49
18:16:14.334	56	39.3883	(445, 226)	(45, 23)	49
18:16:14.398	57	39.3164	(455, 226)	(46, 23)	49
18:16:14.461	59	39.7572	(465, 227)	(47, 23)	49
18:16:14.529	52	39.7138	(475, 227)	(48, 23)	49
18:16:14.585	59	40.1079	(485, 228)	(49, 23)	49
18:16:14.655	56	40.4099	(495, 228)	(50, 23)	49
18:16:14.716	51	40.4526	(505, 229)	(51, 23)	49
18:16:14.771	50	40.423	(515, 229)	(52, 23)	49
18:16:14.828	54	40.4739	(525, 229)	(53, 23)	49
18:16:14.892	56	40.7505	(535, 229)	(54, 23)	49
18:16:14.953	50	41.0327	(545, 229)	(55, 23)	49
18:16:15.008	60	41.1836	(555, 229)	(56, 23)	49
18:16:15.073	58	41.396	(565, 229)	(57, 23)	49
18:16:15.134	56	41.7776	(575, 229)	(58, 23)	49
18:16:15.197	61	41.9601	(585, 229)	(59, 23)	49
18:16:15.267	60	42.277	(596, 229)	(60, 23)	49
18:16:15.337	55	42.253	(605, 230)	(61, 23)	49
18:16:15.398	58	42.5055	(615, 230)	(62, 23)	49
18:16:15.462	61	42.7098	(626, 230)	(63, 23)	49
18:16:15.531	58	43.0513	(635, 230)	(64, 23)	49
18:16:15.593	60	43.657	(645, 230)	(65, 23)	49
18:16:15.664	61	43.6455	(655, 230)	(66, 23)	49
18:16:15.733	58	43.7975	(665, 230)	(67, 23)	49
18:16:15.793	54	44.0079	(680, 230)	(68, 23)	49
18:16:15.849	60	44.2193	(685, 230)	(69, 23)	49
18:16:15.921	63	44.3058	(695, 230)	(70, 23)	49
18:16:15.990	60	44.5526	(705, 230)	(71, 23)	49
18:16:16.060	64	44.6477	(715, 230)	(72, 23)	49
