BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.694302, 0.485923, 0.501324, 0.174634), Translationsvektor: ( 0, 0, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:14:01.327	115	108.396	(-1, -1)	(-1, -1)	49
18:14:01.454	119	108.502	(-1, -1)	(-1, -1)	49
18:14:01.577	115	108.445	(-1, -1)	(-1, -1)	49
18:14:01.703	120	108.399	(-1, -1)	(-1, -1)	49
18:14:01.827	114	108.418	(-1, -1)	(-1, -1)	49
18:14:01.945	117	108.451	(-1, -1)	(-1, -1)	49
18:14:02.073	122	108.474	(-1, -1)	(-1, -1)	49
18:14:02.205	121	108.45	(-1, -1)	(-1, -1)	49
18:14:02.337	120	108.386	(-1, -1)	(-1, -1)	49
18:14:02.469	119	108.35	(-1, -1)	(-1, -1)	49
18:14:02.591	118	108.386	(-1, -1)	(-1, -1)	49
18:14:02.720	118	108.459	(-1, -1)	(-1, -1)	49
18:14:02.842	117	108.432	(-1, -1)	(-1, -1)	49
18:14:02.971	120	108.375	(-1, -1)	(-1, -1)	49
18:14:03.101	119	108.439	(-1, -1)	(-1, -1)	49
18:14:03.224	117	108.389	(-1, -1)	(-1, -1)	49
18:14:03.351	119	108.352	(-1, -1)	(-1, -1)	49
18:14:03.474	115	108.46	(-1, -1)	(-1, -1)	49
18:14:03.594	122	108.443	(-1, -1)	(-1, -1)	49
18:14:03.727	119	108.349	(-1, -1)	(-1, -1)	49
18:14:03.850	117	108.641	(-1, -1)	(-1, -1)	49
18:14:03.976	121	108.373	(-1, -1)	(-1, -1)	49
18:14:04.110	120	108.435	(-1, -1)	(-1, -1)	49
18:14:04.243	121	108.417	(-1, -1)	(-1, -1)	49
18:14:04.373	121	108.344	(-1, -1)	(-1, -1)	49
18:14:04.503	118	108.442	(-1, -1)	(-1, -1)	49
18:14:04.630	121	108.381	(-1, -1)	(-1, -1)	49
18:14:04.754	117	108.417	(-1, -1)	(-1, -1)	49
18:14:04.880	122	108.439	(-1, -1)	(-1, -1)	49
18:14:05.012	120	108.419	(-1, -1)	(-1, -1)	49
18:14:05.136	117	108.438	(-1, -1)	(-1, -1)	49
18:14:05.263	119	108.375	(-1, -1)	(-1, -1)	49
18:14:05.387	118	108.301	(-1, -1)	(-1, -1)	49
