BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.999525, -0.00479046, 0.0258543, 0.0158114), Translationsvektor: ( -0.068935, -0.00459421, 1.06).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:27:01.154	42	25.7142	(318, 226)	(32, 23)	49
18:27:01.200	50	26.0636	(325, 225)	(33, 23)	49
18:27:01.257	52	26.4849	(335, 225)	(34, 23)	49
18:27:01.320	49	26.9373	(345, 225)	(35, 23)	49
18:27:01.374	45	27.432	(357, 225)	(36, 23)	49
18:27:01.423	46	28.1567	(372, 225)	(37, 23)	49
18:27:01.473	47	28.3191	(375, 225)	(38, 23)	49
18:27:01.528	47	28.8813	(385, 225)	(39, 23)	49
18:27:01.584	45	29.4698	(395, 225)	(40, 23)	49
18:27:01.631	47	30.0748	(405, 225)	(41, 23)	49
18:27:01.687	55	30.6013	(415, 225)	(42, 23)	49
18:27:01.751	55	31.2093	(425, 225)	(43, 23)	49
18:27:01.812	47	31.824	(435, 226)	(44, 23)	49
18:27:01.860	54	32.4347	(445, 226)	(45, 23)	49
18:27:01.926	60	32.8796	(455, 226)	(46, 23)	49
18:27:01.997	55	33.4	(465, 227)	(47, 23)	49
18:27:02.058	58	33.971	(475, 227)	(48, 23)	49
18:27:02.129	62	34.6567	(485, 228)	(49, 23)	49
18:27:02.196	61	35.1427	(495, 228)	(50, 23)	49
18:27:02.264	55	37.2354	(505, 229)	(51, 23)	49
18:27:02.328	63	36.2736	(515, 229)	(52, 23)	49
18:27:02.440	54	36.7793	(525, 229)	(53, 23)	49
18:27:02.500	53	37.3566	(535, 229)	(54, 23)	49
18:27:02.556	53	37.8013	(545, 229)	(55, 23)	49
18:27:02.646	55	38.285	(555, 229)	(56, 23)	49
18:27:02.710	57	38.7972	(565, 229)	(57, 23)	49
18:27:02.773	66	39.3181	(575, 229)	(58, 23)	49
18:27:02.850	59	39.8957	(585, 229)	(59, 23)	49
18:27:02.911	63	40.6536	(596, 229)	(60, 23)	49
18:27:02.982	68	40.9619	(605, 230)	(61, 23)	49
18:27:03.058	62	41.491	(615, 230)	(62, 23)	49
18:27:03.126	56	41.9913	(626, 230)	(63, 23)	49
18:27:03.188	63	42.4344	(635, 230)	(64, 23)	49
18:27:03.259	65	42.9673	(645, 230)	(65, 23)	49
18:27:03.328	60	45.0819	(655, 230)	(66, 23)	49
18:27:03.390	67	43.9323	(665, 230)	(67, 23)	49
18:27:03.468	72	44.7433	(680, 230)	(68, 23)	49
18:27:03.543	66	44.9194	(685, 230)	(69, 23)	49
18:27:03.614	72	45.3554	(695, 230)	(70, 23)	49
18:27:03.697	70	45.9799	(705, 230)	(71, 23)	49
18:27:03.773	70	48.1181	(715, 230)	(72, 23)	49
18:27:03.849	71	47.4065	(725, 230)	(73, 23)	49
18:27:03.927	68	48.013	(735, 230)	(74, 23)	49
18:27:04.003	76	48.5099	(749, 230)	(75, 23)	49
18:27:04.087	76	48.9489	(756, 230)	(76, 23)	49
18:27:04.170	70	49.2464	(766, 230)	(77, 23)	49
18:27:04.246	78	49.7098	(775, 230)	(78, 23)	49
18:27:04.330	70	50.1446	(785, 230)	(79, 23)	49
18:27:04.405	65	50.645	(796, 229)	(80, 23)	49
18:27:04.475	78	51.1234	(805, 229)	(81, 23)	49
18:27:04.559	71	51.3876	(815, 229)	(82, 23)	49
18:27:04.634	75	52.0431	(825, 228)	(83, 23)	49
18:27:04.719	85	52.3095	(835, 228)	(84, 23)	49
18:27:04.809	84	52.8487	(845, 228)	(85, 23)	49
18:27:04.901	78	53.3676	(855, 228)	(86, 23)	49
18:27:04.990	76	53.8458	(865, 228)	(87, 23)	49
18:27:05.072	81	54.2489	(875, 228)	(88, 23)	49
18:27:05.164	85	54.4824	(885, 228)	(89, 23)	49
18:27:05.255	79	54.7209	(895, 228)	(90, 23)	49
18:27:05.345	74	54.9794	(905, 228)	(91, 23)	49
