BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.999525, -0.00479046, 0.0258543, 0.0158114), Translationsvektor: ( -0.068935, -0.00459421, 1.06).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:27:51.449	77	61.2129	(318, 226)	(32, 23)	49
18:27:51.533	77	61.2413	(325, 225)	(33, 23)	49
18:27:51.618	78	61.2904	(335, 225)	(34, 23)	49
18:27:51.706	76	61.4662	(345, 225)	(35, 23)	49
18:27:51.788	77	61.6535	(357, 225)	(36, 23)	49
18:27:51.873	81	61.8015	(372, 225)	(37, 23)	49
18:27:51.962	79	61.7307	(375, 225)	(38, 23)	49
18:27:52.046	81	61.9776	(385, 225)	(39, 23)	49
18:27:52.137	75	62.0607	(395, 225)	(40, 23)	49
18:27:52.219	73	62.3959	(405, 225)	(41, 23)	49
18:27:52.297	81	62.9024	(415, 225)	(42, 23)	49
18:27:52.387	71	62.7308	(425, 225)	(43, 23)	49
18:27:52.461	78	62.7801	(435, 226)	(44, 23)	49
18:27:52.547	80	62.8585	(445, 226)	(45, 23)	49
18:27:52.636	75	63.4621	(455, 226)	(46, 23)	49
18:27:52.720	83	63.6034	(465, 227)	(47, 23)	49
18:27:52.812	89	63.7428	(475, 227)	(48, 23)	49
18:27:52.909	83	63.7431	(485, 228)	(49, 23)	49
18:27:52.999	83	63.9241	(495, 228)	(50, 23)	49
18:27:53.088	83	64.1881	(505, 229)	(51, 23)	49
18:27:53.181	83	64.2477	(515, 229)	(52, 23)	49
18:27:53.273	81	64.3618	(525, 229)	(53, 23)	49
18:27:53.360	85	64.5707	(535, 229)	(54, 23)	49
18:27:53.451	81	64.7616	(545, 229)	(55, 23)	49
18:27:53.540	81	64.9436	(555, 229)	(56, 23)	49
18:27:53.632	82	65.0467	(565, 229)	(57, 23)	49
18:27:53.721	82	65.3341	(575, 229)	(58, 23)	49
18:27:53.812	80	65.5191	(585, 229)	(59, 23)	49
18:27:53.901	77	65.8302	(596, 229)	(60, 23)	49
18:27:53.986	85	65.7684	(605, 230)	(61, 23)	49
18:27:54.077	79	65.7985	(615, 230)	(62, 23)	49
18:27:54.158	81	65.9819	(626, 230)	(63, 23)	49
18:27:54.251	93	66.1468	(635, 230)	(64, 23)	49
18:27:54.353	84	66.2639	(645, 230)	(65, 23)	49
18:27:54.446	87	66.3062	(655, 230)	(66, 23)	49
18:27:54.542	83	66.5849	(665, 230)	(67, 23)	49
18:27:54.633	86	66.6856	(680, 230)	(68, 23)	49
18:27:54.730	84	66.8631	(685, 230)	(69, 23)	49
18:27:54.821	84	67.0465	(695, 230)	(70, 23)	49
18:27:54.909	81	67.5825	(705, 230)	(71, 23)	49
18:27:54.993	85	67.6161	(715, 230)	(72, 23)	49
18:27:55.085	86	67.9557	(725, 230)	(73, 23)	49
18:27:55.181	84	68.0959	(735, 230)	(74, 23)	49
18:27:55.275	86	68.8406	(749, 230)	(75, 23)	49
18:27:55.371	81	69.0446	(756, 230)	(76, 23)	49
18:27:55.459	85	69.1631	(766, 230)	(77, 23)	49
18:27:55.551	83	69.2074	(775, 230)	(78, 23)	49
18:27:55.639	84	69.5979	(785, 230)	(79, 23)	49
18:27:55.732	87	69.8884	(796, 229)	(80, 23)	49
18:27:55.827	89	70.2873	(805, 229)	(81, 23)	49
18:27:55.925	87	70.2326	(815, 229)	(82, 23)	49
18:27:56.015	87	70.7745	(825, 228)	(83, 23)	49
18:27:56.113	90	70.9261	(835, 228)	(84, 23)	49
18:27:56.211	86	71.24	(845, 228)	(85, 23)	49
18:27:56.308	90	70.6858	(855, 228)	(86, 23)	49
18:27:56.405	84	71.9081	(865, 228)	(87, 23)	49
18:27:56.495	89	71.3653	(875, 228)	(88, 23)	49
18:27:56.593	87	71.7059	(885, 228)	(89, 23)	49
18:27:56.689	90	71.4299	(895, 228)	(90, 23)	49
