BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.999525, -0.00479046, 0.0258543, 0.0158114), Translationsvektor: ( -0.068935, -0.00459421, 1.06).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:24:53.577	197	190.262	(-1, -1)	(-1, -1)	49
18:24:53.782	199	190.187	(-1, -1)	(-1, -1)	49
18:24:53.984	198	190.144	(-1, -1)	(-1, -1)	49
18:24:54.185	199	190.219	(-1, -1)	(-1, -1)	49
18:24:54.394	200	190.31	(-1, -1)	(-1, -1)	49
18:24:54.604	201	190.188	(-1, -1)	(-1, -1)	49
18:24:54.811	199	190.491	(-1, -1)	(-1, -1)	49
18:24:55.021	207	190.259	(-1, -1)	(-1, -1)	49
18:24:55.237	202	190.276	(-1, -1)	(-1, -1)	49
18:24:55.444	211	190.253	(-1, -1)	(-1, -1)	49
18:24:55.661	203	190.153	(-1, -1)	(-1, -1)	49
18:24:55.869	203	190.328	(-1, -1)	(-1, -1)	49
18:24:56.077	203	190.215	(-1, -1)	(-1, -1)	49
18:24:56.285	203	190.269	(-1, -1)	(-1, -1)	49
18:24:56.495	202	190.187	(-1, -1)	(-1, -1)	49
18:24:56.703	202	190.233	(-1, -1)	(-1, -1)	49
18:24:56.912	203	190.308	(-1, -1)	(-1, -1)	49
18:24:57.121	202	190.284	(-1, -1)	(-1, -1)	49
18:24:57.329	202	190.199	(-1, -1)	(-1, -1)	49
18:24:57.540	202	190.28	(-1, -1)	(-1, -1)	49
18:24:57.753	203	190.249	(-1, -1)	(-1, -1)	49
18:24:57.962	201	190.24	(-1, -1)	(-1, -1)	49
18:24:58.170	202	190.3	(-1, -1)	(-1, -1)	49
18:24:58.378	203	190.202	(-1, -1)	(-1, -1)	49
18:24:58.587	203	190.314	(-1, -1)	(-1, -1)	49
18:24:58.795	202	190.133	(-1, -1)	(-1, -1)	49
18:24:59.004	201	190.214	(-1, -1)	(-1, -1)	49
18:24:59.213	201	190.281	(-1, -1)	(-1, -1)	49
18:24:59.421	204	190.255	(-1, -1)	(-1, -1)	49
18:24:59.630	202	190.154	(-1, -1)	(-1, -1)	49
18:24:59.839	201	190.322	(-1, -1)	(-1, -1)	49
18:25:00.046	199	190.281	(-1, -1)	(-1, -1)	49
18:25:00.255	203	190.138	(-1, -1)	(-1, -1)	49
18:25:00.464	201	190.248	(-1, -1)	(-1, -1)	49
18:25:00.671	198	190.172	(-1, -1)	(-1, -1)	49
18:25:00.872	197	190.24	(-1, -1)	(-1, -1)	49
18:25:01.075	198	190.509	(-1, -1)	(-1, -1)	49
18:25:01.276	200	190.091	(-1, -1)	(-1, -1)	49
18:25:01.478	198	190.233	(-1, -1)	(-1, -1)	49
18:25:01.679	199	190.273	(-1, -1)	(-1, -1)	49
18:25:01.881	200	190.225	(-1, -1)	(-1, -1)	49
18:25:02.089	200	190.236	(-1, -1)	(-1, -1)	49
18:25:02.299	202	190.191	(-1, -1)	(-1, -1)	49
18:25:02.509	202	190.247	(-1, -1)	(-1, -1)	49
18:25:02.716	199	190.243	(-1, -1)	(-1, -1)	49
18:25:02.925	202	190.293	(-1, -1)	(-1, -1)	49
18:25:03.136	204	190.255	(-1, -1)	(-1, -1)	49
18:25:03.351	207	190.266	(-1, -1)	(-1, -1)	49
18:25:03.564	203	190.231	(-1, -1)	(-1, -1)	49
18:25:03.773	201	190.199	(-1, -1)	(-1, -1)	49
18:25:03.981	202	190.223	(-1, -1)	(-1, -1)	49
18:25:04.193	202	190.254	(-1, -1)	(-1, -1)	49
18:25:04.407	202	190.291	(-1, -1)	(-1, -1)	49
18:25:04.616	203	190.221	(-1, -1)	(-1, -1)	49
18:25:04.832	203	190.278	(-1, -1)	(-1, -1)	49
18:25:05.046	203	190.295	(-1, -1)	(-1, -1)	49
18:25:05.259	202	190.252	(-1, -1)	(-1, -1)	49
18:25:05.468	197	190.277	(-1, -1)	(-1, -1)	49
18:25:05.673	203	190.216	(-1, -1)	(-1, -1)	49
18:25:05.887	202	190.255	(-1, -1)	(-1, -1)	49
18:25:06.096	202	190.25	(-1, -1)	(-1, -1)	49
18:25:06.303	203	190.222	(-1, -1)	(-1, -1)	49
18:25:06.512	202	190.246	(-1, -1)	(-1, -1)	49
18:25:06.720	203	190.213	(-1, -1)	(-1, -1)	49
18:25:06.929	202	190.254	(-1, -1)	(-1, -1)	49
18:25:07.139	202	190.334	(-1, -1)	(-1, -1)	49
18:25:07.346	202	190.324	(-1, -1)	(-1, -1)	49
18:25:07.554	202	190.25	(-1, -1)	(-1, -1)	49
18:25:07.763	203	190.231	(-1, -1)	(-1, -1)	49
18:25:07.971	203	190.171	(-1, -1)	(-1, -1)	49
18:25:08.180	202	190.194	(-1, -1)	(-1, -1)	49
18:25:08.389	201	190.23	(-1, -1)	(-1, -1)	49
18:25:08.597	203	190.313	(-1, -1)	(-1, -1)	49
18:25:08.807	201	190.276	(-1, -1)	(-1, -1)	49
18:25:09.013	199	190.669	(-1, -1)	(-1, -1)	49
18:25:09.216	202	190.283	(-1, -1)	(-1, -1)	49
18:25:09.425	202	190.216	(-1, -1)	(-1, -1)	49
18:25:09.633	200	190.26	(-1, -1)	(-1, -1)	49
18:25:09.839	197	190.388	(-1, -1)	(-1, -1)	49
18:25:10.041	197	190.288	(-1, -1)	(-1, -1)	49
18:25:10.244	197	190.319	(-1, -1)	(-1, -1)	49
18:25:10.445	198	190.365	(-1, -1)	(-1, -1)	49
18:25:10.647	199	190.338	(-1, -1)	(-1, -1)	49
18:25:10.849	199	190.325	(-1, -1)	(-1, -1)	49
18:25:11.051	199	190.303	(-1, -1)	(-1, -1)	49
18:25:11.259	199	190.304	(-1, -1)	(-1, -1)	49
18:25:11.468	200	190.171	(-1, -1)	(-1, -1)	49
18:25:11.677	201	190.148	(-1, -1)	(-1, -1)	49
18:25:11.886	202	190.205	(-1, -1)	(-1, -1)	49
18:25:12.096	204	190.249	(-1, -1)	(-1, -1)	49
18:25:12.311	205	190.277	(-1, -1)	(-1, -1)	49
18:25:12.525	206	190.221	(-1, -1)	(-1, -1)	49
18:25:12.742	201	190.219	(-1, -1)	(-1, -1)	49
18:25:12.949	203	190.329	(-1, -1)	(-1, -1)	49
18:25:13.158	202	190.284	(-1, -1)	(-1, -1)	49
18:25:13.366	203	190.241	(-1, -1)	(-1, -1)	49
18:25:13.575	203	190.201	(-1, -1)	(-1, -1)	49
18:25:13.784	201	190.244	(-1, -1)	(-1, -1)	49
