BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.651198, -0.435252, 0.484274, 0.389832), Translationsvektor: ( -0.068935, -0.00459421, 1.585).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:38:10.985	23	8.32385	(318, 226)	(32, 23)	49
18:38:11.013	22	8.39363	(325, 225)	(33, 23)	49
18:38:11.041	23	8.57304	(335, 225)	(34, 23)	49
18:38:11.069	23	8.73941	(345, 225)	(35, 23)	49
18:38:11.097	29	9.09452	(357, 225)	(36, 23)	49
18:38:11.133	30	9.35615	(372, 225)	(37, 23)	49
18:38:11.167	31	9.53185	(375, 225)	(38, 23)	49
18:38:11.204	26	9.85096	(385, 225)	(39, 23)	49
18:38:11.236	24	10.1039	(395, 225)	(40, 23)	49
18:38:11.264	26	10.3699	(405, 225)	(41, 23)	49
18:38:11.292	25	10.7281	(415, 225)	(42, 23)	49
18:38:11.319	27	11.0299	(425, 225)	(43, 23)	49
18:38:11.348	25	11.2593	(435, 226)	(44, 23)	49
18:38:11.375	27	11.5647	(445, 226)	(45, 23)	49
18:38:11.410	26	11.9759	(455, 226)	(46, 23)	49
18:38:11.437	26	12.2135	(465, 227)	(47, 23)	49
18:38:11.465	26	12.5151	(475, 227)	(48, 23)	49
18:38:11.493	27	12.8129	(485, 228)	(49, 23)	49
18:38:11.521	26	13.0201	(495, 228)	(50, 23)	49
18:38:11.549	31	13.2676	(505, 229)	(51, 23)	49
18:38:11.585	33	13.7501	(515, 229)	(52, 23)	49
18:38:11.628	31	14.2287	(525, 229)	(53, 23)	49
18:38:11.667	28	14.5273	(535, 229)	(54, 23)	49
18:38:11.702	35	14.9135	(545, 229)	(55, 23)	49
18:38:11.744	34	15.5649	(555, 229)	(56, 23)	49
18:38:11.787	34	15.2523	(565, 229)	(57, 23)	49
18:38:11.831	31	15.5338	(575, 229)	(58, 23)	49
18:38:11.869	31	15.7396	(585, 229)	(59, 23)	49
18:38:11.904	31	15.9111	(596, 229)	(60, 23)	49
18:38:11.939	31	16.5364	(605, 230)	(61, 23)	49
18:38:11.974	32	17.0569	(615, 230)	(62, 23)	49
18:38:12.021	39	17.629	(626, 230)	(63, 23)	49
18:38:12.064	32	18.1873	(635, 230)	(64, 23)	49
18:38:12.099	37	18.8513	(645, 230)	(65, 23)	49
18:38:12.140	34	19.3607	(655, 230)	(66, 23)	49
18:38:12.181	36	20.1468	(665, 230)	(67, 23)	49
18:38:12.224	36	20.9351	(680, 230)	(68, 23)	49
18:38:12.267	36	21.0954	(685, 230)	(69, 23)	49
18:38:12.307	36	21.7881	(695, 230)	(70, 23)	49
18:38:12.350	36	22.3443	(705, 230)	(71, 23)	49
18:38:12.391	47	22.8593	(715, 230)	(72, 23)	49
18:38:12.448	43	23.2236	(725, 230)	(73, 23)	49
18:38:12.495	41	23.9747	(735, 230)	(74, 23)	49
18:38:12.549	48	24.3401	(749, 230)	(75, 23)	49
18:38:12.609	47	24.6194	(756, 230)	(76, 23)	49
18:38:12.692	41	25.036	(766, 230)	(77, 23)	49
18:38:12.738	41	25.5049	(775, 230)	(78, 23)	49
18:38:12.788	59	25.9222	(785, 230)	(79, 23)	49
18:38:12.850	46	26.4671	(796, 229)	(80, 23)	49
18:38:12.904	45	26.937	(805, 229)	(81, 23)	49
18:38:12.954	47	27.483	(815, 229)	(82, 23)	49
18:38:13.011	53	27.7667	(825, 228)	(83, 23)	49
18:38:13.073	47	28.1661	(835, 228)	(84, 23)	49
18:38:13.127	42	28.6133	(845, 228)	(85, 23)	49
