BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.651198, -0.435252, 0.484274, 0.389832), Translationsvektor: ( -0.068935, -0.00459421, 1.585).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:38:46.382	43	32.2188	(318, 226)	(32, 23)	49
18:38:46.433	47	32.0084	(325, 225)	(33, 23)	49
18:38:46.491	46	31.9606	(335, 225)	(34, 23)	49
18:38:46.545	47	32.2256	(345, 225)	(35, 23)	49
18:38:46.600	45	32.177	(357, 225)	(36, 23)	49
18:38:46.649	49	32.1711	(372, 225)	(37, 23)	49
18:38:46.708	50	32.1833	(375, 225)	(38, 23)	49
18:38:46.768	49	32.0604	(385, 225)	(39, 23)	49
18:38:46.823	48	32.1566	(395, 225)	(40, 23)	49
18:38:46.879	51	32.0996	(405, 225)	(41, 23)	49
18:38:46.935	51	32.0742	(415, 225)	(42, 23)	49
18:38:46.997	46	32.1006	(425, 225)	(43, 23)	49
18:38:47.051	45	32.1156	(435, 226)	(44, 23)	49
18:38:47.102	48	32.1622	(445, 226)	(45, 23)	49
18:38:47.157	49	32.2169	(455, 226)	(46, 23)	49
18:38:47.221	43	32.1496	(465, 227)	(47, 23)	49
18:38:47.267	42	32.2052	(475, 227)	(48, 23)	49
18:38:47.317	49	32.3277	(485, 228)	(49, 23)	49
18:38:47.373	48	32.223	(495, 228)	(50, 23)	49
18:38:47.430	45	32.4024	(505, 229)	(51, 23)	49
18:38:47.483	47	32.76	(515, 229)	(52, 23)	49
18:38:47.540	53	32.869	(525, 229)	(53, 23)	49
18:38:47.603	52	33.36	(535, 229)	(54, 23)	49
18:38:47.666	45	33.3156	(545, 229)	(55, 23)	49
18:38:47.719	44	33.607	(555, 229)	(56, 23)	49
18:38:47.770	52	33.7196	(565, 229)	(57, 23)	49
18:38:47.833	50	33.8354	(575, 229)	(58, 23)	49
18:38:47.887	45	34.0576	(585, 229)	(59, 23)	49
18:38:47.935	44	34.0985	(596, 229)	(60, 23)	49
18:38:47.983	46	34.196	(605, 230)	(61, 23)	49
18:38:48.032	47	34.2467	(615, 230)	(62, 23)	49
18:38:48.087	48	34.2384	(626, 230)	(63, 23)	49
18:38:48.144	52	34.4493	(635, 230)	(64, 23)	49
18:38:48.200	54	34.4382	(645, 230)	(65, 23)	49
18:38:48.263	53	34.7738	(655, 230)	(66, 23)	49
18:38:48.327	48	34.764	(665, 230)	(67, 23)	49
18:38:48.379	48	35.0364	(680, 230)	(68, 23)	49
18:38:48.436	54	35.0492	(685, 230)	(69, 23)	49
18:38:48.500	51	34.9873	(695, 230)	(70, 23)	49
18:38:48.561	50	35.4179	(705, 230)	(71, 23)	49
18:38:48.618	54	35.6359	(715, 230)	(72, 23)	49
18:38:48.680	54	35.4886	(725, 230)	(73, 23)	49
18:38:48.743	55	35.8607	(735, 230)	(74, 23)	49
18:38:48.805	51	36.1561	(749, 230)	(75, 23)	49
18:38:48.859	52	36.4859	(756, 230)	(76, 23)	49
18:38:48.916	54	36.3658	(766, 230)	(77, 23)	49
18:38:48.977	50	36.5363	(775, 230)	(78, 23)	49
18:38:49.036	56	36.672	(785, 230)	(79, 23)	49
18:38:49.097	52	36.6524	(796, 229)	(80, 23)	49
18:38:49.153	51	36.8658	(805, 229)	(81, 23)	49
18:38:49.210	50	37.1058	(815, 229)	(82, 23)	49
18:38:49.263	50	37.3354	(825, 228)	(83, 23)	49
18:38:49.319	51	37.7788	(835, 228)	(84, 23)	49
18:38:49.374	49	37.8204	(845, 228)	(85, 23)	49
18:38:49.429	49	37.9964	(855, 228)	(86, 23)	49
18:38:49.487	56	38.1653	(865, 228)	(87, 23)	49
18:38:49.548	48	38.34	(875, 228)	(88, 23)	49
18:38:49.603	53	38.7702	(885, 228)	(89, 23)	49
18:38:49.667	58	38.5157	(895, 228)	(90, 23)	49
18:38:49.730	58	38.8327	(905, 228)	(91, 23)	49
18:38:49.793	54	39.1945	(915, 228)	(92, 23)	49
18:38:49.854	54	39.2074	(925, 228)	(93, 23)	49
18:38:49.917	59	39.4643	(935, 228)	(94, 23)	49
18:38:49.996	55	39.583	(945, 227)	(95, 23)	49
18:38:50.055	53	40.0228	(957, 227)	(96, 23)	49
18:38:50.119	55	40.0363	(966, 227)	(97, 23)	49
18:38:50.181	52	40.1809	(975, 227)	(98, 23)	49
18:38:50.235	51	40.1661	(985, 227)	(99, 23)	49
18:38:50.292	56	40.355	(995, 227)	(100, 23)	49
18:38:50.354	58	40.6036	(1005, 227)	(101, 23)	49
18:38:50.417	55	40.1739	(1015, 226)	(102, 23)	49
18:38:50.479	56	40.2907	(1025, 226)	(103, 23)	49
18:38:50.542	60	40.284	(1035, 226)	(104, 23)	49
18:38:50.614	53	40.116	(1045, 225)	(105, 23)	49
18:38:50.675	59	40.2142	(1055, 225)	(106, 23)	49
18:38:50.745	58	40.3453	(1065, 225)	(107, 23)	49
18:38:50.808	57	40.3031	(1071, 224)	(107, 22)	49
18:38:50.869	50	40.4653	(1075, 224)	(108, 22)	49
18:38:50.924	54	40.7982	(1085, 224)	(109, 22)	49
18:38:50.988	56	40.7105	(1095, 224)	(110, 22)	49
18:38:51.051	54	40.8093	(1105, 224)	(111, 22)	49
18:38:51.111	52	41.0468	(1115, 224)	(112, 22)	49
18:38:51.168	54	41.025	(1125, 224)	(113, 22)	49
18:38:51.230	56	41.1824	(1135, 224)	(114, 22)	49
18:38:51.293	59	41.2271	(1146, 223)	(115, 22)	49
18:38:51.357	59	41.4296	(1155, 223)	(116, 22)	49
18:38:51.426	60	41.1606	(1165, 223)	(117, 22)	49
18:38:51.495	53	41.1564	(1175, 223)	(118, 22)	49
18:38:51.558	60	40.9061	(1185, 223)	(119, 22)	49
18:38:51.628	59	41.14	(1195, 223)	(120, 22)	49
18:38:51.696	51	41.0347	(1205, 223)	(121, 22)	49
18:38:51.751	59	40.9372	(1215, 223)	(122, 22)	49
18:38:51.818	55	40.6567	(1225, 223)	(123, 22)	49
18:38:51.887	56	40.611	(1235, 223)	(124, 22)	49
18:38:51.945	54	40.6979	(1245, 223)	(125, 22)	49
18:38:52.002	60	40.5099	(1255, 223)	(126, 22)	49
18:38:52.071	54	40.472	(1265, 224)	(127, 22)	49
18:38:52.133	50	40.2662	(1275, 224)	(128, 22)	49
18:38:52.188	55	40.3812	(1282, 225)	(128, 23)	49
18:38:52.253	60	40.2062	(1285, 225)	(129, 23)	49
18:38:52.322	50	40.0936	(1295, 226)	(130, 23)	49
18:38:52.376	57	40.0613	(1305, 226)	(131, 23)	49
18:38:52.442	58	40.0741	(1316, 228)	(132, 23)	49
18:38:52.511	53	39.6593	(1326, 228)	(133, 23)	49
18:38:52.571	49	39.7927	(1335, 228)	(134, 23)	49
18:38:52.629	59	39.5627	(1345, 229)	(135, 23)	49
18:38:52.698	54	39.3625	(1355, 230)	(136, 23)	49
18:38:52.759	49	39.0336	(1366, 230)	(137, 23)	49
18:38:52.814	52	38.8945	(1375, 230)	(138, 23)	49
18:38:52.872	58	38.7532	(1386, 231)	(139, 23)	49
18:38:52.944	55	38.7966	(1395, 231)	(140, 23)	49
18:38:53.003	52	38.4464	(1405, 232)	(141, 23)	49
18:38:53.066	57	38.1034	(1415, 232)	(142, 23)	49
18:38:53.129	54	38.0129	(1425, 232)	(143, 23)	49
18:38:53.190	54	37.8327	(1435, 233)	(144, 23)	49
18:38:53.254	56	37.5619	(1445, 234)	(145, 23)	49
18:38:53.317	56	37.1741	(1455, 234)	(146, 23)	49
