BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.651198, -0.435252, 0.484274, 0.389832), Translationsvektor: ( -0.068935, -0.00459421, 1.585).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:36:53.941	96	89.7738	(-1, -1)	(-1, -1)	49
18:36:54.047	102	89.7338	(-1, -1)	(-1, -1)	49
18:36:54.157	102	89.6741	(-1, -1)	(-1, -1)	49
18:36:54.270	100	89.7338	(-1, -1)	(-1, -1)	49
18:36:54.379	102	89.6893	(-1, -1)	(-1, -1)	49
18:36:54.489	101	89.6815	(-1, -1)	(-1, -1)	49
18:36:54.596	101	89.7233	(-1, -1)	(-1, -1)	49
18:36:54.709	102	89.6769	(-1, -1)	(-1, -1)	49
18:36:54.818	101	89.6351	(-1, -1)	(-1, -1)	49
18:36:54.928	102	89.6861	(-1, -1)	(-1, -1)	49
18:36:55.039	99	89.6437	(-1, -1)	(-1, -1)	49
18:36:55.143	98	89.7723	(-1, -1)	(-1, -1)	49
18:36:55.249	101	89.6627	(-1, -1)	(-1, -1)	49
18:36:55.358	99	89.7982	(-1, -1)	(-1, -1)	49
18:36:55.464	101	89.6659	(-1, -1)	(-1, -1)	49
18:36:55.574	98	89.832	(-1, -1)	(-1, -1)	49
18:36:55.681	100	89.6705	(-1, -1)	(-1, -1)	49
18:36:55.795	99	89.7015	(-1, -1)	(-1, -1)	49
18:36:55.928	98	89.7507	(-1, -1)	(-1, -1)	49
18:36:56.035	99	89.721	(-1, -1)	(-1, -1)	49
18:36:56.138	99	89.6921	(-1, -1)	(-1, -1)	49
18:36:56.241	98	89.7773	(-1, -1)	(-1, -1)	49
18:36:56.347	100	89.7507	(-1, -1)	(-1, -1)	49
18:36:56.457	100	89.6295	(-1, -1)	(-1, -1)	49
18:36:56.562	101	89.7427	(-1, -1)	(-1, -1)	49
18:36:56.666	97	89.6474	(-1, -1)	(-1, -1)	49
18:36:56.771	100	89.7074	(-1, -1)	(-1, -1)	49
18:36:56.874	97	89.7593	(-1, -1)	(-1, -1)	49
18:36:56.978	97	89.8206	(-1, -1)	(-1, -1)	49
18:36:57.082	98	89.7732	(-1, -1)	(-1, -1)	49
18:36:57.188	102	89.6738	(-1, -1)	(-1, -1)	49
18:36:57.299	99	89.6563	(-1, -1)	(-1, -1)	49
18:36:57.404	102	89.7468	(-1, -1)	(-1, -1)	49
18:36:57.513	99	89.6729	(-1, -1)	(-1, -1)	49
18:36:57.619	102	89.6895	(-1, -1)	(-1, -1)	49
18:36:57.728	98	89.7864	(-1, -1)	(-1, -1)	49
18:36:57.835	100	89.675	(-1, -1)	(-1, -1)	49
18:36:57.945	101	89.7258	(-1, -1)	(-1, -1)	49
18:36:58.057	101	89.707	(-1, -1)	(-1, -1)	49
18:36:58.166	97	89.7919	(-1, -1)	(-1, -1)	49
18:36:58.273	100	89.6519	(-1, -1)	(-1, -1)	49
18:36:58.375	98	89.6683	(-1, -1)	(-1, -1)	49
18:36:58.481	100	89.6684	(-1, -1)	(-1, -1)	49
18:36:58.584	98	89.735	(-1, -1)	(-1, -1)	49
18:36:58.689	103	89.655	(-1, -1)	(-1, -1)	49
18:36:58.800	100	89.6535	(-1, -1)	(-1, -1)	49
18:36:58.905	100	89.7471	(-1, -1)	(-1, -1)	49
18:36:59.008	99	89.657	(-1, -1)	(-1, -1)	49
18:36:59.114	102	89.685	(-1, -1)	(-1, -1)	49
18:36:59.225	100	89.6883	(-1, -1)	(-1, -1)	49
18:36:59.329	100	89.6879	(-1, -1)	(-1, -1)	49
18:36:59.432	99	89.7458	(-1, -1)	(-1, -1)	49
18:36:59.537	102	89.6806	(-1, -1)	(-1, -1)	49
18:36:59.647	99	89.6787	(-1, -1)	(-1, -1)	49
18:36:59.753	101	89.6735	(-1, -1)	(-1, -1)	49
18:36:59.855	97	89.7797	(-1, -1)	(-1, -1)	49
18:36:59.962	100	89.7102	(-1, -1)	(-1, -1)	49
18:37:00.064	96	89.7215	(-1, -1)	(-1, -1)	49
18:37:00.170	102	89.7467	(-1, -1)	(-1, -1)	49
18:37:00.280	99	89.6967	(-1, -1)	(-1, -1)	49
18:37:00.386	101	89.667	(-1, -1)	(-1, -1)	49
18:37:00.497	99	89.7273	(-1, -1)	(-1, -1)	49
18:37:00.601	101	89.6729	(-1, -1)	(-1, -1)	49
18:37:00.704	99	89.6927	(-1, -1)	(-1, -1)	49
18:37:00.809	103	89.6822	(-1, -1)	(-1, -1)	49
18:37:00.920	99	89.677	(-1, -1)	(-1, -1)	49
18:37:01.025	103	89.6542	(-1, -1)	(-1, -1)	49
18:37:01.136	97	89.7121	(-1, -1)	(-1, -1)	49
18:37:01.240	102	89.7001	(-1, -1)	(-1, -1)	49
18:37:01.351	96	89.7702	(-1, -1)	(-1, -1)	49
18:37:01.456	101	89.7024	(-1, -1)	(-1, -1)	49
18:37:01.559	98	89.7594	(-1, -1)	(-1, -1)	49
18:37:01.665	101	89.759	(-1, -1)	(-1, -1)	49
18:37:01.775	98	89.6959	(-1, -1)	(-1, -1)	49
