BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.645554, -0.475982, 0.251161, 0.541854), Translationsvektor: ( -0.0583296, 0.0137825, 1.735).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:44:48.724	36	7.24385	(318, 226)	(32, 23)	49
18:44:48.765	22	7.31881	(325, 225)	(33, 23)	49
18:44:48.792	22	7.35556	(335, 225)	(34, 23)	49
18:44:48.820	22	7.39467	(345, 225)	(35, 23)	49
18:44:48.848	22	7.3683	(357, 225)	(36, 23)	49
18:44:48.875	23	7.35022	(372, 225)	(37, 23)	49
18:44:48.903	23	7.36518	(375, 225)	(38, 23)	49
18:44:48.931	31	7.42533	(385, 225)	(39, 23)	49
18:44:48.967	28	7.61259	(395, 225)	(40, 23)	49
18:44:49.001	23	7.67393	(405, 225)	(41, 23)	49
18:44:49.028	21	7.95156	(415, 225)	(42, 23)	49
18:44:49.056	22	8.092	(425, 225)	(43, 23)	49
18:44:49.084	28	8.29467	(435, 226)	(44, 23)	49
18:44:49.118	24	8.7277	(445, 226)	(45, 23)	49
18:44:49.147	28	9.18445	(455, 226)	(46, 23)	49
18:44:49.182	29	9.41748	(465, 227)	(47, 23)	49
18:44:49.217	29	9.43808	(475, 227)	(48, 23)	49
18:44:49.251	29	9.79541	(485, 228)	(49, 23)	49
18:44:49.287	29	10.2161	(495, 228)	(50, 23)	49
18:44:49.321	30	10.2468	(505, 229)	(51, 23)	49
18:44:49.356	29	10.6093	(515, 229)	(52, 23)	49
18:44:49.391	27	10.6828	(525, 229)	(53, 23)	49
18:44:49.425	25	10.8636	(535, 229)	(54, 23)	49
18:44:49.452	27	11.1107	(545, 229)	(55, 23)	49
18:44:49.487	30	11.3393	(555, 229)	(56, 23)	49
18:44:49.522	34	11.4279	(565, 229)	(57, 23)	49
18:44:49.564	32	11.7363	(575, 229)	(58, 23)	49
18:44:49.607	32	11.8806	(585, 229)	(59, 23)	49
18:44:49.648	34	12.2532	(596, 229)	(60, 23)	49
18:44:49.693	33	12.3849	(605, 230)	(61, 23)	49
18:44:49.732	33	12.7336	(615, 230)	(62, 23)	49
18:44:49.773	34	12.8756	(626, 230)	(63, 23)	49
18:44:49.822	31	13.0957	(635, 230)	(64, 23)	49
18:44:49.856	28	13.4212	(645, 230)	(65, 23)	49
18:44:49.891	28	13.6416	(655, 230)	(66, 23)	49
18:44:49.925	31	13.9256	(665, 230)	(67, 23)	49
18:44:49.962	39	14.9585	(680, 230)	(68, 23)	49
18:44:50.010	37	15.5	(685, 230)	(69, 23)	49
18:44:50.051	31	15.9004	(695, 230)	(70, 23)	49
18:44:50.085	33	16.4084	(705, 230)	(71, 23)	49
18:44:50.120	34	17.2967	(715, 230)	(72, 23)	49
18:44:50.162	37	17.555	(725, 230)	(73, 23)	49
18:44:50.205	46	17.843	(735, 230)	(74, 23)	49
18:44:50.260	38	18.3284	(749, 230)	(75, 23)	49
