BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.645554, -0.475982, 0.251161, 0.541854), Translationsvektor: ( -0.0583296, 0.0137825, 1.735).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:45:19.713	34	23.6317	(318, 226)	(32, 23)	49
18:45:19.755	34	23.6027	(325, 225)	(33, 23)	49
18:45:19.797	40	23.677	(335, 225)	(34, 23)	49
18:45:19.847	43	23.6628	(345, 225)	(35, 23)	49
18:45:19.896	38	23.5677	(357, 225)	(36, 23)	49
18:45:19.936	36	23.6769	(372, 225)	(37, 23)	49
18:45:19.978	34	23.6569	(375, 225)	(38, 23)	49
18:45:20.020	40	23.6363	(385, 225)	(39, 23)	49
18:45:20.069	41	23.6649	(395, 225)	(40, 23)	49
18:45:20.118	37	23.6714	(405, 225)	(41, 23)	49
18:45:20.158	33	23.6615	(415, 225)	(42, 23)	49
18:45:20.192	33	23.6529	(425, 225)	(43, 23)	49
18:45:20.227	46	23.6508	(435, 226)	(44, 23)	49
18:45:20.278	41	23.6427	(445, 226)	(45, 23)	49
18:45:20.327	38	23.5769	(455, 226)	(46, 23)	49
18:45:20.367	36	23.7102	(465, 227)	(47, 23)	49
18:45:20.409	35	23.6764	(475, 227)	(48, 23)	49
18:45:20.450	37	23.7541	(485, 228)	(49, 23)	49
18:45:20.492	39	23.6975	(495, 228)	(50, 23)	49
18:45:20.536	40	23.7145	(505, 229)	(51, 23)	49
18:45:20.582	38	23.7446	(515, 229)	(52, 23)	49
18:45:20.625	37	23.7147	(525, 229)	(53, 23)	49
18:45:20.666	38	23.7173	(535, 229)	(54, 23)	49
18:45:20.714	42	23.6858	(545, 229)	(55, 23)	49
18:45:20.767	39	23.6944	(555, 229)	(56, 23)	49
18:45:20.812	35	23.8261	(565, 229)	(57, 23)	49
18:45:20.854	33	23.7942	(575, 229)	(58, 23)	49
18:45:20.896	32	23.7664	(585, 229)	(59, 23)	49
18:45:20.930	33	23.7636	(596, 229)	(60, 23)	49
18:45:20.972	33	23.9034	(605, 230)	(61, 23)	49
18:45:21.013	35	24.2686	(615, 230)	(62, 23)	49
18:45:21.056	33	24.7924	(626, 230)	(63, 23)	49
18:45:21.097	38	25.0778	(635, 230)	(64, 23)	49
18:45:21.160	37	25.2588	(645, 230)	(65, 23)	49
18:45:21.204	35	25.4065	(655, 230)	(66, 23)	49
18:45:21.243	35	25.5649	(665, 230)	(67, 23)	49
18:45:21.284	38	25.5086	(680, 230)	(68, 23)	49
18:45:21.327	39	25.5559	(685, 230)	(69, 23)	49
18:45:21.376	41	25.6913	(695, 230)	(70, 23)	49
18:45:21.424	37	25.6701	(705, 230)	(71, 23)	49
18:45:21.465	42	25.7726	(715, 230)	(72, 23)	49
18:45:21.516	45	25.6679	(725, 230)	(73, 23)	49
18:45:21.571	41	25.6323	(735, 230)	(74, 23)	49
18:45:21.618	37	26.0031	(749, 230)	(75, 23)	49
18:45:21.659	36	25.9381	(756, 230)	(76, 23)	49
18:45:21.702	43	26.0244	(766, 230)	(77, 23)	49
18:45:21.756	42	26.2542	(775, 230)	(78, 23)	49
18:45:21.807	38	26.365	(785, 230)	(79, 23)	49
18:45:21.848	36	26.5453	(796, 229)	(80, 23)	49
18:45:21.889	37	26.5246	(805, 229)	(81, 23)	49
18:45:21.931	36	26.5567	(815, 229)	(82, 23)	49
18:45:21.973	36	26.8184	(825, 228)	(83, 23)	49
18:45:22.015	37	26.8994	(835, 228)	(84, 23)	49
18:45:22.057	35	27.0696	(845, 228)	(85, 23)	49
18:45:22.098	35	27.0987	(855, 228)	(86, 23)	49
18:45:22.140	37	27.2975	(865, 228)	(87, 23)	49
18:45:22.181	37	27.6618	(875, 228)	(88, 23)	49
18:45:22.224	37	27.6181	(885, 228)	(89, 23)	49
18:45:22.264	38	27.6431	(895, 228)	(90, 23)	49
18:45:22.307	36	27.8302	(905, 228)	(91, 23)	49
18:45:22.348	37	27.855	(915, 228)	(92, 23)	49
18:45:22.390	36	27.911	(925, 228)	(93, 23)	49
18:45:22.431	37	27.9933	(935, 228)	(94, 23)	49
18:45:22.475	46	28.143	(945, 227)	(95, 23)	49
18:45:22.530	48	28.2409	(957, 227)	(96, 23)	49
18:45:22.588	43	28.2561	(966, 227)	(97, 23)	49
18:45:22.634	42	28.4591	(975, 227)	(98, 23)	49
18:45:22.682	43	28.4764	(985, 227)	(99, 23)	49
18:45:22.731	42	28.6799	(995, 227)	(100, 23)	49
18:45:22.787	40	28.6609	(1005, 227)	(101, 23)	49
18:45:22.835	41	28.6744	(1015, 226)	(102, 23)	49
18:45:22.883	42	28.4883	(1025, 226)	(103, 23)	49
18:45:22.932	42	28.291	(1035, 226)	(104, 23)	49
18:45:22.982	43	28.3169	(1045, 225)	(105, 23)	49
18:45:23.031	43	28.3053	(1055, 225)	(106, 23)	49
18:45:23.078	38	28.5317	(1065, 225)	(107, 23)	49
18:45:23.119	39	28.2547	(1071, 224)	(107, 22)	49
18:45:23.161	46	28.3378	(1075, 224)	(108, 22)	49
18:45:23.219	40	28.3001	(1085, 224)	(109, 22)	49
18:45:23.266	39	28.2816	(1095, 224)	(110, 22)	49
18:45:23.308	38	28.3009	(1105, 224)	(111, 22)	49
18:45:23.351	48	28.3003	(1115, 224)	(112, 22)	49
18:45:23.408	46	28.1867	(1125, 224)	(113, 22)	49
18:45:23.463	42	28.0911	(1135, 224)	(114, 22)	49
18:45:23.509	40	28.1578	(1146, 223)	(115, 22)	49
18:45:23.558	40	28.1837	(1155, 223)	(116, 22)	49
18:45:23.607	42	28.2249	(1165, 223)	(117, 22)	49
18:45:23.657	47	28.0436	(1175, 223)	(118, 22)	49
18:45:23.712	39	28.0837	(1185, 223)	(119, 22)	49
18:45:23.753	39	28.0536	(1195, 223)	(120, 22)	49
18:45:23.803	46	28.2504	(1205, 223)	(121, 22)	49
18:45:23.857	50	28.1575	(1215, 223)	(122, 22)	49
18:45:23.913	40	28.251	(1225, 223)	(123, 22)	49
18:45:23.961	41	28.236	(1235, 223)	(124, 22)	49
18:45:24.013	42	28.1194	(1245, 223)	(125, 22)	49
18:45:24.059	42	28.1745	(1255, 223)	(126, 22)	49
18:45:24.108	44	27.8673	(1265, 224)	(127, 22)	49
18:45:24.156	40	27.8065	(1275, 224)	(128, 22)	49
18:45:24.205	41	27.7196	(1282, 225)	(128, 23)	49
18:45:24.253	41	27.7815	(1285, 225)	(129, 23)	49
18:45:24.303	39	27.6255	(1295, 226)	(130, 23)	49
18:45:24.352	40	27.6676	(1305, 226)	(131, 23)	49
18:45:24.399	41	27.4681	(1316, 228)	(132, 23)	49
18:45:24.450	39	27.4606	(1326, 228)	(133, 23)	49
18:45:24.497	38	27.2828	(1335, 228)	(134, 23)	49
18:45:24.538	40	27.2477	(1345, 229)	(135, 23)	49
18:45:24.586	37	27.1305	(1355, 230)	(136, 23)	49
18:45:24.628	41	27.0108	(1366, 230)	(137, 23)	49
18:45:24.680	39	27.0108	(1375, 230)	(138, 23)	49
18:45:24.728	38	26.9181	(1386, 231)	(139, 23)	49
18:45:24.769	38	26.8225	(1395, 231)	(140, 23)	49
18:45:24.810	36	26.6289	(1405, 232)	(141, 23)	49
18:45:24.851	35	26.54	(1415, 232)	(142, 23)	49
