BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.645554, -0.475982, 0.251161, 0.541854), Translationsvektor: ( -0.0583296, 0.0137825, 1.735).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:43:53.563	76	67.6104	(-1, -1)	(-1, -1)	49
18:43:53.644	74	67.7016	(-1, -1)	(-1, -1)	49
18:43:53.729	79	67.5496	(-1, -1)	(-1, -1)	49
18:43:53.820	75	67.5449	(-1, -1)	(-1, -1)	49
18:43:53.901	75	67.6336	(-1, -1)	(-1, -1)	49
18:43:53.986	79	67.5273	(-1, -1)	(-1, -1)	49
18:43:54.068	75	67.6588	(-1, -1)	(-1, -1)	49
18:43:54.146	76	67.5557	(-1, -1)	(-1, -1)	49
18:43:54.246	75	67.5364	(-1, -1)	(-1, -1)	49
18:43:54.327	76	67.5532	(-1, -1)	(-1, -1)	49
18:43:54.451	76	67.5458	(-1, -1)	(-1, -1)	49
18:43:54.581	80	67.5579	(-1, -1)	(-1, -1)	49
18:43:54.666	74	67.6499	(-1, -1)	(-1, -1)	49
18:43:54.742	74	67.6107	(-1, -1)	(-1, -1)	49
18:43:54.820	79	67.563	(-1, -1)	(-1, -1)	49
18:43:54.904	80	67.5037	(-1, -1)	(-1, -1)	49
18:43:54.996	74	67.5427	(-1, -1)	(-1, -1)	49
18:43:55.077	75	67.6407	(-1, -1)	(-1, -1)	49
18:43:55.235	76	67.5458	(-1, -1)	(-1, -1)	49
18:43:55.321	78	67.5167	(-1, -1)	(-1, -1)	49
18:43:55.406	79	67.5517	(-1, -1)	(-1, -1)	49
18:43:55.495	79	67.5514	(-1, -1)	(-1, -1)	49
18:43:55.577	76	67.6527	(-1, -1)	(-1, -1)	49
18:43:55.661	80	67.527	(-1, -1)	(-1, -1)	49
18:43:55.743	75	67.625	(-1, -1)	(-1, -1)	49
18:43:55.828	80	67.5585	(-1, -1)	(-1, -1)	49
18:43:55.912	79	67.5342	(-1, -1)	(-1, -1)	49
18:43:55.995	80	67.5281	(-1, -1)	(-1, -1)	49
18:43:56.086	79	67.5579	(-1, -1)	(-1, -1)	49
18:43:56.168	74	67.6151	(-1, -1)	(-1, -1)	49
18:43:56.253	78	67.547	(-1, -1)	(-1, -1)	49
18:43:56.343	80	67.5684	(-1, -1)	(-1, -1)	49
18:43:56.426	77	67.5689	(-1, -1)	(-1, -1)	49
18:43:56.510	78	67.5207	(-1, -1)	(-1, -1)	49
18:43:56.592	77	67.5381	(-1, -1)	(-1, -1)	49
18:43:56.677	79	67.5231	(-1, -1)	(-1, -1)	49
18:43:56.761	75	67.5163	(-1, -1)	(-1, -1)	49
18:43:56.849	76	67.5465	(-1, -1)	(-1, -1)	49
18:43:56.934	79	67.5627	(-1, -1)	(-1, -1)	49
18:43:57.015	78	67.617	(-1, -1)	(-1, -1)	49
18:43:57.101	80	67.5492	(-1, -1)	(-1, -1)	49
18:43:57.190	75	67.5616	(-1, -1)	(-1, -1)	49
18:43:57.274	80	67.5231	(-1, -1)	(-1, -1)	49
18:43:57.365	79	67.5437	(-1, -1)	(-1, -1)	49
18:43:57.447	77	67.5461	(-1, -1)	(-1, -1)	49
18:43:57.532	80	67.5474	(-1, -1)	(-1, -1)	49
18:43:57.622	79	67.5433	(-1, -1)	(-1, -1)	49
18:43:57.709	80	67.5927	(-1, -1)	(-1, -1)	49
18:43:57.796	80	67.5994	(-1, -1)	(-1, -1)	49
18:43:57.878	77	67.5516	(-1, -1)	(-1, -1)	49
18:43:57.963	79	67.5244	(-1, -1)	(-1, -1)	49
18:43:58.047	77	67.5767	(-1, -1)	(-1, -1)	49
18:43:58.131	79	67.5604	(-1, -1)	(-1, -1)	49
18:43:58.220	80	67.5855	(-1, -1)	(-1, -1)	49
18:43:58.311	80	67.599	(-1, -1)	(-1, -1)	49
18:43:58.400	80	67.5443	(-1, -1)	(-1, -1)	49
