BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.270292, -0.458031, -0.746773, 0.399332), Translationsvektor: ( -0.0583296, 0.0137825, 2.035).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:47:36.797	19	3.956	(318, 226)	(32, 23)	49
18:47:36.829	18	4.03318	(325, 225)	(33, 23)	49
18:47:36.850	19	4.09467	(335, 225)	(34, 23)	49
18:47:36.871	18	4.15778	(345, 225)	(35, 23)	49
18:47:36.891	19	4.25719	(357, 225)	(36, 23)	49
18:47:36.913	18	4.30696	(372, 225)	(37, 23)	49
18:47:36.934	18	4.32489	(375, 225)	(38, 23)	49
18:47:36.954	18	4.38148	(385, 225)	(39, 23)	49
18:47:36.975	18	4.41082	(395, 225)	(40, 23)	49
18:47:36.996	18	4.50785	(405, 225)	(41, 23)	49
18:47:37.017	21	4.53881	(415, 225)	(42, 23)	49
18:47:37.045	22	4.70118	(425, 225)	(43, 23)	49
18:47:37.073	23	4.69363	(435, 226)	(44, 23)	49
18:47:37.101	24	4.69348	(445, 226)	(45, 23)	49
18:47:37.129	24	4.76607	(455, 226)	(46, 23)	49
18:47:37.157	22	4.85111	(465, 227)	(47, 23)	49
18:47:37.183	20	5.01156	(475, 227)	(48, 23)	49
18:47:37.204	21	5.14444	(485, 228)	(49, 23)	49
18:47:37.233	19	5.22889	(495, 228)	(50, 23)	49
18:47:37.254	20	5.36385	(505, 229)	(51, 23)	49
18:47:37.281	24	5.50815	(515, 229)	(52, 23)	49
18:47:37.309	27	5.62415	(525, 229)	(53, 23)	49
18:47:37.345	27	5.81363	(535, 229)	(54, 23)	49
18:47:37.380	27	5.99081	(545, 229)	(55, 23)	49
18:47:37.415	25	6.13911	(555, 229)	(56, 23)	49
18:47:37.448	28	6.25837	(565, 229)	(57, 23)	49
18:47:37.484	27	6.38593	(575, 229)	(58, 23)	49
18:47:37.518	28	6.53215	(585, 229)	(59, 23)	49
18:47:37.554	27	6.75778	(596, 229)	(60, 23)	49
18:47:37.589	24	6.8523	(605, 230)	(61, 23)	49
18:47:37.615	22	6.97808	(615, 230)	(62, 23)	49
18:47:37.643	22	7.16622	(626, 230)	(63, 23)	49
18:47:37.671	22	7.33674	(635, 230)	(64, 23)	49
18:47:37.698	24	7.4643	(645, 230)	(65, 23)	49
18:47:37.727	23	7.59318	(655, 230)	(66, 23)	49
18:47:37.754	24	7.76089	(665, 230)	(67, 23)	49
