BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.270292, -0.458031, -0.746773, 0.399332), Translationsvektor: ( -0.0583296, 0.0137825, 2.035).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:48:00.675	19	8.35393	(318, 226)	(32, 23)	49
18:48:00.701	18	8.31541	(325, 225)	(33, 23)	49
18:48:00.722	17	8.37822	(335, 225)	(34, 23)	49
18:48:00.743	17	8.37156	(345, 225)	(35, 23)	49
18:48:00.764	18	8.42444	(357, 225)	(36, 23)	49
18:48:00.785	17	8.52993	(372, 225)	(37, 23)	49
18:48:00.805	18	8.52119	(375, 225)	(38, 23)	49
18:48:00.826	19	8.60593	(385, 225)	(39, 23)	49
18:48:00.848	18	8.52045	(395, 225)	(40, 23)	49
18:48:00.868	18	8.48607	(405, 225)	(41, 23)	49
18:48:00.889	21	8.44815	(415, 225)	(42, 23)	49
18:48:00.918	22	8.56607	(425, 225)	(43, 23)	49
18:48:00.946	21	8.52622	(435, 226)	(44, 23)	49
18:48:00.973	22	8.50978	(445, 226)	(45, 23)	49
18:48:01.003	21	8.54356	(455, 226)	(46, 23)	49
18:48:01.029	22	8.75822	(465, 227)	(47, 23)	49
18:48:01.057	23	8.70682	(475, 227)	(48, 23)	49
18:48:01.085	19	8.70726	(485, 228)	(49, 23)	49
18:48:01.105	20	8.81289	(495, 228)	(50, 23)	49
18:48:01.133	21	8.816	(505, 229)	(51, 23)	49
18:48:01.161	21	8.92341	(515, 229)	(52, 23)	49
18:48:01.189	22	8.88667	(525, 229)	(53, 23)	49
18:48:01.217	21	8.86	(535, 229)	(54, 23)	49
18:48:01.245	22	8.95556	(545, 229)	(55, 23)	49
18:48:01.273	22	9.09378	(555, 229)	(56, 23)	49
18:48:01.300	21	8.92311	(565, 229)	(57, 23)	49
18:48:01.328	21	9.03407	(575, 229)	(58, 23)	49
18:48:01.356	22	9.14741	(585, 229)	(59, 23)	49
18:48:01.384	22	9.12444	(596, 229)	(60, 23)	49
18:48:01.412	22	9.20904	(605, 230)	(61, 23)	49
18:48:01.439	19	9.10696	(615, 230)	(62, 23)	49
18:48:01.466	20	9.19926	(626, 230)	(63, 23)	49
18:48:01.494	19	9.34415	(635, 230)	(64, 23)	49
18:48:01.515	20	9.18311	(645, 230)	(65, 23)	49
18:48:01.543	20	9.30444	(655, 230)	(66, 23)	49
18:48:01.571	24	9.34193	(665, 230)	(67, 23)	49
18:48:01.599	24	9.36222	(680, 230)	(68, 23)	49
18:48:01.627	24	9.51467	(685, 230)	(69, 23)	49
18:48:01.655	24	9.60711	(695, 230)	(70, 23)	49
