BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.270292, -0.458031, -0.746773, 0.399332), Translationsvektor: ( -0.0583296, 0.0137825, 2.035).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:47:12.835	28	20.7573	(-1, -1)	(-1, -1)	49
18:47:12.867	26	20.784	(-1, -1)	(-1, -1)	49
18:47:12.903	31	20.7373	(-1, -1)	(-1, -1)	49
18:47:12.938	29	20.7347	(-1, -1)	(-1, -1)	49
18:47:12.972	31	20.7524	(-1, -1)	(-1, -1)	49
18:47:13.006	30	20.7428	(-1, -1)	(-1, -1)	49
18:47:13.041	30	20.7159	(-1, -1)	(-1, -1)	49
18:47:13.077	29	20.7489	(-1, -1)	(-1, -1)	49
18:47:13.111	29	20.6988	(-1, -1)	(-1, -1)	49
18:47:13.146	27	20.8199	(-1, -1)	(-1, -1)	49
18:47:13.180	28	20.8265	(-1, -1)	(-1, -1)	49
18:47:13.220	29	20.7222	(-1, -1)	(-1, -1)	49
18:47:13.258	29	20.7431	(-1, -1)	(-1, -1)	49
18:47:13.292	27	20.7397	(-1, -1)	(-1, -1)	49
18:47:13.327	26	20.7858	(-1, -1)	(-1, -1)	49
18:47:13.361	26	20.8079	(-1, -1)	(-1, -1)	49
18:47:13.395	28	20.7914	(-1, -1)	(-1, -1)	49
18:47:13.431	27	20.7938	(-1, -1)	(-1, -1)	49
18:47:13.467	30	20.7427	(-1, -1)	(-1, -1)	49
18:47:13.501	27	20.7991	(-1, -1)	(-1, -1)	49
18:47:13.535	27	20.7677	(-1, -1)	(-1, -1)	49
18:47:13.570	29	20.7788	(-1, -1)	(-1, -1)	49
18:47:13.606	28	20.7212	(-1, -1)	(-1, -1)	49
18:47:13.639	30	20.7664	(-1, -1)	(-1, -1)	49
18:47:13.676	32	20.6856	(-1, -1)	(-1, -1)	49
18:47:13.716	28	20.7203	(-1, -1)	(-1, -1)	49
18:47:13.751	30	20.7564	(-1, -1)	(-1, -1)	49
18:47:13.786	29	20.7145	(-1, -1)	(-1, -1)	49
18:47:13.820	31	20.7092	(-1, -1)	(-1, -1)	49
18:47:13.855	29	20.704	(-1, -1)	(-1, -1)	49
18:47:13.890	29	20.7425	(-1, -1)	(-1, -1)	49
18:47:13.924	30	20.781	(-1, -1)	(-1, -1)	49
18:47:13.960	32	20.7283	(-1, -1)	(-1, -1)	49
18:47:14.001	33	20.7698	(-1, -1)	(-1, -1)	49
18:47:14.043	33	20.7221	(-1, -1)	(-1, -1)	49
18:47:14.085	34	20.7747	(-1, -1)	(-1, -1)	49
18:47:14.126	29	20.7361	(-1, -1)	(-1, -1)	49
18:47:14.161	26	20.861	(-1, -1)	(-1, -1)	49
18:47:14.195	33	20.7556	(-1, -1)	(-1, -1)	49
18:47:14.237	31	20.7901	(-1, -1)	(-1, -1)	49
18:47:14.272	31	20.7495	(-1, -1)	(-1, -1)	49
18:47:14.308	31	20.7013	(-1, -1)	(-1, -1)	49
18:47:14.349	28	20.723	(-1, -1)	(-1, -1)	49
18:47:14.382	30	20.7668	(-1, -1)	(-1, -1)	49
18:47:14.419	32	20.709	(-1, -1)	(-1, -1)	49
18:47:14.460	33	20.7735	(-1, -1)	(-1, -1)	49
18:47:14.502	34	20.7124	(-1, -1)	(-1, -1)	49
18:47:14.544	31	20.7413	(-1, -1)	(-1, -1)	49
18:47:14.577	28	20.7877	(-1, -1)	(-1, -1)	49
18:47:14.618	31	20.7753	(-1, -1)	(-1, -1)	49
18:47:14.657	32	20.741	(-1, -1)	(-1, -1)	49
18:47:14.697	32	20.7724	(-1, -1)	(-1, -1)	49
18:47:14.737	30	20.7713	(-1, -1)	(-1, -1)	49
18:47:14.771	27	20.7913	(-1, -1)	(-1, -1)	49
18:47:14.806	26	20.7932	(-1, -1)	(-1, -1)	49
18:47:14.834	26	20.7844	(-1, -1)	(-1, -1)	49
18:47:14.868	29	20.8099	(-1, -1)	(-1, -1)	49
18:47:14.907	33	20.7834	(-1, -1)	(-1, -1)	49
18:47:14.948	32	20.7647	(-1, -1)	(-1, -1)	49
18:47:14.987	29	20.7237	(-1, -1)	(-1, -1)	49
18:47:15.022	26	20.7881	(-1, -1)	(-1, -1)	49
18:47:15.056	28	20.7833	(-1, -1)	(-1, -1)	49
18:47:15.092	32	20.7406	(-1, -1)	(-1, -1)	49
18:47:15.135	30	20.7335	(-1, -1)	(-1, -1)	49
18:47:15.169	31	20.7167	(-1, -1)	(-1, -1)	49
18:47:15.203	29	20.7584	(-1, -1)	(-1, -1)	49
18:47:15.238	29	20.7769	(-1, -1)	(-1, -1)	49
18:47:15.273	28	20.7436	(-1, -1)	(-1, -1)	49
18:47:15.309	34	20.7519	(-1, -1)	(-1, -1)	49
18:47:15.351	31	20.7919	(-1, -1)	(-1, -1)	49
18:47:15.391	30	20.7327	(-1, -1)	(-1, -1)	49
18:47:15.426	29	20.7727	(-1, -1)	(-1, -1)	49
18:47:15.463	29	20.7803	(-1, -1)	(-1, -1)	49
18:47:15.496	28	20.7695	(-1, -1)	(-1, -1)	49
18:47:15.530	30	20.7262	(-1, -1)	(-1, -1)	49
18:47:15.567	29	20.708	(-1, -1)	(-1, -1)	49
18:47:15.603	30	20.7028	(-1, -1)	(-1, -1)	49
18:47:15.642	30	20.7369	(-1, -1)	(-1, -1)	49
18:47:15.678	33	20.7637	(-1, -1)	(-1, -1)	49
18:47:15.722	33	20.7582	(-1, -1)	(-1, -1)	49
18:47:15.764	32	20.7987	(-1, -1)	(-1, -1)	49
18:47:15.802	29	20.7351	(-1, -1)	(-1, -1)	49
18:47:15.837	29	20.7753	(-1, -1)	(-1, -1)	49
18:47:15.872	30	20.7286	(-1, -1)	(-1, -1)	49
18:47:15.906	29	20.7129	(-1, -1)	(-1, -1)	49
18:47:15.943	29	20.757	(-1, -1)	(-1, -1)	49
18:47:15.975	29	20.7588	(-1, -1)	(-1, -1)	49
18:47:16.011	29	20.7224	(-1, -1)	(-1, -1)	49
18:47:16.045	29	20.7222	(-1, -1)	(-1, -1)	49
18:47:16.080	29	20.7754	(-1, -1)	(-1, -1)	49
18:47:16.114	29	20.7526	(-1, -1)	(-1, -1)	49
18:47:16.150	29	20.7357	(-1, -1)	(-1, -1)	49
18:47:16.185	29	20.7317	(-1, -1)	(-1, -1)	49
18:47:16.219	29	20.7748	(-1, -1)	(-1, -1)	49
18:47:16.252	28	20.827	(-1, -1)	(-1, -1)	49
18:47:16.288	27	20.8539	(-1, -1)	(-1, -1)	49
18:47:16.324	28	20.7536	(-1, -1)	(-1, -1)	49
18:47:16.358	30	20.8055	(-1, -1)	(-1, -1)	49
18:47:16.393	30	20.7699	(-1, -1)	(-1, -1)	49
18:47:16.427	27	20.7505	(-1, -1)	(-1, -1)	49
18:47:16.461	26	20.7726	(-1, -1)	(-1, -1)	49
18:47:16.489	27	20.7877	(-1, -1)	(-1, -1)	49
18:47:16.525	31	20.7717	(-1, -1)	(-1, -1)	49
18:47:16.568	32	20.7231	(-1, -1)	(-1, -1)	49
18:47:16.609	32	20.7196	(-1, -1)	(-1, -1)	49
18:47:16.651	28	20.7881	(-1, -1)	(-1, -1)	49
18:47:16.683	27	20.7889	(-1, -1)	(-1, -1)	49
18:47:16.718	29	20.7404	(-1, -1)	(-1, -1)	49
18:47:16.755	30	20.7428	(-1, -1)	(-1, -1)	49
18:47:16.789	33	20.7735	(-1, -1)	(-1, -1)	49
18:47:16.831	32	20.7769	(-1, -1)	(-1, -1)	49
18:47:16.871	27	20.8133	(-1, -1)	(-1, -1)	49
18:47:16.906	29	20.8944	(-1, -1)	(-1, -1)	49
