BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.217516, -0.551942, -0.794132, 0.13185), Translationsvektor: ( -0.0583296, 0.0137825, 2.035).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:53:38.336	28	16.9421	(318, 226)	(32, 23)	49
18:53:38.369	33	16.9227	(325, 225)	(33, 23)	49
18:53:38.411	30	16.9018	(335, 225)	(34, 23)	49
18:53:38.446	33	16.9259	(345, 225)	(35, 23)	49
18:53:38.488	30	16.9123	(357, 225)	(36, 23)	49
18:53:38.522	30	16.9692	(372, 225)	(37, 23)	49
18:53:38.557	31	17.0099	(375, 225)	(38, 23)	49
18:53:38.592	28	16.9233	(385, 225)	(39, 23)	49
18:53:38.626	27	16.9436	(395, 225)	(40, 23)	49
18:53:38.661	25	17.0844	(405, 225)	(41, 23)	49
18:53:38.688	30	17.0692	(415, 225)	(42, 23)	49
18:53:38.724	31	17.291	(425, 225)	(43, 23)	49
18:53:38.758	33	17.4846	(435, 226)	(44, 23)	49
18:53:38.794	31	17.4513	(445, 226)	(45, 23)	49
18:53:38.828	27	17.5496	(455, 226)	(46, 23)	49
18:53:38.862	28	17.5521	(465, 227)	(47, 23)	49
18:53:38.897	30	17.5437	(475, 227)	(48, 23)	49
18:53:38.933	31	17.5803	(485, 228)	(49, 23)	49
18:53:38.967	33	17.7221	(495, 228)	(50, 23)	49
18:53:39.009	32	17.7708	(505, 229)	(51, 23)	49
18:53:39.044	30	17.7959	(515, 229)	(52, 23)	49
18:53:39.078	29	17.8187	(525, 229)	(53, 23)	49
18:53:39.113	29	17.9378	(535, 229)	(54, 23)	49
18:53:39.147	30	18.1367	(545, 229)	(55, 23)	49
18:53:39.182	30	18.0244	(555, 229)	(56, 23)	49
18:53:39.216	29	18.181	(565, 229)	(57, 23)	49
18:53:39.251	31	18.1505	(575, 229)	(58, 23)	49
18:53:39.287	30	18.2271	(585, 229)	(59, 23)	49
