BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.217516, -0.551942, -0.794132, 0.13185), Translationsvektor: ( -0.0583296, 0.0137825, 2.035).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:52:21.735	56	47.1644	(-1, -1)	(-1, -1)	49
18:52:21.796	55	47.0239	(-1, -1)	(-1, -1)	49
18:52:21.857	55	47.1265	(-1, -1)	(-1, -1)	49
18:52:21.921	60	47.0547	(-1, -1)	(-1, -1)	49
18:52:21.991	57	46.9996	(-1, -1)	(-1, -1)	49
18:52:22.054	59	47.1141	(-1, -1)	(-1, -1)	49
18:52:22.123	61	47.0713	(-1, -1)	(-1, -1)	49
18:52:22.193	57	47.0834	(-1, -1)	(-1, -1)	49
18:52:22.254	56	47.1505	(-1, -1)	(-1, -1)	49
18:52:22.319	59	47.0677	(-1, -1)	(-1, -1)	49
18:52:22.388	57	47.0941	(-1, -1)	(-1, -1)	49
18:52:22.448	55	47.0865	(-1, -1)	(-1, -1)	49
18:52:22.512	60	47.065	(-1, -1)	(-1, -1)	49
18:52:22.584	58	47.0459	(-1, -1)	(-1, -1)	49
18:52:22.651	53	47.1016	(-1, -1)	(-1, -1)	49
18:52:22.706	54	47.1929	(-1, -1)	(-1, -1)	49
18:52:22.770	59	47.0548	(-1, -1)	(-1, -1)	49
18:52:22.840	58	47.0043	(-1, -1)	(-1, -1)	49
18:52:22.900	56	47.1551	(-1, -1)	(-1, -1)	49
18:52:22.964	59	47.0486	(-1, -1)	(-1, -1)	49
18:52:23.028	58	47.1227	(-1, -1)	(-1, -1)	49
18:52:23.089	55	47.1416	(-1, -1)	(-1, -1)	49
18:52:23.152	60	47.0593	(-1, -1)	(-1, -1)	49
18:52:23.222	59	47.0641	(-1, -1)	(-1, -1)	49
18:52:23.284	54	47.0479	(-1, -1)	(-1, -1)	49
18:52:23.347	59	47.1079	(-1, -1)	(-1, -1)	49
18:52:23.416	60	47.0538	(-1, -1)	(-1, -1)	49
18:52:23.486	59	47.0649	(-1, -1)	(-1, -1)	49
18:52:23.548	56	47.0547	(-1, -1)	(-1, -1)	49
18:52:23.611	57	47.0767	(-1, -1)	(-1, -1)	49
18:52:23.676	60	47.0687	(-1, -1)	(-1, -1)	49
18:52:23.742	56	47.0787	(-1, -1)	(-1, -1)	49
18:52:23.806	59	47.0418	(-1, -1)	(-1, -1)	49
18:52:23.875	60	47.1196	(-1, -1)	(-1, -1)	49
