BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.118211, -0.32703, -0.289435, 0.891787), Translationsvektor: ( 0.0238621, -0.133231, 2.11).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:58:05.007	20	5.71422	(318, 226)	(32, 23)	49
18:58:05.031	21	5.77822	(325, 225)	(33, 23)	49
18:58:05.058	21	5.9123	(335, 225)	(34, 23)	49
18:58:05.086	21	5.98444	(345, 225)	(35, 23)	49
18:58:05.114	20	6.10593	(357, 225)	(36, 23)	49
18:58:05.141	21	6.244	(372, 225)	(37, 23)	49
18:58:05.169	29	6.31437	(375, 225)	(38, 23)	49
18:58:05.204	22	6.45467	(385, 225)	(39, 23)	49
18:58:05.232	22	6.6837	(395, 225)	(40, 23)	49
18:58:05.260	22	6.83793	(405, 225)	(41, 23)	49
18:58:05.289	30	7.05733	(415, 225)	(42, 23)	49
18:58:05.323	32	7.26296	(425, 225)	(43, 23)	49
18:58:05.366	24	7.50711	(435, 226)	(44, 23)	49
18:58:05.398	24	7.82726	(445, 226)	(45, 23)	49
18:58:05.426	24	8.02133	(455, 226)	(46, 23)	49
18:58:05.454	25	8.21215	(465, 227)	(47, 23)	49
18:58:05.482	25	8.35393	(475, 227)	(48, 23)	49
18:58:05.510	24	8.60356	(485, 228)	(49, 23)	49
18:58:05.538	25	8.92963	(495, 228)	(50, 23)	49
18:58:05.566	25	9.0037	(505, 229)	(51, 23)	49
18:58:05.593	26	9.13496	(515, 229)	(52, 23)	49
18:58:05.622	25	9.44237	(525, 229)	(53, 23)	49
18:58:05.649	31	9.51289	(535, 229)	(54, 23)	49
18:58:05.684	25	9.74504	(545, 229)	(55, 23)	49
18:58:05.711	26	9.97274	(555, 229)	(56, 23)	49
18:58:05.739	26	10.1627	(565, 229)	(57, 23)	49
18:58:05.775	27	10.3862	(575, 229)	(58, 23)	49
18:58:05.810	29	10.66	(585, 229)	(59, 23)	49
18:58:05.845	26	11.0013	(596, 229)	(60, 23)	49
18:58:05.881	25	11.0296	(605, 230)	(61, 23)	49
18:58:05.914	25	11.2412	(615, 230)	(62, 23)	49
18:58:05.942	25	11.4249	(626, 230)	(63, 23)	49
18:58:05.969	25	11.565	(635, 230)	(64, 23)	49
18:58:05.997	25	11.7298	(645, 230)	(65, 23)	49
18:58:06.025	26	11.8769	(655, 230)	(66, 23)	49
18:58:06.053	25	11.9916	(665, 230)	(67, 23)	49
18:58:06.080	26	12.2815	(680, 230)	(68, 23)	49
18:58:06.108	26	12.4203	(685, 230)	(69, 23)	49
18:58:06.136	26	12.6157	(695, 230)	(70, 23)	49
18:58:06.164	26	12.7102	(705, 230)	(71, 23)	49
18:58:06.199	27	12.8533	(715, 230)	(72, 23)	49
18:58:06.233	27	13.0041	(725, 230)	(73, 23)	49
18:58:06.268	27	13.2184	(735, 230)	(74, 23)	49
18:58:06.304	33	13.3407	(749, 230)	(75, 23)	49
18:58:06.345	34	13.5636	(756, 230)	(76, 23)	49
18:58:06.386	33	13.4062	(766, 230)	(77, 23)	49
18:58:06.427	29	13.4812	(775, 230)	(78, 23)	49
18:58:06.462	33	13.5369	(785, 230)	(79, 23)	49
18:58:06.505	34	13.4972	(796, 229)	(80, 23)	49
18:58:06.547	34	13.4502	(805, 229)	(81, 23)	49
18:58:06.588	36	13.5864	(815, 229)	(82, 23)	49
18:58:06.630	29	13.5874	(825, 228)	(83, 23)	49
18:58:06.664	28	13.6344	(835, 228)	(84, 23)	49
18:58:06.698	29	13.7127	(845, 228)	(85, 23)	49
18:58:06.733	38	13.8698	(855, 228)	(86, 23)	49
18:58:06.777	37	13.9262	(865, 228)	(87, 23)	49
18:58:06.818	31	14.1071	(875, 228)	(88, 23)	49
18:58:06.852	30	14.2135	(885, 228)	(89, 23)	49
18:58:06.887	27	14.2095	(895, 228)	(90, 23)	49
18:58:06.921	31	14.1818	(905, 228)	(91, 23)	49
18:58:06.958	34	14.3541	(915, 228)	(92, 23)	49
18:58:06.998	32	14.5536	(925, 228)	(93, 23)	49
18:58:07.033	34	14.2424	(935, 228)	(94, 23)	49
18:58:07.075	33	14.2561	(945, 227)	(95, 23)	49
18:58:07.116	35	14.156	(957, 227)	(96, 23)	49
18:58:07.158	33	14.143	(966, 227)	(97, 23)	49
18:58:07.199	34	14.0403	(975, 227)	(98, 23)	49
