BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.118211, -0.32703, -0.289435, 0.891787), Translationsvektor: ( 0.0238621, -0.133231, 2.11).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:58:30.153	22	10.4467	(318, 226)	(32, 23)	49
18:58:30.182	22	10.3959	(325, 225)	(33, 23)	49
18:58:30.210	21	10.4044	(335, 225)	(34, 23)	49
18:58:30.237	28	10.4404	(345, 225)	(35, 23)	49
18:58:30.274	30	10.4354	(357, 225)	(36, 23)	49
18:58:30.307	22	10.5104	(372, 225)	(37, 23)	49
18:58:30.334	21	10.4898	(375, 225)	(38, 23)	49
18:58:30.362	24	10.5659	(385, 225)	(39, 23)	49
18:58:30.391	20	10.5551	(395, 225)	(40, 23)	49
18:58:30.418	19	10.5698	(405, 225)	(41, 23)	49
18:58:30.445	24	10.537	(415, 225)	(42, 23)	49
18:58:30.474	26	10.6393	(425, 225)	(43, 23)	49
18:58:30.510	26	10.8619	(435, 226)	(44, 23)	49
18:58:30.543	22	11.1342	(445, 226)	(45, 23)	49
18:58:30.571	31	11.3101	(455, 226)	(46, 23)	49
18:58:30.608	30	11.5049	(465, 227)	(47, 23)	49
18:58:30.649	30	11.5584	(475, 227)	(48, 23)	49
18:58:30.684	27	11.5987	(485, 228)	(49, 23)	49
18:58:30.717	24	11.781	(495, 228)	(50, 23)	49
18:58:30.745	20	11.7674	(505, 229)	(51, 23)	49
18:58:30.772	21	11.8456	(515, 229)	(52, 23)	49
18:58:30.800	24	11.8557	(525, 229)	(53, 23)	49
18:58:30.829	26	11.9279	(535, 229)	(54, 23)	49
18:58:30.864	27	12.1524	(545, 229)	(55, 23)	49
18:58:30.898	27	12.0502	(555, 229)	(56, 23)	49
18:58:30.933	32	12.1173	(565, 229)	(57, 23)	49
18:58:30.967	22	12.1886	(575, 229)	(58, 23)	49
18:58:30.995	21	12.3736	(585, 229)	(59, 23)	49
18:58:31.022	22	12.2387	(596, 229)	(60, 23)	49
18:58:31.051	28	12.4156	(605, 230)	(61, 23)	49
18:58:31.087	29	12.349	(615, 230)	(62, 23)	49
18:58:31.121	27	12.3803	(626, 230)	(63, 23)	49
18:58:31.155	23	12.3754	(635, 230)	(64, 23)	49
18:58:31.182	23	12.5363	(645, 230)	(65, 23)	49
18:58:31.211	23	12.4696	(655, 230)	(66, 23)	49
