BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.118211, -0.32703, -0.289435, 0.891787), Translationsvektor: ( 0.0238621, -0.133231, 2.11).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:57:36.852	34	28.4523	(-1, -1)	(-1, -1)	49
18:57:36.889	34	28.4616	(-1, -1)	(-1, -1)	49
18:57:36.924	35	28.4907	(-1, -1)	(-1, -1)	49
18:57:36.967	41	28.3687	(-1, -1)	(-1, -1)	49
18:57:37.016	36	28.4064	(-1, -1)	(-1, -1)	49
18:57:37.056	35	28.4899	(-1, -1)	(-1, -1)	49
18:57:37.098	35	28.4456	(-1, -1)	(-1, -1)	49
18:57:37.140	41	28.3972	(-1, -1)	(-1, -1)	49
18:57:37.190	41	28.3967	(-1, -1)	(-1, -1)	49
18:57:37.238	36	28.4625	(-1, -1)	(-1, -1)	49
18:57:37.279	36	28.4102	(-1, -1)	(-1, -1)	49
18:57:37.321	41	28.3945	(-1, -1)	(-1, -1)	49
18:57:37.371	40	28.4016	(-1, -1)	(-1, -1)	49
18:57:37.420	39	28.4203	(-1, -1)	(-1, -1)	49
18:57:37.467	37	28.3929	(-1, -1)	(-1, -1)	49
18:57:37.511	40	28.365	(-1, -1)	(-1, -1)	49
18:57:37.558	41	28.3827	(-1, -1)	(-1, -1)	49
18:57:37.608	41	28.4364	(-1, -1)	(-1, -1)	49
18:57:37.655	37	28.4404	(-1, -1)	(-1, -1)	49
18:57:37.697	37	28.4274	(-1, -1)	(-1, -1)	49
18:57:37.740	40	28.389	(-1, -1)	(-1, -1)	49
18:57:37.788	40	28.412	(-1, -1)	(-1, -1)	49
18:57:37.837	39	28.3652	(-1, -1)	(-1, -1)	49
18:57:37.884	36	28.4991	(-1, -1)	(-1, -1)	49
18:57:37.925	36	28.4381	(-1, -1)	(-1, -1)	49
18:57:37.969	40	28.352	(-1, -1)	(-1, -1)	49
18:57:38.018	39	28.4204	(-1, -1)	(-1, -1)	49
18:57:38.068	38	28.3467	(-1, -1)	(-1, -1)	49
18:57:38.115	37	28.4369	(-1, -1)	(-1, -1)	49
18:57:38.156	37	28.4281	(-1, -1)	(-1, -1)	49
18:57:38.198	40	28.3862	(-1, -1)	(-1, -1)	49
18:57:38.248	39	28.4215	(-1, -1)	(-1, -1)	49
18:57:38.294	36	28.4175	(-1, -1)	(-1, -1)	49
18:57:38.336	37	28.4021	(-1, -1)	(-1, -1)	49
18:57:38.379	39	28.3919	(-1, -1)	(-1, -1)	49
18:57:38.428	40	28.4363	(-1, -1)	(-1, -1)	49
18:57:38.476	38	28.3807	(-1, -1)	(-1, -1)	49
18:57:38.516	35	28.5022	(-1, -1)	(-1, -1)	49
18:57:38.558	35	28.5228	(-1, -1)	(-1, -1)	49
18:57:38.599	36	28.4873	(-1, -1)	(-1, -1)	49
18:57:38.644	40	28.3748	(-1, -1)	(-1, -1)	49
18:57:38.693	39	28.3898	(-1, -1)	(-1, -1)	49
18:57:38.739	36	28.4526	(-1, -1)	(-1, -1)	49
18:57:38.782	41	28.4542	(-1, -1)	(-1, -1)	49
18:57:38.832	39	28.3991	(-1, -1)	(-1, -1)	49
18:57:38.879	41	28.4234	(-1, -1)	(-1, -1)	49
18:57:38.927	36	28.4027	(-1, -1)	(-1, -1)	49
18:57:38.968	36	28.4216	(-1, -1)	(-1, -1)	49
18:57:39.012	40	28.4636	(-1, -1)	(-1, -1)	49
18:57:39.061	40	28.3858	(-1, -1)	(-1, -1)	49
18:57:39.110	40	28.4138	(-1, -1)	(-1, -1)	49
18:57:39.156	35	28.4804	(-1, -1)	(-1, -1)	49
18:57:39.197	38	28.3902	(-1, -1)	(-1, -1)	49
18:57:39.241	40	28.357	(-1, -1)	(-1, -1)	49
18:57:39.290	41	28.3828	(-1, -1)	(-1, -1)	49
18:57:39.338	40	28.408	(-1, -1)	(-1, -1)	49
18:57:39.386	36	28.5079	(-1, -1)	(-1, -1)	49
18:57:39.428	42	28.4206	(-1, -1)	(-1, -1)	49
18:57:39.478	40	28.4492	(-1, -1)	(-1, -1)	49
18:57:39.526	39	28.376	(-1, -1)	(-1, -1)	49
18:57:39.574	36	28.4606	(-1, -1)	(-1, -1)	49
18:57:39.615	37	28.4093	(-1, -1)	(-1, -1)	49
18:57:39.658	41	28.4228	(-1, -1)	(-1, -1)	49
18:57:39.707	40	28.4347	(-1, -1)	(-1, -1)	49
18:57:39.755	35	28.4277	(-1, -1)	(-1, -1)	49
